#漢字	音標	解釋
□	liᴀ3	舔
動	toŋ5	
助	tsu5	
努	nu3	
劫	tɕieɪ2	
勁	tɕien5	
勞	lɔ2	
勢	sɿ5	
勃	pɔ2	
勇	ioŋ3	
勉	mei3	
勳	ɕyn1	
勒	lɤɯ2	
勘	kʰæ̃1	
募	mu5	
勤	tɕʰien2	
勾	kɐu1	
勿	u2	
匀	yn2	
包	pɔ1	
化	xuᴀ5	
北	pɤɯ2	
匙	sɿ2	
匡	kʰuᴀŋ1	
匣	ɕiᴀ2	
匪	fɐi3	
匹	pʰi2	
區	tɕʰyi1	
醫	i1	
匿	ni2	
十	sɿ2	
千	tɕʰieɪ1	
升	sən1	
午	u3	
半	pɤɯ5	
華	xuᴀ2	
協	ɕieɪ2	
卒	tsu2	
卓	tsɔ2	
單	tæ̃1	
賣	mæ̃5	
南	næ̃2	
博	pɔ2	
盧	lu2	
卦	kuᴀ5	
衛	uɐi5	
印	ien5	
卻	tɕʰiou2	
卵	luɤɯ3	
卷	tɕyẽ5	
廠	tsʰᴀŋ3	
廳	tʰɪn1	
历	li2	
厲	li2	
厲	li5	
壓	iᴀ5	
厭	ieɪ5	
厚	xɐu5	
原	ʏei2	
厥	tɕyẽ2	
厦	sᴀ3	
廚	tsʰu2	
去	tɕʰyi5	
去	kʰɤɯ5	
縣	ɕieɪ5	
参	tsʰən1	~差
参	sən1	人~
又	iɐu5	
叉	tsʰᴀ1	
及	tɕi2	
友	iɐu3	
雙	suᴀŋ1	
反	fæ̃3	
发	fᴀ2	
叔	su2	
取	tɕʰyi3	
受	sɐu5	
變	pei5	
敍	ɕyi5	
叛	pʰɤɯ5	
疊	tei2	
口	kʰɐu3	
古	ku3	
句	tɕyi5	
另	lɪn5	
叩	kʰɐu5	
只	tsɿ1	
只	tsɿ3	
叫	tɕiɔ5	
可	kʰou3	
台	tʰæ̃2	
史	sɿ3	
右	iɐu5	
葉	ieɪ2	
號	xɔ5	
司	si1	
嘆	tʰæ̃5	
吃	tsʰɿ2	
各	kɔ2	
合	xou2	
吉	tɕi2	
同	tʰoŋ2	
名	mɪn2	
后	xɐu5	
吏	li5	
吐	tʰu3	
