#漢字	音標	解釋#('wuu_th_shj_csts', '常熟唐市話', '常熟唐市', '#8B0000', None, None, '來源：<u>鶩高赭紗匕</u>', '53 1 1a 陰平 ꜀,24 2 1b 陽平 ꜁,44 3 2a 陰上 ꜂,31 4 2b 陽上 ꜃,423 5 3a 陰去 ꜄,213 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇', None, None)
個	kɯ5	～人
個	kᴇʔ7	量词；助词，相当于普通话的“的”
倌	kuɤ1	
倍	bᴇ4	
們	mᴇ̃2	
倒	tɔ3	
倒	tɔ5	
倔	dʑioʔ8	
候	ɦᴇ6	
倚	i3	
借	tsiɑ5	
倡	tsʰɒ̃5	
倦	dʑiɤ6	
倪	ȵi2	
倫	lᴇ̃2	
值	dzᴇʔ8	
偃	ie3	
假	kɑ3	【白读】与“真”相对
假	kɑ5	【白读】放～
假	tɕiɑ3	【文读】～使
偉	ɦuᴇ4	
偏	pʰie1	
偕	tɕiɑ1	
偕	ɦie2	【文读】
做	tsɯ5	
停	diŋ2	
健	dʑie6	
側	tsᴇʔ7	
偵	tsᴇ̃1	
偶	ŋᴇ4	
偷	tʰᴇ1	
僞	ɦuᴇ6	
傅	fu5	姓
傅	vu6	师～
傍	bɒ̃6	
傑	dʑiɪʔ8	
傘	sæ3	
備	bᴇ6	
傢	kɑ1	【白读】
傢	tɕiɑ1	【文读】
傫	lᴇ6	
催	tsʰᴇ1	
傲	ŋɔ6	
傳	dzᴇ2	
債	tsɑ5	
傷	sɒ̃1	
傻	sɑ3	
傾	tɕʰiŋ1	
僅	dʑiŋ6	
像	ziã4	
僑	dʑiɔ2	
僕	pʰoʔ7	～倒
僕	boʔ8	～人
僚	liɔ2	
僧	sᴇ̃1	
僱	ku5	
僵	tɕiã1	
價	kɑ5	【白读】～钱（俗写作“～钿”）
價	tɕiɑ5	【文读】～格；～值
僻	pʰiɪʔ7	
儀	ȵi2	
儀	ɦi2	～门；正～（江苏昆山地名）
儂	nᴇ̃6	第二人称单数
儂	noŋ2	吴～软语
億	iɪʔ7	
儈	kuᴇ5	
儉	dʑie4	
儋	tæ1	
儒	zɿ2	
儡	lᴇ4	
優	iɯ1	
儲	dzɿ2	【文读】～蓄所
儲	dzɿ2	【白读】姓
儼	ȵie4	
兀	ŋᴇʔ8	
允	ioŋ3	
元	ɦiɤ2	人民币单位，实为“圆”字
元	ȵiɤ2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	dzɔ4	
兇	ɕioŋ1	
先	sie1	
光	kuɒ̃1	
光	kuã1	～火（发怒）
克	kʰᴇʔ7	
免	mie4	
兒	ȵi2	【白读】～子
兒	əl2	【文读】～童
兒	ŋ̍2	词后作儿尾：女～
兔	tʰɯ5	
兖	ɦie4	
兜	tᴇ1	
入	zᴇʔ8	【文读】
入	ȵiɪʔ8	【白读】
內	nᴇ6	
全	zie2	
兩	liã4	
八	poʔ7	
公	koŋ1	
六	loʔ8	
兮	ɦi2	
共	ɡoŋ6	
兲	tʰie1	
兵	piŋ1	
其	dʑi2	
具	dʑi6	
典	tie3	
兼	tɕie1	
冀	tɕi5	
冉	zᴇ4	
冊	tsʰɑʔ7	
再	tsæ5	
冒	mɔ6	
冠	kuæ1	鸡～花；鸡～
冠	kuɤ1	衣～
冠	kuɤ5	～军
冢	tsoŋ3	
冤	iɤ1	
冥	miŋ2	
冬	toŋ1	
冰	piŋ1	
冶	ɦiɑ4	【白读】
冶	ɦie4	【文读】
冷	lã4	
冼	sie3	
冽	liɪʔ8	
凄	tsʰi1	
凋	tiɔ1	
凌	liŋ2	
凍	toŋ5	
凜	liŋ4	
凝	ȵiŋ2	
凡	væ2	
凣	væ2	
凰	ɦuɒ̃2	
凱	kʰæ3	
凳	tᴇ̃5	
凸	dᴇʔ8	
凹	ɔ1	
出	tsʰᴇʔ7	
函	ɦᴇ̃2	
刀	tɔ1	
刁	tiɔ1	
刃	zᴇ̃6	
分	fᴇ̃1	
分	vᴇ̃6	成～
切	tsʰiɪʔ7	
刊	kʰɤ1	
芻	tsʰɯ1	
刎	vᴇ̃4	
刑	ɦiŋ2	
列	liɪʔ8	
初	tsʰɯ1	
判	pʰɤ5	
別	bᴇʔ8	
別	biɪʔ8	
刨	bɔ6	
利	li6	
刪	sæ1	
剗	tsʰæ3	
刮	kuaʔ7	
到	tɔ5	
制	tsɿ5	
刷	sᴇʔ7	
券	tɕʰiɤ5	
刹	tsʰaʔ7	古～
刹	saʔ7	～车
刺	tsʰɿ5	
刻	kʰᴇʔ7	
剁	tɯ5	
剃	tʰi5	
削	siɑʔ7	
剋	kʰᴇʔ7	
剌	laʔ8	
前	zie2	
剔	tʰiɪʔ7	
剖	pʰᴇ1	
剖	pʰu1	～开
剛	kɒ̃1	
剝	pɔʔ7	
剡	zᴇ4	
剩	dzᴇ̃6	
剩	dzã6	
剪	tsie3	
剮	ku3	
副	fu5	
割	koʔ7	
創	tsʰɒ̃5	
剿	tsiɔ3	
劃	ɦu2	～船
劃	ɦuɑʔ8	计～；～一刀
劇	dʑiɑʔ8	
劈	pʰiɪʔ7	
劉	liɯ2	
劊	kuᴇ5	
劍	tɕie5	
劗	tsæ1	剁：～肉
力	liɪʔ8	
功	koŋ1	
加	kɑ1	
劣	liɪʔ8	
助	dzɯ6	
努	nɯ4	
劫	tɕiɪʔ7	
劾	ɦᴇʔ8	
勁	tɕiŋ5	
勃	boʔ8	
勇	ioŋ3	
勉	mie4	
勒	lᴇʔ8	
動	doŋ4	
勘	kʰᴇ̃5	
務	vu6	
勝	sᴇ̃5	常用读音
勝	sᴇ̃1	
勞	lɔ2	
募	mu6	
勢	sɿ5	
勤	dʑiŋ2	
勥	dʑiã4	
勩	ɦi6	
勳	ɕioŋ1	
勵	li6	
勸	tɕʰiɤ5	
勺	zɔʔ8	【白读】
勻	ɦioŋ2	
勾	kᴇ1	
勾	kᴇ5	～当
勿	vᴇʔ8	否定词
包	pɔ1	
匆	tsʰoŋ1	
匈	ɕioŋ1	
匕	pi3	
化	hu5	
北	poʔ7	
匙	zɿ2	
匝	tsaʔ7	
匠	dziã6	
匡	tɕʰiɒ̃1	【白读】姓：～巷（上海嘉定地名）
匡	kʰuɒ̃1	【文读】
匪	fi3	
匯	ɦuᴇ6	～集；～合
匹	pʰiɪʔ7	
匾	pie3	
區	tɕʰi1	
區	ᴇ1	姓；具～（太湖的别称）
十	zᴇʔ8	
千	tsʰie1	
卅	saʔ7	三十
升	sᴇ̃1	
午	ɦu4	【文读】
午	ŋ̍4	【白读】端～
卉	huᴇ5	
半	pɤ5	
卑	pᴇ1	
卒	tsᴇʔ7	
協	ɦiaʔ8	
南	nᴇ̃2	
南	nɑ2	～无阿弥陀佛
博	pɔʔ7	
卜	poʔ7	占～
卞	bie6	
占	tsᴇ1	～卜
占	tsᴇ5	～领
占	tsie5	～便宜
卡	kʰɑ3	
卦	ku5	
卯	mɔ4	
印	iŋ5	
危	ɦuᴇ2	
即	tsiɪʔ7	
卵	lɯ4	～巢，～子，～磷脂。雅化发音
卵	lɤ4	男阴
卷	tɕiɤ3	
卷	tɕiɤ5	
卸	siɑ5	
卿	tɕʰiŋ1	
厄	ŋᴇʔ8	
厘	li2	
厙	su5	
厚	ɦᴇ4	
原	ȵiɤ2	
厥	tɕioʔ7	
厭	ie5	
厲	li6	
去	kʰᴇ5	【白读】
去	tɕʰi5	【文读】～向；～声
厾	toʔ7	掷，扔，甩：～篮球
叄	sæ1	
參	tsʰᴇ̃1	～加
參	tsʰᴇ̃1	～差
又	ɦiɯ6	【文读】
又	ɦi6	【白读】
叉	tsʰu1	
及	dʑiɪʔ8	
友	ɦiɯ4	
反	fæ3	
叒	zɑʔ8	
叔	soʔ7	
叕	tsᴇʔ7	
取	tsʰi3	
受	zɯ4	
叛	bɤ6	
叢	dzoŋ2	
口	kʰᴇ3	
古	ku3	
句	tɕi5	
句	kᴇ1	“勾”本字：越王～践。高～丽
另	liŋ6	
叨	tɔ1	唠～
叨	tʰɔ1	～光
叩	kʰᴇ5	
只	tsɿ3	
只	tsᴇʔ7	～是；～有；～不过
叫	tɕiɔ5	
叫	kɔ5	～花子
召	dzɔ6	
召	dɔ6	三～址（上海金山地名）
叭	pɑ1	
叮	tiŋ1	
可	kʰɯ3	
台	tʰæ1	星宿名，古代用三台来比喻三公：～州，天～（浙江地名）
叱	tsʰᴇʔ7	
史	sɿ3	
右	ɦiɯ6	
叵	pʰu3	
叶	ɦiaʔ8	～韵
司	sɿ1	
叼	tiɔ1	
叽	tɕi1	
吁	ɕi1	气喘～～；长～短叹
吃	tɕʰiɪʔ7	口～
各	kɔʔ7	
吆	iɔ1	
合	ɦᴇʔ8	
合	kᴇʔ7	～算；～伙。共同：～买一本书。容积单位，十合为一市升
吉	tɕiɪʔ7	
吊	tiɔ5	
同	doŋ2	
名	miŋ2	
后	ɦᴇ4	皇～
吏	li6	
吐	tʰɯ3	
向	ɕiã5	
吒	tsu5	
君	tɕioŋ1	
吝	liŋ6	
吞	tʰᴇ̃1	
吟	ȵiŋ2	
否	fᴇ3	
否	bi4	臧～；～极泰来
吧	bɑ	外语bar的音译：酒～
吨	tᴇ̃1	质量单位
吨	tʰᴇ̃1	烟、气味袭人
吩	fᴇ̃1	
含	ɦᴇ̃2	
吳	ŋ̍2	【白读】姓；～县，～江（江苏地名）；～溇（江苏吴江地名）；～趋坊（江苏苏州地名）；～淞江
吳	ɦoŋ2	【白读】～市（江苏常熟地名）；～山渡（浙江长兴地名）
吳	ɦu2	【文读】～国；东～；～越；～语
吵	tsʰɔ3	
吸	ɕiɪʔ7	
吹	tsʰɿ1	【白读】
吹	tsʰᴇ1	【文读】
吻	mᴇ̃4	【白读】
吻	vᴇ̃4	【文读】
吼	hᴇ3	
吾	ŋɯ2	
呂	li4	
呆	ŋæ2	～头～脑；～板
呆	tæ1	痴～
呈	dzᴇ̃2	
告	kɔ5	
呐	nᴇʔ8	
呢	ȵi2	
呤	liŋ2	
呦	iɯ1	
呱	kuɑʔ7	～～叫
呱	ku1	～～坠地
呲	tsʰɿ1	
味	mi6	【白读】～道
味	vi6	【文读】～精
呴	hᴇ1	
呵	hɯ1	～斥；一气～成
呵	hɑ1	～气
呵	hu1	～欠
呷	haʔ7	喝：～汤；～醪酒
呷	kaʔ7	鸭叫声
呻	sᴇ̃1	
呼	hu1	
命	miŋ6	
咋	tsu5	～舌
和	ɦɯ2	
咍	hæ1	
咎	dʑiɯ4	
咐	fu5	
咒	tsɯ5	
咕	ku1	
咖	kʰɑ1	～啡
咖	kɑ1	～喱
咚	toŋ1	
咤	tsu5	
咩	mæ3	
咪	mi1	
咬	ŋɔ4	
咳	kʰᴇʔ7	
咸	ɦæ2	【白读】～阳（陕西地名）
咸	ɦie2	【文读】～丰（清朝年号）
咽	ie1	～喉
咽	ie5	～下去
咽	iɪʔ7	哽～；呜～
哀	æ1	
品	pʰiŋ3	
哄	hoŋ1	～堂大笑
哄	hoŋ3	～骗
哄	hoŋ5	起～
哇	uɑ1	
哇	uɔ	
哈	hɑ1	
哉	tsæ1	
哎	æ1	
哎	æ5	
哏	kʰᴇ̃1	形容咳嗽声
哏	ɡᴇ̃2	形容咳嗽声
員	ɦiɤ2	
哥	kɯ1	
哨	sɔ5	
哩	li1	
哪	nɑ1	【文读】
哪	nɑ4	～亨（怎么）
哪	nu2	～吒
哭	kʰoʔ7	
哲	tsᴇʔ7	
哳	tsaʔ7	
哺	bu6	
哼	hã1	【白读】
哼	hᴇ̃1	【文读】
哽	kã3	
唁	ȵie6	
唇	zᴇ̃2	
唐	dɒ̃2	
唑	zɯ6	
唔	ŋ̍	应答声
唧	tsiɪʔ7	
售	zɯ6	
唯	ɦi2	【白读】～亭（江苏苏州地名）
唯	vi2	【文读】
唱	tsʰɒ̃5	
唳	li6	
唾	tʰɯ5	
啄	tsɔʔ7	
啄	toʔ7	
商	sɒ̃1	
商	su1	～墓（浙江湖州地名）
啊	ɑ1	
啊	aʔ7	
問	mᴇ̃6	【白读】
問	vᴇ̃6	【文读】
啐	tsʰæ5	～人（骂人）
啞	u3	【白读】～巴
啞	iɑ3	【文读】沙～
啞	iɑ1	呕～嘲哳
啟	tɕʰi3	
啡	fi1	
啤	bi2	
啥	sɑ5	疑问词
啦	lɑ1	
啷	lɒ̃1	形容骑马声
啼	di2	
啾	tsiɯ1	
喃	nᴇ̃2	
善	zᴇ4	
喆	tsᴇʔ7	
喇	lɑ2	
喉	ɦᴇ2	
喊	hæ3	
喏	dzu4	唱～（拜祖宗）
喑	iŋ1	
喘	tsʰᴇ3	
喚	huɤ5	
喜	ɕi3	
喝	haʔ7	～汤。本字或为“呷”
喝	hᴇʔ7	吆～；～彩
喝	hᴇʔ7	饮。口语中一般不用
喥	dɔʔ8	傻：～头
喧	ɕiɤ1	
喪	sɒ̃1	～事
喪	sɒ̃5	～失
喫	tɕʰiɪʔ7	～饭
喬	dʑiɔ2	
單	tæ1	
單	zᴇ2	～于
單	zᴇ4	姓
喱	li2	
喲	iɯ1	
喵	miɔ1	
噴	pʰᴇ̃5	～香
喻	ɦi6	
嗅	ɕiɯ5	
嗅	hŋ̍5	
嗆	tsʰiã1	
嗆	tsʰiã5	
嗎	mu4	～啡
嗎	mɑ1	
嗓	sɒ̃3	
嗜	zɿ6	
嗟	tsiɑ1	
嗣	dzɿ6	
嗤	tsʰɿ1	
嗥	ɦɔ2	
嗨	hæ1	
嗬	hɯ1	
嗯	n̩	
嗲	tiɑ3	发～
嗶	piɪʔ7	
嗽	sᴇ5	
嘆	tʰæ5	
嘈	zɔ2	
嘉	kɑ1	【白读】～定（上海地名，北宋年号）；～兴，～善，永～（浙江地名）
嘉	tɕiɑ1	【文读】～奖；～庆（清朝年号）
嘌	pʰiɔ1	
嘎	kaʔ7	鸭叫声
嘔	ᴇ3	吐
嘔	ᴇ1	～哑嘲哳
嘖	tsᴇʔ7	
嘖	tsɑʔ7	
嘛	mɑ1	
嘩	ɦu2	
嘩	huɑ1	拟声词
嘮	lɔ1	
嘯	siɔ5	
嘲	dzɔ2	～笑
嘲	tsɔ1	呕哑～哳
嘴	tsɿ3	【白读】
嘸	m̩2	“无”的俗字
嘻	ɕi1	
噎	iɪʔ7	
噓	ɕi1	
噘	tɕioʔ7	
嚕	lɯ1	
噢	u1	
噢	ɔ1	
噦	ioʔ7	
器	tɕʰi5	
噩	ŋɔʔ8	
噪	tsɔ5	
噬	zɿ6	
噯	æ3	
噱	ɕioʔ7	
噲	kʰuɑ5	
噴	pʰᴇ̃1	
嚀	ȵiŋ2	
嚇	hɑʔ7	
嚎	ɦɔ2	
嚓	tsʰaʔ7	
嚴	ȵie2	
嚼	ziɑʔ8	
囂	ɕiɔ1	
囊	nɒ̃2	
囍	ɕi3	
囑	tsoʔ7	
囚	dziɯ2	
四	sɿ5	
囝	kɤ1	小～（小孩）
回	ɦuᴇ2	
囟	siŋ5	
因	iŋ1	
囡	nɤ4	
囡	nɤ1	～～（对孩子的昵称）
囤	dᴇ̃2	～积；～粮
囤	dᴇ̃4	仓～
囥	kʰɒ̃5	藏
囧	tɕioŋ3	
囪	tsʰoŋ1	
囫	ɦuoʔ8	
困	kʰuᴇ̃5	
固	ku5	
圃	pʰu3	
圇	lᴇ̃2	
圈	tɕʰiɤ1	圆～
圈	dʑiɤ4	养家畜的栅栏：猪～
國	kuoʔ7	
圌	dzᴇ2	
圍	ɦi2	【白读】～巾
圍	ɦuᴇ2	【文读】包～；～棋；～墙
園	ɦiɤ2	
圓	ɦiɤ2	
圖	dɯ2	
團	dɤ2	
土	tʰɯ3	
在	zæ4	
圩	ɦi2	【白读】
圩	ɦuᴇ2	【文读】
圩	ɕi1	岭南地名中“墟”的俗字
圮	pʰi3	
圯	ɦi2	
地	di6	
圳	tsᴇ̃5	
圻	dʑi2	
圾	si1	
圾	sᴇʔ7	
址	tsɿ3	
坂	pæ3	
均	tɕioŋ1	
坊	fɒ̃1	
坎	kʰᴇ̃3	
坐	zɯ4	
坑	kʰã1	【白读】～缸；～棚；粪～
坑	kʰᴇ̃1	【文读】
坤	kʰuᴇ̃1	
坦	tʰæ3	
坨	dɯ2	
坪	biŋ2	
坯	pʰᴇ1	
坳	ɔ1	
坵	tɕʰiɯ1	
坷	kʰɯ3	坎～
坷	kʰᴇʔ7	金～垃
坼	tsʰɑʔ7	
垂	dzᴇ2	
垃	lɑ2	
垃	lᴇʔ8	
壟	loŋ4	
型	ɦiŋ2	
垛	tɯ3	
垠	ȵiŋ2	
垡	vaʔ8	
垢	kᴇ5	
垬	ɦoŋ2	
垮	kʰu3	
墶	taʔ7	
垻	pɑ5	【文读】沙坪～；～上草原
埇	ɦioŋ4	
埋	mɑ2	
埌	lɒ̃6	
城	zã2	【白读】巴～（江苏昆山地名）；摇～（江苏苏州地名）
城	zᴇ̃2	【文读】～里；～市
埒	liɪʔ8	
埔	pu5	黄～，大～（广东地名）。广东、福建、台湾一带的地名用字。“黄埔”的“埔”本应读此音，但常被误读为“浦”
埔	pʰu3	柬～寨
埝	ȵie6	
域	ɦioʔ8	
埠	bu6	
埡	io1	
埤	bi2	
埭	dæ6	堤坝：黄～（江苏苏州地名）
埭	dɑ6	条状地形、条状物、量词：一～（一排）
埭	dɒ̃6	表示方位、处所的词，意思是“此处”，多见于地名。在常熟地名中多作“宕”
埲	boŋ4	
執	tsᴇʔ7	
培	bᴇ2	
基	tɕi1	
堂	dɒ̃2	
堅	tɕie1	
堆	tᴇ1	
堊	u5	～壅（肥料）
堍	tʰɯ5	
堡	pɔ3	
堡	pu3	【白读】～镇（上海崇明地名）
堤	di2	
堪	kʰᴇ̃1	
堯	ȵiɔ2	
堰	ie5	
報	pɔ5	
場	dzã2	
堵	tɯ3	
塊	kʰuᴇ5	
塌	tʰaʔ7	
塍	zã2	【白读】堤岸
塍	zᴇ̃2	【文读】
塑	sɯ5	
塔	tʰaʔ7	
塗	dɯ2	
塘	dɒ̃2	
塚	tsoŋ3	
塞	sᴇʔ7	活～；殟～
塞	sæ5	要～；边～
塢	u1	
填	die2	
塱	lɒ̃4	
塵	dzᴇ̃2	
塹	tsʰie5	
塾	zoʔ8	
境	tɕiŋ5	
墅	zɿ4	该字主要见于雅化地名，通“市”：金～，蠡～，浒～关（江苏苏州地名）；陈～（江苏无锡地名）；平～（江苏常熟地名）；萧～（江苏昆山地名）
墊	die6	
墓	mu6	
墓	m̩6	陆～（江苏苏州地名）；严～（江苏吴江地名）；陈～（江苏昆山地名）
墕	ie5	
墜	dzɿ6	【白读】下落，下垂
墜	dzᴇ6	【文读】
增	tsᴇ̃1	
墟	tɕʰi1	
墨	mᴇʔ8	
墩	tᴇ̃1	
墮	dɯ4	
墳	vᴇ̃2	
墺	u1	同“礇”
墺	ɔ5	
墾	kʰᴇ̃3	
壁	piɪʔ7	
壅	ioŋ1	
壇	dæ2	天～；讲～；论～
壑	hɔʔ7	
壓	aʔ7	
壕	ɦɔ2	
壘	lᴇ4	
壚	lɯ2	
壜	dᴇ̃2	～子；酒～
壞	ɦuɑ6	
壤	ȵiã4	【白读】
壤	zã4	【文读】
壩	pu5	【白读】～堰；水～；堤～
士	zɿ4	
壯	tsɒ̃5	
壹	iɪʔ7	
壼	ɦu2	
壽	zɯ6	
夏	ɦu4	姓；朝代名
夏	ɦu6	季节
夔	ɡuᴇ2	
夕	dziɪʔ8	
外	ŋɑ6	
多	tɯ1	【文读】
多	tɑ1	【白读】
夜	ɦiɑ6	
夠	kᴇ5	
夢	mɒ̃6	【白读】
夢	moŋ6	【文读】
夥	hɯ3	
大	dɯ6	【白读】～小；～门
大	dɑ6	【文读】～学；～蒜
大	dɑ6	～王
天	tʰie1	
太	tʰɑ5	
夫	fu1	
夬	kuɑ5	
夭	iɔ1	
央	iã1	
夯	hɒ̃1	
失	sᴇʔ7	
夷	ɦi2	
夾	kaʔ7	
奄	ie3	
奇	dʑi2	
奈	nɑ6	【白读】～何桥
奈	næ6	【文读】
奉	voŋ4	
奎	kʰuᴇ1	
奏	tsᴇ5	
契	tɕʰi5	
奔	pᴇ̃1	
套	tʰɔ5	
奚	ɦi2	
奢	ɕiɑ1	～遮（聪明）
奢	su1	～侈
奣	kuɒ̃3	～子（江苏昆山地名）
奧	ɔ5	
奪	doʔ8	
奮	fᴇ̃5	
女	ȵi4	【文读】妇～
女	ȵi4	【白读】～婿
女	nɤ4	～儿。俗写作“囡”
奴	nɯ2	
奶	nɑ4	【白读】
奶	næ4	【文读】
奸	kæ1	～细
奸	tɕie1	【文读】～细
她	tʰɑ1	
好	hɔ3	
好	hɔ5	
如	zɿ2	
妃	fi1	
妄	mɒ̃6	【白读】痴心～想
妄	vɒ̃6	【文读】狂～
妊	zᴇ̃6	
妒	tɯ5	
妓	dʑi4	
妖	iɔ1	
妗	ɕie1	轻浮不稳重，炫耀：～夹夹
妗	dʑiŋ6	
妙	miɔ6	
妝	tsɒ̃1	
妥	tʰɯ3	
妨	fɒ̃1	
妮	ȵi2	
妳	ni1	
妹	mᴇ6	
妻	tsʰi1	
妾	tsʰiɪʔ7	
姆	mu4	【文读】保～
姆	m̩1	【白读】～妈（母亲）
姊	tsɿ3	【文读】
姊	tsi3	【白读】
始	sɿ3	
姐	tsiɑ3	【白读】
姐	tsi3	【文读】
姑	ku1	
姓	siŋ5	
委	uᴇ3	
姘	pʰiŋ1	
姚	ɦiɔ2	
姜	tɕiã1	
姣	tɕiɔ1	
姥	mu4	天～山
姥	lɔ4	刘～～
姦	kæ1	捉～
姦	tɕie1	【文读】捉～
姨	ɦi2	
姻	iŋ1	
姿	tsɿ1	
威	uᴇ1	
娘	ȵiã2	
娛	ȵi2	
娜	nɯ2	婀～
娜	nɑ6	
娟	tɕiɤ1	
娠	sᴇ̃1	
娣	di4	
娩	mie4	
娶	tsʰi3	
娼	tsʰɒ̃1	
婀	ɯ1	
婁	lᴇ2	
婁	liɯ2	～塘（上海嘉定地名）
婆	bu2	
婉	uɤ3	
婊	piɔ3	
婚	huᴇ̃1	
婢	bi4	
婦	vu4	
婪	lᴇ̃2	
婺	vu6	
婿	si5	
媒	mᴇ2	
媚	mi6	【白读】做～眼；抛～眼
媚	mᴇ6	【文读】
媛	nɤ2	
媛	ɦiɤ2	
媽	mɑ1	
