#漢字	音標	解釋
拆	tʂʰai1	開
拇	mu3	
拈	niã1	拈起來
拉	lɤ1	
拌	pã5	
拍	pʰiəʔ7	
拎	liŋ1	
拐	kuai3	
拒	tɕy5	
拓	tʰuɤ1	搨本
拔	pɔ2	
拖	tʰuɤ1	
拘	tɕy1	
拙	tʂuəʔ7	
拚	pʰiən1	拚命
招	tʂao1	
拜	pai5	
擬	ni5	
攏	loŋ3	
揀	tɕiã3	
擁	yŋ1	
攔	lã2	
撥	pɔ2	
擇	tsəʔ7	擇菜,選擇
括	kʰuɤ1	包括
拯	tʂeŋ3	拯救
拱	koŋ3	拱手
拳	tɕʰyã2	
拼	pʰiən1	
拽	tʂuai5	拉
拾	ʂʅ2	拾起來
拿	nɔ2	
持	tʂʰʅ2	
挂	kuɔ5	
指	tʂʅ3	
按	ã5	
挑	tʰiao1	
挖	vã1	
挾	tɕiəʔ7	挾菜
撓	nao2	
擋	taŋ3	阻擋
擠	tɕi3	
揮	xuəi1	
挨	ai1	挨近,挨住
挨	ai1	捱打,捱罵
挪	nɤ2	
振	tʂen5	
挺	tʰiŋ2	
挽	vã3	
捅	tʰoŋ3	捅破了
捆	kʰuən3	
捉	tʂuɤ1	
捋	lyəʔ7	捋袖
捎	ʂao1	捎帶
捏	niəʔ7	
捐	tɕyã1	
捕	pu3	
撈	lao1	
損	suən3	
換	xuã5	
捧	pʰeŋ3	
据	tɕy5	
捷	tɕiɤ2	
捺	nɤ5	撇捺
捻	niã3	以指撚碎
掀	ɕiã1	
掂	tiã1	掂掇
掇	tuɤ5	拾掇,兩手掇起
掇	tʂuəi5	掂掇
授	ʂou5	
掉	tiao5	
掌	tʂaŋ3	
掏	tʰao1	掏出來
掐	tɕʰiɔ1	
排	pʰai2	
排	pʰai2	筏
掘	tɕyɤ2	
掠	lyəʔ7	
探	tʰã5	試探,偵探
接	tɕiəʔ7	
控	kʰoŋ5	
推	tʰuəi1	
掩	iã3	
措	tsʰuɤ5	措施
掫	tʂou1	望上掫
掬	tɕy2	一掬,一捧
掭	tʰiã3	掭筆
掮	tɕʰiã2	
擲	tʂeŋ5	
撣	tai3	雞毛撣子
揉	ʐou2	
描	miao2	
提	tʰi2	
插	tʂʰəʔ7	
揖	i1	作揖
揞	ã5	手覆,揞住
握	vəʔ7	
揢	tɕiəʔ7	捕,捉,拿住
揣	tʂʰuai3	揣度
揩	tɕiəʔ7	
揪	tɕiəu1	一把揫住
揭	tɕiəʔ7	
援	yã2	援救
攬	lã3	
撳	tɕʰiən1	按
攙	tʂʰã2	
擱	kəʔ7	
摟	lou3	抱
摟	lou3	摟取
攪	tɕiao3	
搉	tɕʰyəʔ7	擊,搉蒜
搊	tʂou1	搊起來
搓	tsʰuɤ1	
搛	tʂʰao1	搛菜
搜	sou1	
搜	sou1	蒐集
搞	kʰao5	
搡	saŋ1	
搬	pã1	
搭	tɤ1	
攜	ɕiɤ2	
搽	tʂʰɔ2	
攝	ʂɤ5	
摆	pai3	
摇	iao2	
攤	tʰã1	
摔	ʂuai1	
摘	tʂəʔ7	
摞	luɤ5	摞起來
摩	mɤ2	
摸	mɤ1	
摹	mɤ2	摹仿
摺	tʂəʔ7	摺曡
撇	pʰiɤ3	撇捺,撇開
撑	tʂʰeŋ1	
撒	səʔ7	撒手,撒種
撕	sɿ1	
撙	tsuən1	
撞	tʂʰuaŋ5	
撤	tʂʰɤ5	
撩	liao2	撩起來
撮	tsuɤ1	一撮米
撰	tsuã5	
攆	niã3	
撼	xã5	
擀	kã3	擀麵
操	tsʰao1	操作,操演
擎	tɕʰiŋ2	
擒	tɕʰiən2	
擖	kuɔ1	用刀刮
擘	pʰi1	用手擘開
擦	tsʰəʔ7	
擩	ʐu3	擩進去
攀	pʰã1	
攋	lɤ1	把攋
攢	tsã5	積攢
攘	ʐaŋ1	
攮	naŋ3	用刀子攮
支	tʂʅ1	
收	ʂou1	
改	kai3	
攻	koŋ1	攻擊
放	faŋ5	
政	tʂeŋ5	
故	ku5	
效	ɕiao5	
敵	ti2	
敏	miən3	
救	tɕiəu5	
教	tɕiao1	教書
教	tɕiao1	教育,教他去
斂	liã3	
敝	pi5	
敢	kã3	
散	sã5	分散
散	sã5	鞋帶散了
敦	tuən1	敦厚
㪗	tʰou5	展開,敨氣
敬	tɕiŋ5	
數	ʂu3	動詞
數	ʂu5	名詞
敲	tɕʰiao1	
整	tʂeŋ3	
敷	fu1	
文	ven2	
齋	tʂai1	
斑	pã1	
斗	tou3	
料	liao5	
斛	xu2	
斜	ɕiɤ2	
斤	tɕiən1	
斥	tʂʰʅ5	
斧	fu3	
斬	tsã5	
斷	tuã5	斷絕
斷	tuã5	決斷
斯	sɿ1	
新	ɕiən1	
方	faŋ1	
於	y2	於此
施	ʂʅ1	
旁	pʰaŋ2	
旅	ly3	
旋	ɕyã5	
旋	ɕyã2	旋吃旋做
族	tsu2	
旗	tɕʰi2	
無	u2	
既	tɕi5	
日	ʐʅ5	
旦	tã5	
舊	tɕiəu5	
旨	tʂʅ3	
早	tsao3	
旬	ɕuən2	
旱	xã5	
時	ʂʅ2	
曠	kʰuaŋ5	
旺	vaŋ1	興旺,火旺
昂	aŋ2	
昆	kʰuən1	
昌	tʂʰaŋ1	
明	miŋ2	
昏	xuən1	
易	i5	交易
易	i2	難易
昔	ɕiəʔ7	
星	ɕiŋ1	
映	iŋ5	
春	tʂʰuən1	
昧	mei5	
昨	tsuəʔ7	
昭	tʂao1	
是	ʂʅ5	
晝	tʂou5	
顯	ɕiã3	
晃	xuaŋ5	晃眼
晉	tɕiən5	
晌	ʂaŋ5	晌午
晏	iã5	晚也
曬	ʂai5	
曉	ɕiao3	
暈	yn1	
晚	vã3	
晦	xuəi5	
晨	tʂʰen2	
普	pʰu3	
景	tɕiŋ3	
晴	tɕʰiŋ2	
晶	tɕiŋ1	
智	tʂʅ5	
暫	tsã5	
暇	ɕiɔ2	
暑	ʂu3	
暖	nuã3	
暗	ã5	
暮	mu5	
暴	pao5	
曝	pʰu5	
曩	naŋ2	
曰	yɤ1	
曲	tɕʰy1	曲折,歌曲
曲	tɕʰy1	酒麴
曳	tʂuai5	拖
更	keŋ5	更換,五更
更	keŋ5	更加
曹	tsʰao2	
曾	tseŋ1	姓
曾	tsʰeŋ2	曾經
替	tʰi5	
最	tsuəi5	
月	yɤ1	
有	iəu3	
朋	pʰeŋ2	
服	fu2	
朔	ʂuɤ5	
朗	laŋ3	
望	vaŋ5	
朝	tʂao1	今朝
朝	tʂʰao2	朝代
期	tɕʰi1	時期
木	məʔ7	
未	vei5	
末	mɤ5	
本	pen3	
札	iɔ5	
札	tʂʰəʔ7	
术	ʂu5	
术	ʂu5	白朮,蒼朮
朱	tʂu1	
朴	pʰəʔ7	
朶	tuɤ3	
機	tɕi1	
朽	ɕiəu3	
殺	ʂəʔ7	
雜	tsɔ2	
權	tɕʰyã2	
杆	kã1	
杈	tʂʰɔ5	枝杈
杉	ʂã1	
杌	u5	杌子,杌凳
李	li3	
杏	ɕiŋ5	
材	tsʰai2	
村	tsʰuən1	
杖	tʂaŋ5	
杜	tu5	
杞	tɕʰi3	
束	ʂu5	
杠	kaŋ5	
條	tʰiao2	
來	lai2	
楊	iaŋ2	
杭	xaŋ2	
杯	pei1	
杰	tɕiɤ2	
杳	iao3	杳無音信
杵	tʂʰu3	
杷	pʰɔ1	枇杷
松	soŋ1	
板	pã3	
極	tɕiəʔ7	
構	kou5	
枇	pʰi2	枇杷
枉	kʰuaŋ2	
析	ɕi1	
枕	tʂen5	
枕	tʂen5	動詞
林	liən2	
枚	mei2	
果	kuɤ3	
枝	tʂʅ1	
樞	ʂu1	
棗	tsao3	
槍	tɕʰiaŋ1	
楓	feŋ1	
枯	kʰu1	
枵	ɕiao1	
架	tɕiɔ5	
柄	piŋ3	
柏	pai3	
某	mou2	
柑	kã1	
染	ʐã3	
柔	ʐou2	
柚	iəu5	
櫃	kuəi5	
柞	tsuəʔ7	橡樹
查	tʂʰɔ2	山查
查	tʂʰɔ2	調查
柩	tɕiəu5	
柬	tɕiã5	
柱	tʂu5	
柳	liəu3	
柴	tʂʰai2	
柿	ʂʅ5	
標	piao1	
棧	tʂã5	
棟	toŋ5	
欄	lã2	
樹	ʂu5	
栖	ɕi1	
栗	li5	
校	ɕiao5	上校
校	ɕiao5	學校
校	ɕiao5	校對
株	tʂu1	
樣	iaŋ5	
核	xɤ2	
核	xɤ2	審核
核	kʰɤ2	果子核
根	ken1	
格	kɤ2	
栽	tsai1	
栿	fu2	梁
桂	kuəi5	
桃	tʰao2	
桄	kuaŋ1	一桄線
桅	vei1	船桅杆
案	ã5	
桌	tʂuɤ1	
桐	tʰoŋ2	
桑	saŋ1	
桓	xuã2	
椏	iɔ5	椏杈
橈	ʐao2	槳
橋	tɕʰiao2	
樺	xuɔ2	樺樹
檜	xuəi5	
槳	tɕiaŋ3	
樁	tʂuaŋ1	
桶	tʰoŋ3	
梁	liaŋ2	
梅	mei2	
梓	tsɿ3	
梔	tʂʅ1	梔子花
梗	keŋ5	梗子,莖
梢	ʂao1	樹梢
夢	meŋ5	
梧	u2	梧桐
梨	li2	
梭	suɤ1	織布梭
梯	tʰi1	
械	ɕiɤ5	
梳	ʂu1	梳頭
檢	tɕiã3	
棉	miã2	
棋	tɕʰi2	
棌	tsai3	橡樹
棍	kuən5	
棒	paŋ5	
棕	tsoŋ1	
棚	pʰeŋ2	
棠	tʰaŋ2	
森	sen1	
棵	kʰɤ1	
棹	tʂao5	槳
椅	i3	
植	tʂəʔ7	
椒	tɕiao1	
橢	tʰuɤ5	橢圓
椴	tuã5	
椿	tʂʰuən1	椿樹
楔	tɕʰi5	楔子,楔橛子
楚	tʂʰu3	
楝	liã5	楝樹
楞	leŋ5	
楣	mei2	
楦	ɕyã1	鞋楦
楷	ɕiɤ2	
樓	lou2	
概	kai5	
欖	lã3	橄欖
榆	y2	
榛	tʂen1	
榜	paŋ3	
榧	fei3	榧子
榨	tʂɔ5	榨油
榫	suən3	榫頭
榴	liəu2	石榴
榻	tʰəʔ7	
槌	tʂʰuəi1	
槐	xuai2	
檳	piən1	檳榔
槽	tsʰao2	馬槽
樟	tʂaŋ1	
模	mɤ2	模子
模	mɤ2	模範
橫	xeŋ2	橫直
橫	xeŋ2	蠻橫
櫻	iŋ1	櫻桃
樵	tɕʰiao2	
橄	kã3	橄欖
橘	tɕyəʔ7	
橙	tʂʰeŋ2	
橙	tʂʰeŋ2	橙子
橛	tɕyɤ1	橛子
橡	ɕiaŋ5	橡樹
櫓	lu1	
檀	tʰã2	
檐	iã2	
檗	pʰi1	黃檗,藥名
檁	liən2	
欠	tɕʰiã5	
次	tsʰɿ5	
歡	xuã1	
欣	ɕiən1	
歐	ou1	
欲	y5	
欺	tɕʰi1	
款	kʰuã3	
歇	ɕiɤ1	
歉	tɕʰiã5	
歌	kɤ1	
止	tʂʅ3	
正	tʂeŋ5	
正	tʂeŋ5	正月
此	tsʰɿ3	
步	pu5	
武	u3	
歪	vai1	
死	sɿ3	
殲	tɕiã1	殲滅
殃	iaŋ1	
殆	tai5	
殉	ɕuən2	
殊	ʂu1	
殘	tsʰã2	
殮	liã3	
殕	mu2	食上生白毛一般不说
殖	tʂəʔ7	
殯	piən1	
毆	ou1	
段	tuã5	
殷	iən1	
殿	tiã5	
毁	xuəi3	
毅	i5	
母	mu3	
每	mei3	
毒	tu2	
比	pi3	比較
畢	piəʔ7	
斃	pi5	
毛	mao2	
毡	tʂã1	
毫	xao2	
毯	tʰã3	
氏	ʂʅ5	
民	miən2	
气	tɕʰi5	
水	ʂuəi3	
永	yŋ3	
汀	tʰiŋ1	
汁	tʂʅ1	
求	tɕʰiəu2	
汆	tsuã5	汆丸子
汇	xuəi5	
漢	xã5	
汗	xã5	
汝	ʐu3	
汞	koŋ5	
江	tɕiaŋ1	
池	tʂʰʅ2	
污	u1	
湯	tʰaŋ1	
汪	vaŋ1	一汪水
汴	piã5	
汽	tɕʰi5	
沂	tɕʰi3	沂河
沃	uɤ5	
沈	ʂen3	
沉	tʂʰen2	
沌	tʂʰuən2	
沓	tʰuɤ1	一沓紙
沙	ʂɔ1	
沛	pʰei5	
溝	kou1	
没	məʔ7	沉没,没有
漚	ou5	久浸水中
淪	luən2	
滬	xu5	
沫	mɤ1	
河	xɤ2	
油	iəu2	
治	tʂʅ5	
沼	tʂao5	池沼,沼氣
沾	tʂã5	
沿	iã2	
泄	ɕiɤ5	泄漏
泅	tɕʰiəu2	游水
泉	tɕʰyã2	
泊	pɤ2	
泊	pɤ2	梁山泊
泌	mi5	
泔	kã1	泔水
法	fɤ1	方法,法子
泛	fɔ2	
泡	pʰao5	
泡	pʰao5	泡在水裏
波	pɤ1	
泣	tɕʰi5	
泥	ni2	
注	tʂu5	
淚	lei5	
泰	tʰai5	
泳	yŋ3	
瀉	ɕiɤ5	
潑	pʰɤ1	
澤	tsəʔ7	
潔	tɕiəʔ7	
洇	iən1	
洋	iaŋ2	
洒	sɔ3	
洗	ɕi3	
洛	luɤ1	
洞	tʰoŋ5	
津	tɕiən1	
洪	xoŋ2	
洲	tʂou1	
活	xuɤ2	
洼	uɔ1	
洽	tɕʰiɔ5	
派	pʰai5	
流	liəu2	
淺	tɕʰiã3	
漿	tɕiaŋ1	
澆	tɕiao1	
測	tsʰəʔ7	
濟	tɕi5	
渾	xuən2	渾濁
滸	xu3	水滸
濃	noŋ2	
浙	tʂəʔ7	
浚	tɕuən5	濬河
浜	paŋ1	一條浜
浞	tʂuɤ2	水濕
浦	pʰu1	
浩	xao5	
浪	laŋ5	
浮	fu2	
浴	y5	
海	xai3	
浸	tɕʰiən1	
涂	tʰu2	
消	ɕiao1	
涉	ʂɤ5	
涌	yŋ3	
涎	ɕiã2	
涕	tʰi5	鼻涕
濤	tʰao1	
澇	lao1	旱澇
潤	ʐuən5	
澗	tɕiã1	
漲	tʂaŋ3	
澀	sɤ5	
涮	ʂuã5	涮洗
涯	iɔ2	天涯
液	iɤ5	
涴	uɤ1	弄髒
涿	tʂuɤ2	涿縣,涿鹿
淆	iao2	
淋	liən2	淋漓,淋濕
淑	ʂu1	
淘	tʰao2	淘米
淡	tʰã2	
淤	y1	
淫	iən2	
淮	xuai2	
深	tʂʰen1	
混	xuən2	相混,混沌
淹	iã1	
添	tʰiã1	
清	tɕʰiŋ1	
淵	yã1	
漸	tɕiã5	
澠	miã3	澠池
漁	y2	
滲	ʂen5	水滲透
渠	ɕy2	
渡	tu5	
渣	tʂɔ1	
溫	ven1	
港	kaŋ3	港口
渴	kʰəʔ7	
游	iəu2	
渺	miao3	
湖	xu2	
湘	ɕiaŋ1	
灣	vã1	
溼	ʂəʔ7	
潰	kʰuəi5	潰膿
濺	tɕiã3	濺一身水
溉	kʰai5	
源	yã2	
溜	liəu1	
溪	ɕi1	
溺	ni5	溺死
溻	tʰəʔ7	汗溻濕了
滂	pʰaŋ2	滂沱
滋	tsɿ1	
滑	xuã2	
滓	tsɿ3	
滔	tʰao1	
滚	kuən3	
滯	tʂʅ5	停滯,積滯
滿	mã3	
濾	ly5	
濫	lã5	
灘	tʰã1	
滴	ti1	
漂	pʰiao1	
漂	pʰiao5	漂亮
漆	tɕʰiəʔ7	
漏	lou5	
演	iã3	
漤	lã3	漤柿子,漤菜
漫	mã5	
漱	ʂu5	漱口
潘	pʰã1	
潛	tɕʰiã3	
潭	tʰã2	
潮	tʂʰao2	
潲	ʂao5	潲雨
潲	ʂao1	豬食
澄	tʂʰeŋ2	
澄	tʰeŋ2	水渾,澄一澄
澡	tsao3	
激	tɕiəʔ7	
濁	tʂuɤ2	
瀑	pʰu5	瀑布
灌	kuã5	
灒	tsã5	濺
火	xuɤ3	
滅	miɤ5	
燈	teŋ1	
灰	xuəi1	
靈	liŋ2	
竈	tsao5	
灸	tɕiəu1	針灸
災	tsai1	
燦	tsʰã5	
爐	lu2	
炊	tʂʰuəi1	
炎	iã2	
炒	tʂʰao3	
炕	kʰaŋ5	
炙	tʂʅ5	
炭	tʰã5	
炮	pʰao5	槍炮
炸	tʂɔ5	炸彈
炸	tʂɔ5	用油炸
點	tiã3	
煉	liã5	
爛	lã5	
烈	liɤ5	
烊	iaŋ2	融化
烘	xoŋ1	烘乾
烙	luɤ5	
燭	tʂu1	
烟	iã1	
烤	kʰao3	
煩	fã2	
燒	ʂao1	
燙	tʰaŋ5	
熱	ʐɤ1	
烹	pʰeŋ1	
焉	iã1	心不在焉
焊	xã5	銲鐵壺
焌	tɕuən5	火焌手了
煥	xuã5	
焙	pʰei2	焙乾
焚	fen2	
焦	tɕiao1	
焯	tʂʰuɤ1	把菜放在開水裏焯焯
焰	iã5	
然	ʐã2	
煎	tɕiã3	
煤	mei2	
照	tʂao5	
煨	vei5	
煮	tʂu3	
熄	ɕi1	
熊	ɕyŋ2	
熏	ɕyn1	
熔	ʐoŋ2	
熙	ɕi1	
熟	ʂu2	煮熟,熟悉
熥	tʰoŋ1	把包子熥熥
熨	yn5	
熬	ao2	
燃	ʐã2	
燎	liao2	
燎	liao2	火燎眉毛
燕	iã5	燕京,姓
燕	iã5	燕子
爆	pao5	
爪	tʂuɔ3	爪牙,爪子
爬	pʰɔ2	
愛	ai5	
爵	tɕyɤ2	
父	fu5	
爺	iɤ2	
爸	pɔ5	
爽	ʂuaŋ3	
片	pʰiã5	
版	pã3	
牌	pʰai2	
牘	tu2	
牒	tiɤ2	
牙	iɔ2	
牚	ʂaŋ1	椅子牚兒
牛	niəu2	
牡	mu5	
牢	lao2	
牧	mu5	
物	u5	
牯	ku1	
牲	ʂeŋ1	
牽	tɕʰiã1	
牸	tsɿ5	牝牛
特	tʰəʔ7	
犧	ɕi1	
犀	ɕi1	
犁	li2	
犢	tu2	牛犢子
犍	tɕiã5	犍為縣
犍	tɕiã5	犍子
犒	kʰao5	
犬	tɕʰyã3	
犯	fã5	
狀	tʂuaŋ5	
猶	iəu1	
狂	kʰaŋ2	
狄	ti2	
狍	pʰao2	
狐	xu2	
狗	kou3	
狡	tɕiao3	
獨	tu2	
狹	ɕiɔ2	
獅	ʂʅ1	
獄	y5	
狸	li2	狸貓
狼	laŋ2	
獵	liɤ5	
猛	meŋ3	
猜	tsʰai1	
猝	tsʰu5	倉猝
豬	tʂu1	
猫	mao1	
蝟	vei1	
獻	ɕiã5	
猴	xou2	
猾	xã2	狡猾
獺	lã3	水獺
玄	ɕyã2	
率	ʂuai5	率領
率	lyəʔ7	速率
玉	y5	
王	vaŋ2	
玩	vã2	古玩,遊玩
環	xuã2	
現	ɕiã5	
璽	ɕi3	
玻	pɤ1	玻璃
珊	ʂã1	
珍	tʂen1	
珠	tʂu1	
班	pã1	
球	tɕʰiəu2	
理	li3	
琉	liəu2	琉璃
瑣	suɤ3	瑣碎
琢	tʂuɤ1	
琴	tɕʰiən2	
琵	pʰi2	琵琶
琶	pʰɔ1	琵琶
瓊	tɕʰyŋ2	
瑕	ɕiɔ2	
瑞	ʐuəi5	
瑟	səʔ7	
璃	li2	玻璃
璧	pi5	
瓜	kuɔ1	
瓠	xu2	瓠盧
瓠	xu2	瓠子,瓠瓜
瓢	pʰiao2	
瓣	pã5	
瓤	ɕiaŋ1	瓜瓤
瓦	uɔ3	
瓦	vɔ1	動詞
瓮	voŋ1	
甌	ou1	
瓶	pʰiŋ2	
瓷	tsʰɿ2	瓷器
甘	kã1	
甚	ʂen5	
甜	tʰiã2	
生	ʂeŋ1	
甥	ʂeŋ1	
用	yŋ5	
甫	fu3	
甬	yŋ3	甬道
田	tʰiã2	
由	iəu2	
甲	tɕiəʔ7	
申	ʂen1	
電	tiã5	
男	nã2	
畫	xuɔ5	
暢	tʂʰaŋ2	
界	tɕiɤ5	
畏	vei5	
留	liəu2	
畜	tʂʰu5	畜牲
畜	ɕy5	畜牧
略	lyəʔ7	
畦	vɔ1	菜畦
番	fã1	幾番
疃	tʰoŋ2	
疆	tɕiaŋ1	
疏	ʂu1	注疏
疏	ʂu1	疏遠
疑	i2	
疔	tiŋ1	
療	liao2	
疝	ʂã5	疝氣
瘧	nyəʔ7	瘧疾,發瘧子
瘍	iaŋ2	潰瘍
疤	pɔ1	
疥	tɕiɤ5	
疫	i5	
瘡	tʂʰuaŋ1	
瘋	feŋ1	
疲	pʰi2	
疵	tsʰɿ1	吹毛求疵
疹	tʂen3	
疼	tʰeŋ2	
疾	tɕiəʔ7	
痂	tɕiɔ1	
病	piŋ5	
症	tʂeŋ5	
癰	yŋ1	
痒	iaŋ3	
痔	tʂʅ5	
痕	xen2	
痛	tʰoŋ5	
痢	li5	
痣	tʂʅ5	
痰	tʰã2	
痱	fei3	疿子
痲	mɔ2	
癡	tʂʰʅ1	
痹	pi5	麻痹
瘊	xou2	瘊子
瘟	ven1	
瘦	ʂou5	
瘰	luɤ5	瘰癧
瘴	tʂaŋ5	瘴氣
瘸	tɕʰyɤ2	瘸腿
癩	lɔ3	
癩	lai5	
癬	ɕyã3	
癸	kʰuəi2	
登	teŋ1	
白	pai2	
百	piəʔ7	
皂	tsao5	
的	ti2	目的
皆	tɕiɤ1	
皇	xuaŋ2	
皖	vã3	安徽
皮	pʰi2	
皺	tʂou5	
皴	tsuən5	臉皴
皿	miən3	
盂	y2	
盅	tʂoŋ3	
盆	pʰen2	
盈	iŋ2	
益	i5	
盞	tʂã3	
鹽	iã2	
鹽	iã2	醃
監	tɕiã1	國子監
監	tɕiã1	監察,監視,監牢
盒	xɤ2	烟盒
盔	xuəi1	
盖	kai5	
盜	tao5	
盤	pʰã2	
盛	tʂʰeŋ2	盛滿了
盛	ʂeŋ5	興盛
盟	meŋ2	
目	mu5	
盲	maŋ2	
直	tʂʅ2	
相	ɕiaŋ5	互相
相	ɕiaŋ5	相貌
盼	pʰã5	
盾	tuən5	矛盾,趙盾
盾	tuən5	矛盾
省	ʂeŋ3	反省
省	ʂeŋ3	省長
省	ʂeŋ3	節省
眉	mei2	
看	kʰã5	看守
看	kʰã5	看見
瞘	kʰou1	眼瞘
真	tʂen1	
眠	miã2	
眨	tʂəʔ7	眨眼
眩	ɕyã5	
眵	ʂʅ3	眼眵
眶	kʰaŋ5	眼眶
眷	tɕyã5	
眼	iã3	
着	tʂuɤ2	着衣
着	tʂəʔ7	睡着,附着
睜	tʂeŋ1	
睛	tɕʰiŋ2	眼睛
睡	ʂuəi5	
督	tu1	
睬	tsai3	
瞅	tʂʰou3	
瞎	ɕiəʔ7	
瞞	mã2	
瞖	i1	目瞖
瞧	tɕʰiao2	
瞪	teŋ5	瞪眼
瞭	liao5	
瞳	tʰoŋ2	
瞻	tʂã1	
瞿	tɕʰy2	
矛	mao2	
矢	ʂʅ3	
矣	ai1	
知	tʂʅ1	
矩	tɕy1	規矩
矯	tɕiao1	矯詐
矬	tsʰuɤ2	矮
短	tuã3	
矮	ai3	
石	ʂəʔ7	
礬	fã2	
礦	kʰuaŋ5	
碼	mɔ3	碼子
砌	tɕʰi5	
砍	kʰã3	
砑	iɔ5	砑平
研	iã2	
磚	tʂuã1	
硯	iã5	
破	pʰɤ5	
礎	tʂʰu3	柱下石
硝	ɕiao1	
硫	liəu2	硫黄
硬	iŋ5	
確	tɕʰyəʔ7	
礙	ai5	
碎	suəi5	
碑	pei1	
碓	tuəi5	
碗	vã3	
碟	tiɤ2	
碧	pi5	
鹼	tɕiã3	
碾	niã3	
磁	tsʰɿ2	磁石
磉	saŋ1	柱下石
磑	vei1	磨,研
磕	kʰəʔ7	
磨	mɤ2	磨刀
磨	mɤ2	磨麵,石磨
磬	tɕʰiŋ5	鐘磬
磷	liən2	
礓	tɕiaŋ1	礓石
示	ʂʅ5	
禮	li3	
社	ʂɤ5	
祀	sɿ5	祭祀
祁	tɕʰi3	
祈	tɕʰi3	
祖	tsu3	
祝	tʂu5	
神	ʂen2	
祠	tsʰɿ2	
祥	ɕiaŋ2	
票	pʰiao5	車票
祭	tɕi5	
禱	tao3	
禍	xuɤ5	
稟	piŋ3	
禁	tɕiən5	禁不住
禁	tɕiən5	禁止
祿	lu5	
禪	tʂʰã2	禪宗
禪	ʂã5	禪讓
福	fu2	
禹	y3	
离	li2	離別
离	li2	離開半寸
禽	tɕʰiən2	
禾	xɤ2	
秀	ɕiəu5	
私	sɿ1	
秃	tʰuəʔ7	
稈	kã1	稻稈
秉	piŋ3	
秋	tɕʰiəu1	秋天
秋	tɕʰiəu1	秋千
種	tʂoŋ5	種類
種	tʂoŋ5	種樹
科	kʰɤ1	
秒	miao3	
秕	pi3	秕子,秕穀
秘	mi5	
租	tsu1	
秤	tʂʰeŋ5	一桿秤
秦	tɕʰiən2	
秧	iaŋ1	
秩	tʂʅ5	
秫	ʂu5	
積	tɕiəʔ7	
稱	tʂʰen5	相稱
稱	tʂʰeŋ1	稱呼,稱重量
秸	tɕiəʔ7	麥稭
移	i2	
穢	xuəi5	
稀	ɕi1	
稆	ly3	野生
程	tʂʰeŋ2	
稍	ʂao1	
税	ʂuəi5	
稗	pʰai5	
稙	tʂʅ2	早種禾
稚	tʂʅ5	幼稚
稠	tʂʰou2	
穩	ven3	
稻	tao5	
稼	tɕiɔ5	
稽	tɕi5	
稿	kao2	
穄	tɕi5	穄子
穆	mu5	
穗	suəi5	
穰	ʐaŋ1	禾莖
穴	ɕyɤ5	
究	tɕiəu1	
窮	tɕʰyŋ2	
空	kʰoŋ5	空虛
空	kʰoŋ5	空缺
突	tʰuəʔ7	
窄	tʂəʔ7	
竅	tɕʰiao5	
窯	iao2	
窖	tɕiao5	
窗	tʂʰaŋ1	
竄	tsʰuã5	
窩	uɤ1	
窟	kʰuəʔ7	窟窿
窠	kʰɤ1	
窺	kʰuəi1	
窨	iən1	地窨子
立	li5	
豎	ʂu5	
站	tʂã5	立
站	tʂã5	車站
競	tɕiŋ5	
竟	tɕiŋ5	
章	tʂaŋ1	
童	tʰoŋ2	
端	tuã1	
竹	tʂu2	
竿	kã1	竹竿
篤	tu3	
笊	tʂao5	笊籬
笋	suən3	
笑	ɕiao5	
筆	piəʔ7	
筧	tɕiã5	以竹通水
笙	ʂeŋ1	
笛	ti2	
笠	li5	
笡	tɕʰiəʔ7	斜
符	fu2	
笨	pen5	
第	ti5	
箋	tɕiã5	
籠	loŋ2	
等	teŋ3	
筋	tɕiən1	
筏	fɔ2	
筐	kʰaŋ1	
筑	tʂu5	
筒	tʰoŋ2	
答	tɤ1	
策	tsʰɤ5	
篩	ʂai1	篩子
筵	iã5	
筷	kʰuai5	
籌	tʂʰou2	
签	tɕʰiã1	
簡	tɕiã3	
箅	pi5	箅子
箍	ku1	
算	suã5	
管	kuã3	
籮	luɤ2	
簫	ɕiao1	
箭	tɕiã5	
箱	ɕiaŋ1	
箸	tʂu5	筷子
篅	tʂʰuã1	盛穀具
篆	tʂuã5	
篇	pʰiã1	
簍	lou3	
篙	kao1	進船竿
篡	tsuã5	
篦	pi5	
籃	lã2	
籬	li2	
篷	pʰeŋ2	
篾	miəʔ7	竹篾
簟	tiã5	席
簧	xuaŋ2	鎖簧
簪	tsã1	
簸	pɤ3	簸一簸
簸	pɤ5	簸箕
簿	pɤ2	
籍	tɕiəʔ7	
籰	yɤ5	收絲器
米	mi3	
糴	ti5	
類	lei5	
粉	fen3	
粒	li5	
粗	tsʰu1	
粘	niã2	粘貼
糶	tʰiao5	
粟	li5	
粤	yɤ5	
粥	tʂou1	
糞	fen5	
糧	liaŋ2	
粱	liaŋ2	
粳	keŋ1	粳米
粹	suəi5	純粹
糉	tsoŋ5	
精	tɕiŋ1	
精	tsiŋ1	聪明,多为贬义
糍	tsʰɿ2	餈巴
糕	kao1	
糖	tʰaŋ2	
糗	tɕʰiəu3	麵煮糗了
糙	tsʰao1	粗糙,糙米
糜	mi2	粥
糟	tsao1	
糠	kʰaŋ1	
糯	nuɤ5	糯米
