#漢字	音標	解釋
再	tsai5	
冒	mao5	
冗	ʐoŋ2	撥冗,冗長
寫	ɕiɤ3	
軍	tɕyn1	
農	noŋ2	
冠	kuã5	冠軍
冠	kuã5	衣冠
冢	tʂoŋ3	
冤	yã1	
冬	toŋ1	
馮	feŋ2	
冰	piŋ1	
冲	tʂʰoŋ1	
決	tɕyəʔ7	
况	kʰuaŋ5	
冷	leŋ3	
凍	toŋ5	
淨	tɕiŋ5	
準	tʂuən3	
涼	liaŋ5	
凌	liŋ2	
減	tɕiã3	
湊	tsʰou5	
凝	niŋ2	
凝	niŋ2	湯凝成凍了
几	tɕi3	幾乎
几	tɕi3	幾個
几	tɕi1	茶几
凡	fã2	
鳳	feŋ5	
凭	pʰiŋ2	
凱	kʰai3	
凳	teŋ5	
凶	ɕyŋ1	兇惡
凶	ɕyŋ1	凶吉
出	tʂʰuəʔ7	
擊	tɕiəʔ7	
函	xã2	
鑿	tsao2	
刀	tao1	
刁	tiao1	
刃	ʐen5	
分	fen1	分開
切	tɕʰiɤ1	切開
刈	i5	
刊	kʰã1	
刎	ven3	
刑	ɕiŋ2	
划	xuɔ2	
划	xuɔ2	划船
列	liɤ5	
劉	liəu2	
則	tsɤ1	
剛	kaŋ1	
創	tʂʰuaŋ5	
初	tʂʰu1	
删	ʂã1	
判	pʰã5	
刨	pʰao2	
刨	pʰao2	刨地
利	li5	
别	piɤ2	區別
别	piɤ2	離別
刮	kuəʔ7	
到	tao5	
制	tʂʅ5	
刷	ʂuəʔ7	
券	tɕʰyã5	
刺	tsʰɿ5	
刻	kʰəʔ7	時刻
刻	kʰəʔ7	用刀刻
劊	kuəi5	
刴	tuɤ5	
劑	tɕi5	一劑藥,麵劑子
剃	tʰi5	
削	ɕyəʔ7	
前	tɕʰiã2	
剮	kuɔ1	
劍	tɕiã5	
剔	tʰi5	
剖	pʰou1	
剜	vã1	
剝	pəʔ7	
劇	tɕy5	劇烈
劇	tɕy5	戲劇
剩	ʂeŋ5	
剪	tɕiã3	
副	fu5	
割	kəʔ7	
剿	tɕiao3	
劈	pʰi1	
劐	xuəʔ7	用刀劐開
力	li5	
勸	tɕʰyã5	
辦	pã5	
功	koŋ1	
加	tɕiɔ1	
務	u5	
劣	liɤ5	
動	toŋ5	
助	tʂu5	
努	nu3	
劫	tɕiɤ2	
勵	li5	
勁	tɕiən5	勁敵
勁	tɕiən5	有勁
勞	lao2	
勢	ʂʅ5	
勃	pɤ2	
勇	yŋ3	
勉	miã3	
勳	ɕyn1	
勒	lei1	
勘	kʰã1	勘誤,勘探
募	mu5	
勤	tɕʰiən2	
勺	ʂuɤ2	勺子
勾	kou1	
勾	kou1	勾當
勿	u5	
匀	tɕuən1	
包	pao1	
匆	tsʰoŋ1	
化	xuɔ5	
北	piəʔ7	
匙	ʂʅ1	湯匙,鑰匙
匠	tɕiaŋ5	
匡	kʰaŋ1	
匣	ɕiɔ2	箱匣
匪	fei3	
匹	pʰi3	一匹布,一匹馬
區	tɕʰy1	區域
醫	i1	
匾	piã3	
匿	ni5	
十	ʂʅ2	
千	tɕʰiã1	
升	ʂeŋ1	
午	u3	
半	pã5	
華	xuɔ2	中華
華	xuɔ2	華山,姓
協	tɕʰiɤ2	
卑	pi5	
卒	tsu2	兵卒
卓	tʂuɤ2	
單	tã1	單獨
單	ʂã5	姓
賣	mai5	
南	nã2	
博	pɤ2	
卜	pɤ1	
占	tʂã5	占卜
盧	lu2	
卤	lu3	
卦	kuɔ5	
臥	uɤ5	
衛	vei5	
卯	mao3	
印	iən5	
危	vei1	
即	tɕi5	
卻	tɕʰyəʔ7	
卵	luã3	
卷	tɕyã3	
卷	tɕyã3	捲起
卸	ɕiɤ5	
卿	tɕʰiən1	
廠	tʂʰaŋ3	
廳	tʰiŋ1	
历	li5	
厲	li5	
壓	iəʔ7	
廁	tsʰɤ1	廁所,茅廁
厘	li2	
厚	xou5	
原	yã2	
廂	ɕiaŋ1	
厥	tɕyəʔ7	
厦	ʂɔ5	偏廈,前廊後廈
厦	ɕiɔ5	廈門
廚	tʂʰu2	
厮	sɿ1	
去	tɕʰy5	來去,去皮
縣	ɕiã5	
参	tsʰã1	
参	ʂen1	人參
参	tsʰen1	參差
又	iəu5	
叉	tʂʰɔ1	
及	tɕi2	
友	iəu3	
雙	ʂuaŋ1	
雙	ʂuaŋ1	雙生
反	fã3	
发	fəʔ7	
叔	ʂu1	
取	tɕʰy3	
受	ʂou5	
變	piã5	
敍	ɕy5	
叛	pʰã5	
叟	sou1	
疊	tiɤ2	
口	kʰou3	
古	ku3	
句	tɕy5	
另	liŋ5	
叨	tao1	嘮叨
叩	kʰou5	叩頭
只	tʂʅ1	
只	tʂʅ1	只有
叫	tɕiao5	
召	tʂao1	
可	kʰɤ3	
台	tʰai2	
台	tʰai2	天台,台州
史	ʂʅ3	
