#漢字	音標	解釋	#('yue_nnbh', '南寧白話', '南寧白話', '#FFAD00', None, None, '更新：2021-07-13<br>來源：<a href=https://github.com/leimaau/naamning_jyutping>南寧話輸入方案</a><br>說明：心母字讀 sl[ɬ]（清齒齦邊擦音），效咸山攝二等字讀 -eu[-ɛu]、-em[-ɛm]/-ep[-ɛp]、-en[-ɛn]/-et[-ɛt]<br>老派的師韻（止開三精莊組）字讀 zy[tsɿ]、cy[tsʰɿ]、sy[sɿ]，津韻（臻合三舌齒音、部份臻開三）字讀 -yun[-yn]/-yut[-yt]<br>(白)白讀；(文)文讀；(老派)老派音；(習)習讀；(常)常讀；(又)又讀；(罕)罕讀；(訓)訓讀；(舊)舊讀；(語)口語音；(書)書面音；(外)外來語音譯；(名)名詞；(動)動詞；(量)量詞', '55 1 1a 陰平 ꜀,35 3 2a 陰上 ꜂,33 5 3a 陰去 ꜄,21 2 1b 陽平 ꜁,24 4 2b 陽上 ꜃,22 6 3b 陽去 ꜅,55 7a 4a 上陰入 ꜆,33 7b 4b 下陰入 ꜀,22 8 4c 陽入 ꜇')
〇	leŋ4
㑊	jek̚9
㓟	mɐi1-	削，又作劘字
㓟	pʰɐi1	削，又作𠜱字
㓤	kɐt̚7	刺
㔆	t͡ʃʰaːm5	刺，扎
㔙	pʰaːŋ1	兩手平伸之距離
㕭	jaːu1	咿～，不認真，又作咿呦
㖭	liːm1\	句末虛詞
㖭	tʰiːm1
㗂	ʃaːŋ2
㗂	ɬɐŋ4\	古壯字，詞綴，毛～～，高～～
㗇	haː1	欺負
㗎	kaː3	語氣詞，嘅啊的合音
㗱	t͡ʃɐp̚9
㗱	t͡ʃɛːp̚7\	吸奶聲
㗱	t͡ʃɛːp̚9\	咀嚼聲
㗲	waːk̚7	能說會道，又作𡄴字
㗾	hœː1	起鬨
㗾	hœː2	㗾hoe4～聲，熱鬧貌；完成補語
㗾	hœː4	～哆doe1，嗩吶
㘄	lɐŋ1
㘆	tʰɔːi2
㘋	hɛːn5\	古壯字，啃
㘋	jiːn4
㘝	naːp̚8\	搛
㘝	naːp̚9
㘝	nɛːp̚8\	搛
㙓	kʷʰɐi4
㙟	lɔːŋ5
㚻	kɐi1
㜇	ɐi3\	心情煩悶，又作翳字
㜇	wɐi3
㜷	miː4
㜺	t͡ʃaːn2	～鬼，有趣
㝿	pɐi1
㝿	pɔː2+
㞎	paː2+
㞎	paː4+
㞎	pɛː2	㞎be4～，屎
㞎	pɛː4	～㞎be2，屎
㞓	hɐi1	女陰（即谿，山間河），俗字閪
㞗	kʰɐu4
㞘	tʊk̚7	容器底部，同䐁字
㞞	ɬʊŋ4	傻
㞢	jɐu5	古通作有
㞢	t͡ʃiː1	古通作之
㟤	lʊk̚9
㟼	ŋuː4
㡿	t͡ʃʰek̚7
㤿	jiːm1	㤿憸，愛挑剔
㥮	t͡ʃɐu3
㦒	lɐi2	冤～，冤枉
㧗	t͡ʃʰiː2+
㧗	t͡ʃiː2
㧤	t͡ʃʰʊŋ3	捅
㧬	kʊŋ2	抱，舉
㧬	ʊŋ2	推，又作擁字
㧸	pʰaːŋ5	驅趕
㧻	tʊk̚7	戳、刺、捅，同𧰵字
㧾	fɐt̚7	舀
㨂	tʊŋ2	捅
㨃	tuːi2	捅
㨆	lɐm6	堆砌
㨘	ʃaːŋ2	拭擦；訓斥；打
㨢	nɐŋ3	連帶，又作褦字
㨤	kʷʰaːi5	撥拉，同擓字
㨤	kʷʰɛː3-
㨮	tɐu1	掬，～啲水；對身體行使動作，～頭淋；用肢體打，～一腳
㨴	kʰiːn2	掀，揭
㩄	ɬaːi1	浪費，俗字嘥
㩆	t͡ʃɐu6
㩋	ɬiːu1	擊；把
㩋	ɬʊk̚7	擊
㩒	kɐm6	同撳字
㩙	ɬaːk̚7	～開邊，剖成兩半
㩟	t͡ʃaːi6	擲
㩧	pɔːk̚7	敲
㩮	hiːn1	同攑字
㩮	kʰiːn1+
㩺	pʰiː1	器物邊緣破損，又作𤿎字
㩿	kʰɐk̚7~	㪐～，路不平，說話結巴
㪐	lɐk̚7~	～㩿，路不平，說話結巴
㪕	t͡ʃʰœːk̚8
㪗	tʰɐu2	休息，又作敨字
㫰	lɔːŋ6	晾
㬎	hiːn2
㬟	fɐn1
㬟	mɐŋ4\	未曾的合音
㬤	jɐp̚7+
㬤	kʰɐp̚7
㬹	t͡ʃaːŋ1	肘；腳跟；俗字踭
㭕	kʰyː1
㮇	tʰiːm2
㰵	t͡ʃɵt̚7	吮吸；吻
㱠	fuː1
㱠	kʷaː1\	死亡，又作歄字
㱠	kʰuː1+
㱻	lɔː2
㱻	lɔː6+
㳄	jiːn4
㵘	maːn6
㵶	t͡ʃɛːt̚7-
㵶	t͡ʃiːt̚7	擠水射出，又作瀄字
㷫	heŋ3	烤；热；烫
㷹	t͡ʃaːu3=
㷹	t͡ʃɛːu3-	用油炸
㸺	ʃaː1
㹃	fɛː3+
