#漢字	音標	解釋
□	hɛ̃2	一~:一条
㖹	pʰun2	~火
㾪	san3	瘦
一	it7	
丁	tin1	
七	tsʰit7	
万	ban1	
丈	tŋ̍6	
三	sam1	文读
三	sã1	白读
上	tsioŋ6	~山
下	he6	
丑	tʰiu3	
專	tsuan1	
世	si5	
丘	kʰiu1	
丙	pin3	
丙	piã3	
業	ɡiap8	
叢	tsaŋ2	
東	toŋ1	文读
東	taŋ1	白读
丞	sin2	
兩	niõ3	几斤几~
嚴	iam2	
个	ko5	~人
中	tioŋ1	
中	tioŋ5	射~
丰	hoŋ1	
丹	tan1	
主	tsu3	
麗	lie6	
舉	ki3	
久	ku3	
義	ɡi6	
烏	ɔ1	
乏	huat8	
樂	lok8	快~
樂	ɡak8	音~
乖	kuai1	
乘	sin2	
乙	it7	
九	kiu3	文读
九	kau3	白读
習	sip8	
鄕	iaŋ1	文读
鄕	hiõ1	白读
書	si1	
買	bie3	
亂	luan6	
乾	kan1	
了	liau3	
爭	tsin1	
爭	tsɛ̃1	白读
事	su6	
虧	kʰui1	
雲	hun2	
互	hɔ6	
五	ɡɔ6	
井	tsɛ̃3	
亡	baŋ2	
交	kiau1	
亥	hai6	
產	san3	
畝	bɔ3	
享	iaŋ3	
京	kiã1	
亭	tʰin2	
亮	liaŋ6	
親	tsʰin1	
億	it8	
仁	ɡin2	
仆	pʰak7	~倒，伏着
仇	tsʰiu2	
今	kim1	
介	kai5	
从	tsʰioŋ2	
倉	tsʰŋ̍1	
仗	tiaŋ6	
付	hu5	
仙	sen1	
代	tai6	
令	lin6	
以	i3	
價	ke5	
份	hun6	
仿	huaŋ3	
伊	i1	
伍	ɡɔ6	
伐	huat8	
休	hiu1	
衆	tsioŋ5	
會	kue5	~计
會	hue6	开~
傘	suã5	
偉	ɡui3	
傳	tʰuan2	~达
傷	siaŋ1	
倫	lun2	
伯	pɛ5	
估	kɔ3	~计
伴	pʰuã3	
似	su6	
但	tan6	
位	ɡui6	
體	tʰie3	
佛	hut8	
作	tsok2	
使	su3	文读
使	sai3	白读
侄	tet8	
供	kioŋ1	~给
依	i1	
儂	laŋ2	人
侮	hu6	
侯	hau2	
侵	tsʰim1	
便	pan2	~宜
促	tsʰiok7	
俊	tsun5	
俗	siok8	
保	po3	
信	sin5	
儉	kʰiam6	
修	siu1	
倍	pue6	
倒	tau3	
倚	ua3	~靠
倡	tsʰiaŋ5	
債	tse5	
値	tit8	文读
値	tat8	白读
假	ke3	放~;真~
停	tʰin2	
健	ken6	
偸	tʰau1	
像	tsʰiõ6	
像	siõ6	
元	ɡuan2	
兄	hiã1	
充	tsʰioŋ1	
光	kuaŋ1	文读
光	kuĩ1	白读
克	kʰit7	
免	ben3	
兔	tʰɔ5	
黨	taŋ3	
兜	tau1	
入	lip8	
全	tsʰuan2	
八	pat7	文读
八	pie2	白读
公	koŋ1	文读，~家
公	kaŋ1	白读
六	lak8	
蘭	lam2	
蘭	lan2	
共	kioŋ6	
關	kuɛ̃1	
關	kuan1	文读，~公
興	hin1	
興	hin5	高~
兵	pin1	
其	kʰi2	
具	ki5	
典	ten3	
養	hiaŋ3	
兼	kim1	
獸	siu5	
岡	kaŋ1	
冊	tsʰɛ2	
再	tsai5	
寫	sia3	
軍	kun1	
農	loŋ2	
冤	uan1	
冬	taŋ1	
冰	pin1	文读
冰	paŋ1	白读
決	kuat7	
凍	taŋ5	
淨	tsin6	
準	tsun3	
涼	liaŋ2	
減	kiam3	
湊	tsʰau5	
凝	ɡan2	
凱	kʰai3	
凶	hioŋ1	
出	tsʰut7	
函	ham2	
鑿	tsʰak8	
刀	to1	
刁	tiau1	
分	hun1	文读
分	pun1	白读
刊	kʰan1	
刑	hin2	
划	ɡua6	
列	let8	
劉	lau2	
則	tsit7	
剛	kaŋ1	
創	tsʰiaŋ5	
初	tsʰɔ1	
刪	san1	
判	pʰuã5	
利	li6	
別	pet8	
刮	kua2	
到	tau5	迟~
刺	tsʰi5	
刻	kʰit7	文读
刻	kʰat7	白读
剃	tʰi5	
削	siak2	文读，剥~
削	sia2	白读，~皮
前	tsʰen2	文读
前	tsan2	白读
劍	kim5	
剝	pak7	
剪	tsen3	
副	hu5	
割	kua2	
力	lit8	文读
力	lat8	白读
勸	kʰuĩ5	
辦	pan6	
功	koŋ1	
加	ke1	
務	bɔ6	
動	toŋ6	
助	tsɔ6	
勁	kin5	
勞	lau2	
勇	ɡioŋ3	
勉	ben3	
勤	kʰin2	
勾	kau1	
包	pau1	
化	uɛ6	
北	pak7	
匙	si2	
匠	tsʰiõ5	
匪	hui3	
區	kʰi1	
匾	pen3	
十	tsap8	
千	tsʰan1	
升	sin1	
午	ɡɔ3	
半	puã5	
華	hua1	1，中~
華	hua2	2，单念
協	hiap8	
卑	pi1	
卒	tsut7	
卓	to2	
單	tan1	文读，~独
單	tuã1	白读，传~
賣	bie1	
南	lam2	
博	pʰok7	
盧	lɔ2	
卦	kuɛ5	
衛	ɡue6	
印	in5	
即	tset7	
