#漢字	音標	解釋
㞎	pɒ3	～～：屎，或泛指骯髒之物
㩳	tsʰəŋ3	推：～車子
㪗	tʰəu3	再～一道水
㲃	tɕiəu5	擰、拗：把水龍頭～緊
㷮	tsɑu1	花生、瓜子等炒得很脆
㿸	mã6	～痂子：積在皮膚上的污垢
䐬	tsɑu2	肚子餓
䵋	ɸei3	顏色褪去：～色
丁	tin1	
七	tsʰi7	
丈	tʂoŋ6	
三	sã1	
上	ʂoŋ6	
下	xɒ5	(白)
下	ɕiɒ6	(文)
不	pu7	
丐	kai5	
丑	tʂʰəu3	
且	tɕʰiɛ7	
丕	pʰei1	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	pin3	
丞	ʂen2	
丟	tiəu1	
並	pin5	
个	kɒ7	這
丫	ŋɒ1	口～～
丫	iɒ1	
中	tʂəŋ1	當～
中	tʂəŋ5	射～
串	tʂʰø̃5	
丸	ø̃2	
丹	tã1	
主	tɕy3	
乃	lai3	
久	tɕiəu3	
之	tʂʅ1	
乍	tsɒ5	
乎	ɸu2	
乏	ɸɒ5	
乖	kai1	
乘	ʂen2	
九	tɕiəu3	
乞	tɕʰi7	
也	ia3	
乳	y3	
乾	kã1	
乾	tɕiɪ̃2	
亂	lø̃5	(文)
亂	lø̃6	(白)
了	liɑu3	
事	sɿ5	(文)
事	sɿ6	(白)
二	a6	(白)
二	ɛ6	(文)
云	yen2	
互	ɸu5	
五	u3	
井	tsiɑŋ3	
些	sɛ1	
亞	iɒ5	
亡	oŋ2	
交	tɕiɑu1	
交	i7	(白)
亥	xai6	
亦	i7	
亨	xen1	
享	ɕioŋ3	
京	tɕin1	
亭	tin2	
亮	lioŋ5	
人	in2	
仁	in2	
仇	tʂəu2	
今	tɕin1	
介	kai5	
仍	in2	
仕	ʂʅ5	
他	tʰo1	
仗	tʂoŋ5	
付	ɸu5	
仙	siɪ̃1	
代	tai5	(文)
代	tai6	(白)
令	lin5	
以	i3	
仰	ȵioŋ3	
仲	tʂʰəŋ5	
件	tɕiɪ̃6	
任	in2	
任	in5	
份	ɸen5	(文)
份	ɸen6	(白)
仿	xoŋ3	
企	tɕʰi5	
伊	i1	
伍	u3	
伏	ɸu7	
伐	ɸɒ7	
休	ɕiəu1	
伙	xo3	
伢	ŋɒ2	
伯	pa7	(白)
伯	pɒ7	(文)
估	ku1	
伴	pø̃6	
伶	lin2	
伸	ʂen1	
伺	sɿ3	
似	sɿ3	
佃	tiɪ̃5	
但	tã5	(文)
但	tã6	(白)
佈	pu5	
位	ue6	
低	ti1	
住	tɕy5	(文)
住	tɕy6	(白)
佐	tso5	
佑	iəu5	
佔	tʂø̃5	
何	xo2	姓
何	o2	～得了
佘	ʂɒ1	
余	y2	
佛	ɸu7	～像
作	tsəu5	
作	tso7	
你	ȵi3	
佩	pʰei5	
佳	tɕiɒ1	
使	ʂʅ3	
侄	tʂʅ7	
來	lai2	
侈	tʂʰʅ3	
例	li5	
供	kəŋ1	～不應求
供	kəŋ5	供～
依	i1	
侮	u3	
侯	xɛ2	
侵	tɕʰin1	
便	pʰiɪ̃5	～宜
便	pʰiɪ̃6	方～
係	ɕi5	
促	tsʰəu7	
俄	ŋo2	
俊	tsen5	
俏	tɕʰiɑu5	
俗	səu7	
保	pɑu3	
信	sin5	
修	siəu1	
俯	ɸu3	
俱	tɕy5	
俸	ɸəŋ6	
倉	tsʰoŋ1	
個	ko5	
倍	pei5	(文)
倍	pei6	(白)
倒	tɑu3	打～
倒	tɑu5	～水
倔	tɕy7	
倘	tʰoŋ3	
候	xəu6	
倚	i3	
借	tɕia5	
倡	tʂoŋ5	
倦	tʂø̃5	
倧	tsəŋ1	
倪	i2	
倫	len2	
值	tʂʰʅ7	
假	tɕiɒ3	真～
偉	ue3	
偏	pʰiɪ̃1	
做	tsəu5	
停	tin2	
健	tɕiɪ̃5	
側	tsa7	
偵	tʂen1	
偶	ŋəu3	
偷	tʰɛ1	
傀	kʰai3	
傅	ɸu5	
傍	poŋ2	
傑	tsʰɛ7	
傑	tɕʰiɛ7	
傘	sã3	
備	pei6	
傢	tɕiɒ1	
催	tsʰei1	
傲	ŋɑu5	
傳	tʂø̃2	～下來
傳	tʂø̃5	～記
債	tsai5	
傷	ʂoŋ1	
傻	suɒ3	
傾	kʰuen1	(文)
傾	kʰuɑŋ1	(白)
傾	tɕʰin3	(文)～腦殼：點頭
僅	tɕin5	
像	tsioŋ5	
僑	tɕiɑu2	
僕	pʰu7	
僜	tʰen3	間斷不連續，講話打～
僞	ue5	
僧	siɪ̃1	
僱	ku5	
僵	tɕʰioŋ1	
價	tɕiɒ5	
僻	pʰi7	
儀	ȵi2	
儂	ləŋ2	
億	i5	
儉	tɕiɪ̃3	
儒	y2	
償	ʂoŋ2	
儡	lei3	
優	iəu1	
儲	tɕy2	
儼	ȵiɪ̃5	
允	yen3	
元	ø̃2	
兄	ɕiəŋ1	
充	tʂʰəŋ1	
兆	tʂɑu5	
兇	ɕiəŋ1	
先	siɪ̃1	
光	koŋ1	
兌	tei5	
免	miɪ̃3	
兒	ɛ2	讀書音，一般不用
兔	tʰəu5	
兜	təu1	
入	ȵia5	(白)性交
入	y7	(文)
內	lei5	(文)
內	lei6	(白)
全	tsiɪ̃2	
兩	lioŋ3	
八	pɒ7	
公	kəŋ1	
六	ləu7	
兮	ɕi1	
共	kəŋ5	(文)
共	kəŋ6	(白)
兵	pin1	
其	tɕi2	
具	tɕy5	
典	tiɪ̃3	
兼	tɕiɪ̃1	
冀	i6	
冇	mɑu6	沒有
冉	iɪ̃3	
冊	tsʰa7	
再	tsai5	
冒	mɑu5	
冠	kø̃1	衣～
冠	kø̃5	～軍
冤	ø̃1	
冥	min2	
冬	təŋ1	
冰	pin1	
冷	lɑŋ3	
准	tɕyen3	
凌	lin2	
凍	təŋ5	
凜	lin3	
凝	ȵi2	
几	tɕi1	茶～
凡	ɸã2	
凱	kʰai3	
凳	tiɪ̃5	(白)
凳	ten5	(文)
凶	ɕiəŋ1	
凸	kəŋ3	(訓讀)
出	tɕʰy7	
函	xã2	
刀	tɑu1	
刁	tiɑu1	
刃	in5	
分	ɸen1	
切	tsʰɛ7	
刊	kʰã1	
刎	uen3	
刑	ɕin2	
划	ɸɒ2	～船
列	lɛ7	
初	tsʰəu1	
判	pʰø̃5	
別	pɛ7	
刨	pɑu2	～地
利	li5	
刪	sã1	
刮	kuɒ7	
到	tɑu5	
制	tʂʅ5	
刷	sɒ7	
券	tʂʰø̃5	
刻	kʰa7	
刻	kʰɒ7	
剁	to5	(文)
剁	tʂo5	(白)～辣椒
剃	tʰi5	
則	tsa7	
削	sio7	
剌	tsʰɿ5	
前	tsiɪ̃2	
剎	ʂɒ5	極短的時間：一～就走噠
剔	tʰi7	
剖	pʰo1	(文)
剖	pʰei1	(白)
剛	koŋ1	
剜	ø̃2	
剝	po7	
剩	ʂen5	
剪	tsiɪ̃3	
剮	kuɒ3	
副	ɸu5	
割	ka7	
割	ko7	
創	tʂʰoŋ5	
剿	tɕiɑu3	
劃	ɸɒ5	(文)～分
劃	ɸɒ6	(白)～分
劇	tɕy5	
劈	pʰi7	(文)
劈	pʰia7	(白)
劉	liəu2	
劊	kʰai5	
劍	tɕiɪ̃5	
劐	xo7	
劑	tsi5	
力	li7	
功	kəŋ1	
加	tɕiɒ1	
劣	la7	
助	tsʰəu5	
努	ləu3	
劫	tɕʰiɛ7	
勁	tɕin5	
勃	pʰu7	
勇	iəŋ3	
勉	miɪ̃3	
勒	la7	
動	təŋ5	(文)
動	təŋ6	(白)
勘	kʰã1	
務	u5	
勝	ʂen5	
勞	lɑu2	
募	mo5	
勢	ʂʅ5	
勤	tɕin2	
勳	ɕyen1	
勵	li5	
勸	tʂʰø̃5	
勻	yen2	
勾	kɛ1	
勾	kəu5	
勿	u7	
包	pɑu1	
化	ɸɒ5	
北	pa7	
匙	tʂʅ2	
匠	tsioŋ6	
匡	kʰoŋ1	
匪	ɸei3	
匯	ɸei5	(文)
匯	ɸei6	(白)
匹	pʰi7	馬～
匾	piɪ̃3	
匿	ȵi7	
區	tɕʰy1	
千	tɕʰiɪ̃1	
升	ʂen1	
午	u3	
卉	ɸei5	
半	pø̃5	
卑	pei1	
卒	tsɛ7	
卓	tso7	
協	ɕiɛ7	
南	lã2	
博	po7	
卜	pu6	
占	tʂø̃1	～卜
卦	kuɒ5	
卯	mɑu3	
印	in5	
危	ue2	
即	tsi7	
卵	lø̃3	
卷	tʂø̃5	
卸	sɛ7	
卹	si7	
卿	tɕʰin1	
厄	ŋa7	
厚	xɛ6	
厥	tɕʰya7	
厭	iɪ̃5	
厲	li5	
去	kʰɛ5	(白)
去	tɕʰiɛ5	(文)
參	tsʰã1	
又	iəu5	(文)
又	iəu6	(白)
叉	tsʰɒ1	
及	tsi7	
及	tɕʰi7	
友	iəu3	
反	ɸã3	
叔	ʂəu7	
取	tɕʰi3	
受	ʂəu5	
叛	pʰø̃5	
叟	sɛ1	(白)
叟	səu1	(文)
古	ku3	
句	tɕy5	
另	lin5	(文)
另	lin6	(白)
叨	tɑu1	
叩	kʰo1	
只	tʂʅ7	
叫	tɕiɑu5	
召	tʂɑu5	
可	kʰo3	
史	ʂʅ3	
右	iəu5	(文)
右	iəu6	(白)
司	sɿ1	
吃	tɕʰiɒ7	
各	ko7	
吆	iɑu1	
合	xo5	
吉	tɕi7	
吊	tiɑu5	
同	təŋ2	
名	min2	(文)
名	miɑŋ2	(白)
后	xɛ6	
吏	li5	
吐	tʰəu3	
向	ɕioŋ5	
君	tɕyen1	
吝	lin5	
吞	tʰiɪ̃1	(白)
吞	tʰəŋ1	(文)
否	ɸəu3	
含	xã2	
吳	u2	
吵	tsʰɑu3	
吸	tɕʰi7	
吹	tɕʰy1	(白)
吹	tʂʰue1	(文)
吻	uen3	
吼	xɛ2	
吾	u2	
呂	lei3	
呆	tai1	發～
呆	ŋai2	～的：必定，必然
呈	tʂen2	
告	kɑu5	
周	tʂəu1	
味	ue6	
呸	pʰei3	
呼	ɸu2	
命	min6	(文)
命	miɑŋ6	(白)
和	xo2	
和	xo6	跟噠～(自已沒有主見)
咎	tɕiəu5	
咒	tʂəu5	
咣	kuɑŋ1	～當：象聲詞
咨	tsɿ1	
咬	iɑu3	(文)
咬	ŋɒ5	(白)
咯	ko5	雞～～(對兒童用語)
咸	xã2	
咽	iɪ̃5	
哀	ŋai1	
品	pʰin3	
哄	xəŋ3	
哇	uɒ1	打～：腸胃產生的不適感
哇	uɒ5	老～子：烏鴉
哈	xɒ1	～氣
哈	xɒ3	～寶：傻子
哥	ko1	
哪	lɒ3	
哭	kʰu7	
哲	tʂa7	
哽	kɑŋ3	
唇	ɕyen2	
唐	toŋ2	
售	tʂəu2	(白)
售	ʂəu5	(文)
唯	ue2	
唱	tʂʰoŋ5	
啃	kʰiɪ̃3	
啄	tso7	(文)
商	ʂoŋ1	
問	uen5	(文)
問	uen6	(白)
啜	tʂʰo7	哄騙
啞	ŋɒ3	
啟	tɕʰi3	
啼	ti2	
善	ʂø̃5	
喉	xɛ2	
喊	xã3	
喘	tʂʰø̃3	
喚	xø̃5	
喜	ɕi3	
喝	xo7	
喧	siɪ̃1	
喪	soŋ1	
喪	soŋ5	
喬	tɕiɑu2	
單	tã1	
單	ʂø̃5	姓
喵	miɑu1	
喻	y5	
嗅	ɕiəu5	(文)
嗅	ɕiəŋ5	(白)
嗍	so1	吸氣；吮吸
嗓	soŋ3	
嗜	ʂʅ5	
嗣	tsɿ6	
嗤	tʂʰʅ1	
嗦	so1	
嗯	ŋen3	大便時用力
嗲	liɒ1	(訓讀)形容撒嬌時的聲音和样子：～聲～氣
嗽	səu5	
嘆	tʰã5	
嘉	tɕiɒ1	
嘔	ŋɛ2	
嘗	ʂoŋ2	
嘮	lɑu2	
嘴	tsei3	
嘹	liɑu2	
噎	ɛ7	
噓	ɕy1	
器	tɕʰi5	
噴	pʰen1	～水
噴	pʰen5	～香
嚇	xɒ7	
嚴	ȵiɪ̃2	
嚷	ioŋ3	
嚼	tsio7	
囂	ɕiɑu1	
囉	lo1	～嗦
囊	loŋ2	
囑	tʂəu7	
囚	tɕiəu2	
四	sɿ3	
回	ɸei2	
因	in1	
囤	ten5	
囪	tsʰəŋ1	
困	kʰuen5	
固	ku5	
圈	tʂʰø̃1	
圍	ue2	
團	tø̃2	
土	tʰəu3	
在	tsai5	(文)
在	tsai6	(白)
圭	kue1	
地	ti5	(文)
地	ti6	(白)
址	tʂʅ3	
均	tɕyen1	
坎	kʰã3	
坐	tsʰo5	(白)
坐	tso6	(文)
坑	kʰɑŋ1	水～
坡	pʰo1	
坤	kʰuen1	
坦	tʰã3	
坨	to2	量詞：一～泥巴
坪	pin2	
坯	pʰei1	
坳	ŋɑu5	
垂	tʂue2	(文)
垂	tɕyɛ2	(白)
型	ɕin2	
垛	tʰo5	
垻	pɒ5	
埂	ken1	
埃	ŋai2	
埋	mai2	
城	tʂen2	
埠	po6	射～：湘潭縣地名
執	tʂʅ7	
培	pei2	
基	tɕi1	
堂	toŋ2	
堅	tɕiɪ̃1	
堆	tei1	
堡	pɑu3	
堪	kʰã1	
堯	iɑu2	
堰	iɪ̃5	
報	pɑu5	
場	tʂoŋ2	
堵	təu3	
塊	kʰai3	
塋	yen2	
塌	tʰɒ7	
塍	ʂen2	
塑	so7	
塔	tʰɒ7	
塘	toŋ2	
塞	sa7	
填	tiɪ̃2	
境	tɕin5	
墊	tiɪ̃5	(文)
墊	tiɪ̃6	(白)
墓	mo5	
墜	tʂue5	(文)
墜	tɕyɛ5	(白)
增	tsen1	
墟	ɕy1	
墨	mia5	(白)很黑：～黑的
墨	ma7	(文)
墩	ten1	(文)
墩	ten3	(白)樹～子
墳	ɸen2	
墾	kʰiɪ̃3	
壁	pi7	(文)
壁	pia7	(白)
壅	uəŋ5	掩藏，遮蓋
壓	ŋɒ7	
壕	xɑu2	
壘	lei3	
壞	kai3	(訓讀)(限於指人)
壞	ɸai5	(文)
壞	ɸai6	(白)
壠	ləŋ3	
壤	ioŋ3	
壩	pɒ5	
士	ʂʅ5	
壬	in2	
壯	tʂoŋ5	
壺	ɸu2	
壽	ʂəu5	(文)
壽	ʂəu6	(白)
复	ɸu7	
夏	ɕiɒ5	姓
夏	ɕiɒ6	～天
夕	si7	
外	ai5	(文)
外	ai6	(白)
多	to1	
夜	iɒ6	
夠	kəu5	
夥	xo3	
大	tai6	
天	tʰiɪ̃1	
太	tʰai5	
夫	ɸu1	
央	ioŋ1	
夷	i2	
夾	kɒ7	
奇	tɕi2	
奈	lai5	
奉	ɸəŋ5	
奎	kue2	
奏	tsʰəu5	
契	tɕʰi5	
奔	pen1	(文)跑；～頭
奔	pen2	(白)跑
奔	pen5	(文)～頭
套	tʰɑu5	
奚	ɕi1	
奠	tiɪ̃5	
奢	ʂɒ1	
奧	ŋɑu5	
奪	to7	
奮	ɸen5	
女	ly3	
奴	ləu2	
奶	lai3	
奸	kã1	
好	xɑu3	～壞
好	xɑu5	喜～
如	y2	
妃	ɸei1	
妄	oŋ5	
妓	tɕʰi5	
妖	iɑu1	
妙	miɑu5	
妥	tʰo3	
妨	xoŋ2	
妹	mei5	(文)
妹	mei6	(白)
妻	tsʰi1	
妾	tsʰɛ5	
姊	tsɿ3	
始	ʂʅ3	
姐	tɕia3	
姑	ku1	
姓	sin5	
委	ue3	
姘	pʰin1	
姚	iɑu2	
姜	tɕioŋ1	
姦	kã1	
姨	i2	
姬	tɕi1	
姻	in1	
姿	tsɿ1	
威	ue1	
娃	uɒ2	
娘	ȵioŋ2	
娛	y2	
娠	ʂen1	
娩	miɪ̃3	
娭	ŋai1	
娶	tɕʰi3	
婆	po2	
婊	piɑu3	
婚	ɸen1	
婢	pi1	
婦	ɸu6	
婿	si7	
媒	mei2	
媚	mei2	
媳	si7	
媽	mɒ1	
嫁	kɒ5	
嫁	tɕiɒ5	(文)
嫂	sɑu3	
嫌	ɕiɪ̃2	
嫖	pʰiɑu2	
嫡	ti7	
嫩	len5	(文)
嫩	len6	(白)
嬉	ɕi1	
嬌	tɕiɑu1	
嬰	in1	
嬸	ʂen3	
孀	soŋ1	
孃	ȵioŋ2	
子	tsɿ3	
孔	kʰəŋ3	
孕	in5	
孕	yen5	
字	tsɿ5	(文)
字	tsɿ6	(白)
存	tsen2	
孝	xɑu5	(白)
孝	ɕiɑu5	(文)
季	tɕi5	
孤	ku1	
孩	xai2	
孫	sen1	
學	xo5	(白)～話
學	ɕio7	(文)
孽	ȵiɛ7	
宅	tsʰa7	
宇	y3	
守	ʂəu3	
安	ŋã1	(文)
安	ŋø̃1	(白)
宋	səŋ5	
完	ø̃2	
宏	xəŋ2	
宗	tsəŋ1	
官	kø̃1	
宙	tʂəu5	
定	tin5	(文)
定	tin6	(白)
宛	ø̃3	
宜	ȵi2	
客	kʰa7	
宣	siɪ̃1	
宦	xø̃5	
宮	kəŋ1	
宰	tsai3	
害	xai5	(文)
害	xai6	(白)
宴	iɪ̃5	
宵	siɑu1	
家	kɒ1	(白)
家	tɕiɒ1	(文)
容	iəŋ2	
宿	siəu5	星～
宿	səu7	
寂	tɕʰi7	
寄	tɕi5	
寅	in2	
密	mi7	
寇	kʰəu5	
寐	mei5	
寒	xã2	
寓	y5	
寞	mo5	
察	tsʰɒ7	
寡	kuɒ3	
寢	tɕʰin3	
寧	ȵi2	安～
寨	sai5	
審	ʂen3	
寫	ɕia3	
寬	kʰø̃1	
寮	liɑu2	
寵	tʂʰəŋ3	
寶	pɑu3	
寸	tsʰen5	
寺	tsɿ5	(文)
寺	tsɿ6	(白)
封	ɸəŋ1	
射	ʂɒ5	
將	tsioŋ5	大～
專	tʂø̃1	
尊	tsen1	
尋	tsin2	
對	tei5	
導	tɑu5	
小	siɑu3	
少	ʂɑu3	多～
少	ʂɑu5	～年
尖	tsiɪ̃1	
尚	ʂoŋ6	
尤	iəu2	
就	tsiəu6	
尸	ʂʅ1	
尹	yen3	
尺	tʂʰʅ7	(文)
尺	tʂʰɒ7	(白)
尼	ȵi2	
尾	ue3	
尿	ʂʅ3	
尿	ȵiɑu6	
屁	pʰi5	
屄	pɛ7	女陰
居	tɕy1	
屆	kai5	
屈	tɕʰy7	
屍	ʂʅ1	
屏	pin2	
屐	tɕi1	
屑	sɛ7	
屑	ɕiɛ7	
展	tʂø̃3	
屙	o1	
屜	tʰi5	
屢	ləu3	
層	tsen2	
履	li3	
屬	ʂəu7	
屯	ten2	
山	sã1	
岐	tɕi2	
岔	tsʰɒ5	
岡	koŋ1	
岳	io7	
岸	ŋã5	(文)
岸	ŋø̃5	(白)
峯	ɸəŋ1	
島	tɑu3	
崇	tʂəŋ2	
崑	kʰuen1	
崔	tsʰei1	
崖	ŋai2	(白)
崗	koŋ1	
崙	len2	
嵌	kʰã1	
嵩	səŋ1	
嶺	liɑŋ3	
嶽	io7	
川	tʂʰø̃1	
州	tʂəu1	
巡	sen1	
巢	tsɑu2	
工	kəŋ1	
左	tso3	
巨	tɕy5	
巫	u1	
差	tsʰɒ1	～別
差	tsʰɒ1	參～
差	tsʰai1	出～
差	ʂo5	(訓讀)差；長得不好看
己	tɕi3	
已	i3	
巳	tsɿ6	
