#漢字	音標	解釋
□	uɑʔ5	⿰咢勿 嘔吐
一	iʔ5	
七	tɕʰiʔ5	
万	uæ̃4	
丈	tsɑŋ4	
三	sæ̃1	
上	sɑŋ4	
上	sɑŋ3	上聲
下	ɕia4	
不	pəʔ5	
丑	tsʰɤɯ3	
且	ɕi3	
世	sɿ4	
丟	tiɤɯ1	
並	pin4	
个	kʊ4	
丫	ia1	
中	tsuŋ1	
串	tsʰʊ̃4	
丸	ʊ̃2	
主	tsu3	
久	tɕiɤɯ3	
之	tsɿ1	
乍	tsa4	
乖	kuɛ1	
乙	iʔ5	
九	tɕiɤɯ3	
也	ɛ3	
乳	lu3	
乾	kæ̃1	
亂	lʊ̃4	
了	liɔ3	
予	y3	
二	ɚ4	
于	y2	
五	u3	
井	tɕin3	
些	ɕi1	
亞	ia4	
亡	uɑŋ2	
交	tɕiɔ1	
亦	iʔ5	
京	tɕin1	
亭	tʰin2	
亮	liɑŋ4	
人	ɻən(ən)2	
什	səʔ5	
仁	ɻən(ən)2	
仄	tsəʔ5	
仇	tsʰɤɯ2	
今	tɕin1	
仍	ɻən(ən)2	
仔	tsɿ3	仔細
他	tʰa1	
仗	tsɑŋ4	
付	fu4	
仙	ɕiɪ̃1	
代	tiɛ4	
令	lin4	
以	i3	
仰	iɑŋ3	
件	tɕiɪ̃4	
份	fən4	
仿	fɑŋ3	
伍	u3	
伙	xʊ3	
伴	pʊ̃2	
伸	sən1	
伺	tsʰɿ4	
佃	tiɪ̃4	
位	uei4	
低	ti1	
住	tsu4	
佔	tɕiɪ̃4	
何	xʊ2	
余	y2	
佛	fəʔ5	
作	tsɑʔ5	
你	li3	
佰	pʊʔ5	
使	sɿ3	
來	liɛ2	
例	lei4	
供	kuŋ1	
供	kuŋ4	
依	i1	
便	piɪ̃4	
促	tsʰuʔ5	
俊	tɕyn4	
俗	suʔ5	
保	pɔ3	
信	ɕin4	
修	ɕiɤɯ1	
俸	fuŋ4	
倉	tsʰɑŋ1	
個	kʊ4	
倍	pei4	
倏	sʊ̃3	很快的時候
倒	tɔ3	
倒	tɔ4	
倚	i3	
借	tɕi4	
倦	tɕyɪ̃4	
值	tsəʔ5	
假	tɕia3	
假	tɕia4	
偌	ɻɑʔ5	
偏	pʰiɪ̃1	
偕	ɕiɛ2	
做	tsʊ4	
停	tʰin2	
偶	(ɻ)ɤɯ3	
偷	tʰɤɯ1	
傘	sæ̃3	
備	pei4	
傢	tɕia1	
催	tsʰei1	
傲	ɔ4	
傳	tsʰʊ̃2	
債	tɕiɛ4	
傷	sɑŋ1	
傾	tɕʰiuŋ1	
僕	pʰuʔ5	
僱	ku4	
價	tɕia4	
儉	tɕiɪ̃4	
兀	əʔ5	
允	yn3	
元	yɪ̃2	
兄	ɕiuŋ1	
兆	tsɔ4	
兇	ɕiuŋ1	
先	ɕiɪ̃1	
光	kuɑŋ1	
兌	tei4	
免	miɪ̃3	
兒	ɚ2	
兔	tʰu4	
兜	tɤɯ1	
入	ɻəʔ5	
內	lei4	
全	tɕʰyɪ̃2	
兩	liɑŋ3	
八	pæʔ5	
公	kuŋ1	
六	luʔ5	
共	kuŋ4	
兵	pin1	
具	tɕy4	
典	tiɪ̃3	
冊	tsʰəʔ5	
再	tɕiɛ4	
冗	ɻuŋ3	
冤	yɪ̃1	
冥	min3	
冬	tuŋ1	
冰	pin1	
冷	lən3	
准	tsuən3	
凍	tuŋ4	
几	tɕi3	
出	tsʰuəʔ5	
刀	tɔ1	
刁	tiɔ1	
分	fən1	
切	tɕʰiɪʔ5	
刑	ɕin2	
划	xua2	
初	tsʰʊ1	
判	pʰʊ̃4	
別	piɪʔ5	
利	lei4	
刮	kuæʔ5	
到	tɔ4	
制	tsɿ4	
刷	suæʔ5	
券	ɕyɪ̃4	
刺	tsʰɿ4	
刻	kʰəʔ5	
剃	tʰi4	
剉	tsʰʊ4	
削	ɕiɑʔ5	
前	tɕʰiɪ̃2	
剔	tʰiʔ5	
剛	kɑŋ1	
剜	ʊ̃1	
剝	pɑʔ5	
剩	tsʰən4	
副	fu4	
割	kʊʔ5	
創	tsʰuɑŋ4	
剷	tsʰæ̃3	
劈	pʰiʔ5	
劚	tsuʔ5	
力	liʔ5	
功	kuŋ1	
加	tɕia1	
助	tsu4	
努	lʊ3	
劫	tɕiɪʔ5	
勁	tɕin4	
勇	iuŋ3	
勉	miɪ̃3	
勒	ləʔ5	
動	tuŋ4	
務	u4	
勝	sən4	
勞	lɔ2	
募	mʊ4	
勢	sɿ4	
勤	tɕʰin2	
勸	tɕʰyɪ̃4	
勺	sɑʔ5	
勻	yn1	
勾	kɤɯ1	
包	pɔ1	
匆	tsʰuŋ1	
化	xua4	
北	pʊʔ5	
匙	tsʰɿ2	
匠	tɕiɑŋ4	
匪	fei3	
匯	xuei4	
匹	pʰiʔ5	
匾	piɪ̃3	
區	tɕʰy1	
十	səʔ5	
千	tɕʰiɪ̃1	
升	sən1	
午	u3	
半	pʊ̃2	
卑	pei1	
卓	tsuɑʔ5	
南	læ̃2	
卜	pʊʔ5	
卡	kʰa3	
