#漢字	音標	解釋
#簡稱	/	湖州
#全稱	/	湖州話
#聲母	/	
#韻母	/	
#聲調	/	44 1 1a 陰平 ꜀,12 2 1b 陽平 ꜁,42 3 2a 陰上 ꜂,31 4 2b 陽上 ꜃,35 5 3a 陰去 ꜄,24 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇
#版本	/	2022-01-05
#錄入人	/	Vô Danh
#參考資料	/	
#說明	/	
底	tiᶽ3	
店	ti5	
庚	kã1	
府	fu3	
度	dəu6	
座	zəu4	
庫	kʰəu5	
庭	din2	
庵	ʔᴇ1	
庶	sɿ5	
康	kʰɔ̃1	
庸	ɦioŋ2	
廁	tsʰɿ5	～所
廂	ɕiã1	
廈	sa5	大～
廈	ʔia5	文
廈	ʔo5	白
廉	lɦi2	
廊	lɦɔ̃2	
廓	kʰoʔ7	
廖	lɦiɔ2	
廟	miɔ5	
廠	tsʰɔ̃3	
廢	fiᶽ5	
廣	kɔ̃3	
廳	tʰin1	
廷	din2	
建	tɕi5	
弄	noŋ5	
弊	biᶽ2	
式	səʔ7	
弓	koŋ1	
引	ʔin3	
弗	fəʔ7	
弘	ɦoŋ2	
弟	diᶽ4	
弦	ɦi2	
弱	ȵɦiəʔ8	
弱	zaʔ8	
張	tsã1	
強	tɕʰiã3	勉～
強	dʑiã2	～大
強	dʑiã4	倔～
弼	biəʔ8	
彈	dᴇ2	～琴
彌	mɦiᶽ2	
彎	ʔuᴇ1	
形	ɦin2	
彩	tsʰei3	
彪	piɔ1	
彬	pin1	
彭	bã2	
影	ʔin3	
彷	fɔ̃3	
役	ɦioʔ8	
彼	pei1	
往	ʔuɔ̃3	
征	tsən1	
待	dei4	
很	hən3	
律	lɦiəʔ8	
後	ʔiʏ3	
徐	ʑiᶽ2	
徑	tɕin5	
徒	dəu2	
得	təʔ7	
徙	ɕiᶽ3	
從	tsʰoŋ1	～容
從	dzoŋ2	跟～
御	ȵiᶽ5	
復	foʔ7	
循	ʑin2	
微	viᶽ2	
徵	tsən1	
德	təʔ7	
徹	tsʰəʔ7	
徽	huei1	
心	ɕin1	
必	piəʔ7	
忌	dʑiᶽ6	
忍	zən4	
忍	ȵin3	眼泪不流，要～牢
忒	tʰəʔ7	
忖	tsʰən1	
志	tsɿ5	
忘	mɔ̃5	白
忘	vɔ̃6	
忙	mɦɔ̃2	
忠	tsoŋ1	
快	kʰua5	
念	ȵi5	
忽	huəʔ7	
忿	vən4	
怒	nəu5	
怕	pʰa5	文讀
怕	pʰo5	
怖	pu5	
怠	dei2	
急	tɕiəʔ7	
性	ɕin5	
怨	ʔi5	
怪	kua5	
怯	tɕʰiaʔ7	
恃	zɿ4	
恆	ɦən2	
恐	kʰoŋ3	
恕	sɿ5	
恢	huei1	
恤	ɕiəʔ7	
恥	tsʰɿ3	
恨	ʔən5	
恩	ʔən1	
恭	koŋ1	
息	ɕiəʔ7	
恰	tɕʰiaʔ7	
悄	tɕʰiɔ3	
悅	ɦiəʔ8	
悉	ɕiəʔ7	
悔	huei3	
悟	ŋəu5	
悠	ʔiʏ1	
患	ʔuᴇ5	
悲	pei1	
悶	mən1	～一～
悶	mən5	愁～
情	ʑin2	
惑	ɦuəʔ8	
惜	ɕiəʔ7	
惟	viᶽ2	
惠	ʔuei5	
惡	ʔoʔ7	可～
惡	ɦoʔ8	善～
惰	dəu2	
惱	nɔ3	
想	ɕiã3	
惹	dza4	
愁	dʑiʏ2	
愈	ɦiᶽ2	
意	ʔiᶽ5	
愚	ȵɦiᶽ2	
愛	ʔei5	
感	kᴇ3	
愣	lɦən2	
愧	ɡuei6	
慈	dzɿ2	
態	tʰei5	
慌	hɔ̃1	
慎	zən6	
慕	mo5	
慘	tsʰᴇ3	
慚	dzᴇ2	
慢	mᴇ5	
慣	kuᴇ6	
慧	ʔuei5	
慨	kʰei5	
慮	liᶽ5	
慰	ʔuei5	
慶	tɕʰin5	
慷	kʰɔ̃3	
慾	ɦioʔ8	
憂	ʔiʏ1	
憋	piəʔ7	
憎	tsən1	
憑	bin2	
憠	tɕiəʔ7	
憤	vən4	
憫	min4	
憲	ɕi5	
憶	ʔiᶽ5	
憾	ɦᴇ2	
懂	toŋ3	
懇	kʰən3	
懈	ɡa4	松～
應	ʔin1	～当
應	ʔin5	～对
懊	ʔɔ1	～惱
懊	ʔɔ5	～悔
懲	dzən2	
懵	moŋ3	
懶	lᴇ3	
懷	ɦua2	文
懷	ɦuᴇ2	
懸	ɦi2	
懼	dʑiᶽ6	
戀	lɦi2	
戇	ɡɔ̃4	～大：有点傻子
戈	kəu1	
戊	vu6	
戌	ɕiəʔ7	
戎	dzoŋ2	
成	dzən2	
我	ŋəu3	文
我	ŋ̩4	白
戒	ka5	白
戒	tɕia5	文
或	ɦuəʔ8	
戚	tɕʰiəʔ7	
戟	tɕiəʔ7	
截	ʑiəʔ8	
戰	tsᴇ5	
戲	ɕiᶽ5	
戳	tsʰoʔ7	
戶	ʔu3	
房	vɔ̃2	
所	səu3	
扁	pi3	
扇	sᴇ5	
手	ɕiʏ3	
才	dzei2	
打	tã3	
托	tʰoʔ7	
扛	kɔ̃1	～东西
扛	kɔ̃5	～子
扣	kʰøʏ5	
扭	ȵiʏ1	
扮	pᴇ5	
扯	tsʰa3	
扶	vu2	
批	pʰiᶽ1	
扼	ŋɦəʔ8	
扼	ŋɦaʔ8	白
承	zən2	
技	dʑiᶽ6	
抄	tsʰɔ1	
把	pa3	文讀，～握
把	po3	～守，一～
抓	tsa3	文讀，～一把
抓	tsɔ3	～了一把
抓	tso1	～牌
投	døʏ2	
抖	tøʏ3	
抗	kʰɔ̃5	
折	tsəʔ7	
披	pʰiᶽ1	
抱	bɔ4	
抵	tiᶽ3	
抹	mɦaʔ8	
押	ɦaʔ8	
抽	tɕʰiʏ1	
抿	min4	
拆	tsʰaʔ7	
拇	mo3	
拈	ȵi1	
拉	la1	
拋	pʰɔ1	
拌	bᴇ4	
拍	pʰaʔ7	
拎	lin1	
拐	kua3	～杖
拒	dʑiᶽ6	
拔	baʔ8	
拖	tʰəu1	
拘	tɕiᶽ1	
拙	tsəʔ7	
拚	pʰin1	
招	tsɔ1	
拜	pa5	
括	kuaʔ7	
拯	tsən1	
拱	koŋ3	
拳	dʑi2	
拼	pʰin1	
拽	ɦiəʔ8	
拾	zəʔ8	
拿	nɦa2	文讀
拿	nɦo2	
持	zɿ4	
指	tsɿ3	
按	ʔᴇ3	
挑	tʰiɔ1	～東西，～起來
挑	tʰiɔ3	～選
挖	ʔuaʔ7	
挨	ʔa1	
挪	na3	
振	tsən5	
挺	tʰin3	肚皮～
挽	ʔuᴇ3	
挾	kaʔ7	
捅	tʰoŋ3	～破了
捉	tsoʔ7	
捎	sɔ1	
捏	ȵɦiaʔ8	
捐	tɕi1	
捧	pʰoŋ3	
捨	so3	
捱	ʔa1	～打，～駡
捱	ŋa5	～辰光：故意拖時間
捲	tɕi3	
捷	ʑiəʔ8	
掀	ɕin1	
掃	sɔ3	～地
掇	təʔ7	
授	ʑiʏ6	
掉	diɔ6	
掌	tsɔ̃3	
掏	dɔ2	
掐	kʰaʔ7	
排	ba2	
掗	ʔa1	強給
掘	dʑiəʔ8	
掠	liaʔ8	
採	tsʰei3	
探	tʰᴇ5	
接	tɕiəʔ7	
控	kʰoŋ3	
推	tʰei1	
掩	ʔi1	
措	tsʰəu5	
掬	tɕioʔ7	
掮	dʑi2	
摜	ɡuᴇ6	～倒：踤倒
揀	kᴇ3	
揀	tɕi3	文
揈	hoŋ1	～出去：驱逐
揉	ʑiʏ2	
揉	nɦəu2	
描	mɦmiɔ2	
提	diᶽ2	
插	tsʰaʔ7	
揖	ʔiəʔ7	
揚	ɦiã2	
換	ʔuᴇ5	
握	ʔoʔ7	
揢	kʰa5	～魚：抓魚
揢	kʰaʔ7	
揩	kʰa1	
揭	tɕiəʔ7	
揮	huei3	
援	ɦi2	
損	sən3	
搓	tsʰəu1	
搖	ɦiɔ2	
搛	tɕiəʔ7	～菜
搜	ɕiʏ1	
搞	kɔ3	
搡	soŋ3	：推
搧	sᴇ5	
搨	tʰaʔ7	
搬	pᴇ1	
搭	taʔ7	～dʑi讲：对他说
搶	tɕʰiã3	
搽	dzo2	
搾	tso5	
搿	ɡəʔ8	～牢：抱牢
摘	tsəʔ7	
摘	tsaʔ7	
摟	løʏ3	抱
摩	mɦo2	
摸	moʔ8	
摹	mɦo2	～仿
摺	tsəʔ7	～断
撇	pʰiəʔ7	
撈	lɔ1	
撈	liɔ1	～麵
撐	tsʰã1	
撒	sa3	
撓	ȵɦiɔ2	
撕	sɿ1	
撚	ȵi1	
撞	dzoŋ6	
撣	tᴇ3	
撤	tsʰəʔ7	
撥	pəʔ7	
撩	liɔ5	
撫	bu2	～順毛：摩挲、用手～貓的背，痛嘚末～～
撫	fu3	
撬	dʑiɔ4	
撮	tsəʔ7	
撲	pʰoʔ7	
撳	tɕʰin5	
擁	ʔioŋ1	
擇	dzəʔ8	
擊	tɕiəʔ7	
擋	tɔ̃3	
操	tsʰɔ1	
擎	dʑin6	
擒	dʑin2	
擔	tᴇ1	～任
擔	tᴇ5	挑～
擔	tᴇ1	～門關上：把
擘	paʔ7	採摘，掰
據	tɕiᶽ5	
擡	dei2	
擦	tsʰaʔ7	
擬	ȵɦiᶽ2	
擱	koʔ7	
擴	kʰoʔ7	
擺	pa3	
擾	zɔ4	
攀	pʰᴇ1	
攏	loŋ3	
攔	lɦᴇ2	
攙	tsʰᴇ1	
攜	ɦiᶽ2	
攝	səʔ7	
攢	tsᴇ5	
攤	tʰᴇ1	
攪	kɔ3	
攪	ɡɔ6	～亂：糾纏在一起
攬	lᴇ5	
支	tsɿ1	
收	ɕiʏ1	
改	kei3	
攻	koŋ3	
放	fɔ̃5	
政	tsən5	
故	kəu5	
效	ʔiɔ5	
敍	ʑiᶽ4	
敏	min4	
救	tɕiʏ5	
敗	ba6	
教	kɔ5	～書。白
教	tɕiɔ1	～書。文
教	tɕiɔ5	～育。文
敝	biᶽ2	
敞	tsʰɔ̃3	
敢	kᴇ3	
散	sᴇ3	鞋子帶～開了，分～
敦	tən1	
敬	tɕin5	
敲	kʰɔ1	
整	tsən3	
敵	diəʔ8	
敷	fu1	
數	səu3	動詞
數	səu5	名詞
斂	di3	
文	vən2	
斑	pᴇ1	
斗	tøʏ3	
料	liɔ5	
斛	ɦoʔ8	
斜	ʑia2	
斟	tsən1	
斥	tsʰəʔ7	
斧	fu3	
斬	tsᴇ3	
斯	sɿ1	
新	ɕin1	
斷	tᴇ3	決～
斷	dᴇ4	～絕
方	fɔ̃1	
於	ʔiᶽ1	
施	sɿ1	
旁	bɔ̃2	
旋	ʑi6	
族	zoʔ8	
旗	dʑiᶽ2	
既	tɕiᶽ5	
日	zəʔ8	
日	ȵɦiəʔ8	白
旦	tᴇ5	
旨	tsɿ3	
早	tsɔ3	
旬	ʑin6	
旺	ʔiᶽɔ̃5	火～
旺	ʔuɔ̃5	兴～
昂	ŋɦɔ̃2	
昆	kʰuən1	
昌	tsʰɔ̃1	
明	mɦin2	
昏	huən1	
易	ʔiᶽ5	交～
昔	ɕiəʔ7	
星	ɕin1	白
映	ʔin5	文
映	ʔiã1	放～机。白
春	tsʰən1	
昧	mei5	
昨	dzoʔ8	
昭	tsɔ1	
是	zɿ4	
是	zəʔ8	～n，～ŋ，～dʑi：你，我，他
時	zɿ2	
晃	ʔuã3	～来～去：摇动
晃	hɔ̃3	
晉	tɕin5	
晌	ɕiã3	
晏	ʔᴇ5	白
晏	ʔi5	文
晚	vᴇ4	
晝	tɕiʏ5	
晦	huei5	
晨	zən2	
普	pʰu3	
景	tɕin3	
晴	ʑin2	
智	tsɿ5	
暈	ɦin2	
暑	sɿ3	～假
暖	nᴇ3	
暗	ʔᴇ5	
暢	tsʰã5	
暫	dzᴇ6	
暮	mo5	
暴	bɔ6	
曆	lɦiəʔ8	
曉	ɕiɔ3	
曝	bɔ6	
曠	kʰɔ̃5	
曬	so5	
曰	ɦiəʔ8	
曲	tɕʰioʔ7	
更	kən5	～換，～加。文
更	kã1	五～。白
書	sɿ1	讀～
曹	zɔ2	
曾	tsən1	姓～
曾	dzən2	～今
替	tʰiᶽ5	
最	tsei5	
會	kʰuei5	～計    kuei
會	ʔuei5	開～，～不～
月	ɦiəʔ8	
有	ʔiʏ3	
朋	bã2	
服	voʔ8	
朔	soʔ7	
朗	lɦɔ̃2	
望	mɔ̃5	白
望	vɔ̃6	文
朝	tsɔ1	
朝	dzɔ2	
期	dʑiᶽ2	
木	moʔ8	
未	miᶽ5	白讀
未	viᶽ6	
末	mɦəʔ8	
本	pən3	
札	tsaʔ7	
朱	tsɿ1	
朽	ɕiʏ5	
杈	tsʰo1	
杉	sᴇ1	
李	liᶽ3	
杏	ʔã3	
材	dzei2	
村	tsʰən1	
杖	dzã4	
杜	dəu4	
杞	tɕʰiᶽ3	
束	soʔ7	
杭	ɦɔ̃2	
杯	pei1	
東	toŋ1	
杳	ʔiɔ3	
杷	bo2	
松	soŋ1	
板	pᴇ3	
枇	biəʔ8	
枉	ʔuɔ̃1	
枉	ʔuɔ̃3	
析	ɕiəʔ7	
枕	tsən3	
林	lɦin2	
枚	mei3	
果	kəu3	
枝	tsɿ1	
枯	kʰəu1	
架	ka5	白
架	tɕia5	文
柄	pin5	
柏	paʔ7	
某	møʏ3	
柑	kᴇ1	
染	ȵi3	
柔	ʑiʏ2	
柚	ʔiʏ5	
柞	tso5	
查	dza2	
查	dzo2	～查
柩	dʑiʏ6	
柬	tɕi3	
柱	dzɿ4	
柳	løʏ3	
柴	za2	
柵	saʔ7	
栓	sᴇ1	
栗	lɦiəʔ8	
校	tɕiɔ3	～對
校	tɕiɔ5	上～
校	ʔiɔ5	學～
株	tsɿ1	
核	ɦəʔ8	
根	kən1	
格	kəʔ7	
格	kaʔ7	白
栽	tsei1	
栿	voʔ8	
桂	kuei5	
桃	dɔ2	
案	ʔᴇ5	
桌	tsoʔ7	
桐	doŋ2	
桑	sɔ̃1	
桓	ɦuᴇ2	
桶	doŋ4	
桿	kᴇ3	
梁	lɦiã2	
梅	ɦmei2	
梓	tsɿ3	
梔	tsɿ1	
梗	kã3	～子
條	diɔ2	
梢	sɔ1	
梧	ŋɦəu2	
梨	lɦiᶽ2	
梭	səu1	織布～
梯	tʰiᶽ1	
械	ɦiaʔ8	
梳	sɿ1	
梳	səu1	～粧臺
棄	tɕʰiᶽ5	
棉	ɦmi2	
棋	dʑiᶽ2	
棍	kuən3	
棒	bɔ̃4	白
棒	boŋ4	
棕	tsoŋ1	
棗	tsɔ3	
棚	bã2	
棟	toŋ5	
棠	dɔ̃2	
棧	zᴇ4	
森	sən1	
棲	tɕʰiᶽ1	
棵	kʰəu1	
棺	kuᴇ1	
椅	ʔiᶽ3	
植	dzəʔ8	
椏	ʔo1	
椒	tɕiɔ1	
椿	tsʰən1	
楂	tso1	
楊	ɦiã2	
楓	foŋ1	
楚	tsʰəu3	
楝	di5	
楣	ɦmei2	
楦	ɕi5	
業	ȵɦiəʔ8	
極	dʑiəʔ8	
楷	kʰa3	
概	kei5	
榆	ɦiᶽ2	
榜	pɔ̃3	
榧	fiᶽ3	
榮	ɦioŋ2	
榻	tʰaʔ7	
構	køʏ5	
槌	dzei2	
槍	tɕʰiã1	
槧	tɕʰi1	～腳：修～
槳	tɕiã3	
槽	zɔ2	
樂	lɦoʔ8	快～
樂	ɦioʔ8	音～
樓	lɦøʏ2	
標	piɔ1	
樟	tsɔ̃1	
模	mɦo2	～子，～範
樣	ʔiã5	
樵	dʑiɔ2	
樸	pʰoʔ7	
樹	zɿ6	
橄	kᴇ3	
橈	ȵɦiɔ2	
橋	dʑiɔ2	
橘	tɕiəʔ7	
橙	dzən2	
橙	dzã2	～子。白
橛	dʑiəʔ8	
機	tɕiᶽ1	
橡	ʑiã4	
橢	tʰəu5	
橫	ɦuã2	～直，蛮～
檀	dᴇ2	
檁	lɦən2	
檗	paʔ7	
檢	tɕi3	
檳	pin1	
櫃	dʑiᶽ6	白讀
櫃	ɡuei6	
櫓	ləu3	
櫻	ʔin1	文
櫻	ʔã1	～桃。白
欄	lɦᴇ2	
欖	lᴇ5	
欠	tɕʰi5	
次	tsʰɿ5	
欣	ɕin1	
欲	ɦioʔ8	
欺	tɕʰiᶽ1	
欽	tɕʰin1	
款	kʰuᴇ3	
歇	ɕiəʔ7	
歉	tɕʰi1	
歌	kəu1	
歎	tʰᴇ5	
歐	ʔiʏ1	
歡	huᴇ1	
止	tsɿ3	
正	tsən1	～月
正	tsən5	～式
此	tsʰɿ3	
步	bu6	
武	vu4	
歪	hua1	
歲	sei5	
歷	lɦiəʔ8	
歸	kuei1	
死	sɿ3	
殃	ʔiã1	
殆	dei2	
殉	ʑin6	
殊	dzɿ2	
殖	dzəʔ8	
殘	dzᴇ2	
殮	di3	
殲	tɕi1	
段	dᴇ6	
殷	ʔin1	
殺	saʔ7	
殼	kʰoʔ7	
殿	di6	
毀	huei3	
毅	ȵiᶽ5	
毆	ʔiʏ1	
母	mo3	文
母	m̩3	
每	mei3	
毒	doʔ8	
比	piᶽ3	
毛	ɦmɔ2	
毫	ɦɔ2	
毯	tʰᴇ3	
氈	tsᴇ1	
氏	zɿ6	
民	mɦin2	
氣	tɕʰiᶽ5	
水	sɿ3	白
水	sei3	文
永	ʔioŋ3	
氽	tʰən3	
汀	tʰin3	
汁	tsəʔ7	
求	dʑiʏ2	
汗	ʔᴇ5	
汝	zɿ4	
汞	koŋ5	
江	kɔ̃1	白
江	tɕiᶽɔ̃1	姓。文
池	dzɿ2	
污	ʔu1	
汪	ʔuɔ̃1	
汴	bi6	
決	tɕiəʔ7	
汽	tɕʰiᶽ5	
沂	ȵɦiᶽ2	
沃	ʔɔ5	
沃	ʔoʔ7	
沈	dzən2	～下
沈	sən3	姓～
沒	mɦəʔ8	
沓	daʔ8	
沙	so1	白
沛	pʰei5	
沫	mɦəʔ8	
河	ɦəu2	
油	ɦiʏ2	
治	dzɿ6	
沼	tsɔ1	
沾	tsᴇ5	
沿	ɦi2	
況	hɔ̃5	
泅	ʑiʏ2	游水
泉	ʑi2	
泊	pʰaʔ7	
泌	piᶽ5	
泔	kᴇ1	～腳水
法	faʔ7	
泛	fᴇ5	
泡	pʰɔ3	
波	pu1	
泣	tɕʰiəʔ7	
泥	ȵɦiᶽ2	
注	tsɿ5	
泰	tʰa5	
泳	ʔioŋ3	
洋	ɦiã2	
洗	ɕiᶽ3	
洛	lɦoʔ8	
洞	doŋ6	
津	tɕin1	
洪	ɦoŋ2	
洲	tɕiʏ1	
活	ɦuəʔ8	
洽	ɦiaʔ8	
派	pʰa5	
流	lɦøʏ2	
浙	tsəʔ7	
浜	pã1	
浦	pʰu3	
浩	ɦɔ2	
浪	lɔ̃5	
浮	vu2	白
浮	vøʏ2	文
浴	ɦioʔ8	
海	hei3	
浸	tɕin5	
消	ɕiɔ1	
涉	dzəʔ8	
涌	ʔioŋ3	～泉
涕	tʰiᶽ1	
涮	səʔ7	
涮	saʔ7	
液	ʔiəʔ7	
涼	lɦiã2	
淆	ɦiɔ2	
淋	lɦin2	
淑	zoʔ8	
淘	dɔ2	
淚	lei5	
淡	dᴇ4	
淨	ʑin6	
淪	lɦən2	
淫	ɦin2	
淮	ɦua2	
深	sən1	
淵	ʔi1	
混	huən5	～～日脚
混	ʔuən3	～沌
混	ʔuən5	相～
淹	ʔi1	
淺	tɕʰi3	
添	tʰi1	
清	tɕʰin1	
減	kᴇ3	白
減	tɕi3	文
渠	dʑiᶽ2	
渡	dəu6	
渣	tso1	
港	kɔ̃3	
渳	miᶽ1	～點酒：喝一點酒
渴	kʰəʔ7	
游	ɦiʏ2	
渺	miɔ3	
渾	ɦuən2	
湊	tɕʰiʏ5	
湖	ɦu2	
湘	ɕiã1	
湧	ʔioŋ1	～金门：杭州地名
湯	tʰɔ̃1	
溉	kei5	
源	ȵɦi2	
準	tsən3	
溜	løʏ1	
溝	køʏ1	
溪	tɕʰiᶽ1	
溫	ʔuən1	
溼	səʔ7	
滂	bɔ̃2	
滅	mɦiəʔ8	
滋	tsɿ1	
滎	ɦioŋ2	
滑	ɦuaʔ8	
滓	tsei3	
滔	tʰɔ1	
滬	ʔu3	
滯	dzɿ6	
滲	sən5	
滴	tiəʔ7	
滷	ləu3	
滾	kuən1	
滿	mᴇ3	
漁	ɦiᶽ2	
漂	pʰiɔ3	
漆	tɕʰiəʔ7	
漏	løʏ5	
演	ʔi3	
漢	hᴇ5	
漫	mɦᴇ2	
漱	ɕiʏ5	
漲	tsã3	
漸	ʑi6	
漿	tɕiã1	
潑	pʰəʔ7	
潔	tɕiəʔ7	
潘	pʰᴇ1	
潛	ʑi2	
潛	dʑi2	～龍：壁虎
潤	zən6	
潭	dᴇ2	
潮	dzɔ2	
潰	ɡuei6	
澀	səʔ7	
澄	dən6	水～了
澄	dzən2	水很～
澆	tɕiɔ1	
澇	lɦɔ2	
澇	liɔ1	～起來
澗	kᴇ5	白
澗	tɕi5	文
澡	tsɔ3	
澤	dzəʔ8	
激	tɕiəʔ7	
濁	dzoʔ8	
濃	lɦoŋ2	
濟	tɕiᶽ5	
濫	lᴇ5	
濺	tsᴇ5	～一身水
濾	liᶽ5	
瀉	ɕia5	
瀑	bɔ6	
灌	kuᴇ6	
灑	sa3	
灘	tʰᴇ1	
灣	ʔuᴇ1	
火	həu3	
灰	huei1	
灸	tɕiʏ5	
災	tsei1	
炊	tsʰei1	
炎	ɦi2	
炒	tsʰɔ3	
炕	kʰɔ̃5	
炙	tsaʔ7	
炭	tʰᴇ5	
炸	tsa5	文讀
炸	tso5	白
爲	ɦuei2	
烈	lɦiəʔ8	
烊	ɦiã2	冰～开来dE：冰融化了
烏	ʔu1	
烘	hoŋ1	臭～～：非常臭
烙	lɦoʔ8	
烤	kʰɔ1	
烹	pʰən1	
烽	foŋ1	
焉	ʔi1	
焙	bei2	
焚	vən2	
無	vu2	
焦	tɕiɔ1	
焰	ʔi1	
然	zᴇ2	
煎	tɕi1	
煙	ʔi1	
煥	huᴇ5	文
煥	ʔuᴇ5	
照	tsɔ5	
煨	ʔuei1	
煩	vᴇ2	
煮	tsɿ5	
熄	ɕiəʔ7	
熊	ɦioŋ2	
熏	ɕin1	
熙	ɕiᶽ1	
熟	zoʔ8	
熨	ʔin5	
熬	ŋɦɔ2	
熯	hᴇ5	
熱	ȵɦiəʔ8	
燃	zᴇ2	
燈	tən1	
燎	lɦiɔ2	～原
燐	lɦin2	
燒	sɔ1	
燕	ʔi5	
燙	tʰɔ̃5	
營	ɦin2	
燭	tsoʔ7	
爆	pɔ5	
爐	lɦəu2	
爛	lᴇ5	
爪	tsɔ3	
爬	bo2	
爭	tsən1	
爵	tɕiaʔ7	
父	vu6	
爸	pa1	
爹	tiᶽ1	文讀
爹	tia1	
爺	ɦia2	
爽	sɔ̃3	
爾	əl3	
爿	bᴇ2	
牀	zɔ̃2	
牆	ʑiã2	
片	pʰi5	
版	pᴇ3	
牌	ba2	
牒	diəʔ8	
牘	doʔ8	
牙	ŋɦa2	
牛	ȵɦiʏ2	
牝	mei3	
牢	lɦɔ2	
牧	moʔ8	
物	vəʔ8	
牯	kəu3	
牲	sən1	
特	dəʔ8	
牽	tɕʰi1	
犀	ɕiᶽ1	
犂	lɦiᶽ2	
犒	kʰɔ5	
犢	doʔ8	
犧	ɕiᶽ1	
犬	tɕʰi3	
犯	vᴇ4	
狀	zɔ̃6	
狂	ɡɔ̃2	
狄	diəʔ8	
狐	ɦu2	
狗	køʏ3	
狡	tɕiɔ1	
狸	lɦiᶽ2	
狹	ɦaʔ8	
狼	lɦɔ̃2	
猛	mən3	
猜	tsʰei1	
猴	ɦiʏ2	
猶	ɦiʏ2	
猾	ɦuaʔ8	
獃	tei1	
獄	ŋɦoʔ8	白
獄	ȵɦioʔ8	文
獅	sɿ1	
獎	tɕiã3	
獨	doʔ8	
獲	ɦuəʔ8	
獵	liaʔ8	
獸	ɕiʏ5	
獺	tʰaʔ7	
獻	ɕi5	
玄	ɦi2	
率	səʔ7	～领
率	lɦiəʔ8	速～
玉	ȵɦioʔ8	
王	ɦuɔ̃2	
玩	ɦuᴇ2	
玻	pu1	
珊	sᴇ1	
珍	tsən1	
珠	tsɿ1	
班	pᴇ1	
現	ʔi5	
球	dʑiʏ2	
理	liᶽ3	
琉	lɦøʏ2	
琢	tsoʔ7	
琴	dʑin2	
琵	biᶽ2	
琶	bo2	
瑕	ɦia2	
瑞	zei6	
瑟	səʔ7	
瑣	səu3	
璃	lɦiᶽ2	
璧	piəʔ7	
環	ɡuᴇ2	
璽	ɕiᶽ3	
瓊	dʑioŋ2	
瓜	ko1	
瓠	ɦu2	
瓢	biɔ2	
瓣	bᴇ6	
瓤	lɦɔ̃2	
瓦	ŋo3	
瓶	bin2	
瓷	dzɿ2	
甌	ʔiʏ1	
甏	bã6	
甕	ʔoŋ1	
甘	kᴇ1	
甚	zən2	
甜	di2	
生	sən1	文
生	sã1	
產	tsʰᴇ3	
甥	sã1	
用	ɦioŋ5	
甫	fu3	
甬	ʔioŋ3	
田	di2	
由	ɦiʏ2	
甲	kaʔ7	白
甲	tɕiaʔ7	文
甲	tɕiaʔ7	
申	sən1	
男	nɦᴇ2	
界	ka5	白
界	tɕia5	文
畏	ʔuei1	
留	lɦøʏ2	
畜	tsʰoʔ7	～生
畜	ɕioʔ7	～牧
畝	møʏ3	
畢	piəʔ7	
略	liaʔ8	
番	fᴇ1	
異	ʔiᶽ3	
當	tɔ̃1	～時
當	tɔ̃5	～作
疆	tɕiã1	
疊	diəʔ8	
疏	səu1	～遠
疑	ȵɦiᶽ2	
疝	sᴇ5	
疤	po1	
疥	ka5	白
疥	tɕia5	文
疫	ɦioʔ8	
疲	biᶽ2	
疵	tsʰɿ3	
疹	tsən5	
疼	dən2	
疾	ʑiəʔ8	
疿	fiᶽ5	
疿	bei6	～子：疿子
病	bin6	
症	tsən5	
痔	dzɿ4	
痕	hən5	一條～
痕	ɦən2	～跡
痛	tʰoŋ5	
痢	liᶽ5	
痣	tsɿ5	
痰	dᴇ2	
痲	mɦo2	
痺	biᶽ2	
瘋	foŋ1	
瘌	la5	
瘍	ɦiã2	
瘟	ʔuən1	
瘡	tsʰɔ̃1	
瘦	ɕiʏ5	
瘧	ȵɦiaʔ8	
瘴	tsɔ̃1	
療	lɦiɔ2	
療	tin1	
癡	tsʰɿ1	
癢	ʔiã3	
癬	ɕi3	
癰	ʔioŋ1	
癸	kuei3	
登	tən1	
發	faʔ7	
白	baʔ8	
皂	zɔ6	
的	tiəʔ7	
皆	ka1	白
皆	tɕia1	文
皇	ɦuɔ̃2	
皖	ʔuᴇ3	
皮	biᶽ2	
皴	tsʰən1	
皺	tɕiʏ5	
皿	min4	
盂	ɦiᶽ2	
盅	tsoŋ1	
盆	bən2	
盈	ɦin2	
益	ʔiəʔ7	
盒	ɦəʔ8	
盔	kʰuei1	
盛	zən2	～滿
盛	zən6	～會
盛	zã6	姓。白
盜	dɔ6	
盞	tsᴇ3	
盟	mɦən2	
盡	ʑin6	
監	kᴇ1	
監	tɕi1	文
盤	bᴇ2	
盧	lɦəu2	
目	moʔ8	
盲	mɦã2	
直	dzəʔ8	
相	ɕiã1	～帮
相	ɕiã5	～貌
盹	tən1	打嗝～：打噎嗝
盼	pʰᴇ5	
盾	dən2	
省	ɕin3	反～
省	sã3	～长，节～。白
眇	miɔ1	
眉	ɦmei2	
看	kʰᴇ1	～守
看	kʰᴇ5	～見
真	tsən1	
眠	ɦmi2	
眨	saʔ7	～眼
眩	ɦi2	
眵	tsʰɿ1	
眶	kʰɔ̃1	
眷	tɕi1	
眼	ŋᴇ1	一～～：一點點
眼	ŋᴇ3	
