#漢字	音標	解釋
#簡稱	/	湖州
#全稱	/	湖州話
#聲母	/	
#韻母	/	
#聲調	/	44 1 1a 陰平 ꜀,12 2 1b 陽平 ꜁,42 3 2a 陰上 ꜂,31 4 2b 陽上 ꜃,35 5 3a 陰去 ꜄,24 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇
#版本	/	2022-01-05
#錄入人	/	Vô Danh
#參考資料	/	
#說明	/	
□	boŋ4	鸟拍打翅膀飞来飞去
□	la5	耙～：耙子，傘被風吹翻
□	lã1	骑～～马：骑木马
□	ha5	稀～：稀縫（行業話）
□	mã3	稀～：稀密
□	tən3	橡～子：橡栗
□	dzᴇ6	尋～頭：挑眼
□	ɡuən	一～柴：量词
□	sɿ1	音楊師太：白綠色的蟬，體型小，黑色大蟬稱蟬di
□	toʔ7	嘴巴～出来：翘起嘴巴
□	dʑia2	健康
□	ɡuaʔ8	用棒打入或動動；用竹編籬笆
㑚	na5	～：你們
㮇	tʰi5	～筆，～蟋蟀
㲀	tsən1	投擲
㿭	tsʰaʔ7	
䈆	da4	
䥛	tɕiəʔ7	
䥨	tɕi5	文
一	ʔiəʔ7	
丁	tin1	
七	tɕʰiəʔ7	
丈	dzã4	
三	sᴇ1	
上	zɔ̃4	～山
上	zɔ̃6	～面
下	ʔia3	底～。文
下	ʔia5	～降
下	ʔo3	底～。白
不	pəʔ7	
丐	kei5	
丑	tɕʰiʏ3	
且	tɕʰiəʔ7	
丕	pʰei1	
世	sɿ5	
丘	tɕʰiʏ1	
丙	pin3	
丞	dzən2	
丟	tøʏ1	
丫	ʔia1	～環。文
丫	ʔo1	
中	tsoŋ1	～間
中	tsoŋ5	～奖
串	tsʰᴇ5	
丸	ɦuᴇ2	
丹	tᴇ1	
主	tsɿ3	
乃	nei5	
久	tɕiʏ3	
之	tsɿ1	
乍	dzo6	
乎	ɦu2	
乏	vaʔ8	
乓	pʰã1	
乖	kua1	
乘	dzən2	
乙	ʔiəʔ7	
九	tɕiʏ3	
乞	tɕʰiəʔ7	
也	ʔa5	
也	ʔia3	文
也	ʔi3	文
也	ɦaʔ8	～可以
乳	zɿ4	
乾	kᴇ1	～濕。白
乾	dʑi2	～坤
亂	lᴇ5	
了	liɔ3	
事	zɿ6	
二	ȵiᶽ5	白
二	n̩5	白
于	ʔiᶽ5	
云	ɦin2	
互	ʔu3	
五	ʔu3	文
五	ŋ̩4	白
井	tɕin3	
些	ɕiəʔ7	
亞	ʔia1	
亡	mɦɔ̃2	白
亡	vɔ̃2	文
交	kɔ1	白
交	tɕiɔ1	文
亥	ʔei3	
