#漢字	音標	解釋
換	xʏ6	
握	ɔʔ7	
揣	tsʰuai3	揣度
揩	kʰᴀ1	
揪	tɕʰiɘu3	
揭	tɕiɛʔ7	
揮	xuɘi1	
援	ʏ6	援救
損	ɕyɲ5	
搓	tsʰɘu1	
搖	iaɔ2	
搛	tɕi1	搛菜,夾菜
搜	sɘi1	
搞	kaɔ3	攪
搡	sɑŋ3	
搬	pʏ1	般
搭	tᴀʔ7	
搶	tɕʰiɑŋ3	
搽	tsʊ2	塗
摔	ɕyai1	
摞	lɘu6	摞起來
摟	lɘu1	摟取
摟	lɘu6	抱
摩	mɘu2	
摳	kʰɘi1	
摸	mɔʔ8	
摹	mɘu2	摹仿
撇	pʰiɛʔ7	撇捺,撇開
撈	laɔ1	
撐	tsʰɘŋ1	
撐	tsʰɘŋ1	椅子撐兒
撒	sᴀʔ8	撒手,撒種
撕	sɿ1	
撚	ȵi6	以指撚碎
撞	tɕyɑŋ6	
撣	tᴀ3	雞毛撣子
撤	tsʰəʔ7	
撥	pəʔ8	
撩	liaɔ1	撩起來
撫	fu6	
撮	tsʰuɔʔ7	一撮米
撲	pʰɔʔ7	
擀	kʏ1	擀麪
擁	yŋ1	
擇	tsəʔ7	擇菜,選擇
擊	tɕiɛʔ7	
操	tsʰaɔ1	
擎	tɕʰiɪŋ1	
擒	ɕiɪŋ2	
擔	tᴀ5	擔任
擔	tᴀ5	挑擔
據	tsʮ2	
擠	tsɿ3	
擦	tsᴀʔ7	
擬	nɿ6	
擱	kəʔ7	閣
擴	kʰuəʔ7	擴充
擺	pᴀ3	
擾	laɔ1	
攀	pʰʏ1	
攆	ȵi6	
攏	loŋ6	
攔	lᴀ2	
攙	tsʰᴀ1	
攝	səʔ7	
攢	tsᴀ3	積攢
攤	tʰᴀ1	
攪	kaɔ3	
攬	lᴀ6	
攮	nɑŋ1	用刀子攮
支	tsɿ1	
收	sɘi1	
改	kai3	
攻	koŋ3	攻擊
放	fɑŋ5	
政	tsɘŋ5	
故	ku5	
效	ɕiaɔ6	
敏	miɪŋ1	
救	tɕiɘu5	
敗	pᴀ6	
敘	sʮ3	
敎	kaɔ2	教書
敎	tɕiaɔ5	教育,教他去
敢	kʏ3	
散	sᴀ3	鞵帶散了
散	sᴀ5	分散
敦	tɘŋ1	敦厚
㪗	tʰɘi3	《集韻》敨衣服,敨氣
敬	tɕiɪŋ5	
敲	kʰaɔ1	
整	tsɘŋ5	
敵	tiɛʔ8	
敷	fu1	
數	sɘu3	動詞
數	sɘu5	名詞
斂	li5	
斃	pɿ2	
文	uɘŋ2	文讀
文	fɘŋ2	白讀
斑	pᴀ1	
斗	tɘi3	容器
料	liaɔ6	
斜	ɕiᴀ2	
斟	tsɘŋ1	
斤	tɕiɪŋ1	
斥	tsʰəʔ7	
斧	fu3	
斬	tsᴀ1	
斯	sɿ1	
新	ɕiɪŋ1	
斷	tʏ6	斷絕
斷	tʏ6	決斷
方	fɑŋ1	
於	ʮ2	
施	sɿ1	
旁	pɑŋ2	
旅	lʮ1	
旋	ɕʏ6	
族	sɔʔ8	
旗	tɕɿ2	
既	tɕɿ1	
日	ȵiɛʔ8	
旦	tᴀ1	
旨	tsɿ5	
早	tsaɔ3	
旬	ɕyɲ5	
旱	xʏ3	
旺	yɑŋ5	火旺
旺	uɑŋ3	興旺
昂	ɑŋ1	
昆	kʰuɘŋ1	
昌	tsʰɑŋ1	
明	miɪŋ1	
昏	xuɘŋ1	
易	ɿ3	
易	ɿ2	交易
昔	ɕiɛʔ7	
星	ɕiɪŋ1	
映	iɪŋ5	
春	tɕʰyɲ1	
昧	mai5	
昭	tsaɔ1	
是	sɿ6	
時	sɿ6	
晃	xuɑŋ5	晃眼
晉	tɕiɪŋ5	
晏	ᴀ5	晚也
晝	tsɘi5	
晦	xuai3	
晨	sɘŋ2	
普	pʰu1	
景	tɕiɪŋ5	
晴	ɕiɪŋ2	
晶	tɕiɪŋ1	
智	tsɿ5	
暈	yɲ6	
暑	sʮ3	
暖	nʏ6	
暗	ʏ5	
暢	tsʰɑŋ1	
暫	tsᴀ6	
暮	mɘu6	
暴	paɔ6	
曆	liɛʔ8	曆法，日曆
曉	ɕiaɔ5	
曝	paɔ6	
曠	kʰuɑŋ1	
曬	sʊ5	
曲	tɕʰyɔʔ8	曲折,歌曲
更	kɘŋ1	更換,五更
更	kɘŋ5	更加
書	sʮ1	
曹	saɔ2	
曾	tsɘŋ1	姓
曾	tsɘŋ2	曾經
替	tʰɿ5	
最	tɕyɘi3	
會	kuai5	會計
會	uai6	開會
會	uai6	會不會
月	yɔʔ8	
有	iɘu6	
朋	pɘŋ2	
服	fɔʔ8	
朗	lɑŋ6	
望	mɑŋ1	
朝	tsaɔ1	今朝
朝	tsaɔ2	朝代
期	tɕɿ2	
木	mɔʔ8	
未	uɘi5	
末	məʔ7	
末	mɔʔ7	
本	pɘŋ3	
朮	tɕyɔʔ8	白朮,蒼朮
朱	tsʮ1	
朵	tɘu3	躲
朽	ɕiɘu5	
杆	kʏ1	
杈	tsʰʊ1	枝杈
杉	sᴀ1	
李	lɿ6	
杏	xɑŋ5	
材	sai2	
村	tsʰɘŋ1	
杖	tsɑŋ6	
杜	tɘu6	
杞	ɕɿ1	
束	sɔʔ7	
杠	kɑŋ1	
杭	xɑŋ2	
杯	pɘi1	
東	toŋ1	
杳	iaɔ6	
杷	pɔʔ8	枇杷
杷	pʊ6	杷子
松	soŋ1	松樹
板	pᴀ3	
枇	piɛʔ8	
枉	uɑŋ5	
析	ɕiɛʔ7	
枕	tsɘŋ5	
枕	tsɘŋ5	動詞
林	liɪŋ1	
果	kɘu1	
果	ku1	
枝	tsɿ1	
枯	kʰu1	
架	tɕiᴀ5	
柄	piɪŋ5	
柏	pəʔ7	
某	mɘi1	
柑	kʏ1	
染	ȵi6	
柔	ȵiɘu2	
柚	iɘu6	
査	tsʊ2	調查
柩	tɕiɘu1	
柱	tsʮ2	
柳	lɘi6	
柴	sᴀ2	
柵	sᴀ1	柵欄
柿	sɿ2	
栗	liɛʔ8	
校	tɕiaɔ5	校對
校	ɕiaɔ2	學校
校	ɕiaɔ2	上校
株	tsʮ1	
核	xəʔ8	
核	xəʔ8	審核
核	uəʔ8	果子核
根	kɘŋ1	
格	kəʔ7	
栽	tsai1	
桂	kuɘi1	
桃	taɔ2	
桄	kʰuɑŋ1	一桄線，桄子
桅	uɘi6	
案	ʏ5	
桌	tsɔʔ7	
桐	toŋ2	
桑	sɑŋ1	
桓	xuɑi2	
桶	tʰoŋ3	
梁	liɑŋ1	
梅	mai1	
梔	tsɿ1	
條	tiaɔ2	
梢	saɔ1	
梧	u2	梧桐
梨	lɿ2	
梭	sɘu1	織布梭
梯	tʰɿ1	
械	tɕiᴀ5	
梳	sɘu1	梳頭
棄	tɕʰɿ5	
棉	mi6	
棋	tɕɿ2	
棍	kuɘŋ5	
棒	pɑŋ2	
棕	tsoŋ1	
棗	tsaɔ3	
棚	poŋ2	
棟	toŋ5	
棠	tɑŋ2	
棧	tsᴀ2	
森	sɘŋ1	
棲	tɕʰɿ1	
棵	kʰɘu1	科
棺	kʏ1	
椅	ɿ1	
植	tsəʔ8	
椏	ʊ1	椏杈
椒	tɕiaɔ1	
椴	tʏ6	
椽	tɕʏ2	
椿	tɕʰyᴇn	椿樹
楊	iɑŋ2	
楓	foŋ1	
楚	tsʰɘu3	
楝	li6	楝樹
楞	lɘŋ6	
楣	mɘi2	
楥	ɕʏ1	鞵~xuan4
業	ȵiɛʔ8	
極	tɕiɛʔ8	
楷	kʰai5	
概	kai5	
楡	ʮ2	
榜	pɑŋ3	
榨	tsʊ5	榨油
榫	ɕiɪŋ5	榫頭
榮	yŋ1	
榴	lɘi1	
榻	tʰᴀ5	
構	kɘi3	
槌	tsʮ2	
槍	tɕʰiɑŋ1	
槐	ua6	
槳	tɕiɑŋ1	
槽	saɔ2	
樁	tɕyɑŋ1	
樂	luɔʔ8	
樂	iᴀʔ7	音樂
樓	lɘi1	
標	piaɔ1	
樝	tsʊ1	
樞	sʮ1	
樟	tsɑŋ1	
模	mɘu2	模子
模	mɘu2	模範
樣	iɑŋ2	
樸	pʰɔʔ7	樸素
樸	piaɔ2	
樹	sʮ6	
樺	ʊ6	樺樹
橄	kʏ3	橄欖
橋	tɕiaɔ2	
橘	tɕyɔʔ7	
橙	tsɘŋ2	
橙	tsɘŋ2	柳丁
機	tɕɿ1	
橡	ɕiɑŋ6	橡樹
橢	tʰɘu5	橢圓
橫	uɘŋ2	橫直
橫	xɘŋ6	蠻橫
檀	tᴀ2	
檜	kuɘi3	
檢	ɕi3	
檳	piɪŋ1	檳榔
櫃	kuɘi2	
櫓	lɘu6	
櫻	iɪŋ1	櫻桃
欄	lᴀ1	
權	tɕʏ2	
欖	lᴀ1	橄欖
欠	tɕʰi5	
次	tsʰɿ5	
欣	ɕiɪŋ1	
欱	xəu1	欱酒
欲	yɔʔ7	欲望
欲	yɔʔ8	
欺	tɕʰɿ3	
欽	tɕʰiɪŋ1	
款	kʰʏ3	
歇	ɕiɛʔ7	
歉	tɕʰi5	
歌	kɘu1	
歎	tʰᴀ5	
歐	ɘu1	
歡	xʏ2	
止	tsɿ1	
正	tsɘŋ1	正月
正	tsɘŋ5	
此	tsʰɿ6	
步	pu6	
武	fu2	武進地名
武	u2	武術
歪	ua1	
歲	ɕɿ5	
歷	liɛʔ8	經歷，歷史
歸	kuɘi1	
死	sɿ3	
殃	iɑŋ1	
殉	ɕyɲ5	
殊	sʮ1	
殖	tsəʔ8	
殘	tsᴀ2	
殮	li5	
殯	piɪŋ1	
殲	tɕi1	殲滅
段	tʏ6	
殷	iɪŋ1	
殺	sᴀʔ7	
殼	kʰuɔʔ7	
殿	ti5	
毀	xuɘi3	
毅	ɿ2	
母	mɘu1	
每	mɘi5	
毒	tuɔʔ8	
比	pɿ3	
毛	maɔ1	
毫	xaɔ2	
毯	tʰᴀ3	
氈	tɕʏ1	氈子
氏	sɿ6	
民	miɪŋ1	
氣	tsʰɿ5	
水	ɕʮ3	
永	yŋ5	
汁	tsəʔ7	
求	tɕiɘu2	
汗	xʏ6	
汙	u2	
汞	koŋ5	
江	kɑŋ1	
池	tsɿ2	
汪	uɑŋ1	一汪水
汴	pi6	
決	tɕyɔʔ7	
汽	tsʰɿ5	
沂	ɿ6	沂河
沃	ɔʔ7	
沈	tsɘŋ2	
沈	sɘŋ1	
沌	tɘŋ6	
沒	məʔ8	沈沒,沒有
沓	tᴀʔ7	一沓紙
沖	tsʰoŋ1	
沙	sʊ1	
沛	pʰɘi5	
沫	mɔʔ7	
河	xɘu2	
油	iɘu2	
治	tsɿ6	
沼	tsaɔ2	池沼,沼氣
沾	tsᴀ1	
沿	i2	
況	xuɑŋ5	
泄	ɕiɛʔ7	洩漏
泉	ɕʏ2	
泊	pəʔ7	
泌	miɛʔ8	
泔	kʏ1	泔水
法	fᴀʔ7	方法,法子
泛	fᴀ6	
泡	pʰaɔ5	
泡	pʰaɔ5	泡在水裏
波	pɘu1	
泥	nɿ2	
注	tsʮ5	
泰	tʰᴀ5	
泳	yŋ1	
洋	iɑŋ2	
洗	ɕɿ3	
洛	luɔʔ8	
洞	toŋ6	
津	tɕiɪŋ1	
洪	xoŋ2	
洲	tsɘi1	
活	uəʔ8	
洽	tɕʰiᴀʔ7	
派	pʰᴀ5	
流	lɘi1	
浙	tsəʔ7	
浜	pɑŋ1	一條浜
浦	pʰu5	
浩	xaɔ6	
浪	lɑŋ5	
浮	fu2	
浴	yɔʔ8	
海	xai3	
浸	tɕiɪŋ5	
消	ɕiaɔ1	
涉	səʔ7	
涕	tʰɿ3	
涮	ɕyᴀʔ7	涮洗
涯	iᴀ1	天涯
液	iɛʔ8	
涼	liɑŋ1	
淆	ɕiaɔ2	
淋	liɪŋ6	淋漓,淋溼
淑	sɔʔ7	
淘	taɔ2	
淡	tᴀ6	
淤	ʮ1	
淨	ɕiɪŋ6	
淩	liɪŋ2	
淪	lɘŋ6	
淫	iɪŋ6	
淮	xuai2	
深	sɘŋ1	
淵	ʏ1	
混	uɘŋ5	相混,混沌
淹	ᴀ1	
淺	tɕʰi3	
添	tʰi1	
淸	tɕʰiɪŋ1	
減	tɕi3	
渠	tsʮ2	
渡	tɘu6	
渣	tsʊ1	
測	tsʰəʔ7	
港	kɑŋ1	港口
渺	miaɔ6	
渾	xuɘŋ2	渾濁
湊	tsʰɘi5	
湖	u2	
湘	ɕiɑŋ1	
湧	yŋ1	
湮	iɪŋ1	墨水著紙向周圍散開
湯	tʰɑŋ1	
溉	kai5	
源	ʏ2	
準	tɕyɲ3	批準
準	tɕyɲ3	標準
溜	lɘi1	
溝	kɘi1	
溪	ɕɿ1	
溫	uɘŋ1	
溺	ȵiᴀʔ8	
溼	səʔ7	
滂	pɑŋ2	滂沱
滅	miɛʔ8	
滋	tsɿ3	
滑	uᴀʔ8	
滓	tsɿ1	
滔	tʰaɔ1	
滬	u6	
滯	tsəʔ7	
滲	sɘŋ5	水滲透
滴	tiɛʔ7	
滸	u1	水滸
滾	kuɘŋ3	
滿	mʏ1	
漁	ʮ1	
漂	pʰiaɔ1	
漂	pʰiaɔ5	漂亮
漆	tɕʰiɛʔ7	
漏	lɘi5	
演	i6	
漢	xʏ5	
漫	mʏ1	
漱	sɘu5	
漲	tsɑŋ3	長
漸	tɕi6	
漿	tɕiɑŋ1	
潑	pʰəʔ8	
潔	tɕiɛʔ7	
潘	pʰʏ1	
潛	tɕʰi2	
潤	ɕyɲ6	
潭	tʏ2	
潮	tsaɔ2	
潰	kʰuɘi5	
澀	səʔ7	
澄	tsɘŋ2	
澆	tɕiaɔ1	
澇	laɔ1	旱澇
澡	tsaɔ3	
澤	tsəʔ7	
激	tɕiɛʔ7	
濁	tsɔʔ8	
濃	ȵyŋ1	
濟	tɕɿ5	
濤	tʰaɔ1	
濫	lᴀ5	
濼	pəʔ7	梁山濼
濾	lʮ1	
瀉	ɕiᴀ5	
瀑	pʰu5	瀑布
灌	kʏ5	
灑	sᴀ3	
灒	tsᴀ5	濺:~了一身水
灘	tʰᴀ1	
灣	uᴀ1	
火	xɘu3	
灰	xuai1	
灶	tsaɔ5	
灸	tɕiɘu1	
灹	tsʊ5	灹彈
災	tsai1	
炊	tɕʰyɘi1	
炎	i2	
炒	tsʰaɔ3	
炕	kʰɑŋ5	
炙	tsɿ1	
炭	tʰᴀ5	
爲	uɘi2	作為
爲	uɘi2	為什麼
烈	liɛʔ8	
烊	iɑŋ2	融化。~銅，~金
烏	u2	
烘	xoŋ1	烘乾
烙	luɔʔ8	
烤	kʰaɔ3	
烹	pʰɘŋ1	
焉	i1	心不在焉
焊	xʏ2	焊鐵壺
焚	fɘŋ2	
無	fu6	
焦	tɕiaɔ1	
焰	i3	
然	lᴀ6	
煉	li6	
煎	ɕi1	
煙	i1	
煠	tsʊ5	用油煠
煤	mai1	
煥	xʏ5	
照	tsaɔ5	
煨	uɘi1	
煩	fᴀ2	
煮	tsʮ3	
熄	ɕiɛʔ7	
熊	ɕyŋ6	
熏	ɕyɲ1	
熔	ȵyŋ2	
煕	ɕɿ5	
熟	sɔʔ8	煮熟,熟悉
熨	yɲ5	
熬	ŋaɔ1	
熬	ŋaɔ1	熬白菜
熱	ȵiɛʔ8	
燃	lᴀ6	
燈	tɘŋ1	
燎	liaɔ2	燎荒，燎原
燎	liaɔ1	火燎眉毛
燒	saɔ1	
燕	i1	燕京,姓
燕	i1	燕子
燙	tʰɑŋ5	湯
營	iɪŋ2	
燦	tsʰᴀ3	
燭	tsɔʔ7	
爆	paɔ6	
爐	lɘu2	
爛	lᴀ6	
爪	tsaɔ3	爪牙,爪子
爬	pʊ2	
爭	tsɘŋ1	
爵	tɕyɔʔ8	
父	fu2	
爸	pᴀ5	
爹	tiᴀ1	
爺	iᴀ2	
爽	ɕyɑŋ5	
爾	æ5	
牆	ɕiɑŋ2	
片	pʰi5	
版	pᴀ3	
牌	pᴀ2	
牐	sᴀʔ8	
牒	tiɛʔ8	通牒，度牒，影牒
牙	ŋʊ6	
牛	ȵiɘu1	
牡	mɘi2	
牢	laɔ1	
牧	mɔʔ8	
物	uəʔ8	
牲	sɘŋ1	
特	təʔ8	
牽	tɕʰi1	
犀	ɕɿ1	
犁	lɿ1	
犍	ɕi1	犍子
犒	kʰaɔ3	
犢	tɔʔ8	牛犢子
犧	ɕɿ5	
犬	tɕʰʏ1	
犯	fᴀ6	
狀	tɕyɑŋ6	
狂	kuɑŋ2	
狄	tiɛʔ8	
狐	u2	
狗	kɘi3	
狡	tɕiaɔ3	
狸	lɿ1	野貓
狹	ɕiᴀʔ8	
狼	lɑŋ1	
猛	moŋ6	
猜	tsʰai1	
猝	tsʰuɔʔ7	倉猝
猴	xɘi2	
猶	iɘu2	
猾	uᴀʔ8	狡猾
獄	yɔʔ8	
獅	sɿ1	
獎	tɕiɑŋ3	
獨	tɔʔ8	
獲	xuəʔ7	
獵	liɛʔ8	
獸	sɘi1	
獺	tʰᴀʔ7	水獺
獻	ɕi5	
玄	ɕʏ6	
率	liɛʔ8	速率
率	ɕyai5	率領
玉	yɔʔ8	
王	uɑŋ2	
玻	pu1	玻璃
珊	sᴀ1	
珍	tsɘŋ1	
珠	tsʮ1	
班	pᴀ1	
現	ɕi6	
球	tɕiɘu2	
理	lɿ6	
琉	lɘi2	
琢	tsɔʔ8	
琴	tɕiɪŋ2	
琵	pɿ2	
琶	pʊ2	琵琶
瑞	ɕyɘi6	
瑣	sɘu3	瑣碎
璃	lɿ1	
璧	piɛʔ7	
環	kuᴀ2	
璽	ɕɿ3	
瓊	tɕyŋ2	
瓜	kʊ1	
瓠	u2	瓠子,瓠瓜
瓢	piaɔ2	
瓣	pᴀ6	
瓦	ŋʊ6	
瓦	ŋʊ6	動詞
甁	piɪŋ2	
瓷	tsɿ6	
甌	ɘu1	
甕	oŋ1	
甘	kʏ1	
甚	sɘŋ6	
甜	ti2	
生	sɘŋ1	
產	tsʰᴀ3	
甥	sɘŋ1	
用	yŋ5	
甫	fu3	
甬	yŋ1	甬道
田	ti2	
由	iɘu6	
甲	tɕiᴀʔ7	
申	sɘŋ1	
男	nʏ6	
界	kᴀ5	
留	lɘi1	
畜	tsʰɔʔ7	畜牲
畜	ɕyɔʔ7	畜牧
畝	mɘu6	
畢	piɛʔ7	
略	lyɔʔ8	
番	fᴀ1	幾番
畫	ʊ6	
異	ɿ6	
當	tɑŋ1	當時,應當
當	tɑŋ3	擋)阻擋
當	tɑŋ5	當作,典當
疆	tɕiɑŋ1	
疊	tiɛʔ8	
疏	sɘu1	疏遠
疑	nɿ2	
疔	tiɪŋ1	疔瘡
疝	ɕi3	疝氣
疤	pʊ1	
疥	kᴀ5	疥瘡,疥癬,頭疥,疥虱,疥癩
疫	iɛʔ8	
疲	pɿ2	
疵	tsʰɿ5	
疹	tsɘŋ3	溼~，麻~
疾	tɕiɛʔ7	
病	piɪŋ6	
症	tsɘŋ5	證
痔	tsɿ2	
痕	xəŋ2	
痛	tʰoŋ5	
痢	lɿ2	
痣	tsɿ3	
痰	tᴀ6	
痱	pai2	
痲	mʊ2	
痹	pɿ6	
瘋	foŋ1	
瘌	lᴀʔ7	疤瘌，瘌痢
瘍	iɑŋ2	潰瘍
瘟	uɘŋ1	
瘡	tɕʰyɑŋ1	
瘦	sɘi5	
瘧	ȵiᴀʔ8	瘧疾
瘴	tsɑŋ5	瘴氣
療	liaɔ6	
癡	tsʰɿ1	
癢	iɑŋ6	
癩	lᴀʔ7	癩子，癩皮
癸	kʰuɘi1	
登	tɘŋ1	
發	fᴀʔ7	發現
白	pəʔ8	
百	pəʔ7	
皂	saɔ6	
的	tiɛʔ7	目的
皇	xuɑŋ2	
皖	uɑɲ5	安徽
皮	pɿ2	
皺	tsɘi5	
皿	miɪŋ1	
盂	ʮ2	
盅	tsoŋ1	
盆	pɘŋ2	
盈	iɪŋ2	
益	iɛʔ8	
盒	xᴀʔ8	煙盒
盔	kʰuɘi1	
盛	sɘŋ2	盛滿了
盛	sɘŋ5	興盛
盜	taɔ6	
盞	tsᴀʔ7	
盟	mɘŋ1	
盡	tɕiɪŋ5	盡前
盡	ɕiɪŋ6	
監	kᴀ1	監視,監牢
盤	pʏ2	
盧	lɘu2	
目	mɔʔ8	
盯	tiɪŋ1	盯住
盲	mɑŋ6	
直	tsəʔ8	
相	ɕiɑŋ1	互相
相	ɕiɑŋ5	相貌
盼	pʰʏ5	
盾	tɘŋ6	矛盾,趙盾
盾	tɘŋ6	矛盾
省	sɘŋ3	省長
省	sɘŋ3	節省
省	ɕiɪŋ3	反省
眉	mɘi2	
看	kʰʏ1	看守
看	kʰʏ5	看見
眞	tsɘŋ3	
眠	mi1	
眨	tsᴀʔ7	眨眼
眵	tsʰɿ1	
眶	kʰuɑŋ1	眼眶
眷	tɕʏ3	
眼	ŋᴀ6	
眾	tsoŋ1	
睛	tɕiɪŋ1	眼睛
睜	tsɘŋ1	
督	tuɔʔ7	
睬	tsʰai3	
瞎	xᴀʔ7	
瞞	mʏ1	謾
瞪	tɘŋ1	瞪眼
瞳	toŋ2	
瞻	tsᴀ1	
瞿	tsʰʮ1	
矛	maɔ1	
知	tsɿ1	
矩	tsʮ3	規矩
短	tʏ3	
矮	ᴀ3	
矯	tɕiaɔ2	矯詐，矯正
石	səʔ8	
砌	tɕʰɿ3	
砑	ŋʊ6	砑平
硏	ȵi1	
破	pʰu5	
硝	ɕiaɔ1	
硫	lɘi2	
硬	ŋɘŋ5	
硯	ȵi6	
碎	suɘi5	
碑	pɘi1	
碗	ʏ3	
碟	tiɛʔ8	
碧	piɛʔ7	
確	tɕʰyɔʔ7	
碼	mʊ1	馬)碼子
碾	ȵi6	
磁	tsɿ6	
磕	kʰəʔ7	
磚	tɕʏ1	
磨	mɘu1	磨刀
磨	mɘu6	磨麪,石磨
磷	liɪŋ1	白磷，紅磷，磷肥
礎	tsʰɘu1	柱下石
礙	ŋai5	
礦	kʰuɑŋ5	
礬	fᴀ6	
礮	pʰaɔ5	槍礮
示	sɿ6	
社	sᴀ2	
祀	sɿ5	
祁	tɕɿ2	
祈	tɕɿ2	
祖	tsɘu1	
祝	tsɔʔ7	
神	sɘŋ2	
祠	sɿ2	
祥	ɕiɑŋ6	
票	pʰiaɔ5	車票
祭	tɕɿ5	
祿	lɔʔ8	
禁	tɕiɪŋ1	禁不住
禁	tɕiɪŋ5	禁止
禍	xɘu6	
福	fɔʔ7	
禦	ʮ2	防禦
禮	lɿ6	
禱	taɔ3	
禹	ʮ6	
禽	tɕiɪŋ2	
禿	tʰɔʔ7	
秀	ɕiɘu1	
私	sɿ1	
秉	piɪŋ1	
秋	tɕʰiɘu1	
科	kʰɘu1	
秒	miaɔ6	
租	tsɘu1	
秤	tsʰɘŋ5	一桿秤
秦	ɕiɪŋ2	
秧	iɑŋ1	
秩	tsəʔ	
移	ɿ6	
稀	tɕɿ3	
稅	suɘi5	
稈	kʏ1	稻稈
程	tsɘŋ2	
稍	saɔ3	
稗	pᴀ2	
稚	tsɿ3	
稠	tsɘi2	
稭	tɕiɛʔ7	麥~
種	tsoŋ5	種類
種	tsoŋ5	種樹
稱	tsʰɘŋ1	稱呼
稱	tsʰɘŋ5	相稱
稻	taɔ6	
稼	tɕiᴀ5	
稽	tɕɿ1	
稿	kaɔ3	
穀	kɔʔ7	穀子
穆	mɔʔ8	
積	tɕiɛʔ7	
穗	ɕyɘi2	
穩	uɘŋ3	
穴	ɕyɔʔ8	
究	tɕiɘu1	
空	kʰoŋ1	空虛
空	kʰoŋ5	空缺
穿	tɕʰʏ1	
突	təʔ8	
窄	tsᴀ3	
窖	tɕiaɔ3	
窗	tɕʰyɑŋ1	
窘	tɕioŋ2	
窟	kʰuɔʔ7	窟窿
窠	kʰɘu1	
窩	uᴀ1	
窮	tɕyŋ2	
窯	iaɔ2	
窺	kʰuɘi1	
竄	tɕʰʏ1	
竅	tɕʰiaɔ3	
立	liɛʔ8	
站	tsᴀ5	立
站	tsᴀ6	車站
竟	tɕiɪŋ5	
章	tsɑŋ1	
童	toŋ2	
端	tʏ1	
競	tɕiɪŋ5	
竹	tsɔʔ7	
竿	kʏ1	竹竿
笑	ɕiaɔ5	
笙	sɘŋ1	
笛	tiɛʔ8	
笠	liɛʔ8	
笡	tɕʰiᴀ1	斜
符	fu2	
笨	pɘŋ6	
第	tɿ2	
筆	piɛʔ7	
等	tɘŋ3	
筋	tɕiɪŋ1	
筍	ɕiɪŋ2	
筍	ɕyɲ2	
筏	fᴀʔ8	
筐	kʰuɑŋ1	
筒	toŋ2	
答	tᴀʔ7	
策	tsʰəʔ7	
筵	i1	
筷	kʰuᴀ5	
箇	kɘu5	箇人,一箇
箋	tɕʰi1	
箍	ku1	箍桶，鐵箍
箏	tsɘŋ1	
算	ɕʏ5	
管	kʏ3	
箭	ɕi5	
箱	ɕiɑŋ1	
箸	tsʮ2	筷子
節	tɕiɛʔ7	
範	fᴀ6	範圍
範	fᴀ6	榜樣
篆	tɕʏ2	
篇	pʰi5	
築	tsɔʔ8	
篙	kaɔ1	
篡	tɕʰʏ3	
篤	tuɔʔ7	
篦	pi1	
篩	sᴀ1	篩子
篩	sᴀ1	
篷	poŋ2	帳篷，斗篷
簍	lɘi5	
簡	ɕi5	
簧	xuɑŋ2	鎖簧，彈簧
簪	tsᴀ1	
簫	ɕiaɔ1	
簷	i2	
簸	pu5	簸一簸
簽	tɕʰi1	簽名
簾	li1	門簾
簿	pu2	
籃	lᴀ2	
籌	tsɘi2	
籍	tɕiɛʔ8	
籠	loŋ1	
籤	tɕʰi1	標籤
籬	lɿ2	
籮	lɘu1	
籲	sʮ1	
米	mɿ6	
粉	fɘŋ3	
粒	liɛʔ8	
粗	tsʰɘu1	
粘	tsᴀ1	粘貼
粟	sɔʔ7	
粥	tsɔʔ7	
粱	liɑŋ1	
粳	kɘŋ3	粳米，粳稻
粵	yɔʔ8	
粹	tɕʰyɘi3	
糉	tsoŋ5	
精	tɕiɪŋ1	
糍	tsʰɿ2	
糕	kaɔ1	
糖	tɑŋ2	
糙	saɔ5	粗糙
糜	mɿ6	
糜	mɿ6	粥
糞	fɘŋ5	
糟	tsaɔ1	
糠	kʰɑŋ1	
糧	liɑŋ1	
糯	nɘu2	糯米
系	ɕɿ3	系統
糾	tɕiɘu1	
糾	tɕiɘu1	糾正
紀	tɕɿ3	
紂	tsɘi2	
約	iᴀʔ7	
紅	xoŋ2	
紉	lɘŋ5	縫紉
紋	uɘŋ2	
納	nəʔ8	
紐	ȵiɘu1	
純	ɕyɲ6	
紗	sʊ1	
紙	tsɿ5	
級	tɕiɛʔ7	
紛	fɘŋ1	
素	sɘu5	
紡	fɑŋ5	
索	sɔʔ7	繩索
紫	tsɿ3	
紮	tsᴀʔ7	紮營，紮辮子
累	lɘi1	積累
累	lɘi3	連累
細	ɕɿ5	
紹	saɔ6	
終	tsoŋ1	
組	tsɘu3	
絆	pʰᴀ5	
結	tɕiɛʔ7	
絕	ɕiɛʔ8	
絞	tɕiaɔ3	絞車
絡	luɔʔ8	
絨	ȵyŋ1	
絮	sʮ1	
統	tʰoŋ5	
絲	sɿ1	
絹	tɕʏ1	
綁	pɑŋ3	
綏	ɕyɘi6/ɕɿ1	
經	tɕiɪŋ1	
經	tɕiɪŋ1	經緯,經線
綠	lɔʔ7	
綢	tsɘi2	
維	uɘi6	
綱	kɑŋ1	
網	mɑŋ6	
綽	tsaɔ1	綽號，寬綽
綿	mi6	
緊	ɕiɪŋ3	
緖	sʮ3	
線	ɕi5	
緞	tʏ6	段
緣	ʏ2	
編	pi1	
緩	xuɑi5	
緬	mi1	
緯	uɘi1	
練	li6	
縐	tsɘi1	
縛	fu5	
縣	ɕi6	
縫	foŋ2	縫衣服
