#漢字	音標	解釋
侄	tsəʔ	
來	lai1	
侈	tsʰɿ3	
例	lɿ6	
侍	sɿ2	
侖	lɘŋ2	
供	koŋ3	供給
供	koŋ5	供養,上供
依	ɿ2	
侮	u3	
侯	xɘu2	
侵	tɕʰiɪŋ5	
便	pi2	便宜
便	pi6	方便
係	ɕɿ1	確~實情
促	tsʰɔʔ7	
俄	ŋɘu6	
俊	tɕyɲ5	
俏	tɕʰiaɔ5	
俗	sɔʔ8	
俘	fu2	俘虜
保	paɔ3	
信	ɕiɪŋ5	
修	ɕiɘu1	
俯	fu5	
俸	foŋ6	
倉	tsʰɑŋ1	
倍	pɘi6	
倒	taɔ3	打倒
倒	taɔ5	倒水
倔	tɕyɔʔ8	脾氣倔
倔	tɕyɔʔ7	倔強
候	xɘi6	
倚	ɿ6	
借	tɕiᴀ5	
倡	tsʰɑŋ5	提倡
倦	tɕʏ3	
倪	nɿ2	
倫	lɘŋ6	
値	tsəʔ8	直
假	kʊ3	真假
假	ɕiᴀ5	放假
偉	uɘi5	
偏	pʰi1	
做	tsɘu5	作
停	tiɪŋ2	
健	ɕi2	
側	tsʰəʔ7	
偵	tsɘŋ1	
偶	ŋɘu1	配偶
偶	ŋɘi5	偶然
偸	tʰɘi1	
僞	uɘi5	
傀	kʰuɘi3	
傅	u2	
傍	pɑŋ2	
傑	tɕiɛʔ8	
傘	sᴀ3	
備	pɘi6	
催	tɕʰyɘi1	
傲	ŋaɔ1	
傳	tɕʏ6	傳達
傳	tɕʏ6	傳記
債	tsᴀ5	
傷	sɑŋ1	
傻	sᴀ3	
傾	tɕʰiɪŋ5	
僅	tɕiɪŋ6	
像	ɕiɑŋ6	
僑	tɕiaɔ2	
僕	pʰɔʔ7	~倒
僕	pʰɔʔ7	僕人
僥	tɕiaɔ5	
僧	sɘŋ1	
僵	tɕiɑŋ1	
價	kʊ5	
僻	pʰiɛʔ7	
儀	ɿ2	
億	ɿ5	
儉	tɕi3	
儒	lu6	
償	sɑŋ2	
儡	lɘi3	
優	iɘu1	
儲	tsʰʮ2	儲蓄
允	yɲ5	
元	ʏ2	
兄	ɕyŋ1	
充	tsʰoŋ1	
兆	tsaɔ2	
兇	ɕyŋ1	兇惡
先	ɕi1	
光	kuɑŋ1	
克	kəʔ7	
兌	tɘi6	
免	mi1	
兒	nɿ2	白讀
兒	æ5	
兔	tɘu5	
兜	tɘi1	
入	lyɔʔ8	
內	nɘi6	
全	ɕʏ2	
兩	liɑŋ2	兩箇
兩	liɑŋ3	幾兩幾錢
八	pᴀʔ7	
公	koŋ1	
六	lɔʔ8	
共	koŋ2	
兵	piɪŋ1	
其	tɕɿ2	
具	tsʮ6	
典	ti3	
兼	tɕi1	
冀	tɕɿ5	
冊	tsʰəʔ7	
再	tsai6	
冒	maɔ5	
冠	kuᴀ1	
冠	kʏ1	冠軍
冤	ʏ1	
冬	toŋ1	
冰	piɪŋ1	
冷	lɘŋ6	
凍	toŋ5	
凝	ȵiɪŋ6	
凝	ȵiɪŋ6	湯凝成凍了
凡	fᴀ6	
凱	kʰai5	
凳	tɘŋ1	
凶	ɕyŋ1	吉凶
出	tɕʰyɔʔ7	
函	xʏ2	
刀	taɔ1	
刁	tiaɔ1	
刃	lɘŋ6	
分	fɘŋ1	分開
分	fɘŋ6	量詞 一分兩分
切	tɕʰiɛʔ7	切開
刊	kʰʏ1	
刑	ɕiɪŋ2	
划	uᴀ2	划船
列	liɛʔ8	
初	tsʰɘu1	
判	pʰʏ5	
別	piɛʔ8	區別
別	piɛʔ8	離別
刨	paɔ2	
刨	paɔ6	刨平,刨光
利	lɿ5	
刪	sᴀ1	
刮	kuᴀʔ7	
到	taɔ5	
制	tsɿ5	
刷	ɕyᴀʔ7	
券	tɕʰʏ5	
刺	tsʰɿ5	
刻	kəʔ7	時刻
刻	kəʔ7	用刀刻
剁	tɘu5	
剃	tʰɿ3	
則	tsəʔ7	
削	ɕiᴀʔ7	
前	ɕi6	
剔	tʰɿ5	剔牙，剔除
剖	pʰu5	
剛	kɑŋ1	
剜	uᴀ1	
剝	pɔʔ7	
剩	tsɘŋ6	
剪	tɕi3	
副	fu5	
割	kəʔ7	
創	tɕʰyɑŋ5	
剿	tɕiaɔ3	
劃	uᴀʔ8	
劄	tsᴀʔ7	用針紮
劄	tsᴀʔ7	
劇	tsʮ3	劇烈
劇	tɕiɛʔ8	戲劇
劈	pʰiɛʔ7	
劉	lɘi1	
劊	kʰuai5	
劍	tɕi5	
劐	xu1	用刀劐開
劑	tɕɿ1	一劑藥
力	liɛʔ8	
功	koŋ1	
加	kʊ1	
劣	liɛʔ8	
助	tsɘu2	
努	nɘu1	
劫	tɕiɛʔ7	
勁	tɕiɪŋ5	有勁
勁	tɕiɪŋ5	勁敵
勃	pɔʔ8	
勇	yŋ1	
勉	mi1	
勒	ləʔ8	
動	toŋ6	
勘	kʰʏ5	勘誤
務	u5	
勝	sɘŋ5	勝任
勝	sɘŋ5	勝敗
勞	laɔ2	
募	mɔʔ8	
勢	sɿ5	
勤	tɕiɪŋ2	
勳	ɕyɲ1	
勵	lɿ2	
勸	tɕʰʏ5	
勺	sᴀʔ8	勺子
勻	yɲ2	
勾	kɘi1	
勾	kɘi3	勾當
包	paɔ1	
匆	tsʰoŋ1	
化	xʊ5	
北	pɔʔ7	
匙	tsʰɿ2	
匠	ɕiɑŋ6	
匡	kʰuɑŋ1	
匣	ɕiᴀ6	箱匣
匪	fɿ3	
匯	uai5	
匹	pʰiɛʔ7	一匹
匾	pi3	
匿	ȵiɛʔ8	
區	tsʰʮ1	區域
十	səʔ8	
千	tɕʰi1	
升	sɘŋ1	
午	ŋ̩3	白讀
午	u6	文讀
半	pʏ5	
卑	pɘi1	
卒	tsuɔʔ7	兵卒
卓	tsɔʔ7	
協	ɕiɛʔ7	
南	nʏ1	
博	pɔʔ7	
占	tsᴀ1	占卜
占	tsᴀ5	佔領
卦	kʊ5	
卯	maɔ1	
印	iɪŋ5	
危	uɘi2	
即	tɕiɛʔ7	
卵	lʏ6	
卷	tɕʏ3	卷起
卷	tɕʏ3	
卸	ɕiᴀ5	
卻	tɕʰyɔʔ7	
卿	tɕʰiɪŋ1	
厘	lɿ1	
厚	kɘi6	
原	ʏ2	
厥	tɕyɔʔ7	
厭	i5	
厲	lɿ2	
去	kʰi5	來去
去	tsʰʮ5	去皮
參	tɕʰʏ1	
參	tsʰɘŋ1	參差
又	iɘu2	
叉	tsʰʊ1	
及	tɕiɛʔ8	
友	iɘu1	
反	fᴀ3	
叔	sɔʔ7	
取	tsʰʮ3	
受	sɘi6	
叛	pʏ5	
叢	tsoŋ2	
口	kʰɘi3	
古	ku5	
句	tsʮ1	
另	liɪŋ2	
叨	taɔ1	
只	tsəʔ7	
叫	tɕiaɔ5	
召	tsaɔ1	
可	kʰɘu5	
台	tʰai1	天台,台州
史	sɿ1	
右	iɘu2	
司	sɿ1	
各	kɔʔ7	
吆	iaɔ1	吆喝
合	xəʔ8	容量。十合一升
合	xəʔ8	
吉	tɕiɛʔ7	
同	toŋ2	
名	miɪŋ6	
吏	lɿ2	
吐	tʰɘu3	吐痰
吐	tʰu2	嘔吐
向	ɕiɑŋ3	
君	tɕyɲ1	
吝	liɪŋ5	吝嗇
吞	tʰɘŋ1	
吟	iɪŋ2	
含	xʏ2	
吳	u2	
吵	tsʰaɔ3	
吸	ɕiɛʔ7	
吹	tsʰʮ1	
呆	tai1	
呈	tsɘŋ2	
吿	kaɔ5	
周	tsɘi1	
呪	tsɘi5	
味	mɿ2	
呼	xu1	
命	miɪŋ6	
和	xɘu2	和氣
和	xɘu6	和麪
咎	tɕiɘu1	
咨	tsɿ3	
咬	ŋaɔ6	
咳	kʰəʔ7	咳嗽
咽	i5	
品	pʰiɪŋ3	
哄	xoŋ3	哄騙
員	ʏ2	
