#漢字	音標	解釋#('wxa_mg_ylmxp', '沅陵麻溪鋪話', '沅陵麻溪鋪', '#8B0000', None, None, '來源：楊蔚.湘西鄉話語音研究[M].廣東人民出版社,2010<br>轉錄者：跳跳老鼠', '55 1 1a 陰平 ꜀,13 2 1b 陽平 ꜁,35 3 2 上 ꜂,,22 5 3 去 ꜄,,52 7 4 入 ꜆', None, None)
一	i2	
七	tɕʰiʔ7	
万	mɛ5	
丈	tʰjoŋ3	
三	so1	
上	tsʰoŋ3	～山
不	paʔ7	
丑	dzəɰ5	
丘	tɕʰja1	
東	təw1	
絲	sa1	
兩	tso3	～个
兩	ljoŋ3	几～几钱
中	tjəɰ1	
丸	ʑɥɛ2	
爲	y3	
主	tsa3	
久	tɕja3	
乖	kwa1	
九	tɕja3	
鄉	ɕjoŋ1	
書	tsəɰ1	
買	ma3	
亂	dzoŋ5	
爭	tsoŋ1	
事	sɿ5	
二	tso3	
雲	ɥɛ2	
五	ŋ̍3	
享	ɕjoŋ3	
亮	ljoŋ5	
親	tɕʰi1	
親	tɕʰi1	～家
人	ŋ̍1	
仆	bo2	～倒
仇	dzəɰ2	
今	dʑja2	
倉	tsʰoŋ1	
仙	ɕjɛ1	
代	tʰwa1	
件	tɕʰjɛ3	
會	xa3	～不～
傘	soŋ3	
伢	ŋo1	小～子
傷	soŋ1	
伯	poʔ7	
住	djəɰ5	
何	wæ2	
你	ȵjɛ3	
使	sa3	
侄	tʰiʔ7	
侍	sa5	
便	bjɛ2	～宜
便	pʰi1	方～
信	ɕi5	
修	ɕja1	
倒	taw5	～水
值	tʰjəɰ1	
假	ko3	
偏	pʰi1	
做	tsej5	
停	tõ1	
傅	fu5	
催	tsʰwa1	
像	dʑjoŋ3	
兄	foŋ1	
充	tsʰəw1	
先	ɕi1	
兌	twa5	
兔	tʰu5	
兜	ta1	
入	ŋ̍ʔ7	
八	poʔ7	
公	kəɰ1	
六	ljaʔ7	
蘭	loŋ1	
養	zoŋ3	
再	tsa5	
寫	ɕjo3	
軍	tɕɥi1	
冬	təw1	
冲	tsʰəw1	
凍	təw5	
淨	tɕʰi1	
準	tswæ3	
几	tɕi3	～个
出	tsʰuʔ7	
刀	taw1	
分	fɛ1	
切	tɕʰiʔ7	
劉	lja1	
初	tsʰej1	
刨	baw2	～地
刮	kwaʔ7	
到	taw5	
刷	swaʔ7	
刺	tɕʰi5	
刻	kʰeʔ7	
剃	tʰa5	
削	ɕjoʔ7	
前	dzɛ2	
剔	tʰiʔ7	
剖	pʰej3	
剝	pəwʔ7	
剩	zoŋ5	
割	ɡəɰ2	
力	ljəwʔ7	
勸	tɕʰɥɛ5	
功	kəɰ1	
動	dzəw3	
勤	dʑjɛ2	
勺	dʑɥi2	
勾	ka1	
勻	ʑɥɛ2	
包	paw1	
北	peʔ7	
匠	dʑjoŋ5	
匹	fo2	
十	tsʰɿ1	
升	tsɛ1	
半	poŋ5	
單	tõ1	
賣	ma5	
南	lo1	
历	ljoʔ7	日～
厲	li5	
壓	oʔ7	
厚	ɣa3	
廚	djəɰ2	
去	kʰəɰ5	
縣	wɛ5	
友	za5	
雙	soŋ1	
反	fæ3	
发	foʔ7	
取	tsʰa3	
變	pjɛ5	
口	kʰa3	
古	ku3	
只	tseʔ7	
右	za5	
葉	seʔ7	
嘆	tʰoŋ5	
各	kwiʔ7	
同	dəw2	
名	mẽ1	
吞	tʰwɛ1	
吠	fi5	
听	tʰoŋ1	
吵	tsʰaw3	
吹	tɕʰɥi1	
吼	xəɰ3	
吾	u3	
告	kəɰ5	
嘔	a3	
味	mi5	
命	moŋ5	
和	wæ5	
咬	jo3	
咸	dzəɰ2	
哄	xəw5	
響	ɕjoŋ3	
啞	o3	
哥	ku1	
唱	tsʰoŋ5	
啄	tsʰwa2	
啼	ljɛ2	
喂	y5	
喉	ɣa2	
喜	kʰəɰ1	
噴	pʰɛ1	
嘴	tɕy3	
嚼	tɕʰjaw3	
四	ɕi5	
囥	tɕʰjo5	藏
圍	y2	
圈	tɕʰɥɛ1	
土	tʰɛ3	
在	tsʰɛ3	
地	li5	
場	djoŋ2	
坎	kʰẽ7	
壞	fej3	
壞	xwa3	
坐	dʑjɛ5	
坑	kʰoŋ1	
塊	kʰwa5	
壩	po5	
墳	fɛ2	
坡	bej7	
坪	foŋ2	
墊	tʰɛ3	
埋	mej1	
城	dzɿ2	
堂	tʰõ1	
堆	twa1	
堤	tjɛ2	
塌	tʰo2	
塔	tʰo2	
塘	toŋ1	
塞	seʔ7	
填	dɛ2	
牆	dʑjoŋ2	
墨	meʔ7	
墩	twɛ1	
壁	piʔ7	
聲	sẽ1	
殼	kʰəwʔ7	
壺	vu2	
多	ti1	
夜	zo5	
够	ka5	
大	lwi5	
天	tʰɛ1	
頭	ta2	
夾	ko2	
契	tɕʰi5	
套	tʰəw5	
女	ȵjəw3	
好	xaw3	
婦	pʰa5	
姓	ɕi5	
姜	tɕjoŋ7	
娘	ȵjoŋ1	
娶	tsʰa3	
婚	xwɛ1	
媒	mo1	
媳	ɕi5	
嫁	ko5	
嫂	tsʰaw3	
嫩	lɥɛ5	
子	tsa3	
字	dza5	
孫	swɛ1	
學	ɣo2	
守	tsəɰ3	
安	õ1	
宋	səw5	
完	ɥi1	
官	koŋ1	
定	doŋ5	
宜	ȵjɛ1	
寶	paw3	
客	kʰoʔ7	
害	wa5	
家	ko1	
寄	tɕi5	
寡	kwa3	
對	twa5	
尋	lwɛ3	
尋	lɥɛ3	
封	fəw1	
射	dzu2	
少	tsaw3	多～
尖	tsɛ1	
尘	ti1	
尚	tsʰoŋ5	和～
就	tɕjəw5	
尺	tsʰoʔ7	
尾	mɛ3	
尿	ȵjaw5	
屁	pʰi5	
層	dzoŋ2	
屉	tʰi1	
屎	sɿ3	
屠	du2	
履	li3	
山	sɛ1	
歲	tswa5	
岩	ŋa1	
崩	poŋ1	
州	tsa1	
工	kəɰ1	
巫	u1	
差	tsʰo1	
差	tsʰwa1	
巴	po1	
布	pu5	
師	sa1	
帳	tjoŋ5	
帕	pʰo5	
帚	tsu5	
帶	twi5	
席	ɕi2	
幫	põ1	
帽	məw5	
干	kʰoŋ1	
平	foŋ2	
年	lɛ1	
牀	dzoŋ1	
底	ta3	
廟	mjəw5	
座	dʑjɛ5	
開	kʰwa1	
弄	ləw5	
張	tjoŋ1	
彎	õ1	
彈	doŋ2	～琴
强	dʑjoŋ2	
影	ẽ3	
徒	du2	
得	tiʔ7	
徛	dza5	
心	ɕi1	
忘	moŋ5	
忙	mõ1	
快	kʰwa5	
急	kəwʔ7	
怪	kwa5	
惱	law3	
惜	ɕiʔ7	
想	ɕjoŋ5	
惹	zo3	
慌	xoŋ1	
慢	mõ5	
懶	dzoŋ3	
戲	ɕi5	
成	dzɿ2	
戒	kwa5	
戚	tɕʰiʔ7	
戳	tjaʔ7	
戴	twi5	
房	voŋ2	
扁	pi3	
扇	sɛ1	
手	səɰ3	
才	dzɛ2	
扣	kʰa5	
掃	saw3	
掃	səɰ5	
揚	zoŋ2	
扮	põ5	
把	po3	～守
摳	kʰa1	
搶	tɕʰjoŋ3	
報	pəw5	
披	pʰa1	
抬	do2	
抱	bəw3	
抹	moʔ7	
押	oʔ7	
抽	tʰja1	
擔	tõ5	～子
拆	tsʰaʔ7	
拍	pʰoʔ7	
拖	tʰi1	
拜	po5	
攏	ləw3	
攔	loŋ1	
拾	tsʰɿ1	
挂	kwa5	
指	tsɿ3	
按	ŋ̍5	
挖	waʔ7	
挾	koʔ7	～菜
捉	tswaʔ7	
捏	ȵja1	
撈	lu1	
捱	ŋa1	～打
捲	tɕɥɛ3	
捷	tɕʰjɛʔ7	
掀	ɕjo1	
掉	ljəɰ3	
掐	kʰo7	
排	bo2	
接	tɕiʔ7	
推	tʰwa1	
提	di1	
插	tsʰwaʔ7	
握	u2	
揭	tɕiʔ7	
搓	tɕʰɥɛ1	
搜	sa1	
搞	kaw3	
搬	poŋ1	
搭	toʔ7	
摆	po3	
摇	zaw2	
攤	tʰõ1	
摘	tiʔ7	
摸	mo1	
撑	tsʰoŋ1	
撒	ɕɥɛʔ7	
撞	tsʰoŋ3	
撤	tsʰaʔ7	
擦	tsʰoʔ7	
攀	pʰõ1	
收	sa1	
改	ko3	
放	foŋ5	
救	tɕja3	
教	kaw1	～书
散	soŋ3	
數	sa3	
數	sa5	名
敲	kʰəw1	
文	vɛ1	
斋	tswa1	
斗	ta3	
斜	dʑjo2	
斤	tɕi1	
斧	fu3	
斷	tʰoŋ3	
新	ɕi1	
方	foŋ1	
旗	dʑi2	
