#漢字	音標	解釋
#簡稱	/	沁源
#全稱	/	沁源話
#聲母	/	
#韻母	/	
#聲調	/	324 1 1a 陰平 ꜀,33 2 1b 陽平 ꜁,,,53 5 3 去 ꜄,,31 7 4 入 ꜆
#版本	/	2022-03-07
#錄入人	/	鶩高赭紗匕
#參考資料	/	《山西沁源方言語音研究》
#說明	/	
□	tiɑ1	象声词，形容小孩儿跑步的声音
□	pɛe1	
□	vɛe1	～断：折断
□	liəu1	圪～：弯曲
□	pã1	～萝卜：拔萝卜
□	khã1	～了：扔，丢弃意
□	tʂə̃1	～子：傻、痴呆
□	tiə̃1	打～：小睡
□	sɿ2	面～：糨糊
□	ti2	～东西：掂东西
□	thi2	里～，里面意
□	mi2	～豆：外皮是花色，煮熟后绵软的一种豆子
□	ˀi2	圪～：下巴
□	xɨᴇ2	住～：住的屋子
□	thɛe2	藏
□	lɔo2	～炭：煤炭的总称
□	tshɔo2	～刀：铡刀
□	phã2	～地：锄一般的松土
□	lã2	圪～地：形容沙地
□	lã2	～炭：指未燃尽的炭块
□	mi5	～薯：用于做笤帚的原料
□	tɕi5	～崖：直立的崖
□	ˀi5	把东西～我：表示把东西给我
□	vɑ5	黑老～：“乌鸦”的合音词
□	phiɑ5	象声词，巴掌打人或物体发出的清脆声音
□	tɕie5	～地：犁地
□	khuə5	～马：母马
□	ˀuei5	～阵：那会儿
□	pɔo5	圪雷～仗：形容又打雷又下雨
□	ʂɔo5	彩霞
□	liə̃5	～石灰：把粗石灰用水过滤为浆状
□	tʌʔ7	玉稻黍圪～～：玉米棒子去掉玉米粒后的东西
□	ʂuʌʔ7	～子米：红黍
□	kuʌʔ7	洗
□	phəʔ7	串～～：相亲意
□	təʔ7	～脑：头
□	ʂəʔ7	～脚：光脚
□	phiəʔ7	吹牛
□	tiəʔ7	这～：这样
□	ɕiəʔ7	～嚯：喊叫
□	ɕiəʔ7	～儿子：麻雀
□	tuəʔ7	末～：老末
□	xə̃1~	出来：掏出来
䜺	tshʌʔ7	豆～子
钁	tɕyəʔ7	～头
一	ˀiəʔ7	
七	tɕhiəʔ7	
万	vã5	
丈	tʂʌ̃5	
三	sã1	
上	ʂʌ̃5	
下	ɕiɑ5	～降
不	pəʔ7	
与	ˀy1	
丐	kɛe5	乞～
專	tʂuã1	
且	tɕhie1	
丕	pi1	
世	ʂʅ5	
丙	piə̃1	
業	ˀiəʔ7	
叢	tshuə̃2	
東	tuə̃1	
絲	sɿ1	
丞	tʂhə̃2	
丟	tiəu1	
兩	liʌ̃1	
嚴	ˀiã2	
喪	sʌ̃1	婚～
喪	sʌ̃5	～失
个	kɨᴇ5	～人，一～
丫	ˀiɑ1	～头
中	tʂuə̃1	
中	tʂuə̃5	射～
丰	fə̃1	
串	tʂhuã5	
臨	liə̃2	
丸	vã2	
丹	tã1	
爲	vei1	～什么
爲	vei5	作～
主	tʂi1	
丽	li5	
舉	tɕy1	
乃	nɛe1	
久	tɕiəu1	
義	ˀi5	
之	tsɿ1	
烏	ˀi1	
乍	tsɑ5	
乎	xi1	
乏	fʌʔ7	
樂	ləʔ7	
樂	ˀiəʔ7	音～
喬	tɕhiɔo2	
乖	kuɛe1	
乘	tʂhə̃2	
乙	ˀiəʔ7	
九	tɕiəu1	
乞	tɕhiəʔ7	
也	ˀie1	者～，～是
習	ɕiəʔ7	
鄉	ɕiʌ̃1	
書	ʂi1	
買	mɛe1	
亂	luã5	
乳	ʐi1	
乾	tɕhiã2	～坤
了	liɔo1	～结
予	ˀy1	给～
爭	tʂə̃1	
二	ˀɚ5	
于	tɕhiã1	
于	ˀy2	
虧	khuei1	
雲	ˀyə̃1	
互	xi5	
五	ˀi1	
亞	ˀiɑ5	
些	ɕie1	
亡	ˀuə2	
亥	xɛe5	
亦	ˀiəʔ7	
產	tshã1	
亨	xə̃1	
畝	mi1	
享	ɕiʌ̃1	
京	tɕiə̃1	
亮	liʌ̃5	
親	tɕhiə̃1	
親	tɕhiə̃5	～家
人	ʐə̃2	
億	ˀi5	
什	ʂəʔ7	～物
仁	ʐə̃2	
僅	tɕiə̃1	
仇	tshei2	
今	tɕiə̃1	
介	tɕie5	
仍	ʐə̃2	
从	tshuə̃2	
仑	luə̃2	
倉	tshʌ̃1	
仕	sɿ5	
他	thɑ1	
仗	tʂʌ̃5	
付	fi5	
仙	ɕiã1	
代	tɛe5	
令	liə̃5	
儀	ˀi2	
仰	ˀiʌ̃1	
仲	tʂuə̃5	
件	tɕiã5	
價	tɕiɑ5	
任	ʐə̃5	～性，责～
仿	fuə1	
企	tɕhi1	
伊	ˀi1	
伍	ˀi1	
伏	fəʔ7	
伐	fʌʔ7	
休	ɕiəu1	
衆	tʂuə̃5	
優	ˀiəu1	
會	khuɛe5	～计
會	xuei5	
傘	sã1	
偉	vei1	
傳	tʂhuã2	～达
傳	tʂuã5	～记
伢	ȵiɑ2	
傷	ʂʌ̃1	
倫	luə̃2	
僞	vei1	
伯	piəʔ7	
估	ki1	～计
伴	pã5	
伶	liə̃2	
伸	ʂə̃1	
伺	tshɿ5	
似	sɿ5	
佃	tiã5	
但	tã5	
位	vei5	
低	ti1	
住	tʂi5	
佐	tsɨᴇ1	
佑	ˀiəu5	
體	thi1	
何	xɨᴇ2	
佘	ʂɨᴇ1	姓～
余	ˀy2	
佛	fəʔ7	
作	tsuʌʔ7	～坊
你	ȵi1	
佩	phei5	
佳	tɕiɑ1	
使	sɿ1	
侈	tʂhʅ1	
例	li5	
侍	sɿ5	
供	kuə̃5	上～
依	ˀi1	
僥	tɕiɔo1	～幸
偵	tʂə̃1	
側	tsʌʔ7	～棱
側	tshʌʔ7	～面
僑	tɕhiɔo2	
侮	ˀi1	
侵	tɕhiə̃1	
便	phiã2	～宜
便	piã5	方～
促	tshuəʔ7	仓～
俄	ŋɨᴇ2	
俊	tɕyə̃5	
俏	tɕhiɔo5	
俗	ɕyəʔ7	
俘	fi2	
保	pɔo1	
俟	sɿ5	
信	ɕiə̃5	
儼	ˀiã1	
儉	tɕiã1	
修	ɕiəu1	
俯	fi1	
俱	tɕy5	
倍	pei5	
倒	tɔo1	打～
倒	tɔo5	～水
倔	tɕyəʔ7	～强
倘	thʌ̃1	～使
候	xiəu5	
倚	ˀi1	～靠
借	tɕie5	
倡	tʂhʌ̃5	
倦	tɕyã5	
倪	ȵi2	
倭	ˀuə1	
債	tsɛe5	
值	tʂəʔ7	
傾	tɕhiə̃1	
假	tɕiɑ1	真～
假	tɕiɑ5	放～
