#漢字	音標	解釋
㞞	səŋ2	精液
一	i1	
七	tɕʰi1	
万	uan6	
丈	tʂaŋ6	单位
三	san1	
上	ʂaŋ6	
下	xa6	方位
世	ʂʅ5	
丘	tɕʰiu1	
業	ȵiɛ1	
東	təŋ1	
絲	sɿ1	
兩	liaŋ3	~个
嚴	ian2	
个	ko5	一~
中	tʂəŋ1	~秋
主	tʂʯ3	
烏	u1	
九	tɕiu3	
習	ɕi2	
鄉	ɕiaŋ1	
書	ʂʯ1	
買	mai3	
亂	lan6	
爭	tsən1	
事	sɿ6	
二	ɚ6	
虧	kʰui1	
云	ʯən2	
五	ua3	
井	tɕin3	
交	tɕiau1	
產	tsʰan3	
親	tɕʰin1	~戚
从	tsʰəŋ2	介词
倉	tsʰaŋ1	
件	tɕian6	
任	ʐən6	责~
份	fən6	
休	ɕiu1	
衆	tʂəŋ5	
會	xui6	开~
傘	san3	
傷	ʂaŋ1	
伴	pan6	
伸	ʂən1	
位	uei6	
低	ti1	
佛	fo2	
作	tso6	
侄	tʂʅ6	
依	i1	
側	tsʰɛ1	
便	pian6	方~
俗	səu5	
俗	ʂʯ6	
修	ɕiu1	
借	tɕiɛ5	
值	tʂʅ6	
假	tɕia3	真~
偷	tʰəu1	
像	ɕiaŋ6	
僻	pʰi3	
兒	ɚ2	
兄	ɕiəŋ1	
充	tʂʰəŋ1	
先	ɕian1	
光	kuaŋ1	
黨	taŋ3	
八	pa1	
六	ləu1	
共	kəŋ6	
關	kuan1	~门
興	ɕin1	振~
兵	pin1	
典	tian3	
養	iaŋ3	
兼	tɕian1	
册	tsʰɛ1	
寫	ɕiɛ3	
軍	tʂʯən1	
農	ləŋ2	
冤	ʯan1	
冬	təŋ1	
馮	fəŋ2	
冰	pin1	
準	tʂʯən3	
減	tɕian3	
湊	tsʰəu5	
几	tɕi3	~个
出	tʂʰʯ1	
擊	tɕi1	
鑿	tso6	
刀	tau1	
切	tɕʰiɛ1	
划	xua4	
划	xua6	
初	tsʰəu1	
删	ʂan1	
别	piɛ6	特~
刮	kua1	
到	tau5	
刷	ʂʯa1	
刺	tsʰɿ5	
刻	kʰɛ1	
削	ɕio1	
前	tɕʰian2	
剝	po1	
劇	tʂʯ5	
割	ko1	
力	li1	
勸	tʂʰʯan5	
辦	pan6	
加	tɕia1	
動	təŋ6	
劫	tɕiɛ5	
勁	tɕin5	有~
勤	tɕʰin2	
匀	ʯən2	
北	pɛ1	
匠	tɕiaŋ6	
匹	pʰi2	
區	tʂʰʯ1	
醫	i1	
十	ʂʅ6	
千	tɕʰian1	
升	ʂən1	单位
半	pan5	
卒	tsəu1	
單	tan1	简~
賣	mai6	
南	lan2	
印	in5	
卵	lan3	
卷	tʂʯan3	~起
厭	ian5	
厚	xəu6	
廚	tʂʰʯ2	
去	tɕʰi5	来~
縣	ɕiɛn6	
参	sən1	人~
雙	ʂʯaŋ1	
反	fan3	
叔	ʂəu1	
取	tɕʰi3	
受	ʂəu6	
變	pian5	
疊	tiɛ5	
口	kʰəu3	
古	ku3	
句	tʂʯ5	
叫	tɕiau5	
台	tʰai2	戏~
右	iəu6	
葉	iɛ1	
號	xau6	
吃	tɕʰia1	
吃	tɕʰi1	
各	ko1	
吉	tɕi1	
名	min2	
后	xəu6	
向	ɕiaŋ5	
吞	tʰən1	
含	xan2	
聽	tʰin1	
吳	ua2	
吹	tʂʰʯei1	
告	kau5	
周	tʂəu1	
咒	tʂəu5	
咸	xan2	~味
品	pʰin3	
啞	ŋa3	
脣	tʂʰʯən2	
唱	tʂʰaŋ5	
啼	tʰi2	
善	ʂan6	
喜	ɕi3	
嘴	tsei3	
嚼	tɕiau6	
四	sɿ5	
回	xui2	
園	ʯan2	
困	kʰun5	~倦
圍	uei2	
國	kuɛ1	
土	tʰəu3	
在	tsai6	
地	ti6	天~
均	tʂʯən1	
坐	tso6	
坑	kʰən1	
塊	kʰuai5	
埂	kən3	
城	tʂʰən2	
域	ʯ1	
基	tɕi1	
堆	tei1	
塞	sai5	
塞	sɛ1	
牆	tɕʰiaŋ2	
墨	mɛ1	
墨	xɛ1	
壁	pi1	
壯	tʂʯaŋ5	
聲	ʂən1	
殼	kʰo1	
外	uai6	
多	to1	
够	kəu5	
大	ta6	~小
天	tʰian1	
頭	tʰəu2	脑袋
奪	tʰo6	
女	ɳʯ3	女儿
奶	lai3	乳
奸	tɕian1	
好	xau3	形容词，~坏
妹	mei6	
姊	tsɿ3	
姓	ɕin5	
姜	tɕiaŋ1	
姨	i2	
嬌	iau1	
娘	ȵiaŋ2	
婆	pʰo2	
婿	ɕi5	
嫁	tɕia5	
嫖	pʰiau2	~赌
嫩	nən6	
子	tsɿ3	
字	tsɿ6	
存	tsʰən2	
孫	sən1	
孝	ɕiau5	
孟	məŋ6	
學	ɕio6	
宅	tsɛ1	
安	ŋan1	
宋	səŋ5	
宗	tsəŋ1	
定	tin6	
寶	pau3	
實	ʂʅ6	
客	kʰɛ1	
害	xai6	
容	iəŋ2	
寬	kʰuan1	
寄	tɕi5	
密	mi1	
富	fu5	
寒	xan2	
寢	tɕʰin3	
寡	kua3	
對	tei5	
尋	ʂʯən2	
射	ʂɛ6	
少	ʂau3	多~
尖	tɕian1	
嘗	ʂaŋ2	
尺	tʂʰʅ1	
尾	uei3	~巴
局	tʂʯ5	
層	tsʰən2	
屈	tʂʰʯ1	
屋	u1	
山	ʂan1	
歲	sei5	
嶺	lin3	
岸	ŋan6	
峽	ɕia2	
工	kəŋ1	
左	tso3	
巾	tɕin1	
市	sɿ6	
布	pu5	
帥	ʂʯai5	
師	sɿ1	
帳	tʂaŋ5	蚊~
帘	lian2	
帚	tʂəu3	
帶	tai5	名词
席	ɕi2	
席	ɕi6	
幫	paŋ1	
帽	mau6	
平	pʰin2	
年	ȵian2	
幽	iəu1	
慶	tɕʰin5	
牀	tʂʰʯaŋ2	
應	in5	~答
店	tian5	
廟	miau6	
庵	ŋan1	
延	ian2	
建	tɕian5	
開	kʰai1	
弓	kəŋ1	
引	in3	
弟	ti6	
張	tʂaŋ1	量
弦	ɕian2	
彎	uan1	
弱	ʐo1	
歸	kui1	
當	taŋ5	~铺
形	ɕin2	
彭	pʰən2	
影	in3	
役	i1	
律	li1	
徐	ɕi2	
得	tɛ1	
心	ɕin1	
憶	i5	
忙	maŋ2	
快	kʰuai5	
念	ȵian6	
忽	xun1	
懷	xuai2	
急	tɕi1	
怨	ʯan5	
怪	kuai5	
恨	xən6	
恩	ŋən1	
恭	kəŋ1	
息	ɕi1	
恶	ŋo1	形容词
惜	ɕi1	
愁	tsʰəu2	
感	kan3	
慌	xuaŋ1	
慢	man6	
懂	təŋ3	
我	ŋo3	
戒	tɕiɛi5	
或	xuɛ6	
戰	tʂan5	
戚	tɕʰi1	
截	tɕiɛ1	
戳	tʂʰo1	
戴	tai5	动词
房	faŋ2	
扁	pian3	
