#漢字	音標	解釋
□	ɕioŋ2	喜歡
女	ny3	
女	ȵy3	老,参考于《四川方言音系》与《黔江县志》的简表
奴	nuᶹ2	
奶	nai1	1
奶	nai3	2
好	xau3	
好	xau5	
如	zuᶹ2	
妓	tɕi5	
妖	iau1	
妥	tʰo3	
妹	mei5	
妻	tɕʰi1	
始	sɿ3	
姐	tɕie3	
姓	ɕin5	
委	uei3	
姜	tɕiaŋ1	
姦	tɕiɛn1	
姪	tsɿ2	
威	uei1	
娘	niaŋ2	
娘	ȵiaŋ2	老,参考于《四川方言音系》与《黔江县志》的简表
娶	tɕy5	
婆	pʰo2	
婦	fuᶹ5	
媳	ɕi2	
媽	mᴀ1	
嫂	sau3	
嫌	ɕiɛn2	
嫩	nən5	
子	tsɿ3	
孔	kʰoŋ3	
孕	zuən5	
字	tsɿ5	
存	tsʰən2	
孝	ɕiau5	
孟	moŋ5	
季	tɕi5	
孤	kuᶹ1	
孫	sən1	
學	ɕio2	
孽	nie2	
守	səu3	
安	ŋan1	
宋	soŋ5	
完	uan2	
宏	xoŋ2	
宗	tsoŋ1	
官	kuan1	
定	tin5	
宜	ni2	
客	kʰæ̞2	
宣	ɕyɛn1	
宮	koŋ1	
宰	tsai3	
害	xai5	
家	tɕiᴀ1	
容	ioŋ2	
寬	kʰuan1	
寄	tɕi5	
寅	in2	
密	mi2	
寒	xan2	
寞	mo2	
察	tsʰᴀ2	
實	sɿ2	
寧	nin2	
寨	tsai5	
審	sən3	
寫	ɕie3	
寵	tsʰoŋ3	
寺	sɿ5	
封	foŋ1	
射	se5	
射	ɕie5	
將	tɕiaŋ1	
專	tsuan1	
尊	tsən1	
尋	ɕyn2	
對	tuei5	
小	ɕiau3	
少	sau3	1
少	sau5	2
尖	tɕiɛn1	
尚	saŋ5	
尤	iəu2	
就	tɕiəu5	
尹	yn3	
尺	tsʰɿ2	
尼	ni2	
尾	uei3	
局	tɕiu2	
居	tɕy1	
屈	tɕʰiu2	
展	tsan3	
屢	nəu3	
履	ny3	
山	san1	
巖	ŋai2	
岳	io2	
岸	ŋan5	
崇	tsʰoŋ2	
崖	ŋai2	
崩	pən1	
嵩	soŋ1	
巢	tsʰau2	
工	koŋ1	
左	tso3	
巧	tɕʰiau3	
巨	tɕy5	
己	tɕi3	
已	i3	
巴	pᴀ1	
巷	xaŋ5	
巾	tɕin1	
布	puᶹ5	
希	ɕi1	
帖	tʰie2	
帝	ti5	
帥	suai5	
帶	tai5	
師	sɿ1	
席	ɕi2	
帳	tsaŋ5	
常	saŋ2	
帽	mau5	
幫	paŋ1	
干	kan1	
平	pʰin2	
年	niɛn2	
年	ȵiɛn2	老,参考于《四川方言音系》与《黔江县志》的简表
并	pin5	
幸	ɕin5	
幻	xuan5	
幼	iəu5	
幾	tɕi3	
序	ɕy5	
底	ti3	
店	tiɛn5	
庚	kən1	
府	fuᶹ3	
度	tuᶹ5	
庵	ŋan1	
廉	niɛn2	
廟	miau5	
廢	fei5	
廣	kuaŋ3	
延	iɛn2	
建	tɕiɛn5	
弄	noŋ1	~飯
式	sɿ5	
