#漢字	音標	解釋
□	ɕioŋ2	喜歡
輕	tɕʰin1	
轎	tɕiau5	
轟	xoŋ1	
辣	nᴀ2	
辦	pan5	
辭	tsʰɿ2	
辰	sən2	
辱	zuᶹ2	
農	noŋ2	
迄	tɕʰi2	
近	tɕin5	
追	tsuei1	
退	tʰuei5	
送	soŋ5	
逆	ni2	
透	tʰəu5	
通	tʰoŋ1	
速	ɕiu2	
造	tsʰau5	
連	niɛn2	
進	tɕin5	
逸	i2	
逼	pi2	
遂	ɕy5	
遇	y5	
運	yn5	
過	ko5	
道	tau5	
達	tᴀ2	
遥	iau2	
遠	yɛn3	
遮	tse1	
遲	tsʰɿ2	
遵	tsən1	
選	ɕyɛn3	
遺	i2	
還	xai2	
還	xuan2	
邊	piɛn1	
邑	i2	
邦	paŋ1	
邪	ɕie2	
郁	iu2	
郎	naŋ2	
部	puᶹ5	
郭	ko2	
都	tuᶹ1	
鄒	tsəu1	
鄙	pʰi3	
鄧	tən5	
鄭	tsən5	
鄰	nin2	
酌	tso2	
配	pʰei5	
酒	tɕiəu3	
酣	xan1	
酷	kʰuᶹ2	
酸	suan1	
醃	iɛn1	
醉	tsuei5	
醋	tsʰuᶹ5	
醜	tsʰəu3	
醫	i1	
里	ni3	
重	tsoŋ5	
野	ie3	
金	tɕin1	
釣	tiau5	
鉗	tɕʰiɛn2	
鉛	yɛn2	
銀	in2	
銜	xan2	
鋭	zuei5	
鋤	tsʰuᶹ2	
錐	tsuei1	
錢	tɕʰiɛn2	
錯	tsʰo5	
鍋	ko1	
鍘	tsᴀ2	
鏟	tsʰuan3	
鐘	tsoŋ1	
鐵	tʰie2	
鋪	pʰuᶹ1	
鋪	pʰuᶹ5	在~上
鐲	tso2	
長	tsʰaŋ2	1
長	tsaŋ3	2
門	mən2	
閂	suan5	
閃	san3	
閉	pi5	
開	kʰai1	
閏	zuən5	
閑	ɕiɛn2	
間	tɕiɛn1	
閘	tɕiᴀ2	
閲	ye2	
闖	tsʰuaŋ3	
關	kuan1	
闢	pʰi2	
閲	yæ2	æ可能略低
阮	zuan3	
防	faŋ2	
阻	tsuᶹ3	
附	fuᶹ5	
降	ɕiaŋ2	
限	ɕiɛn5	
陝	san3	
院	uan5	
陣	tsən5	
除	tsʰuᶹ2	
陳	tsʰən2	
陵	nin2	
陷	xan5	
陸	nuᶹ2	
陽	iaŋ2	
隆	noŋ2	
隨	suei2	
險	ɕiɛn3	
隱	in3	
隷	ti5	
隻	tsɿ1	
雀	tɕʰio2	
雄	ɕioŋ2	
集	tɕi2	
雌	tsʰɿ1	
雍	ioŋ1	
雖	ɕy1	
雙	suaŋ1	
雜	tsᴀ2	
離	ni2	
難	nan2	
雨	y3	
雪	ɕye2	
雲	yn2	
零	nin2	
雷	nuei2	
霍	xo2	
霞	ɕiᴀ2	
霧	vuᶹ5	
靈	nin2	
靜	tɕin5	
非	fei1	
靠	kʰau5	
面	miɛn5	
靴	ɕye1	
鞋	xai2	
鞠	tɕiu2	
鞭	piɛn1	
音	in1	
頂	tin3	
頃	tɕʰyn3	
項	xaŋ5	
頓	tən5	
頭	tʰəu2	
頸	tɕin3	
額	ŋæ̞2	
類	nuei5	
順	suən5	
须	ɕy1	
頗	pʰo3	
題	tʰi2	
風	foŋ1	
飄	pʰiau1	
飛	fei1	
食	sɿ2	
飯	fan5	
飽	pau3	
飾	sɿ5	
養	iaŋ3	
餐	tsʰan1	
餓	o5	
饒	zau2	
首	səu3	
香	ɕiaŋ1	
馬	mᴀ3	
馮	foŋ2	
駕	tɕiᴀ5	
駡	mᴀ5	
騙	pʰiɛn5	
騰	tʰən2	
騾	no2	
驕	tɕiau1	
驗	niɛn5	
驢	nuᶹ2	
骨	kuᶹ2	
體	tʰi3	
高	kau1	
髮	fᴀ2	
鬆	soŋ1	
鬥	təu5	
鬧	nau5	
鬱	iu2	
魂	xuən2	
魚	y2	
鮮	ɕyɛn1	
鰥	kuan1	
鴉	iᴀ1	
鶯	in1	
鶴	xo2	
鷄	tɕi1	
鴨	iᴀ2	
鴿	ko2	
鵝	o2	
鹹	xan2	
鹽	iɛn2	
鹿	nuᶹ2	
麥	mæ̞2	
麻	mᴀ2	
黃	xuaŋ2	
黍	suᶹ3	
黏	niᴀ1	
黑	xæ̞2	
點	tiɛn3	
黨	taŋ3	
鼓	kuᶹ3	
鼠	suᶹ3	
齊	tɕʰi2	
齋	tsai1	
齒	tsʰɿ3	
龍	noŋ2	
龜	kuei1	
