#漢字	音標	解釋
□	kʰu2	鼾睡时声
一	jieʔ7	
丁	tiaŋ1	
七	tɕʰieʔ7	
万	vɐn5	
丈	tsʰɔŋ5	
三	sɐn1	
上	sɔŋ3	上山
上	sɔŋ5	上面
下	ha5	下降
下	ha5	底下
丑	tsʰei2	
專	tson1	
業	ȵeʔ7	
東	teŋ1	
絲	sɿ1	
兩	tiɔŋ3	两个
兩	tiɔŋ3	几两几钱
嚴	ȵĩ2	
喪	sɔŋ1	
个	kei5	
丫	ʔa1	丫头
中	tseŋ5	射中
丰	feŋ1	
串	tsʰon5	
丹	tan1	
舉	tɕi3	
久	tɕiu2	
烏	vu1	
樂	jioʔ7	音乐
乘	tsʰeŋ2	
乙	jieʔ7	
九	tɕiu2	
習	ɕieʔ7	
鄉	ɕiɔŋ1	
書	su1	
買	mai1	
亂	lon5	
事	sɿ5	
二	ȵi5	
虧	kʰue1	
云	jiŋ2	
五	ʔen3	
井	tɕi3惊iaŋ3	
交	kau1	
畝	mei2	
京	tɕiŋ1	
亮	tiɔŋ5	
親	tɕʰiŋ1	
親	tɕʰiŋ5	亲家
人	ȵiŋ3	
億	ji3	
今	tɕin5	
介	kai5	
倉	tsʰɔŋ2	
仗	tsɐŋ5	
代	tai5	
件	tɕʰĩ5	
價	ka5	
任	jin5	责任
企	tɕʰi5	
會	kʰue5	会计
傘	sɐn3	
傳	tsʰon2	
伢	ŋa2	小孩子
傷	sɔŋ1	
估	ku3	
伴	pʰuan5	
伸	seŋ1	
位	vei5	
住	tsʰu22	
體	tʰi3	
佛	fuʔ7	
作	tsuʔ7	作坊,工作
供	keŋ1	供给,供不起
側	tseʔ7	
便	pʰĩ2	便宜
便	pʰĩ5	方便
俗	suʔ7	
保	pau3	
信	ɕiŋ5	
倍	pʰei5	
倒	tʰau3	倒水
倒	tau3	打倒,顛倒
借	tɕia7	
債	tsai5	
值	tsʰeʔ7	
假	ka3	
假	ka5	放~
假	ka3	真~
偏	pʰĩ1	
做	tsɔ5	
停	tʰiŋ2	
健	tɕĩ5	
偷	tʰeu1	
傅	fu5	
像	ɕiɔŋ5	
元	jĩ2	
兄	ɕiaŋ1	
充	tsʰeŋ1	
先	ɕĩ1	
光	kɔŋ1	
克	kʰeʔ7	
兔	tʰu5	
黨	tɔŋ3	
入	luʔ7	
全	tɕʰĩ2	
八	pɐʔ7	
公	keŋ1	
六	təuʔ7	
蘭	lɐn2	
共	kʰeŋ5	
關	kʰuan1	
兵	piŋ1	
典	tĩ3	
册	tsʰaʔ7	
册	tsʰɐʔ7	
寫	ɕia3	
軍	tɕiŋ1	
農	neŋ2	
冢	tseŋ3	
冤	jĩ1	
冬	teŋ1	
冰	piŋ1	
凍	teŋ5	
淨	tɕʰiaŋ5	
準	tseŋ3	准确
涼	tiɔŋ2	
几	tɕi3	几个
鳳	feŋ5	
凳	teŋ5	
凶	ɕiŋ1	凶吉
出	tsʰuoʔ7	
刀	tau1	
分	feŋ1	分开
切	tɕʰieʔ7	切开
劉	liu2	
則	tseʔ7	
創	tsʰɔŋ1	
初	tsʰu1	
删	sɐn5	
判	pʰuan5	
别	pʰeʔ7	区别
到	tau5	
刷	suoʔ7	
剃	tʰei5	
削	ɕioʔ7	
前	tɕʰĩ2	
剮	kua3	
剖	pʰɔ5	
剝	poʔ7	
剪	tɕĩ3	
