#漢字	音標	解釋
#簡稱	/	淸末溫州
#全稱	/	淸末溫州話
#聲母	/	
#韻母	/	
#聲調	/	44 1 1a 陰平 ꜀,331 2 1b 陽平 ꜁,45 3 2a 陰上 ꜂,34 4 2b 陽上 ꜃,42 5 3a 陰去 ꜄,22 6 3b 陽去 ꜅,223 7 4a 陰入 ꜆,112 8 4b 陽入 ꜇
#版本	/	2021-10-21
#錄入人	/	阿纓
#參考資料	/	《淸末溫州方言音系研究》《溫州方言入門》
#說明	/	
□	pʰɜ1	柚子
□	mɜ2	<無好>壞
□	mɜ4	<無好>無能；不聰明
□	dɜ2	推
□	ɕiai7	<扌穴>擲
□	tɕʰiau1	<竹/[勹@九]>箍
□	ȵiau8	「若屋」合音：哪裡
□	tɕyʊŋ1	向前急跳
□	pʰʊŋ1	凸出
□	sʊŋ3	<扌送>順勢推去
□	ʔʊŋ5	<邕臭>腐爛發出臭氣
□	ʔlau1	<婁刂>挖摳
□	zau4	猛刺
□	kau7	「居屋」二字合音：這裡
□	kʰau1	<竹/[勹@九]>箍
□	hau3	～起：急切希望
□	ɕiɛ1	掀起
□	vɛ4	<天/明>～亮，天空明亮
□	dzɛ6	<石長>用力擠進
□	piɛ1	嘴～開，張開
□	pɛ1	液體急速射出
□	biɛ2	跨過
□	nɛ2	伸頭
□	nɛ6	用力；使勁
□	hɛ5	<扌亨>從上向下打
□	fai1	「不要」合音
□	tai3	<[阜-十]力>拉扯
□	tʰai1	<火追>剖殺
□	ʔnai1	<月[衣@多]>肥胖貌
□	lai6	<足耒>跌倒
□	tsai3	<氵再>驚而肉跳
□	ʔʋai7	<殳頁>沒入水中
□	ʔʋai1	<缶畏>～兒：小罐
□	ʔʋai5	<疒@畏>疲倦
□	kaŋ5	煙嗆人
□	ɡʋaŋ2	<匚@汵>下覆
□	ɡʋaŋ6	<匚@汵>下覆貌
□	ɡʋaŋ4	<气頁>腫
□	pʰa7	分開
□	fa1	煮爛
□	fa5	～心，噁心
□	da2	<幹/火>燎火
□	da4	<竹/戾>竹器
□	la2	～巾巫，不修邊幅；工作不認真
□	la6	<土賴>～尿，拉尿
□	tsʰa7	<斥皮>手裂
□	sa7	<屍@臿>插塞
□	za6	<疒@柴>瘦
□	za4	水<魚戔>，龍頭魚
□	ha7	撒謊
□	dziŋ6	<舟帣>～頭，兩頭荷物重量相稱
□	nø8	女人萬福
□	lø2	用刀割一圓圈
□	ʔlø1	用刀割一圓圈
□	pʰi1	<皮刂>削去一薄層
□	ŋɔ4	～你：咱們，「我伉你」的合音
□	tʰe3	<口台>音不正
□	he5	<盍頁>囟門
□	bo2	
□	bo8	<月暴>蟲咬所起皮膚疙瘩
□	bo6	<齒巴>～牙
□	mo2	<扌麻>抓
□	to7	<豖攴>輕敲
□	lo8	<各刂>割下
□	zo8	罵
□	zo6	<蟲宅>魚，水母
□	ko7	鍋上烤幹
□	ʔo7	全；都
□	tu7	耷拉著嘴
□	dzu6	用力下捺
□	ɕyɔ5	腳猛踢
□	bi8	
□	li8	
□	ȵi6	～頭，癮
□	ʔi5	<貝匽>比長短
□	vu2	<巾監>～，不修邊幅
□	ɡu4	鈍刀來回割
□	tsɿ1	從小孔或細縫滲出、擠出
□	tsʰɿ5	<朿見>看
□	dzɿ4	刀劃開、刺進
㑚	nɛ2	伸出、昂起: ～耳朵
㔣	lai6	滚动、转动
㔶	kaŋ3	蓋
㨄	dɜ2	推
㪗	tʰau3	展开
㬹	tsɛ1	脚～:脚踝
㶭	ʔjiau3	植物枯萎
㾹	za6	瘦
一	ʔi7	～个
一	ʔjiai7	～心～意、十分之～
一	ʔie7	
丁	tiŋ1	
七	tsʰai7	
万	ba6	
万	va6	
丈	dzie4	
三	sa1	
上	zie6	～帝
上	zie4	動詞
下	ho3	撒播: ～种
下	ɦo4	有时变读为[o34]
下	ʔo3	～兒，一會兒
下	ʔo5	一～
下	ɦo6	下沉
不	fu3	～爱、快活～尽
不	pai7	～论
丐	kʰø7	
丐	ha5	給
丐	ke5	
丑	tsʰiu3	
專	tɕye1	
且	tsʰi3	
丕	pʰi1	
世	si5	
丘	tɕʰiau1	
丙	piŋ3	
業	ȵie8	
東	tʊŋ1	
丞	ziŋ2	
丟	tu1	
丟	tiu1	
兩	lɛ2	～个
兩	lie4	一～银
嚴	ȵie2	
並	biŋ4	
喪	sɔ1	～葬
丫	ʔjia1	丫頭
丫	ʔo1	
中	tɕyʊŋ1	
中	tɕyʊŋ5	
丰	fʊŋ1	
丰	hʊŋ1	
丱	kʋa5	
串	tɕʰyʊŋ5	
串	tɕʰye5	
臨	liŋ2	
丸	ɦʋaŋ2	𢳀～:抓阄
丸	jye2	
丹	ta1	
爲	ɦy6	难～ ,因～
主	tɕiɿ3	
丼	taŋ3	坑
丽	li6	
舉	tɕy3	
