#漢字	音標	解釋
□	xɑ1	弯:~腰
䥛	tɕie7	
一	ie7	
丁	tin1	
七	tɕʰie7	
万	uan5	
丈	tsaŋ5	
三	san1	
上	saŋ5	动词,~去
上	saŋ5	方位,~面
下	ɕia5	~面
下	ɕia5	~降
不	pʉ7	否定
与	y3	
丐	kai5	
丑	tsʰəu3	地支名
丑	tsʰəu3	难看
專	tsuan1	
且	tɕʰi3	
丕	pʰei1	
世	sɿ2	
丘	tɕʰiəu1	
丙	pin3	
業	nie7	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tsʰen2	
丢	tiəu1	
兩	niaŋ3	~个
兩	niaŋ3	斤
嚴	niᴇ2	
喪	saŋ1	~事
喪	saŋ5	~失
个	ko5	
丫	ia1	
中	tsoŋ1	
中	tsoŋ5	
丰	foŋ1	
串	tsʰuan5	
臨	nin2	
丸	uan2	
丹	tan1	
爲	uei5	~人民服务
爲	uei2	行~
主	tsu3	
麗	ni5	
舉	tɕy3	
乃	nai3	
久	tɕiəu3	
義	ni5	
之	tsɿ1	
烏	vu1	
乍	tsɑ5	
乎	fu1	
乏	fæ7	
樂	nʉ7	~观
樂	io7	音~
喬	tɕʰiau2	
乖	kuai1	
乘	sen2	
乙	ie7	
九	tɕiəu3	
乞	tɕʰie7	
也	i3-	
也	ie3	
習	ɕie7	
鄉	ɕiaŋ1	
書	su1	
買	pʰai3	
亂	nuan5	
乳	zu3	
乾	tɕʰiᴇ2	
了	niau3	~解
了	niau3	明~
予	y3	
爭	tsen1	
事	sɿ5	
二	ɚ5	
于	y2	~是,姓
于	y2	在~
虧	kʰuei1	
云	yn2	诗~
互	fu5	
五	vu3	
井	tɕin3	
亞	ia5	
些	ɕi1	
亡	uaŋ2	
交	tɕiau1	
亥	xai2	
亦	ie7	
產	tsʰan3	
亨	xen1	
畝	moŋ3	
享	ɕiaŋ3	
京	tɕin1	
亭	tʰin2	
亮	niaŋ5	
親	tɕʰin1	~生
親	tɕʰin5	~家
人	zen2	
億	i5	
什	sɘ7	~物
仁	zen2	
仄	tsæ7	
僅	tɕin3	
仆	pʰʉ7	~人
仆	pʰʉ7	前~后继
仇	tsʰəu2	姓
仇	tsʰəu2	报~
今	tɕin1	
介	tɕie5	
仍	zen2	
从	tsʰoŋ2	~容
从	tsʰoŋ2	跟~
仑	nen2	
倉	tsʰaŋ1	
仕	sɿ5	
他	təu1	
仗	tsaŋ5	
付	fu5	
仙	ɕiᴇ1	
代	tai5	
令	nin5	
以	i3	
儀	ni5	
仰	iaŋ3	
仲	tsoŋ5	
件	tɕiᴇ5	
價	tɕia5	
任	zen5	~务
任	zen5	姓
份	fen5	
仿	faŋ3	~效
仿	faŋ3	相~
企	tɕʰi3	
伊	i1	
伍	vu3	
伏	fʉ7	
伐	fæ7	
休	ɕiəu1	
衆	tsoŋ5	
優	iəu1	
伙	xu3	~计
伙	xu3	~食
會	kʰuai5	
會	xuei5	~不
會	xuei5	开~
傘	san3	
偉	uei3	
傳	tsʰuan2	~达
傳	tsuan5	~记
伢	ia2	
傷	saŋ1	
倫	nen2	
僞	uei3	
伯	pæ7	
估	ku3	
伴	pan5	
伸	tsen1-	
伸	tsʰen1=	
伺	tsʰɿ5	
似	sɿ5	
佃	tiᴇ5	
但	tan5	
位	uei5	
低	ti1	
住	tsu5	
佐	tsu3	
佑	iəu5	
體	tʰi3	
佔	tsan5	
何	xu2	
佘	sei1	
余	y2	多~
余	y2	姓
佛	fʉ7	
作	tsʉ7	
佞	nin5	
你	niəu1	
你	ni3=	
佢	tɕy5	
佩	pʰei5	
佳	tɕia1	
使	sɿ3	
侄	tsɘ7	
侈	tsʰɿ3	
例	ni5	
侍	sɿ5	
供	koŋ5	~给
供	koŋ5	上~
依	i1	
俠	ɕiæ7	
僥	tɕiau3	
偵	tsen1	
側	tsæ7-	
僑	tɕʰiau2	
儂	noŋ2	
侮	vu3	
侯	xəu2	
侵	tɕʰin2	
便	pʰiᴇ2	~宜
便	piᴇ5	方~
係	ɕi5	
促	tsʰʉ7	
俄	u2	
俊	tɕyn5	
俏	tɕʰiau5	
俗	sʉ7	
俘	fu1	
保	pau3	
俞	y2	
信	ɕin5	
儼	niᴇ2	
儉	tɕiᴇ3	
修	ɕiəu1	
俯	fu3	
俱	tɕy5	
俸	foŋ5	
俾	pi3	
倍	pei5	
倒	tau5	~着走
倒	tau3	打~
倔	tɕiʉ7	
倘	tʰaŋ3	
候	xəu5	
倚	i3	
借	tɕi5	
倡	tsʰaŋ1	
倦	tɕyᴇ5	
倪	ni2	
倭	u1	
值	tsɘ7	
傾	tɕʰyn1	
假	tɕia3	放~
假	tɕia3	真
偏	pʰiᴇ1	
偕	ɕie2	
做	tsu5	
停	tʰin2	
偢	tɕʰiau5	
健	tɕiᴇ5	
偶	ŋəu3	~然
偶	ŋəu3	配~
偷	tʰəu1	
償	saŋ2	
傀	kʰuei2	
傅	fu5	
傍	paŋ5	
傢	tɕia1	
儲	tsʰu2	
催	tsʰuei1	
傲	ŋau5	
傻	sɑ3	
像	ɕiaŋ5	
僚	niau2	
僧	sen1	
僵	tɕiaŋ1	
僻	pʰie7	
儒	zu3	
儡	nuei3	
兒	ɚ2	
允	yn3	
元	yᴇ2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	tsau5	
先	ɕiᴇ1	
光	kuaŋ1	
克	kʰə7	
免	miᴇ3	
兑	tuei5	
兔	tʰu5	
黨	taŋ3	
兜	təu1	
入	zʉ7	
全	tɕʰyᴇ2	
八	pæ7	
公	koŋ1	
六	nʉ7	
兮	ɕi1	
蘭	nan2	
共	koŋ5	
關	kuan1	
興	ɕin1	~旺
興	ɕin5	~趣
兵	pin1	
其	tɕʰi2	
具	tɕy5	
典	tiᴇ3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕiᴇ1	
獸	səu5	
冀	tɕi5	
内	nei5	
岡	kaŋ1	
冉	zan3	
册	tsʰæ7	
再	tsai5	
冒	mau5	
冗	zoŋ3	
寫	ɕi3	
軍	tɕyn1	
農	noŋ2	
冠	kuan5	~军
冠	kuan1	衣~
冢	tsoŋ3	
冤	yᴇ1	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
冲	tsʰoŋ1	
決	tɕiʉ7	
况	kʰuaŋ5	
冷	nen3	
凍	toŋ5	
淨	tɕin5	
凄	tɕʰi1	
準	tsuən3	
涼	niaŋ2	
凋	tiau1	
凌	nin2	
減	tɕiᴇ3	
湊	tsʰəu5	
凜	nin2	
凝	nin5	
几	tɕi1	~乎
几	tɕi3	~个
几	tɕi3	茶~
凡	fan2	
鳳	foŋ5	
凭	pʰin2	
凱	kʰai3	
凰	xuaŋ2	
凳	ten5	
凶	ɕioŋ1	~恶
凶	ɕioŋ1	吉~
凸	tʰʉ7	
凹	ŋau1	
出	tsʰʉ7	
擊	tɕie7	
函	xan2	
鑿	tsʉ7	
刀	tau1	
刁	tiau1	
刃	zen3	
分	fen1	
切	tɕʰie7	
刈	i5	
刊	kʰan1	
刎	uən3	
刑	ɕin2	
划	xɑ5	
划	xɑ7	
列	nie7	
劉	niəu2	
則	tsæ7	
剛	kaŋ1	
創	tsʰuaŋ5	~造
初	tsʰu1	
删	suan1	
判	pʰan5	
刨	pau5	~子
刨	pʰau2	挖掘
利	ni5	
别	pie7	~针
别	pie7	分~
刮	kua7	
到	tau5	
制	tsɿ5	~度
制	tsɿ5	~造
刷	sua7	
券	tɕyᴇ5	
刺	tsʰɿ5	
刻	kʰə7	时~表
刻	kʰə7	用刀~
劊	kʰuai5	
刴	tu5	
劑	tɕi5	
剃	tʰi5	
削	ɕiʉ7	
前	tɕʰiᴇ2	
剮	kɑ3	
劍	tɕiᴇ5	
剔	tʰie7	
剖	pʰu3	
剜	uan1	
剝	pʉ7	
劇	tɕy5	~烈
劇	tɕy5	戏
剩	sen5	
剪	tɕiᴇ3	
副	fu5	
割	kə7	
剿	tɕiau3	
劈	pʰie7	
力	nie7	
勸	tɕʰyᴇ5	
辦	pan5	
功	koŋ1	
加	tɕia1	
務	vu5	
劣	nie7	
動	toŋ5	
助	tsu5	
努	nu3	
劫	tɕʰie7	
勵	ni5	
勁	tɕin5	~敌
勁	tɕin5	有~
勞	nau2	
勢	sɿ5	
勃	pʉ7	
勇	ioŋ3	
勉	miᴇ3	
勳	ɕioŋ1	
勒	næ7	
勘	kʰan1	
募	mu5	
勤	tɕʰin2	
勺	sʉ7	
勾	kəu1	~引
勾	kəu5	~当
勿	o7	
匀	yn2	
包	pau1	
化	xɑ5	
北	pæ7	
匙	sɿ2	钥~
匠	tɕiaŋ5	
匡	kʰuaŋ1=	
匣	ɕiæ7	
匪	fei3	
匹	pʰie7	
區	tɕʰy1	地~
區	ŋəu1	姓
醫	i1	
匾	piᴇ3	
匿	nie7	
十	sɘ7	
千	tɕʰiᴇ1	
升	sen1	
午	vu3	
卉	xuei5	
半	pan5	
華	xɑ2	~山
華	xɑ2	中~
協	ɕie7	
卑	pei1	
卒	tsʉ7	
卓	tsʉ7	
單	tan1	~独
單	san5	姓
賣	pʰai5	
南	nan2	
博	pʉ7	
卜	pʰʉ7	
占	tsan5	
盧	nu2	
卤	nu3	
卦	kɑ5	
臥	u5	
衛	uei5	
卯	mau3	
印	in5	
危	uei2	
即	tɕie7	
卻	tɕʰiʉ7	
卵	nuan3	
卷	tɕyᴇ3	~起来
卷	tɕyᴇ5	考~
卸	ɕi5	
卿	tɕʰin1	
廠	tsʰaŋ3	
厄	ŋə7	
廳	tʰin1	
历	nie7	~史
历	nie7	~书
厲	ni5	
壓	ia5	
厭	iᴇ5	
廁	tsʰæ7	
厘	ni2	
厚	xəu5	
原	yᴇ2	
廂	ɕiaŋ1	
厥	tɕiʉ7	
厦	ɕia5	~门
厦	sɑ3	高楼大
廚	tsʰu2	
厮	sɿ1	
去	tɕʰy5	
縣	ɕiᴇ5	
参	tsʰan1	~加
参	tsʰen1	~差
参	sen1	人~
又	iəu5	
叉	tsʰɑ1	~子
及	tɕie7	
友	iəu3	
雙	suaŋ1	
反	fan3	
发	fæ7	~展
发	fæ7	头~
叔	sʉ7	
取	tɕʰy3	
受	səu5	
變	piᴇ5	
敍	ɕy2	
叛	pʰan5	
叟	səu3	
疊	tie7	
口	kʰəu3	
古	ku3	
句	tɕy5	
另	nin5	
叨	tʰau1	
叩	kʰəu5	
只	tsɿ3	~有
只	tsɿ1	一~
叫	tɕiau5	
召	tsau1	
叮	tin1	
可	kʰu3	
台	tʰai2	~湾
台	tʰai1	天,᪶州
台	tʰai2	平
史	sɿ3	
右	iəu5	
葉	ie7	
號	xau2	~叫
號	xau5	口~
司	sɿ1	
嘆	tʰan5	
吁	ɕy1	
吃	tsʰɘ7	
各	kə7	
吆	iau1	
合	xə7	~作
合	xə7	十~一升
吉	tɕie7	
吊	tiau5	
同	tʰoŋ2	
名	min2	
后	xəu5	~来
后	xəu5	皇~
吏	ni5	
吐	tʰu3	~痰
吐	tʰu3	呕~
向	ɕiaŋ5	
嚇	ɕia5	~一跳
嚇	xə7	恐~
呂	ny3	
君	tɕyn1	
吝	nin5	
吞	tʰen1	
吟	in2	
吠	fei5	
否	foŋ3	
吧	pɑ1	酒~
吩	fen1	
含	xan2	
聽	tʰin5	~话
聽	tʰin5	~任
吮	suən2	
啓	tɕʰi3	
吳	vu2	
吵	tsʰau3	
吸	tɕie7-	
吹	tsʰuei1	
吻	uən3	
