#漢字	音標	解釋#('hak_whhb', '五華橫陂客家話', '五華橫陂', '#8B0000', None, None, '來源：魏宇文《五華方言同音字彙》，<u>阿纓</u>提供，<u>osfans</u>校對', '44 1 1a 陰平 ꜀,13 2 1b 陽平 ꜁,31 3 2 上 ꜂,,53 5 3 去 ꜄,,1 7 4a 陰入 ꜆,5 8 4b 陽入 ꜇', None, None)
□	ho1	～～kaplkapl，狼吞虎咽
□	ŋa1	～東西，我的東西
□	ŋio1	～皺，揉皺
□	lan1	～丫，一種小孩用的圍頸布
□	lau1	～糠飯，拌
□	lin1	～～tsʰin tsʰin，趔趄
□	io1	～，肚皮大
□	oi1	爺～，父母
□	pat8	用布類拍打
□	pok8	～丸，錘肉丸
□	ket8	～～tiau5，說個不停
□	kit8	～～tiau5，冷得打抖
□	kʰat8	～倒脚，夾傷了脚
□	kʰet8	～羹，煮米糊
□	tsip8	～ti3ti1，喝一點
□	tsʰut8	～净來，抹干净
□	sok8	～脆：很脆
□	sot8	唔～，不理你
□	ʂit8	月～
□	tok7	～等來，等著接東西
□	tuk7	～目睡，打瞌睡
□	fit7	～東西，扔
□	tsep7	一～米，一把米
□	tsʰot7	～人，騙人
□	siap7	～桌，墊
□	tʂit7	～有
□	mut7	腐爛
□	nat7	～人，燙人
□	ŋiap7	車胎～，車胎没氣
□	ŋiap7	～酒
□	ŋok7	不好，差勁
□	lut7	～褲，脱褲
□	toi3	～錢，較大數量的錢
□	kiam3	～東西
□	kʰiaŋ3	～錢，省錢
□	kʰoi3	肚～，肚子餓
□	tsia3	～婆，姥姥
□	tsui3	雞～食，啄食
□	tsʰoi3	好～，好運
□	ʂoŋ3	～燈
□	noŋ3	～et7ti5，浪費
□	ŋioŋ3	～豆腐
□	tin2	～～tintin，水、油等往下滴
□	ku2	～脈個，說什么，貶義
□	siu2	脚～，酸疼
□	ʂam2	～宗
□	men2	爛了
□	mioŋ2	～i1，芒草
□	nem2	軟熱
□	neu2	粥～；粥稠
□	nuŋ2	～～i1行，喻小孩學走路的樣子
□	pʰiau5	～洗
□	ton5	階梯的級
□	toŋ5	～唔得，比不上
□	tun5	針～倒人，針刺傷人
□	tin5	tin2tin2～～
□	kʰe5	～哥，情人，貶義
□	tsiaŋ5	倒
□	tson5	～石
□	tʂon5	倒塌
□	ŋa5	牙牙～～，小孩哭聲，吵鬧聲
□	ŋoŋ5	～牯，傻子
□	len5	～磚，做泥磚的一道工序
□	leu5	～雞，叫雞吃食
□	liam5	量詞
□	lon5	雞～，小母雞
㩳	səŋ3	推
钁	kiok7	～頭，鋤頭
一	it7	
一	kau5	～目
丁	taŋ1	
七	tsʰit7	
丈	tʂʰoŋ3	
三	sam1	
上	ʂoŋ1	～山
上	ʂoŋ3	～背，上面
下	ha1	底～
下	ha3	～降
不	put7	
丐	koi5	乞～
且	tsʰia3	
世	ʂi5	
丘	ʂiu1	
丙	piaŋ3	
丞	ʂin2	
丟	tiu1	
並	pun5	
丫	a1	
中	tʂuŋ1	
中	tʂuŋ5	射～
串	tʂʰon5	
丸	ien2	肉～
主	tʂu3	
乃	nai1	
久	kiu3	
么	iau1	～二三
之	tʂi1	
乍	tsa5	
乎	fu2	
乏	fat8	
乖	kai1	
乘	ʂin5	
乙	iet7	
九	kiu3	
乞	net7	～討
也	ia1	
乳	i1	豆腐～
亂	lon3	
了	liau3	
事	sɿ3	
亍	tsʰok7	彳～，散步
互	fu1	
五	ŋ3	
