#漢字	音標	解釋
㔶	kaŋ3	盖子
一	iɛʔ7	
七	tsʰeʔ7	
万	uaŋ6	
丈	tɔŋ6	单位
丈	tiɔŋ6	
三	saŋ1	
上	ɕiɔŋ6	动
下	ŋa2	方位
不	puʔ7	
丑	tʰieu3	
世	ɕiɛ5	
丘	kʰieu1	
業	ȵiɛʔ8	
東	tuŋ1	
絲	ɕi1	
兩	laŋ3	~个
嚴	ȵiɛŋ2	
个	kɔi5	一~
中	tuŋ1	~秋
中	tsuŋ1	~秋
主	tɕyɛ3	
舉	ky3	
久	kieu3	
義	ȵiɛ6	
烏	uɔ1	
九	kau3	
乞	kʰeʔ7	
習	seʔ8	
鄉	ɕiɔŋ1	
書	ɕy1	
買	me3	
亂	lɔŋ6	
爭	tsaŋ1	
爭	tsɛŋ1	战~
事	su6	物~
二	ȵi6	
于	yɛ1	
虧	kʰue1	
云	yŋ2	
五	ŋ̍6	
五	ŋu6	
井	tsaŋ3	
交	kau1	
交	ka1	
產	saŋ3	
畝	mɛu3	
京	kieŋ1	
親	tɕʰieŋ1	~戚
从	tsuŋ2	介
仑	lyŋ2	
倉	tsʰɔŋ1	
仗	tʰɔŋ6	
令	lieŋ6	
件	kyɛŋ6	
任	ȵieŋ6	姓
份	huŋ6	
伏	huʔ8	埋~
休	ɕieu1	
衆	tsuŋ5	
優	ieu1	
會	hue6	开~
傘	saŋ3	
傳	tyɛŋ2	
傷	ɕiɔŋ1	
伴	puaŋ5	
伸	tɕʰyɛŋ1	
位	ue6	
低	te3	
體	tʰe3	
何	hɔ2	
佛	huʔ8	
作	tsɔʔ7	
佳	ka1	
使	su3	
側	tsɛʔ7	
側	tsʰɛʔ7	
儂	nɛŋ2	人,原文记作农
便	piɛŋ6	方~
俗	ɕiɔʔ8	
修	ɕieu1	
借	tɕyɛ5	
債	tsai5	
值	tseʔ8	
假	ka3	真~
做	tsɔ5	
停	tieŋ2	
偷	tʰau1	
像	tɕʰiɔŋ6	
僻	pʰeʔ7	
兒	ȵi2	~婿
允	yŋ3	
元	ŋuɔŋ2	
兄	hiaŋ1	
先	sɛŋ1	
先	ɕiɛŋ1	
光	kuɔŋ1	
克	kʰɛʔ7	
黨	tɔŋ3	
兜	tau1	
全	tɕyɛŋ2	
八	pɛʔ7	
公	kuŋ1	
六	lɛʔ8	
蘭	laŋ2	
共	kiuŋ6	
關	kuaŋ1	~门
興	ɕieŋ1	绍~
兵	pieŋ1	
具	ky6	
典	tiɛŋ3	
養	iɔŋ3	
兼	kʰiɛŋ1	
内	nɔi6	~部
册	tsʰa5	
再	tsai5	
寫	ɕia3	
軍	kyŋ1	
冬	tɛŋ1	
馮	puŋ2	
冰	pieŋ1	
準	tɕyŋ3	
凊	tɕʰieŋ5	冷
減	kɛŋ3	
湊	tsʰɛu5	
几	tɕi1	茶~
凳	tieŋ5	
出	tɕʰyʔ7	
擊	keʔ7	
鑿	tsʰɛʔ8	
刀	tɔ1	
刁	tiɛu1	
分	huŋ1	
切	tsʰɛʔ7	
刑	hieŋ2	
剛	kɔŋ1	
