#漢字	音標	解釋
㪕	tsʰɔu5	〜起棍子
㪗	tʰəu3	展开,〜气
䖳	tsa5	
䝋	tsuəŋ3	
一	i3	
丁	tiəŋ1	
七	tʃʰɿ3	
万	uan5	
丈	tʃɑŋ5	
三	san1	
上	ʃɑŋ2	〜山
上	ʃɑŋ5	〜面
下	ɕia5	底〜,〜降
不	pu3	
与	y2	及,给〜
丐	kai5	
丑	tʃʰəu3	
專	tsuan1	
且	tʃʰiə3	
丕	pʰei1	
世	ʃɿ2	
丘	tɕʰiəu1	
丙	piəŋ1	
業	iə5	
叢	tsʰuəŋ2	
東	tuəŋ1	
絲	sɿ1	
丞	tʃʰəŋ2	
丢	tiəu1	
兩	liɑŋ3	~个,几〜
嚴	ian2	
並	piəŋ5	
喪	sɑŋ5	〜失
喪	sɑŋ5	婚〜
个	kuə5	
丫	ia1	
中	tsuəŋ5	射〜
中	tsuəŋ1	当〜
丰	fəŋ1	~收
串	tsʰuan5	
臨	liən2	
丸	uan2	
丹	tan1	
爲	uei5	作〜,〜什么
主	tʃy3	
麗	li5	美〜
舉	tɕy3	
久	tɕiəu3	
義	i5	
之	tsɿ1	
烏	u1	
乎	xu2	
乏	fa2	
樂	luə5	
樂	yə5	音〜
喬	tɕʰiɔu2	
乖	kuai1	
乘	tʃʰəŋ2	
乙	i3	
九	tɕiəu3	
乞	tɕʰi5	
也	iə3	
習	ʃɿ1	
習	ʃɿ3	
鄉	ɕiɑŋ1	
書	ʃy1	
買	mai3	
亂	lan5	
乳	y3	
乾	tɕʰian1	〜坤
了	liɔu3	〜结
爭	tsəŋ1	
事	sɿ2	
二	ɚ2	
于	y2	
虧	kʰuei1	
云	yən1	
互	xu2	
五	u3	
井	tʃiəŋ3	
亞	ia3	
些	ʃiə1	
亡	uɑŋ2	
交	tɕiɔu1	
亥	xai5	
亦	i2	
產	tsʰan3	
亨	xəŋ1	
畝	mu3	
享	ɕiɑŋ3	
京	tɕiəŋ1	
亭	tʰiəŋ2	
亮	liɑŋ5	
親	tʃʰiən1	
親	tʃʰən5	〜家
人	iən1	
億	i5	
什	ʃɿ2	(〜物)
仁	iən2	
僅	tɕiən3	
仆	pʰu3	
仇	tʃʰəu2	报〜,姓
今	tɕiən1	
介	tɕie5	
仍	ləŋ3	
从	tsʰuəŋ5	
仑	lən2	
倉	tsʰɑŋ1	
仕	sɿ5	
他	tʰa1	
仗	tʃɑŋ5	
付	fu5	
仙	ɕian1	
代	tai5	
令	liəŋ5	
以	i3	
儀	i2	
仰	iɑŋ1	
仲	tsuəŋ2	
件	tɕian2	
價	tɕia5	
任	iən1	姓
任	iən2	责〜
份	fən2	一〜两〜
仿	fɑŋ3	〜效
仿	fɑŋ3	相似
企	tɕʰi3	
伊	i2	
伍	u3	
伏	fu2	
伐	fa5	
休	ɕiəu1	
衆	tsuəŋ5	
優	iəu1	
伙	xuə3	
會	xuei2	〜不〜
會	kʰuai5	〜计
會	xuei5	开〜
傘	san3	
偉	uei3	
傳	tsʰuan3	~达
傳	tsuan5	~记
伢	ia1	
傷	ʃɑŋ1	
倫	lən2	
僞	uei3	
伯	pə3	
估	ku3	
伴	pan5	
伶	liəŋ1	
伸	ʃən1	
似	sɿ5	
佃	tian5	
但	tan2	
位	uei5	
低	ti1	
住	tʃy5	
佐	tsuə5	
佑	iəu5	
體	tʰi3	
何	xuə2	
余	y2	
佛	fu2	仿〜
作	tsuə5	〜坊,工〜
佞	niəŋ2	
你	ni3	
佩	pʰei5	
佳	tɕia1	
使	sɿ3	
侄	tʃɿ2	
侈	tʃʰɿ3	(奢〜)
例	li5	
侍	sɿ5	
供	kuəŋ5	
依	i1	
僥	tɕiɔu3	〜幸
偵	tʃən1	
側	tsʰə3	
僑	tɕʰiɔu2	
儂	nuəŋ1	
侮	u3	
侯	xəu2	
侵	tʃʰiən1	
便	pʰian2	〜宜
便	pian3	方〜
促	tɕʰu3	
俄	uə1	
俊	tʃən5	
俏	tʃʰɔu5	
俗	su2	
俘	fu2	
保	pɔu3	
俟	sɿ5	
信	ʃiən5	
儼	ian2	~然
儉	tɕian3	
修	ʃəu1	
俯	fu3	
俱	tɕy5	
俸	fəŋ5	
俾	pi5	
倍	pei5	
倒	tɔu5	〜水
倒	tɔu3	打〜,颠〜
倔	tɕyə2	〜强
倔	tɕyə2	脾气〜
倘	tʰɑŋ3	〜使
候	xəu5	〜车
借	tʃiə5	
倡	tʃʰɑŋ1	提〜
倦	tɕyan5	
倪	ni5	
倭	uə1	
債	tsai5	
值	tʃɿ2	
傾	tɕʰiəŋ1	
假	tɕia3	真〜,放〜
偏	pʰian1	
做	tsuə5	〜作业
做	tsəu5	〜饭
停	tʰiəŋ3	
健	tɕian5	
偶	əu3	〜然
偶	əu3	配〜
偷	tʰəu1	
償	tʃʰɑŋ2	
傀	kʰuei2	〜儡
傅	fu5	
傍	pɑŋ5	
儲	tʃʰy3	
催	tsʰei1	
傲	ɔu5	
傻	ʃa3	
像	ʃɑŋ5	
僧	səŋ1	
僵	tɕiɑŋ1	
僻	pʰi2	
儒	y5	
儡	lei3	傀~
兒	ɚ1	
允	yən5	
元	yan2	
兄	ɕyəŋ1	
充	tsʰuəŋ1	
兆	tʃɔu5	
先	ɕian1	
光	kuɑŋ1	
克	kʰə3	
免	mian3	
兑	tei5	
兔	tʰu5	
兗	ian3	
兜	təu1	
兢	tɕiəŋ3	
全	tsʰuan2	
八	pa3	
公	kuəŋ1	
六	liəu5	
兮	ɕi1	
蘭	lan1	
