#漢字	音標	解釋
䉪	lui	一種捕魚工具、深䉪,地名
一	jɐt	
丁	tɛŋ1	白讀
丁	tɪŋ1	
七	tsʰɐt	
丈	tsiuŋ	
三	sam1	
上	siuŋ1	
上	siuŋ	上面
下	ha5	打一下
下	ha	下面
不	pɐt	
丐	kʰui1	
丑	tsʰiau	
且	tsʰia	
世	sei1	
丘	jou1	
丙	pɪŋ	
丞	sɪŋ4	
丢	tiu1	
並	pɪŋ	
丫	ŋa1	
中	tsʊŋ1	
丰	fʊŋ1	
串	tsʰyn1	
丸	jan4	
丹	tan1	
主	tsi	
乃	nai5	
乃	nai1	
久	kɐu	
么	jau1	
之	tsi1	
乍	tsa1	
乎	fu4	
乏	fɐt	
乒	pɪŋ1	
乓	pɐm1	
乖	kuai1	
乘	sɪŋ4	乘船
乘	sɪŋ	萬乘之國
乙	jat	
九	kɐu	
乞	hɐt	
也	ja5	
乳	ji	又音
乳	ji5	
乳	jui5	汁液,白讀
乾	kun1	乾燥
乾	kun5	名詞,變調
乾	kʰin4	乾坤
亂	lun	
了	liu1	了結
了	liu	了解
予	ji5	給予
事	si	
二	ji	
于	ji1	
云	wɐn4	
互	wu	
五	m	
井	tsɛŋ	
亙	kɐŋ	
些	sia1	
亞	ŋa1	
亟	kɪk	亟需
亟	kʰei1	亟請
亡	muŋ4	
亢	kʰuŋ1	高亢
交	kiu1	
亥	hui	
亦	jɪk	
亨	hɐŋ1	
享	hiuŋ	
京	kɪŋ1	
亭	hɛŋ4	天亭,地名
亭	hɪŋ4	
亮	liuŋ	
人	jɐn4	
什	sɐm	什麼
什	tsap	什錦
仁	jɐn4	
仃	tɪŋ1	
仄	tsɐk	
仄	tsɪk	
仆	pʊk	
仆	fu	前仆後繼
仆	pʰʊk	
仆	pʰʊk	仆倒
仇	kʰɐu4	姓仇
仇	sɐu4	仇人
今	kɐm1	
今	kɐm4	今日
介	kai1	
仍	jɪŋ4	
仔	tsai	豬仔
仔	tsi	仔細
仕	si	
他	ha1	
仗	tsiuŋ1	打仗
仗	tsiuŋ	仗義
付	fu	
仙	sin1	
仝	hʊŋ4	
仞	jɐn	
仟	tsʰin1	
代	tui	
令	lɛŋ	白讀
令	lɪŋ1	一令紙
令	lɪŋ4	令狐
令	lɪŋ	命令
以	ji5	
仰	jiuŋ	
仰	ŋuŋ	
仲	tsʊŋ	
件	kin	
任	jɐm4	姓任
任	jɐm	信任
份	fɐn	
仿	fɐŋ	仿佛
企	kʰei1	
企	kʰei	屋企,家
企	kʰei5	
伊	ji1	
伍	m	
伏	fʊk	
伐	fɐt	
休	jou1	
伙	fu	
伯	pa1	春秋五伯
伯	pɐk	
伯	pɐk9	阿伯
伯	pɐk7b	伯爺
估	ku1	估衣
估	ku	估計
伴	pun	
伴	pʰun5	白讀
伶	lɪŋ4	
伸	sɐn1	
伺	si1	
伺	tsi	窺伺
似	tsʰi1	
伽	ka1	瑜伽
伽	kʰia4	伽藍
佃	tin	佃農
佃	hin4	佃作
但	tan	
佇	tsʰi1	
佇	tsʰi5	
佈	pou1	
位	wei	
低	tei1	
低	ti1	白讀
住	tsi	
佐	tsu1	
佑	jou	
佔	tsim1	
何	hu4	
佗	hu4	
余	ji4	
佚	jɐt	
佛	fɐt	佛教
佛	fɐt	仿佛
作	tsuk	
作	tsuk7b	
你	nei1	
佣	jʊŋ	
佩	pʰui1	
佳	kai1	
併	pʰɪŋ1	
使	sai	
使	si1	使者
侃	hun	
來	lui4	
侈	tsʰi	
例	lei	
侍	si	
侏	tsi1	
供	kʊŋ1	
依	ji1	
侮	mou5	
侯	hou4	
侵	tsʰɐm1	
侶	lui5	
便	pin	便利
便	pʰin4	大腹便便
係	hei	
促	tsʰʊk	
俄	ŋu4	
俊	tsɐn1	
俎	tsu	
俏	tsʰiu1	
俐	lei	
俑	jʊŋ	
俗	tsʊk	
俘	fu1	
保	pau	
俠	hɐp	
信	sɐn1	
修	sɐu1	
俯	fu	
俱	kʰui1	
俸	fʊŋ	
俺	jam	
倆	liuŋ	姓氏
倉	tsʰuŋ1	
個	kai1	
個	kə1	語流變讀
個	ku1	
倌	kun1	
倍	pʰui1	
倍	pʰui5	
倏	sʊk	
們	mun4	
倒	tau1	
倒	tau	
倔	kuɐt	
倖	hɐŋ	
倘	huŋ	
候	hou	
倚	ji	
借	tsia1	
倡	tsʰiuŋ1	
倦	kyn	
倩	sin	
倪	ŋei4	
倫	lɐn4	
值	tsɪk	
假	ka1	假如
假	ka	放假
偉	wei	
偉	wei5	
偎	wui1	
偏	pʰin1	
偕	kai1	
做	tsou	
停	hɪŋ4	
健	kin	
側	sɐk	邊側,地方
側	tsɐk	
偵	tsɪŋ1	
偶	ŋou1	
偶	ŋou5	
偷	hou1	
僞	ŋei	
傀	fai1	傀儡
傀	kuei1	傀偉
傅	fu	傅粉施朱
傍	puŋ	依山傍水
傍	puŋ	傍晚
傍	pʰuŋ4	傍晚
傑	kit	
傘	san1	
備	pei	
傢	ka1	
