#漢字	音標	解釋
□	æ2	小~:男孩
扯	tɕʰiɪ3	
擾	zɔ3	
扳	pæ1	
扶	fu2	
批	pʰi1	
扼	əʔ7	
找	tsɔ3	
承	tsʰən2	
技	tɕi5	
抄	tsʰɔ1	
抉	tɕyəʔ7	
把	pa3	
抑	iɪʔ7	
抒	su1	
抓	tsua1	
投	tʰəi2	
抖	təi3	
抗	kʰaŋ5	
折	tsəʔ7	
撫	fu3	
抛	pʰɔ1	
摳	kʰəi1	
搶	tɕʰiaŋ3	
護	hu5	
報	pɔ5	
披	pʰi1	
抬	tʰɛ2	
抱	pɔ5	
抵	ti3	
抹	maʔ7	
抹	məʔ7	
押	iaʔ7	
抽	tsʰəi1	
抿	min3	
拂	fəʔ7	
拄	tsu3	
擔	tæ1	~任
拆	tsʰəʔ7	
拇	məu3	
拈	liɪ1	
拉	la1	
拌	pø5-	
拌	pæ5=	
拍	pʰəʔ7	
拎	lin1	
拐	kuɛ3	
拒	tɕy5	
拓	tʰəʔ7	
拔	paʔ7	
拖	tʰəu1	
拘	tɕy1	
拙	tsuəʔ7	
招	tsɔ1	
拜	pɛ5	
擬	li3	
攏	loŋ3	
揀	kæ3	
擁	ioŋ1	
攔	laʔ7-	
攔	læ2=	
擰	lin3	
撥	pəʔ7	
擇	tsəʔ7	
括	kuaʔ7	
拮	tɕiɪʔ7	
拯	tsən3	
拱	koŋ3	
拳	tɕʰyɪ2	
拴	suæ1	
拷	kʰɔ3	
拼	pʰin1	
拽	tsuɛ5	
拾	səʔ7	
拿	la2	
持	tsʰɿ2	
挂	kua5	
指	tsɿ3	
按	ø5-	
按	æ5=	
挎	kʰua5	
挑	tʰiɔ1	~选
挑	tʰiɔ3	~拨
挖	uaʔ7-	
挖	ua1=	
摯	tsəʔ7	
撻	taʔ7	
挾	ɕiɪʔ7	
撓	lɔ2	
擋	taŋ3	
掙	tsən1	~脱
掙	tsən5	~钱
擠	tɕi3	
揮	huəi1	
挨	ɛ1	~次
挨	ɛ2	~打
挪	ləu2	
挫	tsʰəu5	
振	tsən5	
挺	tʰin3	
挽	uæ3	
捂	u3	
捅	tʰoŋ3	
捆	kʰuən3	
捉	tsuəʔ7	
捍	hæ5	
捎	sɔ1	
捏	liɪʔ7	
捐	tɕyɪ1	
捕	pu3	
撈	lɔ1	
損	sən3-	
損	suen3=	
撿	tɕiɪ3	
換	hø5-	
換	huæ5=	
搗	tɔ3	
捧	pʰoŋ3	
据	tɕy5	
捶	tsʰuəi2	
捷	tɕiɪʔ7	
捺	laʔ7-	
捺	la5=	
捻	liɪ3	
掀	ɕiɪ1	
掂	tiɪ1	
授	səi5	
掉	tiɔ5	
掌	tsæ3-	
掌	tsaŋ3=	
掏	tʰɔ1	
掐	kʰaʔ7	
排	pʰɛ2	
掖	iɪʔ7	
掘	tɕyəʔ7	
掠	liaʔ7	
探	tʰæ5	
接	tɕiɪʔ7	
控	kʰoŋ5	
推	tʰəi1	
掩	iɪ3	
措	tsʰəu5	
掭	tʰiɪ5	
掮	tɕʰiɪ2	
掰	pæ1-	
掰	pəʔ7=	
擄	ləu3-	
擄	lu3=	
撣	tæ3	
摻	tsʰæ1	
摜	kuæ5	
揉	liø2-	
揉	zəi2=	
揍	tsəi5	
描	miɔ2	
提	tʰi2	
插	tsʰaʔ7	
握	uəʔ7	
揩	kʰɛ1	
揪	tɕʰiø3-	
揪	tɕiø1=	
揭	tɕiɪʔ7	
援	yɪ2	
攬	læ3	
撳	tɕʰin5	
攙	tsʰæ1	
擱	kəʔ7	
摟	ləi3	
攪	tɕiɔ3	
搏	pəʔ7	
搓	tsʰəu1	
搜	səi1	
搞	kɔ3	
搪	tʰaŋ2	
搬	pø1-	
搬	pæ1=	
搭	taʔ7	
攜	ɕiɛ2	
搽	tsʰa2	
攝	səʔ7	
摆	pɛ3	
摇	iɔ2	
攤	tʰæ1	
摔	suɛ1	
摘	tsəʔ7	
摞	ləu5	
摧	tsʰəi1-	
摧	tsʰuəi1=	
摩	məu2	
摸	məu1	
摹	məu2	
撇	pʰiɪʔ7	
撑	tsʰən1	
撒	sa3	
撒	saʔ7	
撕	sɿ1	
撞	tsuaŋ5	
撤	tsʰəʔ7	
撩	liɔ2	
撬	tɕʰiɔ5	
播	pəu1	
撮	tsʰəu1	
撰	tsuæ5	
攆	liɪ3	
撼	hæ5	
擂	ləi5	
擅	sæ5	
操	tsʰɔ1	
擎	tɕʰin2	
擒	tɕʰin2	
擻	səi3	
擦	tsʰaʔ7	
攀	pʰæ1	
支	tsɿ1	
收	səi1	
改	kɛ3	
攻	koŋ1	
放	faŋ5	
政	tsən5	
故	ku5	
效	ɕiɔ5	
敵	tiɪʔ7	
敏	min3	
救	tɕiø5	
敖	ɔ2	
教	kɔ1	~书
教	tɕiɔ5	~育
斂	liɪ3	
敝	pi5	
敞	tsʰæ3-	
敞	tsʰaŋ3=	
敢	kæ3	
散	sæ3	~装
散	sæ5	~布
敦	tən1	
敬	tɕin5	
數	su3	~钱
數	su5	~目
敲	kʰɔ1-	
敲	tɕʰiɔ1=	
整	tsən3	
敷	fu1	
文	uən2	
齋	tsɛ1	
斌	pin1	
斑	pæ1	
斗	təi5	~争
斗	təi3	升~
料	liɔ5	
斜	ɕiɛ2	
斟	tsən1	
斡	uəʔ7	
斥	tsʰəʔ7	
斧	fu3	
斬	tsæ3	
斫	tsaʔ7	
斷	tiø5-	
斷	tø5=	
斯	sɿ1	
新	ɕin1	
方	faŋ1	
於	y1	姓
施	sɿ1	
旁	pʰaŋ2	
旅	ly3	
旋	ɕyɪ2	~转
旋	ɕyɪ5	~风
旌	tɕin1	
族	tsʰəʔ7	
旗	tɕʰi2	
無	u2	
既	tɕi5	
日	zəʔ7	
旦	tæ5	
舊	tɕiø5	
旨	tsɿ3	
早	tsɔ3	
旬	tɕʰyn2-	
旬	ɕyn2=	
旭	ɕy5	
旱	hæ5	
時	sɿ2	
曠	kʰuaŋ5	
旺	uaŋ5	
昂	aŋ2	
昆	kʰuən1	
昌	tsʰæ1-	
昌	tsʰaŋ1=	
明	min2	
明	mən2-	~个
昏	huən1	
易	i5	
昔	ɕiɪʔ7	
曇	tʰæ2	
星	ɕin1	
映	in5	
春	tsʰuen1	
昧	məi5	
昨	tsʰəu2-	
昨	tsəu2=	
昨	tsa2-	~个
昭	tsɔ1	
是	sɿ5	
昵	li5	
晝	tsəi5	
顯	ɕiɪ3	
晁	tsʰɔ2	
晃	huaŋ5	
晉	tɕin5	
晌	saŋ3	
曬	sɛ5	
曉	ɕiɔ3	
曄	iɪʔ7	
暈	yn5	~车
暈	yn1	头~
晚	uæ3	
晦	huəi5	
晨	tsʰən2	
普	pʰu3	
景	tɕin3	
晰	ɕiɪʔ7	
晴	tɕʰin2	
晶	tɕin1	
智	tsɿ5	
晾	liaŋ5	
暫	tsæ5	
暇	ɕia2	
暑	su3	
暖	lø3-	
暗	ø5-	
暗	æ5=	
暮	məu5	
暴	pɔ5	
曙	su3	
曲	tɕʰyəʔ7	
更	kən1	~改
更	kən5	~加
曹	tsʰɔ2	
曼	mæ5	
曾	tsʰən2	
替	tʰi5	
最	tsuəi5	
月	yəʔ7	
有	iø3	
朋	pʰoŋ2	
服	fəʔ7	
朔	suəʔ7	
朗	laŋ3	
望	uaŋ5	
朝	tsɔ1	~夕
朝	tsʰɔ2	~向
期	tɕʰi1	
木	məʔ7	
未	uəi5	
末	məʔ7	
本	pən3	
术	suəʔ7	
朱	tsu1	
朴	pʰəʔ7	
朶	təu3	
機	tɕi1	
朽	ɕiø3	
殺	saʔ7	
雜	tsaʔ7	
權	tɕʰyɪ2	
杆	kæ3	
杉	sæ1	
李	li3	
杏	ɕin5	
材	tsʰɛ2	
村	tsʰən1-	
村	tsʰuen1=	
杖	tsæ5-	
杖	tsaŋ5=	
杜	tu5	
束	səʔ7	
杠	kaŋ5	
條	tʰiɔ2	
來	lɛ2	
楊	iaŋ2	
杭	haŋ2	
杯	pəi1	
杰	tɕiɪʔ7	
杳	iɔ3	
松	soŋ1	
板	pæ3	
極	tɕiɪʔ7	
構	kəi5	
枇	pʰi2	
枉	uaŋ3	
析	ɕiɪʔ7	
枕	tsən3	
林	lin2	
枚	məi2	
果	kəu3	
果	kø3	
枝	tsɿ1	
樞	su1	
棗	tsɔ3	
槍	tɕʰiaŋ1	
梟	ɕiɔ1	
枯	kʰu1	
架	tɕia5	
枷	kɛ1	
枸	kəi3	
柄	pin3	
柏	pəʔ7	
某	məu3	
柑	kæ1	
染	zæ3	
柔	zəi2	
櫃	kuəi5	
查	tsʰa2	
柬	tɕiɪ3	
柯	kʰəu1	
柱	tsu5	
柳	liø3	
柴	tsʰɛ2	
柿	sɿ5	
栅	tsa5	
標	piɔ1	
棧	tsæ5	
棟	toŋ5	
欄	laʔ7-	
欄	læ2=	
樹	su5	
栓	suæ1	
栖	ɕi1-	
栖	tɕʰi1=	
栗	liɪʔ7	
校	tɕiɔ5	~对
校	ɕiɔ5	学~
樣	iɛ5-	
樣	iaŋ5=	
核	huəʔ7-	
核	həʔ7=	
根	kən1	
格	kəʔ7	
栽	tsɛ1	
欒	lø2	
桂	kuəi5	
桃	tʰɔ2	
桅	uəi2	
框	kʰuaŋ5-	
框	kʰuaŋ1=	
案	ø5-	
案	æ5=	
桌	tsuəʔ7	
桑	saŋ1	
檔	taŋ5	
橋	tɕʰiɔ2	
槳	tɕiaŋ3	
樁	tsuaŋ1	
桶	tʰoŋ3	
梁	liɛ2-	
梁	liaŋ2=	
梅	məi2	
梓	tsɿ3	
梗	kən3	
梢	sɔ1	
夢	moŋ5	
梧	u1	
梨	li2	
梭	səu1	
梯	tʰi1	
械	ɕiɛ5	
梳	su1	
檢	tɕiɪ3	
棉	miɪ2	
棋	tɕʰi2	
棍	kuən5	
棒	paŋ5	
棕	tsoŋ1	
棘	tɕiɪʔ7	
棚	pʰoŋ2	
棠	tʰaŋ2	
森	sən1	
棱	lən2	
棵	kʰəu1	
棵	kʰø1	
棺	kuæ1	
椅	i3	
植	tsəʔ7	
椎	tsuəi1	
椒	tɕiɔ1	
橢	tʰəu3	
椽	tsʰuæ2	
楔	ɕiɪʔ7	
楚	tsʰu3	
楝	liɪ5	
楣	məi2	
楷	kʰɛ3	
樓	ləi2	
概	kɛ5	
榆	y2	
榔	laŋ2	
榜	paŋ3	
榫	sən3-	
榫	suen3=	
榴	liø2	
榻	tʰaʔ7	
槐	huɛ2	
檻	kʰæ3	
槽	tsʰɔ2	
樊	fæ2	
樟	tsæ1-	
樟	tsaŋ1=	
模	məu2	
橫	huən2-	
橫	hən2=	~竖
橫	hən5	蛮~
櫻	in1	
樵	tɕʰiɔ2	
橘	tɕyəʔ7	
橙	tsʰən2	
櫥	tsʰu2	
檀	tʰæ2	
檐	iɪ2	
檁	lin3	
欠	tɕʰiɪ5	
次	tsʰɿ5	
歡	huæ1	
欣	ɕin1	
歐	əi1	
欲	yəʔ7	
欺	tɕʰi1	
款	kʰuæ3	
歇	ɕiɪʔ7	
歉	tɕʰiɪ5	
歌	kəu1	
歌	kø1	
止	tsɿ3	
正	tsən5	
正	tsən1	~月
此	tsʰɿ3	
步	pu5	
武	u3	
歧	tɕʰi2	
歪	uɛ1	
歹	tɛ3	
死	sɿ3	
殲	tɕʰiɪ1	
殃	iaŋ1	
殉	ɕyn5	
殊	su1	
殘	tsʰæ2	
殖	tsəʔ7	
殟	əʔ7	~塞:天气闷热
殯	pin1	
毆	əi1	
段	tø5	
殷	in1	
殿	tiɪ5	
毁	huəi3	
毅	i5	
母	məu3	
每	məi3	
毒	təʔ7	
毓	y5	
比	pi3	
畢	piɪʔ7	
斃	pi5	
毛	mɔ2	
毡	tsæ1	
毫	hɔ2	
毯	tʰæ3	
毽	tɕiɪ5	
氏	sɿ5	
民	min2	
氓	maŋ2	
气	tɕʰi5	
水	suəi3	
永	ioŋ3	
汁	tsəʔ7	
求	tɕʰiø2	
汆	tsʰuæ1=	
汇	huəi5	
漢	hæ5	
汊	tsʰa5	
汗	hæ5	
汛	ɕyn5	
汝	lu3	
江	tɕiaŋ1	
池	tsʰɿ2	
污	u1	
湯	tʰaŋ1	
汪	uaŋ1	
汰	tʰɛ5	
汲	tɕiɪʔ7	
洶	ɕioŋ1	
汽	tɕʰi5	
沁	tɕʰin5	
沃	uəʔ7	
沈	sən3	
沉	tsʰən2	
沏	tɕʰiɪʔ7	
沐	məʔ7	
沓	taʔ7	
沙	sa1	
沛	pʰəi5	
溝	kəi1	
没	məʔ7	
漚	əi5	
瀝	liɪʔ7	
淪	lən2	
滄	tsʰaŋ1	
沫	məʔ7	
沮	tɕy3	
沰	təʔ7	
河	həu2	
河	hø2	
沸	fəi5	
油	iø2	
治	tsɿ5	
沼	tsɔ3	
沽	ku1	
沾	tsæ1	
沿	iɪ2	
泄	ɕiɪʔ7	
泉	tɕʰyɪ2	
泊	pəʔ7	停~
泊	pʰəʔ7	湖~
泌	miɪʔ7	
法	faʔ7	
泛	fæ5	
泡	pʰɔ1	~~
泡	pʰɔ5	浸~
波	pəu1	
泣	tɕʰiɪʔ7	
泥	li2	
注	tsu5	
淚	ləi5	
泰	tʰɛ5	
泳	ioŋ3	
泵	poŋ5	
瀉	ɕiɛ5	
潑	pʰəʔ7	
澤	tsəʔ7	
潔	tɕiɪʔ7	
洋	iɛ2-	
洋	iaŋ2=	
洒	sa3	
洗	ɕi3	
洛	ləʔ7	
洞	toŋ5	
津	tɕin1	
洪	hoŋ2	
洲	tsəi1	
活	huəʔ7	
洼	ua1	
洽	tɕʰiaʔ7	
派	pʰɛ5	
流	liø2	
淺	tɕʰiɪ3	
漿	tɕiɛ1-	
漿	tɕiaŋ1=	
澆	tɕiɔ1	
濁	tsuəʔ7	
測	tsʰəʔ7	
濟	tɕi5	
渾	huən5-	
渾	huən2=	
濃	loŋ2	
浙	tsəʔ7	
浦	pʰu3	
浩	hɔ5	
浪	laŋ5	
浮	fu2	
浴	yəʔ7	
海	hɛ3	
浸	tɕin5	
涂	tʰu2	
消	ɕiɔ1	
涉	səʔ7	
涌	ioŋ3	
涎	ɕiɪ2	
涕	tʰi5	
濤	tʰɔ1	
澇	lɔ5	
渦	əu1	
渦	ø1	
滌	tiɪʔ7	
潤	yn5	
漲	tsaŋ5	
漲	tsaŋ3	~潮
澀	səʔ7	
涮	suæ5	
涯	ia2	
液	iɪʔ7	
涵	hæ2	
淀	tiɪ5	
淋	lin2	
淌	tʰaŋ3	
淑	suəʔ7	
淘	tʰɔ2	
淡	tæ5	
淤	y1	
淫	in2	
淮	huɛ2	
深	sən1	
淳	tsuen1-	
淳	tsʰuen2=	
混	huən5	
淹	æ1-	
淹	iɪ1=	
添	tʰiɪ1	
清	tɕʰin1	
淵	yɪ1	
漬	tsɿ5	
漸	tɕiɪ5	
漁	y2	
滲	sən5	
渠	tɕʰy2	
渡	tu5	
渣	tsa1	
溫	uən1	
渲	ɕyɪ5	
渴	kʰəʔ7	
游	iø2	
渺	miɔ3	
湖	hu2	
湛	tsæ5	
灣	uæ1	
溼	səʔ7	
潰	kʰuəi5	
濺	tɕiɪ5	
溉	kɛ5	
源	yɪ2	
溜	liø5-	
溜	liø1=	
溢	iɪʔ7	
溧	liɪʔ7	
溪	ɕi1	
溶	ioŋ2	
溺	li5	
滋	tsɿ1	
滑	huaʔ7	
滔	tʰɔ1	
滕	tʰən2	
滚	kuən3	
滯	tsɿ5	
滿	mø3-	
滿	mæ3=	
濾	ly5	
濫	læ5	
濱	pin1	
灘	tʰæ1	
滴	tiɪʔ7	
漂	pʰiɔ1	~浮
漂	pʰiɔ5	~亮
漆	tɕʰiɪʔ7	
漏	ləi5	
演	iɪ3	
漠	məʔ7	
漫	mæ5	
漱	su5	
瀟	ɕiɔ1	
潘	pʰø1-	
潘	pʰæ1=	
潛	tɕʰiɪ2	
潢	huaŋ2	
潦	liɔ3	
潭	tʰæ2	
澄	tsʰən2	
瀾	læ2	
澡	tsɔ3	
激	tɕiɪʔ7	
濡	lu2	
瀑	pʰu5	
灌	kuæ5	
火	həu3	
火	hø3	
滅	miɪʔ7	
燈	tən1	
灰	huəi1	
靈	lin2	
竈	tsɔ5	
灸	tɕiø3	
災	tsɛ1	
燦	tsʰæ5	
爐	lu2	
炊	tsʰuəi1	
炎	iɪ2	
炒	tsʰɔ3	
炕	kʰaŋ5	
燉	tən5	
炫	ɕyɪ5	
炬	tɕy5	
炭	tʰæ5	
炮	pʰɔ5	
炯	tɕioŋ3	
炳	pin3	
炸	tsa5	~弹
炸	tsaʔ7	油~
點	tiɪ3	
煉	liɪ5	
爍	suəʔ7	
爛	læ5	
烈	liɪʔ7	
烘	hoŋ1	
烙	ləʔ7	
燭	tsuəʔ7	
烟	iɪ1	
烤	kʰɔ3	
煩	fæ2	
燒	sɔ1	
燴	huəi5	
燙	tʰaŋ5	
熱	liɪʔ7-	
熱	zəʔ7=	
烹	pʰən1	
焉	iɪ1	
焊	hæ5	
焐	u5	
煥	huæ5	
焚	fən2	
焦	tɕiɔ1	
焰	iɪ5	
然	zæ2	
煌	huaŋ2	
煎	tɕiɪ1	
煜	y5	
煞	saʔ7	
煤	məi2	
照	tsɔ5	
煨	uəi1	
煮	tsu3	
煲	pɔ1	
煽	sæ1	
熄	ɕiɪʔ7	
熊	ɕioŋ2	
熏	ɕyn1	
熙	ɕi1	
熟	suəʔ7	
熨	yn5	
熬	ɔ2	
燃	zæ2	
燎	liɔ2	
燕	iɪ5	
燥	tsɔ5	
爆	pɔ5	
爪	tsua3	
爬	pʰa2	
愛	ɛ5	
爵	tɕyəʔ7	
父	fu5	
爺	iɪ2-	
爺	iɛ2=	
爸	pa5	
爹	tiɛ1	
爽	suaŋ3	
爿	pʰæ1	
片	pʰiɪ5	
版	pæ3	
牌	pʰɛ2	
牙	ia2	
牛	liø2	
牟	məu2	
牡	məu3	
牢	lɔ2	
牧	məʔ7	
物	uəʔ7	
牯	ku3	
牲	sən1	
牽	tɕʰiɪ1	
特	tʰəʔ7	
犧	ɕi1	
犀	ɕi1	
犁	li2	
犢	təʔ7	
犒	kʰɔ5	
犟	tɕiaŋ5	
犬	tɕʰyɪ3	
犯	fæ5	
狀	tsuaŋ5	
猶	iø2	
狂	kʰuaŋ2	
狐	hu2	
狗	kəi3	
獰	lin2	
狠	hən3	
狡	tɕiɔ3	
獨	təʔ7	
狹	ɕiaʔ7	
獅	sɿ1	
獄	yəʔ7	
狸	li2	
狼	laŋ2	
獵	liɪʔ7	
猖	tsʰaŋ1	
猛	moŋ3	
猜	tsʰɛ1	
猨	yɪ2	
猩	ɕin1	
豬	tsu1	
猫	mɔ2-	
猫	mɔ1=	
獻	ɕiɪ5	
猴	həi2	
猾	huaʔ7	
玄	ɕyɪ2	
率	suɛ5	~领
玉	y5	
王	uaŋ2	
玩	uæ2	
環	huæ2	
現	ɕiɪ5	
玲	lin2	
玻	pəu1	
珊	sæ1	
珍	tsən1	
珠	tsu1	
班	pæ1	
球	tɕʰiø2	
琅	laŋ2	
理	li3	
瑣	səu3	
琢	tsuəʔ7	
琴	tɕʰin2	
琵	pʰi2	
瓊	tɕʰioŋ2	
瑜	y2	
瑞	zuəi5	
瑟	səʔ7	
璃	li2	
瓜	kua1	
瓢	pʰiɔ2	
瓣	pæ5	
瓤	laŋ2	
瓦	ua3	
瓮	oŋ1	
瓶	pʰin2	
瓷	tsʰɿ2	
甄	tsən1	
甘	kæ1	
甚	sən5	
甜	tʰiɪ2	
生	sən1	
甥	sən1	
用	ioŋ5	
甩	suɛ3	
甫	fu3	
田	tʰiɪ2	
由	iø2	
甲	tɕiaʔ7	
申	sən1	
電	tiɪ5	
男	læ2	
畫	hua5	
暢	tsʰæ5-	
暢	tsʰaŋ5=	
界	kɛ5-	
界	tɕiɛ5=	
畏	uəi5	
畔	pʰæ5	
留	liø2	
畚	pən3	
畜	tsʰuəʔ7	~生
略	liaʔ7	
番	fæ1	
畸	tɕi1	
疆	tɕiaŋ1	
疏	su1	
疑	i2	
疔	tin1	
癤	tɕiɪʔ7	
療	liɔ2	
疙	kəʔ7	
疚	tɕiø5	
疝	sæ5	
瘧	liaʔ7	
疤	pa1	
疫	iɪʔ7	
瘡	tsʰuaŋ1	
瘋	foŋ1	
疲	pʰi2	
疵	tsʰɿ1	
疹	tsən3	
疼	tʰən2	
疽	tɕy1	
痂	kɛ1	
病	pin5	
症	tsən1-	
症	tsən5=	
痊	tɕʰyɪ2	
痒	iaŋ3	
痔	tsɿ5	
痕	hən2	
痘	təi5	
痛	tʰoŋ5	
痞	pʰi3	
痢	li5	
痣	tsɿ5	
痧	sa1	
癆	lɔ2	
瘓	huæ5	
痰	tʰæ2	
痱	fəi5	
癡	tsʰɿ1	
痿	uəi3	
瘌	laʔ7	
瘟	uən1	
瘤	liø2	
瘦	səi5	
瘩	taʔ7	
癟	piɪʔ7	
癱	tʰæ1	
瘸	tɕʰiaʔ7	
癮	in3	
癌	ɛ2	
癖	pʰiɪʔ7-	
癖	pʰi3=	
癩	lɛ5	
癬	ɕiɪ3	
癸	kuəi3	
登	tən1	
白	pəʔ7	
百	pəʔ7	
皂	tsɔ5	
的	tiɪʔ7	~确,目~
的	təʔ7	助词
皆	kɛ1	
皇	huaŋ2	
皋	kɔ1	
皮	pʰi2	
皺	tsəi5	
皴	tsʰən1	
皿	min3	
盂	y2	
盅	tsoŋ1	
盆	pʰən2	
盈	in2	
益	iɪʔ7	
盞	tsæ3	
鹽	iɪ2	
監	tɕiɪ1	
盒	haʔ7-	
盒	həʔ7=	
盔	kʰuəi1	
盖	kɛ5	
盜	tɔ5	
盤	pʰæ2	
盛	sən5	
盟	moŋ2	
目	məʔ7	
盯	tin1	
盲	maŋ2	
直	tsəʔ7	
相	ɕiaŋ1	~互
相	ɕiaŋ5	~貌
盹	tən3	
盼	pʰæ5	
盾	tən5	
省	sən3	节~
眉	mi2-	
眉	məi2=	
看	kʰø5-	
看	kʰæ1	~守
看	kʰæ5=	~见
真	tsən1	
眠	miɪ2	
眨	tsaʔ7	
眩	ɕyɪ5	
眯	mi1	
眶	kʰuaŋ5	
眷	tɕyɪ5	
眼	æ3-	
眼	iɪ3=	
着	tsɔ1	~火
睜	tsən1	
睛	tɕin1	
睡	suəi5	
睢	səi1	
督	təʔ7	
睦	məʔ7	
睫	tɕiɪʔ7	
睬	tsʰɛ3	
睹	tu3	
瞄	miɔ2	
瞌	kʰəʔ7	
瞎	haʔ7	
瞑	min2	
瞞	mø2-	
瞞	mæ2=	
瞥	pʰiɪʔ7	
瞧	tɕʰiɔ2	
瞩	tsuəʔ7-	
瞩	tsu3=	
瞪	tən5	
瞬	suen5	
瞳	tʰoŋ2	
瞻	tsæ1	
矗	tsʰuəʔ7	
矛	mɔ2	
矢	sɿ3	
知	tsɿ1	
矩	tɕy3	
矯	tɕiɔ3	
短	tiø3-	
短	tø3=	
矮	ɛ3	
石	səʔ7	
礦	kʰuaŋ5	
碼	ma3	
砂	sa1	
砌	tɕʰi5	
砍	kʰæ3	
砒	pʰi1	
研	iɪ2	
磚	tɕyɪ1-	
磚	tsuæ1=	
硯	iɪ5	
砣	tʰəu2	
砧	tsən1	
破	pʰəu5	
砸	tsaʔ7	
礪	li5	
礫	liɪʔ7	
礎	tsʰu3	
碩	suəʔ7	
硝	ɕiɔ1	
硫	liø2	
硬	ən5-	
硬	in5=	
確	tɕʰyəʔ7	
碉	tiɔ1	
碌	ləʔ7	
礙	ɛ5	
碎	səi5-	
碎	suəi5=	
碑	pəi1	
碗	uæ3	
碟	tiɪʔ7	
碧	piɪʔ7	
碰	pʰoŋ5	
鹼	kæ3-	
鹼	tɕiɪ3=	
碴	tsʰaʔ7	
碾	liɪ3	
磁	tsʰɿ2	
磊	ləi3	
磕	kʰəʔ7	
磨	məu2	~刀
磨	məu5	石~
磷	lin2	
礁	tɕiɔ1	
示	sɿ5	
禮	li3	
社	sɛ5	
祀	sɿ5	
祁	tɕʰi2	
祈	tɕʰi2	
祖	tsu3	
祝	tsuəʔ7	
神	sən2	
祟	səi5-	
祟	suəi5=	
祠	tsʰɿ2	
祥	ɕiaŋ2	
票	pʰiɔ5	
祭	tɕi5	
禱	tɔ3	
禍	həu5	
禍	hø5	
稟	pin3	
禁	tɕin5	
祿	ləʔ7	
禪	tsʰæ2	
福	fəʔ7	
禹	y3	
离	li2	
禽	tɕʰin2	
禾	həu2	
禾	hø2	
秀	ɕiø5	
私	sɿ1	
秃	tʰəʔ7	
秉	pin3	
秋	tɕʰiø1	
種	tsoŋ3	~子
種	tsoŋ5	~地
科	kʰəu1	
科	kʰø1	
秒	miɔ3	
秘	miɪʔ7-	
秘	mi5=	
秘	pi5	旧读
租	tsu1	
秤	tsʰən5	
秦	tɕʰin2	
秧	iaŋ1	
秩	tsəʔ7	
稱	tsʰən1	~号
稱	tsʰən5	~心
秸	kɛ1	
移	i2	
穢	huəi5	
稀	ɕi1	
程	tsʰən2	
稍	sɔ5-	
稍	sɔ1=	
税	suəi5	
稗	pɛ5	
稚	tsɿ5	
稠	tsʰəi2	
穩	uən3	
稷	tɕi5	
稻	tɔ5	
稽	tɕi1	
穆	məʔ7	
穗	suəi5	
穴	ɕyəʔ7	
究	tɕiø1	
窮	tɕʰioŋ2	
空	kʰoŋ5	~白
空	kʰoŋ1	天~
穿	tɕʰyɪ1-	
穿	tsʰuæ1=	
突	tʰəʔ7	
竊	tɕʰiɪʔ7	
窄	tsəʔ7	
竅	tɕʰiɔ5	
窯	iɔ2	
窒	tsɿ5	
窖	kɔ5-	
窖	tɕiɔ5=	
窗	tsʰuaŋ1	
窘	tɕioŋ3	
竄	tsʰuæ5	
窩	əu1	
窩	ø1	
窟	kʰuəʔ7	
窠	kʰəu1	
窠	kʰø1	
窺	kʰuəi1	
立	liɪʔ7	
豎	su5	
站	tsæ5	
競	tɕin5	
竟	tɕin5	
章	tsæ1-	
章	tsaŋ1=	
竣	tɕyn5	
童	tʰoŋ2	
竭	tɕiɪʔ7	
端	tø1-	
端	tiø1-	
端	tuæ1=	
竹	tsuəʔ7	
竿	kæ1	
篤	təʔ7	
笋	sən3-	
笋	suen3=	
笑	ɕiɔ5	
筆	piɪʔ7	
笙	sən1	
笛	tiɪʔ7	
笠	liɪʔ7	
笤	tʰiɔ2	
符	fu2	
笨	pən5	
第	ti5	
箋	tɕiɪ1	
籠	loŋ2	~子
籠	loŋ3	~罩
等	tən3	
筋	tɕin1	
筏	faʔ7	
筐	kʰuaŋ1	
筑	tsuəʔ7	
筒	tʰoŋ3	
答	taʔ7	
策	tsʰəʔ7	
篩	sɛ1	
箏	tsən1	
筵	iɪ2	
筷	kʰuɛ5	
籌	tsʰəi2	
签	tɕʰiɪ1	
簡	tɕiɪ3	
箍	ku1	
箔	pəʔ7	
箕	tɕi1	
算	suæ5	
管	kuæ3	
籮	ləu2	
簫	ɕiɔ1	
箭	tɕiɪ5	
箱	ɕiaŋ1	
箴	tsən1	
篇	pʰiɪ1	
簍	ləi3	
篙	kɔ1	
篡	tsʰuæ5	
籃	laʔ7-	
籃	læ2=	
籬	li2	
篷	pʰoŋ2	
篾	miɪʔ7	
簇	tsʰuəʔ7	
簧	huaŋ2	
簪	tsæ1	
簸	pəu5	
簿	pu5	
籍	tɕiɪʔ7	
米	mi3	
類	ləi5	
籼	ɕiɪ1	
籽	tsɿ3	
粉	fən3	
粑	pa1	
粒	liɪʔ7	
粗	tsʰu1	
粘	liɪ2	
糶	tʰiɔ5	
粟	su5	
粥	tsuəʔ7	
糞	fən5	
糧	liaŋ2	
粱	liaŋ2	
粳	kən3	
粹	tsʰəi5-	
粹	tsʰuəi5=	
糉	tsoŋ5	
精	tɕin1	
糊	hu5-	
糊	hu2=	
糍	tsʰɿ2	
糕	kɔ1	
糖	tʰaŋ2	
