#漢字	音標	解釋
□	æ2	小~:男孩
佐	tsəu3	
佑	iø5	
體	tʰi3	
何	həu2	
何	hø2	
佘	ɕiɪ2	
余	y2	
佛	fəʔ7	
作	tsəʔ7	
你	li3	
佣	ioŋ5	
佩	pʰəi5	
佬	lɔ3	
佯	iaŋ2	
佳	tɕia1	
佻	tʰiɔ1	
使	sɿ3	
侃	kʰæ3	
侄	tsəʔ7	
例	li5	
侍	sɿ5	
供	koŋ5	~应,口~
依	i1	
俠	ɕiaʔ7	
侶	ly3	
僥	tɕiɔ3	
偵	tsən1	
側	tsʰəʔ7	
僑	tɕʰiɔ2	
侮	u3	
侯	həi2	
侵	tɕʰin1	
便	pʰiɪ2	~宜
便	piɪ5	方~
促	tsʰuəʔ7	
俊	tɕyn5	
俏	tɕʰiɔ5	
俑	ioŋ3	
俗	səʔ7-	
俗	suəʔ7=	
俘	fu2	
保	pɔ3	
俞	y2	
信	ɕin5	
儉	tɕiɪ3	
修	ɕiø1	
俯	fu3	
俱	tɕy5	
倌	kuæ1	
倍	pəi5	
倒	tɔ3	~下
倒	tɔ5	~车
倔	tɕyəʔ7	
倘	tʰaŋ3	
候	həi5	
倚	i3	
借	tɕiɛ5	
倡	tsʰæ5-	
倡	tsʰaŋ5=	
倦	tɕyɪ5	
倩	tɕʰiɪ5	
倪	li2	
債	tsɛ5	
值	tsəʔ7	
傾	tɕʰin1	
假	tɕia5	~日
假	tɕia3	真~
偎	uəi1	
偏	pʰiɪ1	
偕	ɕiɪʔ7	
做	tsəu5	
停	tʰin2	
健	tɕiɪ5	
偶	əi3	
偷	tʰəi1	
償	tsʰaŋ2	
傀	kʰuəi3	
傅	fu5	
傍	paŋ5	
儲	tsʰu3	
催	tsʰəi1-	
催	tsʰuəi1=	
傲	ɔ5	
傻	sa3	
像	ɕiaŋ5	
僚	liɔ2	
僧	sən1	
僵	tɕiaŋ1	
僻	pʰiɪʔ7	
儒	lu3	
兒	əi2	
允	yn3	
元	yɪ2	
兄	ɕioŋ1	
兆	tsɔ5	
先	ɕiɪ1	
光	kuaŋ1	
克	kʰəʔ7	
免	miɪ3	
兑	təi5	
兔	tʰu5	
黨	taŋ3	
兜	təi1	
兢	tɕin1	
入	yəʔ7	
全	tɕʰyɪ2	
八	paʔ7-	
八	pa1=	
公	koŋ1	
六	ləʔ7	
蘭	læ2	
共	koŋ5	
關	kuæ1	
興	ɕin1	~旺
興	ɕin5	高~
兵	pin1	
其	tɕʰi2	
具	tɕy5	
典	tiɪ3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕiɪ1	
獸	səi5	
冀	tɕi5	
内	ləi5	
冉	zæ3	
册	tsʰəʔ7	
再	tsɛ5	
冒	mɔ5	
冗	ioŋ3	
寫	ɕiɛ3	
軍	tɕyn1	
農	loŋ2	
冠	kuæ5	~军
冠	kuæ1	衣~
冤	yɪ1	
冥	min2	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
冲	tsʰoŋ1	
冲	tsʰoŋ5	
決	tɕyəʔ7	
况	kʰuaŋ5	
冶	iɛ3	
冷	lən3	
凍	toŋ5	
淨	tɕin5	
準	tsuen3	
涼	liɛ2-	
涼	liaŋ2=	
凋	tiɔ1	
凌	lin2	
減	tɕiɪ3	
湊	tsʰəi5	
凜	lin3	
凝	lin2	
几	tɕi3	~个
几	tɕi1	茶~
凡	fæ2	
鳳	foŋ5	
凭	pʰin2	
凱	kʰɛ3	
凰	huaŋ2	
凳	tən5	
凶	ɕioŋ1	
出	tsʰuəʔ7	
擊	tɕiɪʔ7	
凼	taŋ5	
函	hæ2	
鑿	tsuəʔ7	
刀	tɔ1	
刁	tiɔ1	
刃	zən5	
分	fən1	
切	tɕʰiɪʔ7	
刊	kʰæ1	
芻	tsʰu2	
刑	ɕin2	
划	hua2	~算,计~
列	liɪʔ7	
劉	liø2	
則	tsəʔ7	
剛	kaŋ1	
創	tsʰuaŋ5	~造
初	tsʰəu1-	
初	tsʰu1=	
删	sæ1	
判	pʰæ5	
刨	pɔ5	
利	li5	
别	piɪʔ7	
刮	kuaʔ7	
到	tɔ5	
制	tsɿ5	
刷	suaʔ7	
券	tɕʰyɪ5	
刹	saʔ7	
刺	tsʰɿ5	
刻	kʰəʔ7	
劊	kuəi5	
刴	təu5	
劑	tɕi5	
剃	tʰi5	
削	ɕiaʔ7	
前	tɕʰiɪ2	
剮	kua3	
劍	tɕiɪ5	
剔	tʰiɪʔ7	
剖	pʰəu5	
剜	uæ1	
剝	pəʔ7	
劇	tɕy5	
剩	sən5	
剪	tɕiɪ3	
副	fu5	
割	kəʔ7	
剿	tɕiɔ3	
劈	pʰiɪʔ7-	
劈	pʰi1=	
力	liɪʔ7	
勸	tɕʰyɪ5	
辦	pæ5	
功	koŋ1	
加	ka1-	
加	tɕia1=	
務	u5	
劣	liɪʔ7	
動	toŋ5	
助	tsu5	
努	lu3	
劫	tɕiɪʔ7	
勵	li5	
勁	tɕin5	
勞	lɔ2	
勢	sɿ5	
勃	pəʔ7	
勇	ioŋ3	
勉	miɪ3	
勳	ɕyn1	
勒	ləʔ7	
募	məu5	
勤	tɕʰin2	
勺	sɔ2	
勾	kəi1	
勿	uəʔ7	
匀	yn2	
包	pɔ1	
匆	tsʰoŋ1	
化	hua5	
北	pəʔ7	
匙	tsʰɿ3	
匠	tɕiaŋ5	
匡	kʰuaŋ1	
匣	haʔ7	
匪	fəi3	
匹	pʰiɪʔ7	
區	tɕʰy1	
匾	piɪ3	
匿	li5	
十	səʔ7	
千	tɕʰiɪ1	
升	sən1	
午	u3	
卉	huəi5	
半	pø5-	
半	pæ5=	
華	hua2	
華	hua5	姓
協	ɕiɪʔ7	
卑	pəi1	
卒	tsəʔ7	
卓	tsuəʔ7	
單	tæ1	
單	sæ5	姓
賣	mɛ5	
南	læ2	
博	pəʔ7	
卜	pəʔ7	
卞	piɪ5	
占	tsæ5	
卡	kʰa3	
盧	lu2	
卤	lu3	
卦	kua5	
臥	ø5	
衛	uəi5	
卯	mɔ3	
印	in5	
危	uəi1	
即	tɕiɪʔ7	
卻	tɕʰyəʔ7	
卵	lø3	
卷	tɕyɪ3	~曲
卷	tɕyɪ5	试~
卸	ɕiɛ5	
卿	tɕʰin1	
廠	tsʰæ3-	
廠	tsʰaŋ3=	
厄	əʔ7	
廳	tʰin1	
历	liɪʔ7	
厲	li5	
壓	iaʔ7	
厭	iɪ5	
廁	tsʰəʔ7	
厘	li2	
厚	həi5	
原	yɪ2	
廂	ɕiaŋ1	
厥	tɕyəʔ7	
厦	sa3	大~
廚	tsʰu2	
去	kʰi5-	
去	tɕʰy5=	
縣	ɕiɪ5	
参	tsʰæ1	
参	sən1	人~
又	iø5	
叉	tsʰa1	
及	tɕiɪʔ7	
友	iø3	
雙	suaŋ1	
反	fæ3	
发	faʔ7	
叔	suəʔ7	
取	tɕʰy3	
受	səi5	
變	piɪ5	
敍	ɕy5	
叛	pʰæ5	
叟	səi3	
疊	tiɪʔ7	
口	kʰəi3	
古	ku3	
句	tɕy5	
另	lin5	
叩	kʰəi5	
只	tsɿ3	~有
只	tsəʔ7	一~
叫	tɕiɔ5	
召	tsɔ5	
可	kʰəu3	
可	kʰø3	
台	tʰɛ2	
史	sɿ3	
右	iø5	
葉	iɪʔ7	
號	hɔ5	~码
司	sɿ1	
嘆	tʰæ5	
叼	tiɔ1	
吃	tɕʰiəʔ7-	
吃	tɕʰiɪʔ7=	
各	kəʔ7	
吆	iɔ1	
合	həʔ7	
吉	tɕiɪʔ7	
吊	tiɔ5	
同	tʰoŋ2	
名	min2	
后	həi5	
吏	li5	
吐	tʰu3	
吐	tʰu5	
