#漢字	音標	解釋#('nan_lz_lz', '雷州話', '雷州', '#FF6600', None, None, '版本：V2.5 (2021-11-20)<br>來源：<u>Kiattan</u>', '24 1 1a 陰平 ꜀,22 2 1b 陽平 ꜁,41 3 2a 陰上 ꜂,33 4 2b 陽上 ꜃,21 5 3a 陰去 ꜄,453 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,2 8 4b 陽入 ꜇')
匯	hui6	
匹	pʰik7	
區	kʰi1	
區	au1	姓
十	tsap8	
十	sip7	
千	tsʰai1	
半	pua5	
卒	tsuk7	
協	hiap7	
博	pok7	
占	tsiam1	～領
印	iɛŋ4	
卵	taŋ6	
卷	kɛŋ3	～起
厚	kau4	
原	jiɛŋ2	
厭	iam5	
去	kʰu5	
參	tsʰam1	～加
參	sɛm1	人～
叉	tsʰɛ1	
叉	tsʰa1=	
及	kip7	
反	vaŋ3	
叔	tsip7	
受	siu4	
叛	puaŋ5	
口	kʰau3	
句	ku5	
只	tsik7	一～
叫	hiam2	
叫	kiau6	
可	kʰo3	
右	iu4	
各	kok7	
合	hap8	
名	mia2	
向	hio5	
君	kiɛŋ1	
吞	tʰuŋ1	
吠	pui1	
含	ham2	
吳	ŋɛu2	
吸	kʰip7	
吹	tsʰui1	
吹	puŋ2	訓
呂	lu3	
告	ko5	
周	tsiu1	
味	vi1	
命	mia1	
咒	tsiu5	
咬	ka4	
哀	ai1	
品	piɛŋ3	
哥	ko1	
哥	ko6	
哪	na1	
哭	kʰau5	
唱	tsʰio5	
啄	tsʰok7	
問	mui1	
啞	ɛ3	
善	siɛŋ6	
喉	au2	
喊	ham2	
喜	hi3	
單	taŋ1	
嘔	au3	
嘗	tsʰi5	
器	i6	
器	kʰi5	
嚇	hɛ6	
嚴	niam2	
四	si5	
囝	kia3	
回	hui2	
回	tui3	
因	iɛŋ1	
困	kʰuŋ5	
圈	kʰɛu1	（訓“箍”）圓～
國	kuɛk7	
圍	ui2	
圓	i2	
圖	tʰu2	
團	tʰui2-	
團	tʰuaŋ2	
土	tʰɛu2	訓“塗”
土	tʰu3	
在	tsai4	
地	ti4	
均	kʰuŋ1	
坐	tsɛ4	
坑	kʰaŋ1	
坡	pʰo1	
垮	kʰua3	
埋	mai2	
基	kio6	
基	kʰi1	
堂	to2	
堂	tʰaŋ2=	
堆	tui1	
堤	tʰi2	
報	po5	
塊	kʰuai5	
塌	tʰap7	
塔	tʰa6	
塗	tʰɛu2	
塗	tʰu2	“塗”
填	tʰiɛŋ2	
墊	tʰiam4	
墊	tʰiap7	
墓	mɛu1	
墟	hi1	
墟	tsʰi4	訓“市”
墨	vak8	
墩	tuŋ1	
墳	wɛŋ2	
壁	pia6	
壓	a6	
壞	huai1	
士	su4	
壯	tsʰuaŋ5	
壽	siu4	
外	wa1	
外	ŋuai6=	
多	tsoi1	訓
多	to1	
夜	mɛ2	訓
夜	ia1	
夠	kau3	
夢	maŋ1	
大	tua1	
天	tʰi1	
天	tʰiɛŋ1=	
太	tʰai5	
夫	hu1	
失	siɛk7	
奇	kʰi2	
套	tʰau5	
奧	au5	
奪	tuak7	
女	ni3	
奴	nɛu2	
奶	nai3	
奸	kaŋ1	
好	ho3	～壞
妙	miau4	
妹	muɛ1	
妹	mui6=	
妻	tsʰi1	
始	su3	
姐	tsɛ3	
姐	tsɛ6	新
姑	kɛu1	
姓	sɛ5	
委	ui3	
姨	i2	
威	ui1	
娘	nio2	
娘	niaŋ1=	
娶	hɛ1	訓
娶	tsʰi3	
婆	pʰo2	
婦	hu6	
嫁	kɛ5	
嫂	so3	
嫌	hiam2	
嫖	pʰiau2	
嫩	nuŋ6	
子	kia3	訓“囝”
子	tsu3	
孔	kʰoŋ3	
字	tsu1	
孝	ha5	
孟	mɛŋ6	
季	kui4	
季	ki6=	
孫	suŋ1	
學	o4	
孽	ŋiɛk7	
守	siu3	
安	aŋ1	
宋	soŋ5	
完	ŋuaŋ2	
宗	tsoŋ1	
官	kua1	
定	tia1	
定	tiŋ5=	
宜	ŋi2	
宜	ji2	
客	kʰɛ6	
宮	koŋ1	
害	hai6	
家	kɛ1	
家	kia1=	
容	jioŋ2	
寄	kia5	
密	miɛk7	
富	hu5	
寒	kua2	
察	tsʰak7	
實	siɛk8	
寫	sia3	
寫	sɛ3=	
寬	kʰua1	
寶	po3	
寸	tsʰun5	
封	hoŋ1	
射	sia1	
尊	tsuŋ1	
尋	tsʰim2	
小	siau3	
少	tsio3	多～
尖	tsiam1	
就	tsiu4	
尺	tsʰiɔ6	
尾	vuɛ3	
尾	mi3=	
尿	niau6	
尿	jio1	
局	kʰok7	
屈	kʰuak7	
屋	tsu5	
屍	si1	
屍	su1=	
屎	sai3	
屎	si3=	
展	tsiɛŋ3	
層	tiaŋ2	
山	sua1	
岸	ŋaŋ4	
嶺	nia3	
州	tsiu1	
巢	tsʰau2	
巢	siu1	
工	kaŋ1	
左	tso3	
巷	ho1	
巾	kiɛŋ1	
市	tsʰi6	
布	pɛu5	
帖	tʰiap7	
帚	tsʰiu3	
帥	suai5	
師	su1	
帳	tio5	
帶	tua5	
帶	tai5	
常	siaŋ2	
帽	mau4	
幫	paŋ1	
平	pɛ2	
平	pʰiŋ2=	
年	hi2	
幸	hiŋ3	
幹	kaŋ1	～杯
幼	iu2	
幾	ki3	～個
牀	tsʰo2	
店	tiam5	
度	tu4	
度	tok2	
座	tsɛ4	
座	tso6=	
廚	tu2	
廟	miau4	
廠	tsʰiaŋ3	
廬	lɛu2	
延	jiɛŋ2	
建	kiɛŋ5	
弓	kiaŋ1	
引	iɛŋ3	
弟	ti4	
弱	niok8	
張	tio1	
張	tsiaŋ1=	
強	kʰiaŋ2	～大
彈	tʰaŋ2	～琴
彈	tua2-	～琴
彎	uaŋ1	
形	hiŋ2	
彪	piau1	
彭	pʰɛ2	
影	o3-	
影	iŋ3	
役	ik7	
待	tai4	
律	luk8	
後	au4	前～
徐	tsʰi2	
徐	tsʰa2	
從	tsʰoŋ2	～來
德	tik7	
心	sim1	
忍	jiɛŋ3	
志	tsi5	
忙	maŋ2	
快	kʰuɛ5	
念	niam1	
忽	huk7	
怕	pʰa5	
急	kʰip7	
怪	kuai5	
恐	kʰoŋ5	
恥	tsʰi3	
恨	hiɛŋ6	
恩	iɛŋ1	
悔	hui5	
悲	pui1	
情	tsʰiŋ2	
惜	tsʰoi6	
惡	ok7	善～
想	sio3	
惹	jia3	
愁	tsʰɛu2	
意	i5	
愛	ai5	
感	kam3	
慈	tsʰu2	
慢	maŋ1	
慣	kuaŋ5	
慧	hui6	
慮	li3	
慮	li6	
憂	iu1	
懂	toŋ3	
應	iŋ1	～當
應	iŋ5	～對
懶	laŋ2	
懶	tua4	訓“惰”
懷	huai2	
懸	kuai2-	
戍	su4	
成	tsia2	
我	va3	
戰	tsiɛŋ6	
戲	hi5	
戴	tai5	
戴	ti5	
戶	hɛu4	
房	paŋ2	
扁	piɛŋ3	
扁	piɛŋ6	
扇	si5	～子
手	tsʰiu3	
托	tʰok7	
扣	kʰɛu6	
扮	paŋ6	
扯	tsʰɛ3	
