#漢字	音標	解釋#('nan_lz_lz', '雷州話', '雷州', '#FF6600', None, None, '版本：V2.5 (2021-11-20)<br>來源：<u>Kiattan</u>', '24 1 1a 陰平 ꜀,22 2 1b 陽平 ꜁,41 3 2a 陰上 ꜂,33 4 2b 陽上 ꜃,21 5 3a 陰去 ꜄,453 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,2 8 4b 陽入 ꜇')
象	tsʰio4	
豬	tu1	
豹	pa5	
貝	puɛ5	
貝	pui6	
財	tsʰai2	
貢	koŋ5	
貧	pʰiɛŋ2	
貨	huɛ5	
貪	tʰam1	
貴	kui5	
貶	piɛŋ3	
買	voi3	
費	vi5	
貼	nak7	
賀	ho4	
資	tsu1	
賊	tsʰak7	
賒	sia1	
賓	piɛŋ1	
賠	pʰui2	
賣	voi1	
賤	tsiɛŋ4	
質	tsiɛk7	
賭	tu3	
賺	tsuaŋ4	
贊	tsaŋ5	
贏	ia2	
走	tsau3	
起	kʰi3	
超	tsʰiau1	
趙	tsiau4	
足	tsok7	
跌	pua4	
跌	tiap7	
跑	pʰau2	
跪	kui4	
路	lɛu1	
路	lu6=	
跳	tio2	
踏	ta4	
踢	tʰak7	
身	siɛŋ1	
車	tsʰia1	
車	ku1	～馬炮
軍	kiɛŋ1	
軟	nui4	
軸	tsok8	
輔	hu3	
輕	kʰiɛŋ1	
輩	puɛ5	
輸	si1	
輸	su1	
轉	tui3-	～身
轉	tsiɛŋ3	～身
轎	kio1	
轟	hoŋ1	
辣	lua4	
辦	paŋ4	
辭	tsʰu2	
辮	pi4	
辮	piɛŋ6=	
辯	piɛŋ6	
辱	jiok8	
農	noŋ2	
迎	ŋɛŋ3=	
迎	iɛŋ3	
近	kiɛŋ4	
追	tsui1	
退	tʰui5	
送	saŋ5	
逆	ŋiɛk7	
透	tʰau5	
通	tʰoŋ1	
造	tsau4	
連	liɛŋ2	
進	tsiɛŋ5	
逼	pik7	
運	jiɛŋ4	
遍	pʰiɛŋ5	
過	kuɛ5	
道	tau4	
達	tak7	
遠	hui4	
遮	tsia1	
遮	tsɛ6=	
遲	ti2	
遲	tsʰi2=	
遵	tsuŋ1	
遷	tsʰiɛŋ1	
還	huaŋ2	歸～
邊	pai2	訓“爿”
邊	piɛŋ1	
那	na6	
那	ha6	
邪	sɛ2	
郎	laŋ2	
部	pɛu6	
部	pu6=	
郭	kuɛk7	
都	tɛu1	
都	tu1=	
鄉	hiaŋ1	
配	pʰuɛ5	
配	pʰui5=	
酒	tsiu3	
酸	sui1	
醉	tsui5	
醋	tsʰɛu5	
醋	tsʰu6=	
醒	tsʰɛ3	
醫	i1	
醬	tsio6	
重	tsʰoŋ2	～複
重	taŋ4	輕～
野	jiɛ3	
金	kim1	
釘	taŋ1	
針	tsiam1	
釣	tio5	
鉗	kʰiam2	
銀	ŋiɛŋ2	
銃	tʰoŋ5	
銅	taŋ2	
銜	kam2	
銳	zui6	
銼	tsʰo5	
鋤	tʰu2	
鋪	pʰɛu1	
鋪	pʰɛu5	（店～)
鋸	ku5	
鋼	ko3	
錘	tʰui2	
錘	sui2=	
錢	tsi2	
錦	kim4	
錫	sia6	
錯	tsʰo5	
錯	tsʰu6=	
鎖	so3	
鎮	tsiɛŋ5	
鏟	tsʰaŋ3	
鏡	kia5	
鐘	tsiaŋ1	
鐮	siap7	
鐵	tʰi6	
鑼	lo2	
鑿	tsʰak7	
長	tsiaŋ3	生～
長	to2	～短
門	mui2	
閂	tsʰua5	
閃	siam6	
閉	pik7	
開	kʰui1	
開	kʰai1=	
閏	nuŋ1	
閑	ai2	
間	kɛŋ1	中～
闊	kʰuak7	
關	kuɛ1	
阻	tso3	
阿	o1	～膠
限	haŋ6	
除	tu2	
除	tsʰi2=	
陰	im1	
陳	taŋ2	
隊	toi4	
階	kai1	
隔	kɛ6	
隨	tsʰui2	
險	hiam4	
雀	tsʰiok7	
雄	hioŋ2	
集	tsik7	
雙	siaŋ1	
雜	tsap8	
雞	koi1	
難	naŋ2	～易
雨	hɛu4	
雨	ji6=	
雪	soi6	
雲	huŋ2	
雷	lui2	
雹	pʰak7	
電	tiɛŋ4	
霜	suaŋ1	
霧	vɛu5	
霧	mɛu5	
露	lɛu1	
霸	pa5	
靈	liŋ2	
青	tsʰɛ1	
青	tsʰiŋ1=	
靜	tsiŋ4	
靠	kʰau5	
面	miɛŋ1	～上
面	mi1	～條
靴	kʰuɛ1	
鞋	oi2	
鞭	piɛŋ1	
響	hiaŋ3	
順	suŋ6	
須	tsʰiu1	胡～
頑	ŋuaŋ2	
頓	tuŋ6	
領	nia3	
頭	tʰau2	
頸	kiŋ6	
題	toi2	
題	tʰi2=	
額	hia1	
額	ŋɛ4=	
顏	ŋaŋ2	
顛	tiɛŋ1	
類	lui6	
風	huaŋ1	
飄	pʰiau1	
飛	puɛ1	
飛	vi1=	
食	tsia4	
飯	pui1	
飼	tsʰi1	
飼	tsu6=	
飽	pa3	
餅	pua3	
餐	tsʰaŋ6	
餐	tui5	
餓	oi6	訓
餓	nɡo1	
餘	ji2	
饒	iau2	
香	pʰaŋ1	訓“芳”
香	hio1	
香	hiaŋ1	
馬	vɛ3	
馬	ma3=	
馮	paŋ2	
駁	pok7	
駝	tʰo2	
騎	kʰia2	
騙	pʰiɛŋ5	
騷	tsau2	
騷	sou6	
驕	kiau1	
驗	niam4	
驚	kia1	
骨	kuk7	
骹	kʰa1	
體	tʰi3	
高	kuai2	訓“懸”
高	kau1	
鬆	saŋ1	～緊
鬥	tau3	一～
鬥	tɛu3	～爭
鬧	nau4	
鬮	kʰau1	
鬮	kiu6	
鬼	kui3	
魏	ŋui4	
魚	hu2-	
魚	ji2=	
鰓	tsʰi1	
鳥	liɛ2	陰莖
鳳	hoŋ6	
鴨	a6	
鴨	ap7	
鴿	kap7	
鵝	ŋo2	
鹵	lɛu4	
鹹	kiam2	
鹹	ham2=	
鹽	jiam2	
鹿	tiak8	
麟	laŋ2	
麟	liɛŋ5	
麥	vɛ4	
麻	mua2	
黃	ui2	
點	tiam3	
黨	taŋ3	
黴	vuɛ2	
鼓	kɛu3	
鼠	tsʰu3	
鼠	si3=	
鼻	pʰi1	
鼻	pi6=	
齊	tsoi2	
齒	kʰi3	
齒	tsʰu3=	
龜	ku1	
