#漢字	音標	解釋
钁	kiɔk7	~锄:锄头
一	iɐt7	
丁	tɐŋ1	
七	tsʰɐt7	
万	man6	
丈	tsʰɔŋ6	
三	sam1	
上	sɔŋ5	~山
上	sɔŋ6	~面
下	ha6	~面
下	ha1	底~
不	pɐt7	
与	i5	
丐	kʰui5	
丑	tsʰɐu3	
專	tsin1	
且	tsʰia3	
丕	pui1	
世	sɐi5	
丘	hɐu1	
丙	piaŋ3	
業	nip8	
叢	tsʰuŋ2	
東	tuŋ1	
絲	si1	
丞	sɐŋ2	
丢	tiu1	
兩	liɔŋ3	
嚴	nim2	
喪	sɔŋ5	
个	kɔ5	
丫	a1	
中	tsuŋ1	
中	tsuŋ5	射~
丰	fuŋ1	
串	tsʰin5	
臨	lɐm2	
丸	in2	
丹	tan1	
爲	vɐi6	~何
爲	vɐi2	作~
主	tsi3	
麗	lɐi6	
舉	ki3	
乃	nai5	
久	kɐu3	
義	ŋi6	
之	tsi1	
烏	u1	
乍	tsa5	
乎	fu2	
乏	fat8	
樂	lɔk8	快~
樂	ŋɔk8	音~
喬	kʰiu2	
乖	kuai1	
乘	sɐŋ2	
乙	lit7	
九	tsɐu3	
九	kɐu3	
乞	hat7	
也	ia5	
習	tsʰɐp8	
鄉	hiɔŋ1	
書	si1	
買	mai5	
亂	lin6	
乳	iui5	
乾	kʰin2	
了	liu3	
爭	tsaŋ1	
事	si6	
二	ŋi6	
于	i5	
虧	kʰɐi1	
云	vɐn2	
互	fu6	
五	m̩5	
井	tsiaŋ3	
亞	a1	
些	sia1	
亡	mɔŋ2	
交	kau1	
亥	hat8	
亦	iɐk8	
產	tsʰan3	
亨	pʰaŋ1	
畝	mɐu5	
享	hiɔŋ3	
京	kɐŋ1	
亭	tʰɐŋ2	
亮	liɔŋ6	
親	tsʰɐn1	
褻	sit7	
人	iɐn2	
億	iɐk7	
什	sɐp8	
仁	iɐn2	
仄	tsɐk7	
僅	kɐn3	
仆	pɔk7	~人
仆	pʰuk8	~倒
仇	sɐu2	
今	kɐm1	
介	kai5	
仍	iɐŋ2	
从	tsʰuŋ2	
仑	lɐn2	
倉	tsʰɔŋ1	
仕	si6	
他	tʰa1	
仗	tsɔŋ5	
付	fu6	
仙	sin1	
代	tʰui6	
令	lɐŋ6	
以	i5	
儀	ŋi6	
仰	ŋɔŋ5	
仲	tsʰuŋ6	
仵	m̩5	
件	kʰin6	
價	ka5	
任	iɐm6	
份	fɐn6	
仿	fɔŋ3	
企	kʰi5	
伊	i1	
伍	m̩5	
伏	fuk8	
伐	fat8	
休	hɐu1	
衆	tsuŋ5	
優	iɐu2	
伙	fɔ3	
會	vui6	
傘	san5	
偉	vɐi5	
傳	tsʰin2	~达
傳	tsʰin6	~记
伢	ŋa2	
傷	sɔŋ1	
