#漢字	音標	解釋
䝼	ȶʰiŋ5	〜受
一	i1	
丁	ȶiŋ1	
七	ȶʰi3	
万	uã5	
丈	tʃɑŋ5	
三	θã1	
上	ʃɑŋ5	~山
上	ʃɑŋ5	~面
下	ʃa5	〜降
下	ʃa5	底〜
不	pu3	
与	y5	及,给予
丐	kɛ5	乞〜
丑	tʃʰou3	〜时
專	tʃuã1	
且	ȶʰiə3	
丕	pʰei1	
世	ʃɿ5	
丘	tʃʰou1	
丙	piŋ3	
業	iə5	
叢	tθʰəŋ2	
東	təŋ1	
絲	θɿ1	
丞	tʃʰəŋ2	
丢	ȶiou1	
兩	liɑŋ3	斤〜
嚴	iã2	
並	piŋ5	~且
喪	θɑŋ1	〜事
喪	θɑŋ5	〜失
个	kuə5	〜人,一〜
丫	ia1	〜头
中	tʂəŋ1	〜国
中	tʂəŋ5	射〜
中	tʂəŋ1	当〜
丰	fəŋ1	
串	tʃʰuã5	
臨	liẽ2	
丸	uã2	
丹	tã1	
爲	uei5	〜什么
爲	uei5	作〜
主	tʃʮ3	
麗	li5	美〜
舉	tʃʮ3	〜拐杖
乃	nɛ3	
久	tʃou3	
義	i5	
之	tʂʅ1	
烏	u1	
乍	tʂa5	
乎	xu1	
乏	fa2	
樂	luə5	快〜
樂	yə5	音〜
喬	tʃʰɔ2	
乖	kuɛ1	
乘	tʃʰəŋ2	
乙	i1	
九	tʃou3	
乞	tʃʰɿ3	
也	iə3	者〜,〜是
習	θi2	
鄉	ʃɑŋ1	
書	ʃʮ1	
買	mɛ3	
亂	luã5	
乳	y3	
乾	tʃʰã2	〜坤
了	təŋ5	
了	liɔ3	〜结
爭	tʂəŋ1	
事	ʂʅ5	
二	ɭə5	
于	y2	
于	y3	〜此
虧	kʰuei1	
云	yẽ2	人~亦云
互	xu5	
五	u3	
井	ȶiŋ3	
亞	ia1	
些	θiə1	
亡	uɑŋ3	
交	tʃɔ1	
亥	xɛ3	
亦	i5	
產	tʂʰã3	
畝	mu3	
享	ʃɑŋ2	
京	tʃəŋ1	
亭	ȶʰiŋ2	
亮	liɑŋ5	
親	ȶʰiẽ1	〜人
親	ȶʰiẽ1	〜家
人	iẽ2	
億	i5	
什	ʃɿ2	〜物
仁	iẽ2	
僅	tʃẽ3	
仆	pʰu3	〜人
仆	pʰu3	前〜后继
仇	tʃʰou2	
仇	tʃʰou2	姓
今	tʃẽ1	
介	tʃɛ5	
仍	ləŋ1	
从	tθʰəŋ2	〜容
从	tθʰəŋ2	跟〜
仑	luẽ2	
倉	tθʰɑŋ1	
仕	ʂʅ5	
他	tʰa3	
仗	tʃɑŋ5	
付	fu5	
仙	θiã1	
代	tɛ5	
令	liŋ5	
以	i1	
儀	i2	
仰	iɑŋ3	
仲	tʂəŋ5	
件	tʃã5	
價	tʃa5	
任	iẽ5	姓
任	iẽ5	责〜
份	fẽ5	一〜两~
企	tʃʰɿ2	
伊	i3	
伍	u3	
伏	fu5	
伐	fa2	
休	ʃou1	
衆	tʂəŋ5	
優	iou1	
伙	xuə3	同〜
會	kʰuɛ5	会计
會	xuei5	开〜,〜不~
傘	θã3	
偉	uei3	
傳	tʃʰuã2	〜达
傳	tʃuã5	〜记
伢	ia2	小孩子
傷	ʃɑŋ1	
倫	luẽ2	
僞	uei3	
伯	pə2	
估	ku3	〜计
伴	pã5	
伶	liŋ2	
伸	ʃẽ1	
伺	tθʰɿ5	
似	θɿ5	
佃	ȶiã5	
但	tã5	
佈	pu5	宣〜
位	uei5	
低	ȶi1	
住	tʃʮ5	
佐	tθuə5	
體	ȶʰi3	
何	xuə2	
佘	ʃə5	姓
余	y2	文言代词,我
佛	fə2	~祖
佛	fu3	仿〜
作	tθuə3	〜坊,工〜
佞	ȵiŋ2	
你	ȵi3	
佩	pʰei5	
佳	tʃa3	
使	ʂʅ3	
侄	tʃɿ2	
例	li5	
侍	ʂʅ5	
供	kəŋ1	〜给,〜不起
供	kəŋ5	〜养,上〜
依	i3	
僥	tʃɔ3	〜幸
偵	tʃəŋ3	
側	tθʰə5	
僑	tʃʰɔ2	
侮	u3	
侯	xou2	
侵	ȶʰiẽ1	
便	pʰiã2	〜宜
便	piã5	方〜
促	tθʰu5	
俄	uə2	
俊	ȶyẽ5	
俏	ȶʰiɔ5	
俗	θy2	
俘	fu3	〜虏
保	pɔ3	
信	θiẽ5	
儉	tʃã3	
修	θiou1	
俱	tʃʮ5	
俸	fəŋ5	
倆	liɑŋ3	〜个
倍	pei5	
倒	tɔ5	〜水
倒	tɔ3	打〜,颠〜
倔	tʃuə3	〜强
倔	tʃuə5	脾气〜
倘	tʰɑŋ3	〜若
候	xou5	
倚	i3	
借	ȶiə5	
倡	tʃʰɑŋ5	~导
倪	ȵi2	
倭	uə1	
債	tʂɛ5	
值	tʃɿ2	不〜
傾	tʃʰəŋ1	
假	tʃa3	放〜
假	tʃa3	真〜
偏	pʰiã1	
做	tθu5	
做	tθuə3	新
做	tθuə5	老
停	ȶʰiŋ3	
健	tʃã5	
偶	ŋou1	〜然
偶	ŋou1	配〜
偷	tʰou1	
償	tʃʰɑŋ2	
傀	kʰuei2	〜儡
傅	fu5	
傍	pɑŋ5	
傢	tʃa1	〜具
儲	tʂʰu3	〜蓄
催	tθʰuei1	
傲	ŋɔ5	
傻	ʃa3	
像	θiɑŋ5	
僧	θəŋ1	
僵	tʃɑŋ1	
僻	pʰi1	
儒	y3	
儡	lei3	傀〜
兒	ɭə2	
允	yẽ2	
元	yã2	
兄	ʃəŋ1	
充	tʂʰəŋ1	
兆	tʃɔ5	
先	θiã1	
光	kuɑŋ1	
克	kʰei3	〜服
克	kʰə3	千〜
免	miã3	
兑	tuei5	
兔	tʰu5	
黨	tɑŋ3	
兜	tou1	
入	y5	
全	ȶʰyã2	
八	pa3	
公	kəŋ1	
兮	ʃɿ1	
蘭	lã2	
關	kuã1	
興	ʃəŋ5	~旺
興	ʃəŋ5	高~
兵	piŋ1	
其	tʃʰɿ3	
具	tʃʮ5	
典	ȶiã3	
兹	tθɿ1	
養	iɑŋ3	
兼	tʃã1	
獸	ʃou5	
内	nei5	
冉	iã3	
册	tʃʰei3	
再	tθɛ5	
冒	mɔ5	
寫	θiə3	
軍	tʃuẽ1	
農	nu2	
冠	kuã5	〜军
冠	kuã1	衣〜
冤	yã1	
冬	təŋ1	
馮	fəŋ2	
冰	piŋ1	
冲	tʂʰəŋ1	
決	tʃuə3	
况	kʰuɑŋ5	
冷	ləŋ3	
凍	təŋ5	汤凝成~
淨	ȶiŋ5	
準	tʃuẽ3	~许
涼	liɑŋ2	
凌	liŋ2	
減	tʃã3	
湊	tθʰou5	
凝	ȵiŋ2	
几	tʃɿ1	〜乎
几	tʃɿ3	〜个
几	tʃɿ1	茶〜
凡	fã2	
鳳	fəŋ5	
凭	pʰiŋ2	
凱	kʰɛ3	
凳	təŋ5	
凶	ʃəŋ1	〜恶
凶	ʃəŋ1	吉〜
出	tʂʰu3	
擊	tʃɿ3	
函	xã2	
鑿	tθuə5	
刀	tɔ1	
刁	ȶiɔ1	
刃	iẽ5	
分	fẽ1	〜开
切	ȶʰiə3	〜开
刊	kʰã3	
刎	uẽ3	
刑	ʃəŋ2	
划	xua2	〜船
划	xua5	〜火柴
列	liə5	
劉	liou2	
則	tθei3	
剛	kɑŋ1	
創	tʂʰuɑŋ5	
初	tʂʰu3	
删	ʂã3	
判	pʰã5	
刨	pʰɔ2	〜地
刨	pɔ5	〜子
别	piə2	区〜
别	piə2	离〜
刮	kua3	
到	tɔ5	
制	tʃɿ5	〜度
制	tʃɿ5	〜造
