#漢字	音標	解釋
㞞	səŋ2	精液
應	in5	~答
店	tian5	
廟	miau6	
庵	ŋan1	
延	ian2	
建	tɕian5	
開	kʰæ1	
弓	kəŋ1	
引	in3	
弟	tʰei6	
張	tʂaŋ1	量
弦	ʂʯan2	
彎	uan1	
弱	ȵio7	
歸	kui1	
當	taŋ5	~铺
形	ɕin2	
彭	pʰəŋ2	
影	iaŋ3	
役	i6	
律	lei3	
徐	sei2	
得	te7	
心	ɕin1	
憶	i7	
忙	maŋ2	
快	kʰuæ5	
念	ȵian6	
忽	xu3	
懷	xuæ2	
急	tɕi7	
怨	ʯan5	
怪	kuæ5	
恨	xɛ̃6	
恨	xəŋ6	
恩	ŋɛ̃1	
恩	ŋəŋ1	
恭	kəŋ1	
息	sei7	
息	ɕi7	
恶	ŋo7	形容词
惜	sei7	
愁	tsʰe2	
感	kan3	
慌	xuaŋ1	
慢	man6	
懂	təŋ3	
我	ŋo3	
戒	tɕiæ5	
或	xue7	
戰	tʂan5	
戚	tsʰei7	
截	tɕʰi7	
戳	tʂʰo7	
戴	tæ5	动词
房	faŋ2	
扁	pian3	
扇	ʂan5	名词
手	ʂəu3	
打	ta3	
托	tʰo7	
掃	sau3	动词
扶	fu2	
承	tʂʰən2	
技	tɕi6	
抓	tʂʯa1	~牌
抗	kʰaŋ5	
折	ʂe6	~本
搶	tɕʰiaŋ3	
報	pau5	
抱	pʰau6	
抽	tʂʰəu1	
擔	tan5	名词
拆	tsʰa6	
拆	tsʰe7	
拔	pa6	
拖	tʰo1	
拜	pæ5	
攔	lan2	
撥	po7	
拳	tʂʰʯan2	
挂	kua5	
指	tʂʅ3	
挖	ua7	
挾	ka7	~菜
捏	ȵi7	
換	xuan6	
掀	ɕian1	
掌	tʂaŋ3	
排	pʰæ2	
接	tɕi7	
插	tsʰa7	
揖	i7	作~
搓	tsʰo1	
搬	pan1	
摆	pæ3	
摘	tsa6	
撑	tsʰəŋ1	
撒	san3	
撞	tʂʰʯaŋ6	
撤	tʂʰa3	
撮	tse7	
擦	tsʰa7	
攀	pʰan1	
改	kæ3	
放	faŋ5	
敵	tei7	
敢	kan3	
數	səu3	动词
數	səu5	名词
敲	tɕʰiau1	
文	uən2	
齋	tsæ1	
斗	te3	一~
料	lie6	
斜	ɕia2	
斤	tɕin1	~两
斧	fu3	
斷	tʰan6	
新	ɕin1	
方	faŋ1	
族	tsʰəu6	
旗	tɕʰi2	
無	u2	
日	ɚ7	~头
舊	tɕʰiu6	
早	tsau3	
時	ʂʅ2	
旺	uaŋ5	
昏	xun1	
春	tʂʰʯən1	
是	ʂʅ6	
晝	tʂəu5	
曬	ʂæ5	
晴	tɕʰiaŋ2	
暗	ŋan5	
曆	lei7	
曲	tʂʰʯ7	~折
更	kɛ̃1	三~
月	ʯɛ7	
有	iəu3	
朋	pʰəŋ2	
服	fu6	
望	uaŋ6	
木	mo7	
未	uei6	
末	mo7	
本	pən3	
朮	ʂʯ7	白~
殺	sa7	
雜	tsa7	
李	lei3	姓
村	tsʰəŋ1	
條	tʰie2	
來	læ2	
杯	pei1	
杰	tɕʰi7	
松	səŋ2	~树
板	pan3	
極	tɕi6	
林	lin2	
果	ko3	
柄	pin5	
染	ʯan3	
櫃	kʰui6	
查	tsʰa2	调~
柱	tʂʰʯ6	
柴	tʂʰæ2	
柿	tsʰɿ6	
樹	ʂʯ6	
栗	lei7	
樣	iaŋ6	
核	xe7	~桃
根	kɛ̃1	
根	kəŋ1	
格	ke7	
桂	kui5	
桃	tʰau2	
桌	tʂo7	
桑	saŋ1	
橋	tɕʰie2	
樁	tʂʯaŋ1	
桶	tʰəŋ3	
夢	mən6	
梨	lei2	
梯	tʰei1	
梳	səu1	
棉	mian2	
棒	paŋ6	
棕	tsəŋ1	
棚	pʰəŋ2	
棵	kʰo1	
椅	i3	
榖	ku7	
榜	paŋ3	
槌	tʂʰʯei2	
橫	xun2	
橘	tʂʯ7	
欠	tɕʰian5	
歡	xuan1	
欣	ɕin1	
歇	ɕi7	
歌	ko1	
正	tʂən5	~反
步	pʰu6	
歪	uai1	
死	sɿ3	
殿	tʰian6	
母	mu3	
毒	tʰəu6	
毛	mau2	
民	min2	
气	tɕʰi5	
水	ʂʯei3	
永	ʯən3	
汁	tʂʅ7	
漢	xan5	
汗	xan6	
江	tɕiaŋ1	
池	tʂʰʅ2	
沉	tʂʰəŋ2	
沙	sa1	
油	iəu2	
泉	tɕʰian2	
法	fa7	
泥	ȵi2	
淚	lei6	
洗	sei3	
洞	tʰəŋ6	
津	tɕin1	
活	xo6	
流	liu2	
淺	tɕʰian3	
漿	tɕiaŋ1	
濃	ləŋ2	
浙	tʂe7	
浪	laŋ6	
浮	fu2	
浴	ʯ7	
海	xæ3	
浸	tɕin5	
涂	tʰəu2	
消	ɕiau1	
涉	ʂa7	
澀	se7	
淡	tʰan6	
深	ʂən1	
添	tʰian1	
清	tɕʰiaŋ1	
淵	ʯan1	
渠	kʰe2	他
溫	uən1	
渴	kʰo7	
湖	xu2	
源	ʯan2	
溪	ɕi1	
滑	xua7	
滚	kun3	
滿	man3	
滴	tei7	
漏	le6	
潭	tʰan2	
灌	kuan5	
火	xo3	
滅	mi7	
燈	tɛ̃1	
灰	xui1	
靈	lin2	
竈	tsau5	
災	tsæ1	
炒	tsʰau3	
炭	tʰan5	
炮	pʰau5	
爛	lan6	
烘	xəŋ1	
燭	tʂəu7	
烟	ian1	
燒	ʂau1	
燙	tʰaŋ5	
熱	ʐe7	
焦	tɕiau1	
煎	tɕian1	
煤	mei2	
照	tʂe5	
煮	tʂʯ3	
熏	ʂʯən1	
熟	ʂəu6	
熬	ŋau2	
燕	ian5	~子
爬	pʰa2	
愛	ŋæ5	
爺	ie2	父
片	pʰian5	
牌	pʰæ2	
牙	ŋa2	
牛	ȵiu2	
牢	lau2	
牽	tɕʰian1	
特	tʰe7	
犁	lei2	
犬	tʂʰʯan3	
狀	tsʰaŋ6	
狂	kʰuaŋ2	
狗	ke3	
獵	li7	
猛	mən3	
豬	tʂʯ1	
猫	mau2	
獻	ɕian5	
玉	ʯ7	
王	uaŋ2	
珠	tʂʯ1	
琴	tɕʰin2	
瓊	tʂʰʯən2	
瓜	kua1	
瓦	ua3	名词
瓶	pin2	
甘	kan1	
甜	tʰian2	
生	saŋ1	
生	sən1	
用	in6	
田	tʰian2	
甲	tɕia7	
畫	xua6	
留	liu2	
畜	ɕiu7	~牲
略	lio7	
瘡	tsʰaŋ1	
病	pʰiaŋ6	
痒	iaŋ3	
痣	tʂʅ5	
痱	fei5	
瘦	se5	
癬	ɕian3	
發	fa7	
白	pʰa6	
白	pʰe7	
百	pe7	
益	i7	
盞	tsan3	
鹽	ian2	名词
盒	xo6	
盖	kæ5	
盤	pʰan2	
目	mo7	
直	tʂʰʅ6	
盾	təŋ6	
眉	mei2	
真	tʂən1	
眼	ŋan3	
着	tʂo7	睡~
督	təu1	
瞎	xa5	
短	tan1	
矮	ŋæ3	
石	ʂa6	
砍	kʰan3	
磚	tʂʯan1	
破	pʰo5	
硬	ŋaŋ6	
硬	ŋəŋ6	
碎	tsʰei5	
碗	uan3	
碧	pei7	
磕	kʰo7	
磨	mo6	名词
祝	tʂəu7	
神	ʂən2	
祠	tsʰɿ2	
票	pʰiau5	
祭	tsei5	
离	lei2	
秃	tʰəu7	
秋	tɕʰiu1	
種	tʂəŋ5	动词
租	tsəu1	
秤	tʂʰən5	
秦	tɕʰin2	
秧	iaŋ1	
移	i2	
税	ʂʯei5	
稗	pʰæ6	
穩	uən3	
窮	tɕʰin2	
空	kʰəŋ5	~缺
穿	tʂʰʯan1	
突	tʰəu7	
窖	kau5	
端	tan1	
竹	tʂəu7	
笋	səŋ3	
笑	ɕie5	
筆	pei7	
笨	pʰəŋ6	
答	ta7	
篩	ʂæ1	名词
算	san5	
管	kuan3	
箭	tɕian5	
箱	ɕiaŋ1	
篇	pʰian1	
籃	lan2	
篷	pʰəŋ2	
篾	mi7	
簪	tsan1	
簿	pʰu6	
米	mei3	名词
粉	fən3	
粒	lei7	
粗	tsʰəu1	
粟	səu7	~子
糞	fən5	
糉	tsəŋ5	
糍	tsʰɿ2	
糖	tʰaŋ5	
糟	tsau1	
索	so1	
緊	tɕin3	
紫	tsɿ3	
紅	xəŋ2	
納	na7	
紙	tʂʅ3	
紡	faŋ3	
紐	ȵiu3	
線	ɕian5	
細	sei5	
經	tɕin1	
絨	in2	
結	tɕi7	
絶	tɕʰi6	
絶	tʂʯɛ7	
繩	ʂən2	
綠	ləu7	
縫	fən2	动词
纏	tʂʰan2	盘~
縮	səu7	
缸	kaŋ1	
缺	tʂʰʯɛ7	
网	uaŋ3	
罩	tsau5	
罪	tsei6	
翁	uən1	
翻	fan1	
老	lau3	
耕	kəŋ1	
耙	pʰa6	
耳	ɚ3	
聶	ȵi7	
聾	ləŋ2	
肉	ʐəu7	
肝	kan1	
腸	tʂʰaŋ2	
肩	tɕian1	
肯	kʰəŋ3	
育	iəu7	
肺	fei5	
腫	tʂəŋ3	
膽	tan3	
胸	ɕin1	
能	nəŋ2	
脂	tʂʅ1	
脊	tɕi7	
腦	nau3	
脚	tɕio7	
脱	tʰo7	
腔	tɕʰiaŋ1	
腹	fu3	
臭	tʂʰəu5	
舀	ie3	~水
舂	tʂʰəŋ1	
舅	tɕʰiu6	
舌	ʂa6	
舞	u3	
船	tʂʰʯan2	
色	se7	
藝	ȵi6	
艾	ŋæ6	~叶
節	tɕi7	
芋	ʯ6	
芍	ʂo6	~药花
花	xua1	
苏	səu1	
苗	mie2	
苦	kʰu3	
范	fan6	姓
茶	tsʰa2	
草	tsʰau3	
榮	in2	
藥	io7	
荷	xo2	
蓮	lian2	
获	xu3	
菜	tsʰæ5	
蘿	lo2	
營	in2	
蕭	ɕie1	
落	lo7	
葬	tsaŋ5	
葱	tsʰəŋ1	
蒸	tʂən1	
蔡	tsʰæ5	
薄	pʰo6	
薛	ɕi7	
藕	ŋe3	
藤	tʰəŋ2	
蘸	tsan5	
虚	ʂʯ1	
蟲	tʂʰən2	
虱	se7	
蟻	ȵi3	
蚊	uən2	
蠶	tsʰan2	
蛆	tsʰei1	
蛇	ʂa2	
蜂	fəŋ1	
蠟	la7	
蠅	in2	
螺	lo2	
血	ɕi7	
行	ɕin2	~为
術	ʂʯ7	
街	kæ1	
表	piau3	
衫	san1	
襖	ŋau3	
袋	tʰæ6	
被	pʰei6	名词
裝	tsaŋ1	
裙	tsʰʮən2	
褲	kʰu5	
襪	ua7	
見	tɕian5	
角	ko7	牛~
解	kæ3	~开
解	tɕiæ3	
言	ian2	
認	ʐən6	
討	tʰau3	
讓	ʐaŋ6	
訓	ʂʯən5	
記	tɕi5	
講	tɕiaŋ3	
識	ʂʅ7	
話	xua6	
説	ʂʯɛ7	
請	tɕʰiaŋ3	
讀	tʰəu6	
譜	pʰu3	
豆	tʰe6	
貌	mau6	
財	tsʰæ2	
敗	pʰæ6	
貨	xo5	
貪	tʰan1	
貧	pʰin2	
貼	tʰi7	
貴	kui5	
賊	tsʰe6	
賭	pʰu3	
賠	pʰei2	
賺	tʂʯan6	
贏	iaŋ2	
走	tse3	
趙	tʂʰau6	
足	tsəu7	
跌	tʰi7	
跑	pʰau2	
跪	kʰui6	
路	ləu6	
跳	tʰie5	
踢	tʰi7	
身	ʂən1	
躱	to3	
車	tʂʰa1	汽~
轉	tʂʯan3	~身
輪	ləŋ2	
軟	ɳʯan3	
輕	tɕʰin1	
轎	tɕʰiau6	
輸	ʂʯ1	~赢
辣	la7	
辱	ʐəu7	
邊	pian1	
達	tʰa7	
過	ko5	
迎	in2	
運	ʯən6	
近	tɕʰin6	
還	xuan2	动词
進	tɕin5	
遠	ʯan3	
連	lian2	
遲	tʂʰʅ2	
追	tʂʯei1	
退	tʰei5	
送	səŋ5	
選	ʂʯan3	
透	tʰe5	
遞	tʰei6	
通	tʰəŋ1	
造	tsʰau6	
逼	pei7	
逼	pi7	
道	tʰau6	
遮	tʂa1	
避	pʰei6	
鄧	tʰəŋ6	
邦	paŋ1	
鄰	lin2	
郎	laŋ2	
鄭	tʂʰəŋ6	
郭	ko7	
配	pʰei5	
酒	tɕiu3	
醬	tɕiaŋ5	
酸	san1	
醉	tsei5	
醋	tsʰəu5	
醒	ɕiaŋ3	
重	tʂʰəŋ6	形容词
量	liaŋ2	动词
金	tɕin1	
針	tʂən1	
釘	tiaŋ1	名词
釣	tie5	
鉤	ke1	
鉗	tɕʰian2	~子
鑽	tsan1	动词
鐵	tʰi7	
鍘	tsa5	
銀	ȵin2	
鋪	pʰu1	
鎖	so3	
鋤	tsʰəu2	
錫	sei7	
鋸	ke5	
鎮	tʂən5	
鏡	tɕin5	
鐲	tʂʰo6	
長	tʂʰaŋ2	~短
門	mən2	
問	uən6	
閏	ʯən6	
闲	ɕian2	
間	kan1	一~房
閘	tsa7	
鬮	tɕiu1	
閲	ʯɛ7	
闊	kʰo7	
隊	tei6	
階	tɕiæ1	
阻	tsəu3	
陳	tʂʰən2	
降	tɕʰiaŋ2	投~
院	ʯan6	
除	tʂʰʯ2	
隱	in3	
隔	ke7	
隻	tʂʅ7	一~
難	nan2	形容词，~易
雀	tɕʰio7	
雄	ɕin2	
雌	tsʰɿ1	
雨	ʯ3	
雪	ɕi7	
雷	lei2	
雹	pau6	
霧	u6	
霍	xo7	
霜	saŋ1	
青	tɕʰiaŋ1	
靜	tɕʰiaŋ6	
靠	kʰau5	
面	mian6	
鞋	xæ2	
音	in1	
頂	tʰin3	
順	ʂʯən6	
须	sei1	
頓	təŋ5	
頸	tɕiaŋ3	
顔	ian2	
額	ŋa7	
風	fən1	
飛	fei1	
食	ʂʅ6	
饥	tɕi1	饿
飯	fan6	
飽	pau3	
餅	pin3	
餓	ŋo6	
餿	se1	
馬	ma3	
駡	ma6	
驗	ȵian6	
騎	tɕʰi2	
骨	ku7	
髓	sei3	
高	kau1	
鬼	kui3	
魂	xun2	
魚	ɳʯ2	
鱉	pi7	
鳥	ȵie3	
雞	tɕiæ1	
鴨	ŋa7	
鴿	ko7	
鷂	ie6	~鹰
鷹	in1	
鹿	ləu7	
麥	ma6	
麯	tʂʰʯ7	
麻	ma2	
黃	xuaŋ2	
黑	xe7	
鼠	ʂʯ3	
鼻	pʰei6	
齊	tsei2	
齒	tʂʰʅ3	
龍	ləŋ2	
龜	kui1	
