#漢字	音標	解釋
□	kɛi3	~里
㪗	tʰɛu3	~气
一	i7	~只
丁	tiaŋ1	姓~
万	van6	姓~
丈	tsʰɔŋ6	~人
三	san1	~只
上	sɔŋ6	~下
下	ha3	~车
不	pɛ7	~要
丑	tsʰɛu3	~时
世	sɿ5a	~上
丙	pin3	~丁
業	ȵiɛ8	手工~
東	təŋ1	~边
絲	sɿ1	~线
丢	tiɛu1	~掉
兩	liɔŋ3	~只
嚴	ŋan2b	盖~
喪	sɔŋ1	~事
喪	sɔŋ5a	~失
个	ko5a	~人
中	tsəŋ1	~间
中	tsəŋ5a	~意
丰	fəŋ1	~收
爲	vi6	~了
爲	vi2b	作~
主	tsu3	~人
舉	tsu3	~手
義	ȵi6	~气
烏	vu1	~泥
乖	kuai1	好~
九	tɕiɛu3	~只
習	ɕi7	~惯
書	su1	旧~
買	mai3	~菜
亂	lɔn6	~麻
乳	lu3	豆腐~
乾	tɕʰiɛn2a	~隆
了	liɛu3	~结
爭	tsən1	~吵
事	sɿ6	有~
二	ɛ6	~两
于	vi2b	等~
虧	kʰui1	吃~
云	vin2b	白~
互	fu6	~助组
五	ŋ̍3	~只
井	tɕiaŋ3	打~
亞	ŋa5a	~洲
交	kau1	~给
亥	hai2a	~时
產	tsʰan3	生~
亨	həŋ1	~通
畝	mɛu3	一~
京	tɕin1	~城
親	tɕʰin1	~戚
人	ȵin2b	~口
仆	pʰu8	~人
仇	tsʰɛu2a	有~
从	tsʰəŋ2a	~来
倉	tsʰɔŋ1	~库
仙	ɕiɛn1	种~
代	tʰai5a	~表
令	lin6	酒~
儀	i2b	~式
仰	ȵiɔŋ3	~着
件	tɕʰiɛn6	一~
任	lən2b	主~
份	fən6	一~
仿	fɔŋ3	模~
休	ɕiɛu1	~了
衆	tsəŋ3	群一
優	iɛu1	~秀
會	kʰuai3	~计
會	vi6	~做
偉	vɛi1	~大
傳	tsʰən2a	~到
傳	tsɔn6	水浒~
傷	sɔŋ2b	~心
伯	pɛ7	~~
伴	pʰɔn6	同~
似	tsʰɿ6	好~
位	vi5b	~子
低	ti1	~下
住	tsʰu6	~房
體	tʰi3	身~
佘	sa2b	姓~
余	vi2b	姓~
佛	fɛ7	信~
作	tsɔ7	工~
你	n2b	~我
佩	pʰi6	~服
使	sɿ3	~用
供	tɕiəŋ1	~爷娘
僥	tɕiɛu3	~幸
偵	tsən1	~察
側	tsʰɛ7	
儘	tɕin3	~你吃
侵	tɕʰin1	~路
便	pʰiɛn2a	~宜
便	pʰiɛn6	方~
促	tsu7	仓~
俏	tɕʰiɛu5b	紧~
俗	su8	~气
保	pau3	~证
儉	kan6	勤~
修	ɕiɛu1	~理
倍	pʰi6	加~
倒	tau3	~地
倒	tau5a	~水
候	hɛu2b	时~
借	tɕia5a	~钱
倪	ȵi2b	姓~
債	tsai5a	讨~
假	tɕia3	放~
做	tsu5a	~事
停	tʰin2a	~止
健	tɕiɛn6	身体~
偷	tʰɛu1	小~
傅	fu5a	姓~
