#漢字	音標	解釋
栓	suã1	
栗	li5	(文)板～
栗	lia5	(白)～子豆腐
校	tɕiau5	(又)
校	ʑiau6	～對；學～；上～
核	xə6	
根	kən1	
格	kə6	
栽	tsai1	
桂	kuei5	
桃	dau2	
桅	uei2	
案	ŋan5	
桌	tso6	
桐	duŋ2	
桑	saŋ1	
桓	van2	
桶	tʰuŋ3	
桿	kan3	
梁	liaŋ2	
梅	mei2	
梓	tsɿ3	
梔	tɕi1	
梗	kən3	
條	diau2	
梢	sau1	
梧	u2	
梨	li2	
梭	so1	
梯	tʰi1	
械	kai5	
梳	su1	
棄	tɕʰi5	
棉	miɛ̃2	
棋	dʑi2	
棍	kuən5	
棒	baŋ5	
棕	tsuŋ1	
棗	tsau3	
棚	buŋ2	
棟	tuŋ5	
棠	daŋ2	
棧	tsan6	
森	sən1	
棲	tɕʰi1	
棵	kʰo3	
棺	kuã1	
椅	i3	
植	dʑi6	
椒	tɕiau1	
椽	ʑyɛ̃2	～皮
椿	kʰin1	～樹
楊	iaŋ2	
楓	xuŋ1	
楚	tsʰu3	
楝	liɛ̃6	
楞	lən6	
楣	mi2	
楦	fyɛ̃5	鞋～
業	ȵiɛ6	
極	tɕʰi6	
楷	kai3	
概	kʰai5	
榆	y1	(又)
榆	y2	
榛	tsən1	
榜	paŋ3	
榨	tsa5	
榫	sən3	～頭
榮	vyn2	
榴	liəu3	石～
榻	tʰa6	
構	kei5	
槌	dzei2	(文)
槍	tɕʰiaŋ1	
槐	vai2	
槳	tɕiaŋ1	
槽	dzau2	
樁	tsaŋ1	
樂	lo6	
樂	io6	音～
樓	lei2	
標	piau1	
樞	tɕʰy1	
樟	tɕiaŋ1	
模	mo2	
樣	iaŋ6	
樵	dʑiau2	
樸	pʰu6	
樹	ʑy6	
橄	kan3	
橋	dʑiau2	
橘	tɕy6	
橙	dʑin2	
機	tɕi1	
橡	ɕiaŋ5	
橢	tʰo3	
橫	vən2	～直；蠻～
檀	dan2	
檁	lin6	
檜	kʰuei5	
檢	tɕiɛ̃3	
檳	pin1	
櫃	ɡuei6	
櫓	lu3	
櫻	in1	
欄	an2	
權	ɡɛ̃2	
欖	an3	
欛	pa5	
欠	tɕʰiɛ̃5	
次	tsʰɿ5	
欣	ɕin1	
欲	y6	
欺	tɕʰi1	
欽	tɕʰin1	
款	kʰuã3	
歇	ɕiɛ6	
歉	tɕʰiɛ̃5	
歌	ko1	
歐	ŋei1	
歡	fuã1	
止	tsɿ3	
正	tɕin1	～月
正	tɕin5	
此	tsʰɿ3	
步	bu6	
武	u3	
歪	uai1	
歲	sei5	
歷	li6	
歸	kuei1	
死	sɿ3	
殃	iaŋ1	
殆	dai6	
殉	dzən2	
殊	ʑy2	
殖	dʑi6	
殘	dzan2	
殮	liɛ̃6	
殯	pin5	
殲	tɕʰiɛ̃1	
段	duã6	
殷	in1	
殺	sa6	
殼	kʰo6	
殿	diɛ̃6	
毀	fei3	
毅	ȵi6	
毆	ŋei1	
母	mo3	
每	mei3	
毒	tu5	
比	pi3	
毛	mau2	
毫	ɣau2	
毯	tʰan3	
氈	tɕiɛ̃1	
氏	dzɿ6	
民	min2	
氣	tɕʰi5	
水	sei3	
永	vyn3	
汀	tin1	
汁	tɕi5	
求	dʑiəu2	
汗	ɣan6	
汝	y3	
汞	kuŋ3	
江	kaŋ1	(白)
江	tɕiaŋ1	(文)
池	dzɿ2	
污	u1	
汪	uaŋ1	
汴	biɛ̃2	
決	kɛ6	
汽	tɕʰi5	
沂	i2	
沃	o5	
沈	ɕin3	
沉	dʑin2	
沌	dən6	
沒	mə6	
沓	tʰa6	
沖	tsʰuŋ1	
沙	sa1	
沛	pʰei5	
沫	mə6	
河	ɣo2	
油	iəu2	
治	dzɿ6	
沼	tɕiau1	～氣
沾	tɕiɛ̃1	
沿	yɛ̃2	
況	kʰuaŋ5	
泅	dʑiəu2	
泉	dʑiɛ̃2	
泊	pʰə6	
泌	pi5	
法	fa6	
泛	fan5	
泡	pʰau1	
泡	pʰau5	～在水里
波	po1	
泣	ɕiɛ6	
泥	ȵi2	
注	tɕy5	
泰	tʰai5	
泳	vyn5	
洋	iaŋ2	
洛	lo6	
洞	duŋ6	
津	tɕin1	
洩	ɕiɛ6	
洪	ɣuŋ2	
洲	tɕiəu1	
活	xo5	
洽	tɕʰia6	
派	pʰai5	
流	liəu2	
浙	tɕiɛ6	
浚	tsən5	
浜	paŋ1	
浦	pʰu3	
浩	ɣau6	
浪	laŋ6	
浮	vu2	(文)
浮	bau2	(白)
浴	y6	
海	xai3	
浸	tɕin5	
消	ɕiau1	
涉	ɕiɛ6	
涎	iɛ̃2	
涓	kan1	
涕	tʰi5	
涯	ia2	
液	iɛ6	(文)
涼	liaŋ2	
淆	ʑiau2	
淋	lin2	
淑	ɕy6	
淘	dau2	
淚	lei6	
淡	dan6	
淤	y1	
淨	dʑin6	
淪	lən2	
淫	in2	
淮	vai2	
深	ɕin1	
淵	yɛ̃1	
混	vən6	
淺	tɕʰiɛ̃3	
添	tʰiɛ̃1	
清	tɕʰin1	
減	kan3	
渠	dʑy2	
渡	du6	
渣	tsa1	
測	tsʰə6	
港	kaŋ3	
渴	kʰo6	
游	iəu2	
渺	miau3	
渾	fən1	
湊	tsʰei5	
湖	vu2	
湘	ɕiaŋ1	
湧	yŋ3	
湯	tʰaŋ1	
溉	kʰai5	
源	yɛ̃2	
準	kin3	
溜	liəu1	
溝	kei5	
溪	tɕʰi1	
溫	uən1	
溺	ȵi6	
滂	baŋ2	
滅	miɛ6	
滋	tsɿ1	
滑	ua5	
滔	tʰau1	
滬	vu6	
滯	dzɿ6	
滲	sən5	～透
滴	ti6	
滷	lu3	
滸	fu3	
滾	kuən3	
滿	muã3	
漁	y2	
漂	pʰiau3	
漂	pʰiau5	～亮
漆	tɕʰi6	
漏	lei6	
演	iɛ̃3	
漚	ŋei5	
漢	xan5	
漫	man5	
漱	su5	～口
漲	tɕiaŋ3	
漸	dʑiɛ̃6	
漿	tɕiaŋ1	
潑	po6	
潔	tɕiɛ6	
潘	pʰuã1	
潛	dʑiɛ̃2	
潤	vyn5	
潭	dan2	
潮	dʑiau2	
潰	kʰuei5	～膿
潲	sau5	豬食
澀	tɕia6	
澄	dʑin2	
澄	dʑin6	水渾，～—～
澆	tɕiau1	
澇	lau5	
澗	kan5	
澡	tsau3	
澤	tsʰə6	
激	tɕi6	
濁	dzo5	
濃	ȵyŋ2	
濕	ɕi6	
濟	tɕi5	
濤	dau2	
濫	an6	
濺	tsan5	
濺	dʑiɛ̃6	
濾	ly6	
瀉	ɕiɛ5	
瀑	pʰau5	～布
灌	kuã5	
灑	sai3	
灒	tsan5	
灘	tʰan1	
灣	uã1	
火	xo3	
灰	fei1	
災	tsai1	
炊	tsʰei1	
炎	iɛ̃2	
炒	tsʰau3	
炕	kʰaŋ5	
炙	tɕiəu3	
炭	tʰan5	
炮	pʰau5	
炸	tsa5	
烈	liɛ6	
烏	u1	
烘	xuŋ1	
烙	lo6	
烤	kʰau3	
烹	pʰən1	
焉	iɛ̃1	
焊	ɣan6	
焙	bei6	～乾
焚	vən2	
無	u1	
焦	tɕiau1	
然	iɛ̃2	
煉	liɛ̃6	
煎	tɕiɛ̃1	
煙	iɛ̃1	
煤	mei2	
煥	fan5	
照	tɕiau5	
煨	uei1	
煩	van2	
煮	tɕy3	
熄	ɕi6	
熊	ʑyŋ2	
熏	fin1	
熔	yŋ2	
熙	ɕi1	
熟	ɕy6	
熨	vyn5	
熬	ŋau1	
熱	ʑiɛ6	
燃	iɛ̃2	
燈	tən1	
燎	liau2	
燐	lin2	
燒	ɕiau1	
燕	iɛ̃1	～京
燕	iɛ̃5	～子
燙	tʰaŋ5	
營	vyn2	
燦	tsʰan5	
燭	tɕy6	
爆	pau5	
爐	lu2	
爛	an6	
爪	tsau3	～牙
爬	ba2	
爭	tsən1	
爲	uei2	～什麼
爵	tɕio6	
父	vu6	
爸	pa1	
爹	tia1	(白)父親
爹	tiɛ5	(文)父親
爺	iɛ1	～～：對父輩中比父親年輕者的稱呼
爺	iɛ2	～～：祖父（近年來興起的稱呼）
爽	saŋ3	
爾	ə3	
牆	dʑiaŋ2	
片	pʰiɛ̃5	
版	pan3	
牌	bai2	
牒	diɛ6	
牘	du6	
牙	ŋa2	(白)
牙	ia2	(文)
牛	ȵyŋ2	
牡	mei3	
牢	lau2	
牧	mo6	
物	uə6	
牯	ku3	
牲	sən1	
牸	dzɿ6	
特	tʰə6	
牽	tɕʰiɛ̃1	
犀	ɕi1	
犁	li2	
犒	kau1	
犢	du6	
犧	ɕi1	
犬	kʰɛ̃3	
犯	van6	
狀	dzaŋ6	
狂	ɡuaŋ2	
狄	ti6	
狐	vu2	
狗	kei3	
狡	tɕiau3	
狸	li2	
狹	ɕia6	
狼	laŋ2	
猛	muŋ3	
猜	tsʰai1	
猝	tsʰei5	
猬	uei5	
猴	ɣei2	
猶	iəu2	
猾	ua5	
獄	y5	(文)
獄	iəu6	(白)
獅	sɿ1	
獎	tɕiaŋ3	
獨	du6	
獲	vu6	
獵	liɛ6	
獸	ɕiəu5	
獺	tʰa6	
獻	ɕiɛ̃5	
玄	ʑyɛ̃2	
率	su6	～領
率	ly6	效～
玉	y5	
王	uaŋ2	
玩	uã5	古～
玻	po1	
珊	san1	
珍	tɕin1	
珠	tɕy1	
班	pan1	
現	ʑiɛ̃6	
球	dʑiəu2	
理	li3	
琉	liəu2	
琢	tso6	
琴	dʑin2	
琵	bi2	
琶	ba2	
瑕	ʑia2	
瑞	sei5	
瑟	sə6	
瑣	so3	
璃	li2	
璧	pi6	
環	van2	
璽	ɕi3	
瓊	ɡin2	
瓜	kua1	
瓠	vu2	
瓢	biau2	
瓢	iaŋ2	
瓣	ban2	
瓦	ua3	
瓶	bin2	
瓷	dzɿ2	
甕	uŋ1	
甘	kan1	
甚	ʑin6	
甜	diɛ̃2	
生	sən1	
產	tsʰan3	
甥	sən1	
用	yŋ6	
甫	fu3	
甬	yŋ3	
田	diɛ̃2	
由	iəu2	
甲	ka6	(白)鱗～：魚鱗、穿山甲
甲	tɕia6	(文)
申	ɕin1	
男	an2	
界	kai5	
畏	uei5	
留	liəu2	
畜	tɕʰy6	～牲；～牧
畝	mei3	
畢	pi6	
略	lio6	
畦	ɕi1	
番	fan1	
畫	va6	
異	i5	
當	taŋ1	～時
當	taŋ5	～作
疆	tɕiaŋ1	
疊	diɛ6	
疏	su1	
疑	ȵi2	
疔	tin1	
疝	san5	
疤	pa1	
疥	kai5	
疫	y6	
疲	bi2	
疵	tsʰɿ1	
疹	tɕin1	
疼	dən2	
疾	tɕi6	
疿	fei5	～子
痂	ka6	
病	bin6	
症	tɕin5	
痔	tsɿ5	
痕	ɣən2	
痛	tʰuŋ5	
痢	li6	
痣	tsɿ5	
痰	dan2	
痳	ma2	
痴	tsʰɿ1	
瘋	xuŋ1	
瘍	iaŋ2	
瘟	uən1	
瘡	tsʰaŋ1	
瘦	sei5	
瘧	ȵio6	
瘴	tɕiaŋ5	
療	liau2	
癢	iaŋ3	
癩	lai5	
癬	ɕiɛ̃3	
癰	yŋ1	
癸	kuei5	
登	tən1	
發	fa6	
白	bə6	
百	pə6	
皂	dzau6	
的	ti1	目～
皆	kai1	
皇	vaŋ2	
皖	uã3	
皮	bi2	
皺	tsei5	
皿	min3	
盂	y2	
盅	tsuŋ1	
盆	bən2	
盈	in2	
益	i6	
盒	xo5	
盔	kʰuei1	
盛	ʑin6	～滿；興～
盜	dau6	
盞	tsan3	
盟	min2	
盡	dʑin6	
監	kan5	～牢
盤	buã2	
盧	lu2	
盪	daŋ6	
目	mo6	
盲	maŋ2	
直	dʑi6	
相	ɕiaŋ1	互～
相	ɕiaŋ5	～貌
盼	pʰan5	
盾	tən5	
省	sən3	
眉	mi2	
看	kʰan5	～見；～守
真	tɕin1	
眠	miɛ̃2	
眨	tsa6	
眩	fyɛ̃5	
眶	tɕʰiaŋ1	
眷	kɛ̃5	
眼	iɛ̃3	(文)
眼	ŋan3	(白)
眾	tsuŋ5	
着	tɕio6	～衣
睛	tɕin1	
睡	sei5	
督	tu6	
睬	tsʰai3	
瞎	xa6	(白)
瞎	ɕia6	(文)
瞖	i5	
瞞	muã2	
瞧	dʑiau2	
瞪	tən5	
瞭	liau2	
瞳	duŋ2	
瞻	tɕiɛ̃1	
瞿	dʑy2	
矛	mau2	
矢	sɿ3	
矣	i3	
知	tɕi1	
矩	tɕy3	
短	tuã3	
矮	ŋai3	
矯	tɕiau3	
石	ɕia5	(白)青～板
石	ɕi6	(文)
砌	tɕʰi5	
砍	kʰan3	
研	ȵiɛ̃3	
破	pʰo5	
硃	tɕy1	
硝	ɕiau1	
硫	liəu2	
硬	ŋən5	
硯	ȵiɛ̃6	
碎	tsʰei5	
碓	tei5	
碗	uã3	
碟	diɛ6	
碧	pi6	
確	kʰo6	
碼	ma3	
碾	ȵiɛ̃3	
磁	dzɿ2	
磐	tɕʰin5	
磕	kʰo6	
磚	kɛ̃1	
磨	mo2	
磨	mo6	石～
磴	ŋai2	磨
礎	tsʰu3	
礙	ŋai6	
礦	kʰuaŋ5	
礬	van2	
示	dzɿ6	
社	ʑiɛ6	
祀	dzɿ6	
祁	dʑi2	
祈	dʑi2	
祐	iəu5	
祕	pi5	
祖	tsu3	
祝	tɕy6	
神	ʑin2	
祠	dzɿ2	
祥	dʑiaŋ2	
票	pʰiau5	
祭	tɕi5	
祿	lu6	
禀	pin3	
禁	tɕin5	
禍	ɣo6	
福	fu6	
禦	y5	
禪	ʑiɛ̃2	
禮	li3	
禱	tau3	
禹	y3	
禽	dʑin2	
禾	o2	
禿	tʰo6	
秀	ɕiəu5	
私	sɿ1	
秉	pin3	
秋	tɕʰiəu1	～天；～千
科	kʰo1	
秒	miau3	
秕	pi3	
租	tsu1	
秤	tɕʰin5	
秦	dʑin2	
秧	iaŋ1	
秩	tɕʰi6	
秫	ɕy6	
秸	kai1	
移	i2	
稀	ɕi1	
稅	sei5	
稈	kan3	
程	dʑin2	
稍	sau3	
稗	bai6	
稚	tsɿ5	
稠	dʑiəu2	
種	tsuŋ3	
種	tsuŋ5	～樹
稱	tɕʰin1	～呼
稻	dau6	
稼	tɕia5	
稽	tɕi6	
稿	kau3	
穀	ku6	
穆	mo6	
穌	su1	
積	tɕi6	
穎	in3	
穗	ɕy5	
穢	uei5	
穩	uən3	
穴	ɕiɛ6	
究	tɕiəu5	
空	kʰuŋ1	
空	kʰuŋ5	～缺
穿	kʰɛ̃1	
突	tʰo6	
窄	tsə6	
窖	kau5	
窗	tsʰaŋ1	(文)
窗	tɕʰiaŋ1	(白)～封子：窗戶
窘	kin5	
窟	kʰu1	
窠	kʰo1	
窩	o1	
窪	ua1	
窮	dʑyŋ2	
窯	iau2	
窺	kʰuei1	
竄	tsʰuã5	
竅	tɕʰiau5	
竈	tsau5	
立	li6	
站	tsan5	
竟	tɕin5	
章	tɕiaŋ1	
童	duŋ2	
端	tuã1	
競	tɕin5	
竹	tɕy6	
竿	kan3	
笑	ɕiau5	
笙	sən1	
笛	ti6	
笠	li6	
符	vu2	
笨	pən3	
第	di6	
筆	pi6	
等	tən3	
筋	tɕin1	
筍	sən3	
筏	fa6	
筐	kʰuaŋ1	
筒	duŋ2	
答	ta6	
策	tsʰə6	
筧	tɕiɛ̃3	
筵	iɛ̃2	
筷	kʰuai5	
箋	tɕʰiɛ̃1	
箍	ku1	
箏	tsən1	
算	suã5	
管	kuã3	
箭	tɕiɛ̃5	
箱	ɕiaŋ1	
節	tɕiɛ6	
範	van6	
篆	tsuã3	
篇	pʰiɛ̃1	
築	tɕy6	
篙	kau1	
篡	tsʰuã5	
篤	tu6	
篦	bi6	
篩	sai1	
篷	buŋ2	
篾	miɛ5	
簍	lei3	
簡	kan3	
簧	vaŋ2	
簪	tsan1	
簫	ɕiau1	
簷	iɛ̃2	
簸	po5	
簽	tɕʰiɛ̃1	
簾	liɛ̃2	
籃	an2	
籌	dʑiəu2	
籍	tɕi6	
籠	luŋ2	
籬	li2	
籮	lo2	
籲	y5	
米	mi3	
粉	fən3	
粗	tsʰu1	
粘	tɕiɛ̃1	
粟	su6	
粟	ɕio6	～米飯
粥	tɕy6	
粱	liaŋ2	
粳	kən5	
粵	yɛ6	
粹	tsʰei5	
糉	tsuŋ5	
精	tɕin1	
糕	kau1	
糖	daŋ2	
糙	tsʰau5	
糜	mi2	
糞	fən5	
糟	tsau1	
糠	kʰaŋ1	
糧	liaŋ2	
糯	lo6	
糴	ti6	
糶	tʰiau5	
系	ɕi5	
糾	tɕiəu1	
紀	tɕi3	
紂	tɕʰiəu5	
約	io6	
紅	ɣuŋ2	
紋	uən2	
納	la6	
紐	ȵyŋ3	
純	vin2	
紗	sa1	
紙	tsɿ3	
級	tɕi6	
紛	fən1	
紝	in6	
素	su5	
紡	faŋ3	
索	so6	
紫	tsɿ3	
紮	tsa3	
累	lei3	(文)連～；極困
累	lei6	(白)極困
細	ɕi5	
紹	ɕiau5	
終	tsuŋ1	
組	tsu3	
絆	pan5	
結	tɕiɛ6	
絕	dʑiɛ6	
絞	tɕiau3	
絡	lo6	
給	tɕiɛ6	
絨	yŋ2	
絮	ɕy5	
統	tʰuŋ3	
絲	sɿ1	
絹	kɛ̃5	
綁	paŋ3	
綏	ɕy1	
經	tɕin1	
綜	tsuŋ1	
綠	lu6	
綢	dʑiəu2	
維	uei2	
綯	dau2	縛
綱	kaŋ1	
網	uaŋ3	
綻	tsan5	
綽	tɕʰio6	
綿	miɛ̃2	
緊	tɕin3	
緖	ɕy5	
線	ɕiɛ̃5	
緝	tɕi6	
緞	duã6	
緣	yɛ̃2	
編	pʰiɛ̃1	
緩	fuã3	
緬	miɛ̃6	
緯	uei3	
練	liɛ̃6	
縊	i5	
縐	tsei5	
縛	po6	
縣	ʑyɛ̃6	
縫	ɣuŋ2	
縫	ɣuŋ6	—條～
縮	su6	
縱	tsuŋ5	
縷	lei3	
總	tsuŋ3	
績	tɕi6	
繁	van2	
織	tɕi6	
繞	ʑiau2	圍～
繡	ɕiəu5	
繩	ʑyn2	
繪	kʰuei5	
繭	tɕiɛ̃3	
繮	tɕiaŋ1	
繰	tɕʰiau1	～邊
繳	tɕiau3	
繼	tɕi5	
纂	tsuã3	
續	su6	
纍	lei3	積～
纏	dʑiɛ̃2	
纓	in1	
纜	an3	
缸	kaŋ1	
缺	kʰɛ6	
罐	kuã5	
罔	kaŋ1	
罕	xan3	
罩	tsau5	
罪	dzei6	
置	tsɿ5	
罰	fa6	
署	ɕy5	
罵	ma6	
罷	ba6	
羅	lo2	
羊	iaŋ2	
美	mei3	
羔	kau1	
羞	ɕiəu1	
羣	ɡin2	
羨	ɕiɛ̃5	
義	ȵi6	
羹	kən1	
羽	y3	
翁	uŋ2	
翅	tsɿ5	
翎	lin2	
習	ɕi6	
翠	tsʰei5	
翡	fei1	
翰	ɣan6	
翻	fan1	
翼	i5	
耀	iau5	
老	lau3	
考	kʰau3	
者	tɕiɛ3	
而	ə2	
耍	sa3	
耐	lai6	
耕	kən1	
耗	xau5	
耙	ba2	
耬	lei2	
耳	ə3	
耶	iɛ3	
耽	tan1	
耿	kən3	
聊	liau2	
聖	ɕin5	
聘	pʰin5	
聚	dʑy6	
聞	uən2	
聯	liɛ̃2	
聰	tsʰuŋ1	
聲	ɕin1	
聳	suŋ3	
聶	ȵiɛ5	
職	tɕi6	
聽	tʰin5	
聾	luŋ1	
肄	i5	
肅	su6	
肆	sɿ5	
肉	ȵiəu5	(白)
肉	ʑy6	(文)
肋	lə6	
肌	tɕi1	
肘	tɕiəu3	
肚	tu3	
肝	kan1	
股	ku3	
肥	vei2	
肩	tɕiɛ̃1	
肪	vaŋ2	
肯	kʰən3	
育	iəu5	
肺	fei5	
胃	uei5	
背	pei5	
胎	tʰai1	
胖	pʰaŋ5	
胚	pʰei3	
胞	pau1	
胡	vu2	
胸	ɕyŋ1	
能	lən2	
脂	tsɿ3	
脅	ɕiɛ6	
脆	tsʰei5	
脈	mə5	
脊	tɕi6	
脫	tʰo6	
脯	pʰu3	
脹	tɕiaŋ5	
脾	bi2	
腆	tʰiɛ̃3	
腋	iɛ6	
腎	ɕin5	
腐	fu3	
腑	fu3	
腕	uã3	
腡	lo2	
腥	ɕin1	
腦	lau3	
腫	tsuŋ3	
腮	sai1	
腰	iau1	
腳	tɕio6	
腸	dʑiaŋ2	
腹	fu6	
腿	tʰei3	
膏	kau1	
膘	piau1	
膚	fu6	
膜	mo2	
膝	tɕʰi6	～下
膝	ɕi6	～頭骨：膝蓋
膠	kau1	(白)
膠	tɕiau1	(文)
膨	bən2	
膳	ʑiɛ̃6	
膽	tan3	
膿	luŋ2	
臀	dən2	
臂	pi6	
臉	liɛ̃3	
臊	sau1	
臍	dʑi2	
臘	la6	
臟	dzaŋ6	內～
臣	dʑin2	
臥	ŋo6	
臨	lin2	
自	dzɿ6	
臭	tɕʰiəu5	
至	tsɿ5	
致	tsɿ5	
臻	tsən1	
舀	iau3	～水
舅	dʑiəu6	
與	y3	給～
興	ɕin1	～旺
興	ɕin5	高～
舉	tɕy3	
舊	dʑiəu6	
舌	ɕiɛ5	
舒	ɕy1	
舔	tʰiɛ̃3	
舜	fin5	
舞	u3	
舟	tɕiəu1	
航	ɣaŋ2	
般	puã1	
舵	do2	
船	ɡɛ̃2	
艇	tʰin3	
艦	kan5	
良	liaŋ2	
艱	kan1	
色	sə6	
艾	ŋai6	
芋	y1	
芍	ɕio6	
芒	maŋ2	
芙	vu2	
芝	tɕi1	
芥	kai5	
芬	fən1	
芭	pa1	
花	fa1	
芳	faŋ1	
芹	dʑin2	
芽	ŋa2	(白)
芽	ia2	(文)
苗	miau2	
苟	kei3	
若	io6	
苦	kʰu3	
苧	dʑy6	～麻
英	in1	
茂	mei6	
范	van6	
茅	mau2	
茫	maŋ2	
茲	tsɿ1	
茴	vei2	
茶	dza2	
茸	yŋ2	
荀	dzən2	
草	tsʰau3	
荊	tɕin1	
荒	faŋ1	
荔	li6	
荷	ɣo2	
莊	tsaŋ1	
莖	tɕin5	
莠	iəu5	
莧	ɣan6	
莫	mo6	
莽	maŋ3	
菊	tɕy6	
菌	ɡin6	
菖	tɕʰiaŋ1	
菜	tsʰai5	
菠	po1	
菢	bau6	
菩	bu2	
華	va2	
菱	lin2	
萄	dau2	
萌	min2	
萍	bin2	
萎	uei3	
萬	uã6	
落	lo5	～雨
落	lo6	
葉	iɛ5	
著	tɕy5	
葛	ko6	
董	tuŋ3	
葦	uei3	
葵	ɡuei2	
葷	fən1	
蒐	sei1	
蒙	muŋ2	
蒜	suã5	
蒯	kʰuai3	
蒲	bu2	
蒸	tɕin1	
蒼	tsʰaŋ1	
蒿	xau1	
蓄	tɕʰy6	
蓉	yŋ2	
蓋	kai5	
蓑	so1	
蓖	bi6	
蓬	buŋ2	
蓮	liɛ̃2	
蔓	man5	
蔗	tɕia5	(白)
蔗	tɕiɛ5	(文)
蔡	tsʰai5	
蔣	tɕiaŋ3	
蔥	tsʰuŋ1	
蔬	su1	
蔭	in1	
蔽	pi5	
蕉	tɕiau1	
蕎	dʑiau2	
蕩	daŋ6	
蕭	ɕiau1	
薄	bu6	
薄	po6	
薄	bo6	～荷
薅	xau1	除田草
薛	ɕiɛ6	
薦	tɕiɛ̃5	
薩	sa1	
薪	ɕin1	
薯	ʑy2	
薰	fin1	
藉	tɕʰiɛ5	～故
藍	an2	
藏	dzaŋ2	隱～
藏	dzaŋ6	西～
藐	miau3	
藕	ŋei3	
藝	ȵi5	
藤	dən2	
藥	io5	
藩	van2	
藿	xo6	
蘆	lu2	
蘇	su1	
蘭	an2	
蘸	kən5	(訓讀)
虎	fu3	
虐	ȵio6	
虔	dʑiɛ̃2	
處	tɕʰy3	相～
處	tɕʰy5	～所
虛	ɕy1	
虜	lu3	
虞	y2	
號	ɣau2	呼～
號	ɣau6	～數
虢	kuə6	
虧	kʰuei1	
虹	ɣuŋ2	
虻	maŋ2	
蚊	mən1	(白)
蚊	uən2	(文)
蚌	baŋ6	
蚣	kuŋ1	
蚤	tsau3	
蚶	xan1	
蛀	tɕy5	
蛆	tɕʰy1	
蛇	ʑia2	(白)
蛇	ʑiɛ2	(文)
蛋	dan6	
蛙	ua1	
蛛	tɕy1	
蛤	xa6	～蜊
蛻	tʰei5	
蛾	ŋo2	
蜀	tɕy6	
蜂	puŋ1	(白)
蜂	xuŋ1	(文)
蜓	din2	
蜘	tɕi1	
蜜	mi6	
蜻	tɕʰin1	
蝕	ɕi6	
蝗	vaŋ2	
蝙	piɛ̃3	
蝠	fu3	
蝦	xa1	(白)～公：蝦
蝦	ɕia1	(文)
蝨	sə6	
蝶	diɛ6	
蝸	o1	
螃	baŋ2	
融	yŋ2	
螢	vyn2	
螳	daŋ2	
螺	lo2	
蟆	ma2	蝦～
蟒	maŋ3	
蟬	ʑiɛ̃2	
蟲	dzuŋ2	
蟹	xai3	
蟻	ȵi2	
蟾	ʑiɛ̃2	～酥
蠅	ʑyn2	
蠍	ɕiɛ6	
蠚	xo1	蜂～人
蠟	la6	
蠢	kʰin3	
蠶	dzan2	
蠻	man2	
血	fyɛ6	
行	ʑin2	～爲；品～
行	ɣaŋ2	銀～
術	ɕy6	
街	kai1	
衙	ia2	
衛	uei5	
衝	tsʰuŋ1	
衡	ɣən2	
衣	i1	
表	piau3	
衫	san1	
衰	sai1	
袁	yɛ̃2	
袋	dai6	
袍	bau2	
袖	ɕiəu5	
被	bi6	
裁	dzai2	
裂	liɛ6	
裌	ɕia6	
裏	li3	
裕	y5	
裙	ɡin2	
補	pu3	
裝	tsaŋ1	
裳	ʑiaŋ2	
裴	bei2	
裸	lo3	
裹	ko3	
製	tsɿ5	
複	fu6	
褒	pau1	
褚	ɕy3	
褥	y6	
褪	tʰei3	～色
褲	kʰu5	
襄	ɕiaŋ1	
襖	ŋau5	
襟	tɕin1	
襪	ua6	
襯	tsʰən5	
襲	ɕiɛ6	
襻	pʰan5	
西	ɕi1	
要	iau1	～求
要	iau5	重～
覆	fu6	
見	tɕiɛ̃5	
規	kuei1	
覓	mi6	
視	dzɿ6	
親	tɕʰin1	
親	tɕʰin5	～家
覺	tɕiau5	睡～
覺	tɕio6	知～
覽	an3	
觀	kuã1	
觀	kuã5	寺～
角	ko6	
解	kai3	
觸	tɕy6	
言	iɛ̃2	
訂	tin5	
訃	fu5	
計	tɕi5	
訊	ɕin5	
討	tʰau3	
訓	fin5	
訖	tɕʰi6	
託	tʰo6	
記	tɕi5	
訛	ŋo2	
訟	dzuŋ6	
訣	kɛ6	
訪	faŋ3	
設	ɕiɛ6	
許	ɕy3	
訴	su5	
診	tɕin1	
註	tɕy5	
詐	tsa5	
詔	ɕiau5	～書
評	bin2	
詞	dzɿ2	
詠	vyn5	
試	sɿ5	
詩	sɿ1	
詭	kuei3	
話	ua6	
該	kai1	
詳	dʑiaŋ2	
誅	tɕy1	
誇	kʰua1	
誌	tsɿ5	
認	ʑin6	
誓	sɿ5	
誕	tan5	
語	y3	
誠	dʑin2	
誣	vu2	
誤	u5	
誦	dzuŋ6	
說	fyɛ6	(又)
說	ɕyɛ6	
誰	dzei2	
課	kʰo5	
誼	ȵi2	
調	diau2	～和
調	diau6	～動
談	dan2	
請	tɕʰin3	
諒	liaŋ6	
論	lən6	
諜	diɛ6	
諧	ɣai2	
諫	kan5	
諮	tsɿ1	
諱	uei5	
諷	xuŋ5	
諸	tɕy1	
諺	ȵiɛ̃6	
諾	lo6	
謀	mei2	
謂	uei5	
謄	dən2	
謊	faŋ3	
謎	mi2	
謗	paŋ5	
謙	tɕʰiɛ̃1	
講	kaŋ3	(白)
講	tɕiaŋ3	(文)
謝	ɕiɛ5	(文)
謝	dʑia6	(白)姓
謠	iau2	
