#漢字	音標	解釋
俗	su6	
俘	fu1	
保	pau3	
信	ɕin5	
修	ɕiəu1	
俱	tɕy1	
俸	xuŋ5	
俾	bi2	
倉	tsʰaŋ1	
個	ko5	
倍	bei6	
倒	tau3	打～
倒	tau5	～水
倔	tɕʰy6	
倘	tʰaŋ3	
候	ɣei6	
倚	i3	
倚	dʑi6	立
借	tɕia5	(白)
借	tɕiɛ5	(文)
倡	tɕʰiaŋ1	
倣	faŋ3	
倦	ɡɛ̃6	
倪	ȵi2	
倫	lən2	
倭	o1	
值	dʑi6	
假	tɕia3	
偉	uei3	
偏	pʰiɛ̃1	
做	tsu5	
停	din2	
健	dʑiɛ̃6	
側	tsʰə6	
偵	tɕin1	
偶	ŋei3	
偷	tʰei1	
傀	kʰuai3	
傅	fu5	
傍	baŋ6	
傑	tɕʰiɛ6	
傘	san3	
備	bi6	
傢	tɕia1	
催	tsʰei1	
傲	ŋau5	
傳	ɡɛ̃2	～達
傳	ɡɛ̃6	～記
債	tsai5	
傷	ɕiaŋ1	
傻	sa3	
傾	kʰin3	
僅	tɕʰin5	
像	dʑiaŋ6	
僑	dʑiau2	
僕	pʰu6	
僞	uei5	
僥	ɕiau1	～幸
僧	sən1	
僱	ku5	
僵	tɕiaŋ1	
價	tɕia5	
僻	dʑy2	
僻	pʰi6	
儀	ȵi2	
億	i5	
儉	dʑiɛ̃6	
儒	y2	
儘	dʑin6	
償	ɕiaŋ3	
儡	lei3	
優	iəu1	
儼	ȵiɛ̃3	
允	vyn3	
元	yɛ̃2	
兄	ɕyŋ1	
充	tsʰuŋ1	
兆	dʑiau6	
兇	ɕyŋ1	
先	ɕiɛ̃1	
光	kuaŋ1	
克	kʰə6	
兌	dei6	
免	miɛ̃3	
兒	ə2	
兔	tʰu5	
兜	tei1	
入	y6	
內	lei6	
全	dʑiɛ̃2	
兩	liaŋ3	
八	pa6	
公	kuŋ1	
六	liəu5	
兮	ɕi1	
共	ɡuŋ6	
兵	pin1	
其	dʑi2	
具	dʑy6	
典	tiɛ̃3	
兼	tɕiɛ̃1	
冀	i5	
冊	tsʰə6	
再	tsai5	
冒	mau5	
冗	yŋ1	
冠	kuã1	衣～
冠	kuã5	～軍
冢	tsuŋ3	
冤	yɛ̃1	
冬	tuŋ1	
冰	pin1	
冷	lən3	
准	kin3	
凌	lin2	
凍	tuŋ5	
凝	ȵi2	
几	tɕi3	茶～
凡	van2	
凱	kʰai3	
凳	tən5	
凶	ɕyŋ1	
出	tɕʰy6	
函	ɣan2	
刀	tau1	
刁	tiau1	
刃	in6	
分	fən1	
切	tɕʰiɛ6	
刈	ȵi6	
刊	kʰan1	
刎	uən3	
刑	ʑin2	
列	liɛ6	
初	tsʰu1	
判	pʰuã5	
別	biɛ6	區～
刨	bau6	
利	li6	
刪	san1	
刮	kua6	
到	tau5	
制	tsɿ5	
刷	sa6	
券	kɛ̃5	
刺	tsʰɿ5	
刻	kʰə6	
剁	to5	
剃	tʰi5	
則	tsə6	
削	ɕio6	
前	dʑiɛ̃2	
剔	tʰi6	
剖	pʰei3	
剛	kaŋ1	
剜	uã1	
剝	po6	
剩	ʑin6	
剪	tɕiɛ̃3	
剮	kua3	
副	fu5	
割	ko6	
創	tsʰaŋ5	
剿	tɕiau3	
劃	va2	～船
劃	va6	
劄	tsa6	
劇	tɕy5	戲～
劈	pʰi6	(文)
劈	pʰia6	(白)～柴
劉	liəu2	
劊	kʰuai5	
劍	tɕiɛ̃5	
劑	tɕi5	
力	li6	
功	kuŋ1	
加	tɕia1	
劣	liɛ6	
助	dzu6	
努	lu3	
劫	tɕiɛ6	
勁	tɕin5	
勃	pʰu6	
勇	yŋ3	
勉	miɛ̃3	
勒	lə6	
動	duŋ6	
勛	fin3	
勝	ɕin5	
勞	lau2	
募	mo6	
勢	sɿ5	
勤	dʑin2	
勵	li6	
勸	kʰɛ̃5	
勺	ɕio5	～子
勻	vyn2	
勾	kei1	
勿	uə6	
包	pau1	
匆	tsʰuŋ1	
化	fa5	
北	pə6	
匙	dzɿ6	
匠	dʑiaŋ6	
匡	tɕʰiaŋ1	
匣	ɕia6	
匪	fei3	
匯	vei6	
匹	pʰi6	
匾	piɛ̃3	
匿	ȵi6	
區	tɕʰy1	
十	ɕi5	
千	tɕʰiɛ̃1	
升	ɕin1	
午	u3	
半	puã5	
卑	pei1	
卒	tsu6	
卓	tso6	
協	ɕiɛ6	
南	an2	
博	po6	
卜	pʰu6	
