#漢字	音標	解釋
擔	tɛ̃1	挑担
拆	tʂʰə5	开
拇	mu5	
拈	ȵiɛ̃1	拈起来
拉	la1	
拌	pɛ̃5	
拍	pɛi1	
拎	lin1	
拒	tɕy5	
拔	pa1	
拖	tuə1	
拘	tɕy1	
拙	tʂuə1	
拚	pʰin1	拚命
招	tʂɔo1	
拜	pɛi5	
擬	ȵi3	
攏	luən5	
揀	tɕiɛ̃3	
擁	yn1	
攔	lɛ̃1	
撥	pə1	
擇	tsə1	择菜,选择
括	kʰuə5	包括
拯	tʂən3	拯救
拱	kuən5	拱手
拳	tɕʰyɛ̃1	
拴	ʂuɛ̃1	
拼	pʰin1	
拽	tʂuɛi5	拉
拽	ie5	拖
拾	ʂʅ1	拾起来
拿	na1	
持	tʂʰʅ1	
挂	kua5	
指	tʂʅ3	
按	ɛ̃5	
挑	tʰiɔo1	
挖	va1	
挾	tɕia1	扶菜
撓	nɔo1	
擋	tɑŋ3	阻挡
擠	tɕi5	
揮	xuei1	
挨	ɛi1	挨近
挪	nuə1	
振	tʂən5	
挺	tʰin3	
挽	vɛ̃3	
捅	tʰuən5	捅破了
捉	tʂuə1	
捋	ly5	捋袖
捎	ʂɔo1	捎带
捏	ȵie5	
捐	tɕyɛ̃1	
捕	pu5	
撈	lɔo1	
損	suən3	
換	xuɛ̃5	
捧	pʰən5	
据	tɕy5	
捱	ɛi1	捱打
捲	tɕyɛ̃3	卷起
捷	tɕie1	
捺	na5	撇捺
捻	ȵiɛ̃3	以指捻碎
掀	ɕiɛ̃1	
掂	tiɛ̃1	掂掇
掇	tuə1	拾掇
掇	tuə1	掂掇
授	ʂɤu5	
掉	tiɔo5	
掌	tʂɑŋ3	
掏	tʰɔo1	掏出来
掐	tɕʰia5	
排	pʰɛi1	
掘	tɕye1	
掠	luə5	
探	tʰɛ̃5	试探
接	tɕie5	
控	kʰuən5	
推	tʰuei1	
掩	iɛ̃3	
措	tsʰuə5	措施
掬	tɕy1	一掬
掭	tʰiɛ̃5	掭笔
掮	tɕʰiɛ̃1	
擲	tʂʅ5	
撣	tɛ̃3	鸡毛掸子
揈	xuən1	揈出去
揉	ʐɤu1	
描	miɔo1	
提	tʰi1	
插	tʂʰa5	
揖	ʑi5	
揞	ɛ̃3	手覆,揞住
握	və5	
揣	tʂʰuɛi3	揣度
揩	kʰɛi3	
揫	tɕiɤu1	一把揫住梳个鬏儿
揭	tɕie5	
援	yɛ̃1	援救
攬	lɛ̃3	
撳	tɕʰin5	按
攙	tʂʰɛ̃1	
擱	kə5	
摟	lɤu3	抱
摟	lɤu3	搂取
攪	tɕiɔo3	
搉	tɕʰye5	击
搊	tʂʰɤu1	搊起来
搓	tsʰuə1	
搛	tɕiɛ̃1	搛菜
搜	sɤu1	
搜	sɤu1	搜集
搞	kɔo3	
搡	sɑŋ3	
搧	ʂɛ̃5	
搨	ta5	搨本
搬	pɛ̃1	
搭	ta5	
攜	ɕie1	
攝	ʂə5	
摆	pɛi3	
摇	iɔo1	
攤	tʰɛ̃1	
摔	ʂuɛi1	
摘	tʂə1	
摞	luə5	摞起来
摩	mə1	
摸	mə1	
摹	mə1	摹仿
摺	tʂə1	摺叠
撇	pʰie5	撇开
撑	tʂʰən1	
撒	sa1	撒手,撒种
撕	sɿ1	
撙	tsuən3	
撞	tʂuɑŋ5	
撤	tʂʰə5	
撩	liɔo3	撩起来
撮	tsuə5	一撮米
撰	tʂuɛ̃5	
攆	ȵiɛ̃3	
撼	xɛ̃5	
擀	kɛ̃3	擀面
操	tsʰɔo1	操作
擎	tɕʰin1	
擒	tɕʰin1	
擘	pɛ̃1	用手擘(掰)开
擦	tsʰa5	
擧	tɕy3	
擩	ʐu3	擩进去
攀	pʰɛ̃1	
攢	tsɛ̃3	积攒
攘	ʐɑŋ3	
攮	nɑŋ3	用刀子攮
支	tʂʅ1	
收	ʂɤu1	
改	kɛi3	
攻	kuən1	攻击
放	fɑŋ5	
政	tʂən5	
故	ku5	
效	ɕiɔo5	
敵	ti1	
敏	min3	
救	tɕiɤu5	
教	tɕiɔo3	教书
教	tɕiɔo5	教育,教他去
斂	liɛ̃3	
敝	pi5	
敢	kɛ̃5	
散	sɛ̃5	分散
散	sɛ̃5	散带散了
敦	tuən1	敦厚
㪗	tʰɤu3	展开,散气
敬	tɕin5	
數	ʂu3	动词
數	ʂu5	名词
敲	tɕʰiɔo1	
整	tʂən5	
敷	fu1	
文	vən1	
齋	tʂɛi1	
斑	pɛ̃1	
斗	tɤu5	
料	liɔo5	
斛	xu1	
斜	ɕie1	
斟	tʂən1	
斤	tɕin1	
斥	tʂʰʅ5	
斧	fu5	
斬	tʂɛ̃3	
斷	tɛ̃5	决断
斷	tuɛ̃5	断绝
斯	sɿ1	
新	ɕin1	
方	fɑŋ1	
於	ʑy1	于此
施	ʂʅ1	
旁	pʰɑŋ1	
旅	ly3	
旋	ɕyɛ̃1	
旋	ɕyɛ̃5	旋吃旋做
族	tsu1	
旗	tɕʰi1	
無	vu1	
既	tɕi5	
日	ʐʅ5	
旦	tɛ̃5	
舊	tɕiɤu5	
旨	tʂʅ3	
早	tsɔo5	
旬	ɕyn1	
旱	xɛ̃5	
時	ʂʅ1	
曠	kʰuɑŋ5	
旺	vɑŋ5	兴旺
昂	ɑŋ1	
昆	kʰuən1	
昌	tʂʰɑŋ1	
明	min1	
昏	xuən1	
易	ʑi1	交易
易	ʑi5	难易
昔	ɕi1	
星	ɕin1	
映	in5	
春	tʂʰuən1	
昧	mei5	
昨	tsuə1	
昭	tʂɔo1	
是	ʂʅ5	
晝	tʂɤu5	
顯	ɕiɛ̃3	
晃	xuɑŋ3	晃眼
晉	tɕin5	
晌	ʂɑŋ3	晌午
晏	iɛ̃5	晚也
曬	ʂɛi5	
曉	ɕiɔo3	
暈	yn5	
晚	vɛ̃3	
晦	xuei5	
晨	tʂʰən1	
普	pʰu3	
景	tɕin3	
晴	tɕʰin1	
晶	tɕin1	
智	tʂʅ5	
暫	tsɛ̃5	
暇	ɕia5	
暑	ʂu5	
暖	nuɛ̃3	
暗	ɛ̃5	
暮	mu5	
暴	pɔo5	
曝	pʰu5	
曩	nɑŋ3	
曰	ye5	
曲	tɕy5?	曲折
更	kən1	更换
更	kən5	更加
曹	tsʰɔo1	
曾	tsʰən1	姓
曾	tsʰən1	曾经
替	tʰi5	
最	tsuei5	
月	ye5	
有	iɤu3	
朋	pʰən1	
服	fu1	
朔	ʂuə5	
朗	lɑŋ3	
望	vɑŋ5	
朝	tʂʰɔo1	今朝
朝	tʂʰɔo1	朝代
期	tɕʰi1	时期
木	mu5	
未	vei5	
末	mə5	
本	pən5	
札	tʂa1	
札	tʂa5	用针札
朮	ʂu5	白朮
术	ʂu5	
朱	tʂu1	
朴	pʰu5	
朶	tuə3	
機	tɕi1	
朽	çiɤu3	
殺	ʂa5	
雜	tsa1	
權	tɕʰyɛ̃1	
杆	kɛ̃3	
杈	tʂʰa1	枝杈
杉	ʂɛ̃1	
杌	vu5	杌凳
李	li3	
杏	xən5	
材	tsʰɛi1	
村	tsʰuən1	
杖	tʂɑŋ5	
杜	tu5	
杞	tɕʰi3	
束	ʂu5	
杠	kɑŋ5	
條	tʰiɔo1	
來	lɛi1	
楊	iɑŋ1	
杭	xɑŋ1	
杯	pei1	
杰	tɕie1	
杳	iɔo3	杳无音信
杴	ɕiɛ̃3	锹属
杵	tʂʰu3	
杷	pʰa1	
松	suən1	
板	pɛ̃3	
極	tɕi1	
構	kɤu5	
枇	pi1	枇杷
枉	vɑŋ3	
析	ɕi1	
枕	tʂən3	
枕	tʂən5	动词
林	lin1	
枚	mei1	
果	kuə5	
枝	tʂʅ1	
樞	ʂu1	
棗	tsɔo5	
槍	tɕʰiɑŋ1	
楓	fən1	
枯	kʰu1	
枵	ɕiɔo1	
架	tɕi5	
柄	pin5	
柏	pɛi5	
某	mu5	
柑	kɛ̃1	
染	ʐɛ̃3	
柔	ʐɤu1	
柚	iɤu5	
櫃	kuei5	
柞	tsuə1	橡树
查	tʂa1	山查
查	tʂʰa1	调查
柩	tɕiɤu5	
柬	tɕiɛ̃3	
柱	tʂu5	
柳	liɤu3	
柴	tʂʰɛi1	
柺	kuɛi5	
柿	ʂʅ5	
梔	tʂʅ1	栀子花
栅	tʂa5	栅栏
標	piɔo1	
棧	tʂɛ̃5	
棟	tuən5	
欄	lɛ̃1	
樹	ʂu5	
栖	ɕi1	
栗	li5	
校	ɕiɔo5	上校
校	ɕiɔo5	学校
校	tɕiɔo5	校对
株	tʂu1	
樣	iɑŋ5	
核	xə1	审核
核	xə1	果子核
根	kən1	
格	kə1	
栽	tsɛi1	
栿	fu1	梁
桂	kuei5	
桃	tʰɔo1	
桄	kuɑŋ1	一桄线
桅	vei1	船桅杆
案	ɛ̃5	
桌	tʂuə5	
桐	tʰuən1	
桑	sɑŋ1	
桓	xuɛ̃1	
椏	ia1	桠杈
橈	ʐɔo1	桨
橋	tɕʰiɔo1	
樺	xua5	桦树
檜	xuei5	
槳	tɕiɑŋ3	
樁	tʂuɑŋ1	
桶	tʰuən5	
梁	liɑŋ1	
梅	mei1	
梓	tsɿ3	
梗	kən3	梗子,茎
梢	ʂɔo1	树梢
夢	mən5	
梧	vu1	梧桐
梨	li1	
梭	suə1	织布梭
梯	tʰi1	
械	tɕie5	
梳	ʂu1	梳头
檢	tɕiɛ̃3	
棉	miɛ̃1	
棋	tɕʰi1	
棍	kuən5	
棒	pɑŋ5	
棚	pʰən1	
棠	tʰɑŋ1	
森	sən1	
棵	kʰə1	
棺	kuɛ̃1	
椅	ʑi5	
植	tʂʅ1	
椒	tɕiɔo1	
橢	tʰuə3	椭圆
椴	tuɛ̃5	
椶	tsuən1	
椽	tʂʰuɛ̃1	
椿	tʂʰuən1	椿树
楔	ɕie1	楔子
楚	tʂʰu3	
楝	liɛ̃5	楝树
楞	lən1	
楣	mei1	
楦	ɕyɛ̃5	鞋楦
楷	kʰɛi3	
樓	lɤu1	
概	kɛi5	
欖	lɛ̃3	
榆	ʑy1	
榛	tʂən1	
榜	pɑŋ3	
榧	fei3	榧子
榨	tʂa5	榨油
榫	suən3	榫头
榴	liɤu1	石榴
榻	tʰa5	
槌	tʂʰuei1	
槐	xuɛi1	
檳	pin1	槟榔
槽	tsʰɔo1	马槽
樟	tʂɑŋ1	
模	mu1	模子
模	mə1	模范
橫	xən1	横直
橫	xən5	蛮横
櫻	in1	樱桃
樵	tɕʰiɔo1	
樸	pʰu5	
橄	kɛ̃5	橄榄
橘	tɕy1	
橙	tʂʰən1	
橙	tʂʰən1	橙子
橛	tɕye1	橛子
橡	ɕiɑŋ5	橡树
櫓	lu3	
檀	tʰɛ̃1	
檐	iɛ̃1	
檗	pə5	黄檗(柏)
檁	lin3	
櫂	tʂɔo5	桨
欛	pa5	柄
欠	tɕʰiɛ̃5	
次	tsʰɿ5	
歡	xuɛ̃1	
欣	ɕin1	
歐	ɤu1	
欲	ʑy5	
欺	tɕʰi1	
款	kʰuɛ̃3	
歇	ɕie1	
歉	tɕʰiɛ̃5	
歌	kə1	
止	tʂʅ5	
正	tʂən5	
正	tʂən3	正月
此	tsʰɿ3	
步	pu5	
武	vu3	
歪	vɛi1	
死	sɿ3	
殲	tɕiɛ̃1	歼灭
殃	iɑŋ1	
殆	tɛi5	
殉	ɕyn5	
殊	ʂu1	
殘	tsʰɛ̃1	
殮	liɛ̃5	
殖	tʂʅ1	
殯	pin1	
毆	ɤu1	
段	tuɛ̃5	
殷	in1	
殿	tiɛ̃5	
毁	xuei3	
毅	ʑi5	
母	mu5	
每	mei3	
毒	tu1	
比	pi5	比较
畢	pi5	
斃	pi5	
毛	mɔo1	
毡	tʂɛ̃1	
毫	xɔo1	
毯	tʰɛ̃5	
氏	ʂʅ5	
民	min1	
气	tɕʰi5	
水	ʂuei3	
永	yn5	
汀	tʰin1	
汁	tʂʅ1	
求	tɕʰiɤu1	
汆	tsʰuɛ̃1	汆丸子
汇	xuei5	
漢	xɛ̃5	
汗	xɛ̃5	
汝	ʐu3	
汞	kuən5	
江	tɕiɑŋ1	
池	tʂʰʅ1	
污	vu1	
湯	tʰɑŋ1	
汪	vɑŋ1	一汪水
汴	piɛ̃5	
汽	tɕʰi5	
沂	ʑi1	
沃	və5	
沈	ʂən3	
沉	tʂʰən1	
沌	tuən5	
沓	ta5	一沓纸
沙	ʂa1	
沛	pʰei5	
溝	kɤu1	
没	mei5	沉没,没有
漚	ɤu1	久浸水中
淪	luən1	
滬	xu5	
沫	mə5	
河	xə1	
油	iɤu1	
治	tʂʅ5	
沼	tʂɔo1	沼气
沾	tʂɛ̃1	
沿	yɛ̃1	
泄	ɕie5	泄漏
泅	tɕʰiɤu1	游水
泉	tɕʰyɛ̃1	
泊	pə1	
泊	pə1	梁山泊
泌	mi5	
泔	kɛ̃1	泔水
法	fa5	方法
泛	fɛ̃5	
泡	pʰɔo5	
泡	pʰɔo5	泡在水里
波	pə1	
泣	tɕʰi5	
泥	ȵi1	
注	tʂu5	
淚	luei1	
泰	tʰɛi5	
泳	yn5	
瀉	ɕie5	
潑	pə5	
澤	tsə1	
潔	tɕie1	
洇	in1	
洋	iɑŋ1	
洒	sa3	
洗	ɕi5	
洛	luə5	
洞	tuən5	
津	tɕin1	
洪	xuən1	
洲	tʂɤu1	
活	xuə1	
洼	va1	
洽	tɕʰia5	
派	pʰɛi5	
流	liɤu1	
淺	tɕʰiɛ̃3	
漿	tɕiɑŋ1	
澆	tɕiɔo1	
濁	tʂuə1	
測	tsə5	
濟	tɕi5	
渾	xuən1	浑浊
滸	xu3	水浒
濃	nuən1	
浙	tʂə5	
浜	pɑŋ1	一条浜
浞	tʂuə1	水湿
浦	pʰu3	
浩	xɔo5	
浪	lɑŋ5	
浮	fu1	
浴	ʑy5	
海	xɛi3	
浸	tɕin5	
涂	tʰu1	
消	ɕiɔo1	
涉	ʂə5	
涌	yn3	
涎	ɕiɛ̃1	
涕	tʰi5	鼻涕
濤	tʰɔo1	
澇	lɔo5	旱涝
潤	ʐuən5	
澗	tɕiɛ̃5	
漲	tʂɑŋ3	
澀	sə5	
涮	ʂuɛ̃5	涮洗
涯	ia1	天涯
液	ie5	
涿	tʂuə5	涿县
淆	ɕiɔo3	
淋	lin1	淋漓,淋湿
淑	ʂu1	
淘	tʰɔo1	淘米
淡	tɛ̃5	
淤	ʑy1	
淫	in1	
淮	xuɛi1	
深	ʂən1	
混	xuən5	相混,混浊
淹	iɛ̃1	
添	tʰiɛ̃1	
清	tɕʰin1	
淵	yɛ̃1	
漸	tɕiɛ̃5	
澠	miɛ̃3	渑池
漁	ʑy1	
滲	ʂən5	水渗透
渠	tɕʰy1	
渡	tu5	
渣	tʂa1	
溫	vən1	
港	kɑŋ3	港口
渴	kə5	
游	iɤu1	
渺	miɔo3	
湖	xu1	
湘	ɕiɑŋ1	
灣	vɛ̃1	
溼	ʂʅ5	
潰	kʰuei5	溃脓
濺	tɕiɛ̃5	溅一身水
溉	kɛi5	
源	yɛ̃1	
準	tʂuən5	
溜	liɤu3	
溪	ɕi1	
溺	ȵi5	溺死
溻	tʰa5	汗溻湿了
滂	pʰɑŋ1	滂沱
滋	tsɿ1	
滑	xuɛ̃1	
滓	tsɿ3	
滔	tʰɔo1	
滚	kuən3	
滯	tʂʅ5	停滞
滿	mɛ̃3	
濾	ly5	
濫	lɛ̃5	
灘	tʰɛ̃1	
漂	pʰiɔo3	
漂	pʰiɔo5	漂亮
漆	tɕʰi5	
漏	lɤu5	
演	iɛ̃3	
漫	mɛ̃5	
漱	ʂu5	漱口
潘	pʰɛ̃1	
潘	fɛ̃1	
潛	tɕʰiɛ̃3	
潭	tʰɛ̃1	
潮	tʂʰɔo1	
潲	ʂɔo5	潲雨
潲	ʂɔo5	猪食
澄	tʂʰən1	
澄	tʂʰən1	水澄,澄一澄
澡	tsɔo3	
激	tɕi1	
濬	ɕyn5	濬河
瀑	pʰu5	瀑布
灌	kuɛ̃5	
灒	tsɛ̃5	溅
火	xuə3	
滅	mie1	
燈	tən1	
灰	xuei1	
靈	lin1	
灸	tɕiɤu3	针灸
災	tsɛi1	
燦	tsʰɛ̃5	
爐	lu1	
炊	tʂʰuei1	
炎	iɛ̃1	
炒	tʂʰɔo3	
炕	kʰɑŋ5	
炙	tʂʅ5	
炭	tʰɛ̃5	
炮	pʰɔo5	枪炮
炸	tʂa5	炸弹
炸	tʂa1	用油炸
點	tiɛ̃3	
爛	lɛ̃5	
烈	lie5	
烊	iɑŋ5	融化
烘	xuən1	烘干
烙	luə5	
燭	tʂu1	
烟	iɛ̃1	
烤	kʰɔo3	
煩	fɛ̃1	
燒	ʂɔo1	
燙	tʰɑŋ5	
熱	ʐə5	
烹	pʰən1	
焉	iɛ̃1	心不在焉
焌	tɕyn5	火焌手了
煥	xuɛ̃5	
焙	pei5	焙干
焚	fən1	
焦	tɕiɔo1	
焯	tʂʰɔo1	把菜放在开水里焯焯
焰	iɛ̃5	
然	ʐɛ̃1	
煎	tɕiɛ̃1	
煑	tʂu3	
煤	mei1	
照	tʂɔo5	
煨	vei1	
熄	ɕi1	
熊	ɕyn1	
熏	ɕyn1	
熙	ɕi1	
熟	ʂu1	熟悉
熨	yn5	
熬	ɔo1	
燃	ʐɛ̃1	
燎	liɔo1	
燎	liɔo5	火燎眉毛
燐	lin1	
燕	tʂən1	
燕	iɛ̃5	燕京,姓
燕	iɛ̃5	燕子
爆	pɔo5	
爪	tʂua3	爪牙
爬	pʰa1	
愛	ɛi5	
爵	tɕye5	
父	fu5	
爺	ie1	
爸	pa3	
爹	tie1	
爽	ʂuɑŋ3	
爿	pʰɛ̃1	
牀	tʂʰuɑŋ1	
片	pʰiɛ̃5	
版	pɛ̃3	
牌	pʰɛi1	筏打
牘	tu1	
牒	tie1	
牙	ia1	
牚	tʂʰən1	椅子牚儿
牛	ȵiɤu1	
牡	mu5	
牢	lɔo1	
牧	mu5	
物	vu5	
牯	ku3	
牲	ʂən1	
牽	tɕʰiɛ̃1	
牸	tsɿ5	牝牛
特	tə5	
犧	ɕi1	
犀	ɕi1	
犁	li1	
犢	tu5	牛犊子
犍	tɕiɛ̃1	犍为县
犍	tɕiɛ̃5	犍子
犒	kʰɔo5	
犬	tɕʰyɛ̃3	
犯	fɛ̃5	
狀	tʂuɑŋ5	
猶	iɤu1	
狂	kʰuɑŋ1	
狄	ti1	
狍	pʰɔo1	
狐	xu1	
狗	kɤu3	
狡	tɕiɔo3	
獨	tu1	
狹	ɕia1	
獅	ʂʅ1	
獄	ʑy5	
狸	li1	
狼	lɑŋ1	
獵	lie5	
猛	mən3	
猜	tsʰɛi1	
猝	tsʰu5	仓猝
豬	tʂu1	
猫	mɔo1	
蝟	vei5	
獻	ɕiɛ̃5	
猴	xɤu1	
猾	xua1	狡猾
獃	tɛi1	
獺	tʰa5	水獭
玄	ɕyɛ̃1	
率	ly5	率领
率	ly5	速率
玉	ʑy5	
王	vɑŋ1	
玩	vɛ̃1	古玩,游玩
環	xuɛ̃1	
現	ɕiɛ̃5	
璽	ɕi3	
玻	pə1	玻璃
珊	ʂɛ̃1	
珍	tʂən1	
珠	tʂu1	
班	pɛ̃1	
球	tɕiɤu1	
理	li3	
琉	liɤu1	琉璃
瑣	suə3	琐碎
琢	tʂuə1	
琴	tɕʰin1	
琵	pi1	
琶	pʰa1	
瓊	tɕʰyn1	
瑕	ɕia1	
瑞	ʐuei5	
瑟	sə5	
璃	li1	
璧	pi5	
瓜	kua1	
瓠	xu1	瓠卢
瓠	xu1	瓠子
瓢	pʰiɔo1	
瓣	pɛ̃5	
瓤	ʐɑŋ5	瓜瓤
瓦	va3	
瓦	va5	动词
瓮	vən1	
甌	ɤu1	
瓶	pʰin1	
瓷	tsʰɿ1	
甘	kɛ̃1	
甚	ʂən5	
甜	tʰiɛ̃1	
生	ʂən1	
甥	ʂən5	
用	yn5	
甫	fu3	
甬	yn3	甬道
田	tʰiɛ̃1	
由	iɤu1	
甲	tɕia5	
申	ʂən1	
電	tiɛ̃5	
男	nɛ̃1	
畫	xua5	
暢	tʂʰɑŋ5	
界	tɕie5	
畏	vei5	
留	liɤu1	
畜	tʂʰu5	畜牲
畜	ɕy5	畜牧
略	luə5	
番	fɛ̃1	几番
疃	tuɛ̃3	
疆	tɕiɑŋ1	
疏	ʂu1	注疏
疏	ʂu1	疏远
疑	ʑi1	
疔	tin1	
療	liɔo5	
疝	ʂɛ̃3	疝气
瘧	nye5	疟疾
瘍	iɑŋ1	溃疡
疤	pa1	
疥	tɕie5	
疫	ʑi5	
瘡	tʂʰuɑŋ1	
瘋	fən1	
疲	pʰi1	
疵	tsʰɿ1	吹毛求疵
疹	tʂən5	
疼	tʰən1	
疾	tɕi1	
疿	fei5	疿子
痂	tɕia1	
病	pin1	
症	tʂən5	
癰	yn1	
痒	iɑŋ3	
痔	tʂʅ5	
痕	xən1	
痛	tʰuən5	
痢	li5	
痢	lɛi5	
痣	tʂʅ5	
痰	tʰɛ̃5	
痲	ma1	
癡	tʂʰʅ1	
痹	pi1	麻痹
瘊	xɤu1	瘊子
瘟	vən1	
瘦	sɤu5	
瘰	luə3	瘰疬
瘴	tʂɑŋ5	瘴气
瘸	tɕʰye1	瘸腿
癩	lɛi5	
癬	ɕyɛ̃3	
癸	kuei3	
登	tən1	
白	pɛi1	
百	pɛi5	
皂	tsɔo5	
的	ti1	
的	ti5	目的
皆	tɕie1	
皇	xuɑŋ1	
皖	vɛ̃3	安徽
皮	pʰi1	
皺	tʂɤu5	
皴	tsʰuən1	脸皴
皿	min5	
盂	ʑy1	
盅	tʂuən1	
盆	pʰən1	
盈	in1	
益	ʑi5	
盞	tʂɛ̃3	
鹽	iɛ̃1	
鹽	iɛ̃1	腌
監	tɕiɛ̃1	国子监
監	tɕiɛ̃1	监察
盒	xə1	烟盒
盔	kʰuei1	
盖	kɛi5	
盜	tɔo5	
盤	pʰɛ̃1	
盛	ʂən5	兴盛
盛	tʂʰən1	盛满了
盟	mən1	
目	mu5	
盲	mɑŋ1	
直	tʂʅ1	
相	ɕiɑŋ1	互相
相	ɕiɑŋ5	相貌
盼	pʰɛ̃5	
盾	tuən5	矛盾
省	ɕin5	反省
省	ʂən3	省长
省	ʂən5	节省
眉	mi1	
看	kʰɛ̃1	看守
看	kʰɛ̃5	看见
瞘	kʰɤu1	眼眍
真	tʂən1	
眠	miɛ̃1	
眨	tʂa1	眨眼
眩	ɕyɛ̃5	
眵	tʂʅ1	眼眵
眶	kʰuɑŋ1	眼眶
眷	tɕyɛ̃5	
眼	iɛ̃3	眼泪
着	tʂuə1	着衣
着	tʂuə1	睡着
睜	tʂən1	
睛	tɕʰin1	眼睛
睡	ʂuei5	
督	tu1	
睬	tsʰɛi3	
瞎	xa5	
瞞	mɛ̃1	
瞧	tɕʰiɔo1	
瞪	tən5	瞪眼
瞳	tʰuən1	
瞻	tʂɛ̃1	
瞿	tɕʰy1	
矁	tʂʰɤu3	
矛	mɔo1	
矢	ʂʅ3	
矣	ʑi3	
知	tʂʅ1	
矩	tɕy5	规矩
矯	tɕiɔo3	矫诈
矬	tsʰuə1	矮
短	tuɛ̃3	
矮	ɛi3	
石	ʂʅ1	
礬	fɛ̃1	
礦	kʰuɑŋ5	
碼	ma3	码子
砌	tɕʰi5	
砍	kʰɛ̃3	
砑	ia5	砑平
研	iɛ̃1	
磚	tʂuɛ̃1	
硯	iɛ̃5	
破	pʰə5	
礎	tʂʰu3	柱下石
硃	tʂu1	
硝	ɕiɔo1	
硫	liɤu1	硫黄
硬	ȵin5	
確	tɕʰye5	
礙	ɛi5	
碎	suei5	
碑	pei1	
碗	vɛ̃3	
碟	tie1	
碧	pi5	
碹	ɕyɛ̃5	碹牀
碾	ȵiɛ̃3	
磁	tsʰɿ1	磁石
磉	sɑŋ3	柱下石
磕	kʰə5	
磨	mə1	磨刀
磨	mə1	磨面,石磨
磬	tɕʰin5	钟磬
礓	tɕiɑŋ1	礓石
示	ʂʅ5	
禮	li5	
社	ʂə5	
祀	sɿ5	祭祀
祁	tɕʰi1	
祈	tɕʰi3	
祐	iɤu5	
祖	tsu3	
祝	tʂu5	
神	ʂən1	
祠	tsʰɿ1	
祥	ɕiɑŋ1	
票	pʰiɔo5	车票
祭	tɕi5	
禱	tɔo3	
禍	xuə5	
稟	pin3	
禁	tɕin1	禁不住
禁	tɕin5	禁止
祿	lu5	
禪	tʂʰɛ̃1	禅宗
禪	tʂʰɛ̃1	禅让
福	fu1	
禦	ʑy5	
禹	ʑy3	
离	li1	离别
离	li5	离开
禽	tɕʰin1	
禾	xə1	
秀	çiɤu5	
私	sɿ1	
秃	tʰu5	
稈	kɛ̃3	稻秆
秉	pin3	
秋	tɕʰiɤu1	秋天
種	tʂuən5	种类
種	tʂuən5	种树
科	kʰə1	
秒	miɔo3	
秕	pi5	秕谷
秘	mi5	
租	tsu1	
秤	tʂʰən5	一杆秤
秦	tɕʰin1	
秧	iɑŋ1	
秩	tʂʅ5	
秫	ʂu5	
積	tɕi1	
稱	tʂən5	相称
稱	tʂʰən1	称呼
移	ʑi5	
穢	xuei5	
稀	ɕi1	
程	tʂʰən1	
稍	ʂɔo1	
税	ʂuei5	
稗	pɛi5	
稙	tʂʅ1	早种禾
稚	tʂʅ5	幼稚
稠	tʂʰɤu1	
稭	tɕie5	麦稭
穩	vən3	
稻	tɔo5	
稼	tɕia5	
稽	tɕi1	
稿	kɔo3	
穀	ku5	
穆	mu5	
穗	suei5	
穰	ʐɑŋ1	禾茎
穴	ɕye1	
究	tɕiɤu1	
窮	tɕʰyn1	
空	kʰuən1	空虚
空	kʰuən5	空缺
穿	tʂʰuɛ̃1	
突	tʰu1	
窄	tʂə5	
竅	tɕʰiɔo5	
窯	iɔo1	
窖	tɕiɔo5	
窗	tʂʰuɑŋ1	
窘	tɕyn3	
竄	tsʰuɛ̃5	
窩	və1	
窟	kʰu1	窟窿
窠	kʰə1	
窺	kʰuei1	
窨	in5	地窖子
竈	tsɔo5	
立	li5	
豎	ʂu5	
站	tʂɛ̃5	立
站	tʂɛ̃5	车站
競	tɕin5	
竟	tɕin5	
章	tʂɑŋ1	
童	tʰuən1	
端	tuɛ̃1	
竹	tʂu1	
竿	kɛ̃1	竹竿
篤	tu1	
笊	tʂɔo5	笊篱
笋	suən3	
笑	ɕiɔo5	
筆	pi5	
筧	tɕiɛ̃3	以竹通水
笙	ʂən1	
笛	ti1	
笠	li5	
笡	tɕʰie5	斜
符	fu1	
笨	pən5	
第	ti5	
箋	tɕiɛ̃1	
籠	luən5	
等	tən3	
筋	tɕin1	
筏	fa1	
筐	kʰuɑŋ1	
筑	tʂu5	
筒	tʰuən5	
答	ta1	
策	tsʰə5	
篩	ʂɛi1	筛子
篩	ʂɛi5	筛子
箏	tʂən1	
筵	iɛ̃5	
筷	kʰuɛi5	
籌	tʂʰɤu1	
簡	tɕiɛ̃3	
箅	pi5	箅子
箍	ku1	
算	suɛ̃5	
管	kuɛ̃3	
籮	luə1	
簫	ɕiɔo1	
箭	tɕiɛ̃5	
箱	ɕiɑŋ1	
範	fɛ̃5	
篅	tʂʰuɛ̃1	
篆	tʂuɛ̃5	
篇	pʰiɛ̃1	
簍	lɤu3	
篙	kɔo1	进船竿
篦	pi5	
籃	lɛ̃1	
籬	li1	
篷	pʰən5	
篾	mie5	竹篾
簟	tiɛ̃5	席
簧	xuɑŋ1	锁簧
簪	tsɛ̃1	
簸	pə5	簸一簸
簸	pə5	簸箕
簽	tɕʰiɛ̃1	
簿	pə3	
籍	tɕi1	
籤	tɕʰiɛ̃1	
籰	ye5	收丝器
籲	ʑy5	
米	mi3	
糴	ti1	
類	luei5	
粉	fən3	
粒	li5	
粗	tsʰu1	
粘	tʂɛ̃1	粘贴
糶	tʰiɔo5	
