#漢字	音標	解釋
儉	tɕiɛ̃3	
修	çiɤu1	
俯	fu3	
俱	tɕy5	
俸	fən5	
俾	pi3	
倍	pei5	
倒	tɔo5	倒水
倒	tɔo3	打倒
倔	tɕye5	倔强
倘	tʰɑŋ3	倘使
候	xɤu5	
倚	ʑi5	
借	tɕie3	
倡	tʂʰɑŋ5	提倡
倣	fɑŋ3	倣效
倦	tɕyɛ̃5	
倪	ȵi1	
倭	və1	
債	tʂɛi5	
值	tʂʅ1	
傾	tɕʰin1	
假	tɕia5	放假
假	tɕia3	真假
偏	pʰiɛ̃1	
做	tsu5	
停	tʰin5	
健	tɕiɛ̃5	
偶	ɤu3	偶然
偷	tʰɤu3	
償	tʂʰɑŋ1	
傀	kʰuei1	傀儡
傅	fu5	
傍	pɑŋ5	
儲	tʂʰu3	储蓄
催	tsʰuei1	
傲	ɔo5	
傻	ʂa3	
像	ɕiɑŋ5	
僕	pʰu1	
僧	sən1	
僵	tɕiɑŋ1	
僻	pʰi5	
儒	ʐu1	
儘	tɕin5	尽前
儡	luei5	傀儡
兒	ɐ1	
允	yn3	
元	yɛ̃1	
兄	ɕyn1	
充	tʂʰuən1	
兆	tʂɔo5	
兇	ɕyn1	凶恶
先	ɕiɛ̃1	
光	kuɑŋ1	
克	kʰə5	
免	miɛ̃3	
兑	tuei5	
兔	tʰu5	
兗	iɛ̃3	
黨	tɑŋ3	
兜	tɤu1	
入	ʐu5	
全	tɕʰyɛ̃1	
八	pa5	
公	kuən1	
六	liɤu5	
兮	ɕi1	
蘭	lɛ̃1	
共	kuən5	
關	kuɛ̃1	
興	ɕin1	兴旺
興	ɕin5	高兴
兵	pin1	
其	tɕʰi1	
具	tɕy5	
典	tiɛ̃5	
兹	tsɿ1	
養	iɑŋ3	
兼	tɕiɛ̃1	
獸	ʂɤu5	
冀	tɕi5	
内	nuei5	
岡	kɑŋ1	
冉	ʐɛ̃3	
册	tsʰə5	
再	tsɛi5	
冒	mɔo5	
冗	ʐuən1	拨冗,冗长
寫	ɕie3	
軍	tɕyn1	
農	nuən1	
冠	kuɛ̃5	冠军
冠	kuɛ̃1	衣冠
冢	tʂuən3	
冤	yɛ̃1	
冬	tuən1	
馮	fən1	
冰	pin1	
冲	tʂʰuən1	
決	tɕye1	
况	kʰuɑŋ1	
冷	lən3	
凍	tuən5	
淨	tɕin5	
準	tʂuən5	
涼	liɑŋ1	
凌	lin1	
減	tɕiɛ̃3	
湊	tsʰɤu5	
凝	ȵin1	
凝	ȵin1	汤凝成冻了
几	tɕi3	茶几
凡	fɛ̃1	
鳳	fən5	
凭	pʰin1	
凱	kʰɛi3	
凳	tən5	
凶	ɕyn1	凶吉
出	tʂʰu5	
擊	tɕi1	
函	xɛ̃1	
鑿	tsuə1	
刀	tɔo1	
刁	tiɔo1	
刃	ʐən5	
分	fən1	分开
切	tɕʰie5	切开
刈	ʑi5	
刊	kʰɛ̃1	
刎	vən3	
刑	ɕin1	
划	xua1	划船
列	lie5	
劉	liɤu1	
則	tsə1	
剛	tɕiɑŋ1	
創	tʂʰuɑŋ5	
初	tʂʰu1	
删	ʂɛ̃1	
判	pʰɛ̃5	
刨	pʰɔo1	
刨	pʰɔo1	刨地
利	li5	
别	pie1	区别
别	ie1	离别
刮	kua5	
到	tɔo5	
制	tʂʅ5	
刷	ʂuɛ̃5	
券	tɕʰyɛ̃5	
刺	tsʰɿ5	
刻	kʰə5	时刻
刻	kʰə5	用刀刻
劊	kuei5	
刴	tuə5	
劑	tɕi5	面剂子
剃	tʰi5	
削	ɕye5	
前	tɕʰiɛ̃3	
剮	kua3	
劍	tɕiɛ̃5	
剔	tʰi5	
剖	pɔo3	
剜	vɛ̃5	
剝	pə5	
劇	tɕy5	剧烈
劇	tɕy5	戏剧
剩	ʂən5	
剪	tɕiɛ̃3	
副	fu5	
割	kə5	
剿	tɕiɔo3	
劃	xua1	
劈	pʰi5	
劐	xuə1	用刀劐开
力	li5	
勸	tɕʰyɛ̃5	
辦	pɛ̃5	
功	kuən1	
加	tɕia1	
務	vu5	
劣	lie5	
動	tuən5	
助	tʂu5	
努	nu3	
劫	tɕie1	
勵	li5	
勁	tɕin5	
勁	tɕin5	劲敌
勞	lɔo1	
勢	ʂʅ5	
勃	pə1	
勇	yn3	
勉	miɛ̃3	
勳	ɕyn1	
勒	lə5	
勘	kʰɛ̃1	勘误,勘探
募	mu5	
勤	tɕʰin1	
勺	ʂuə1	勺子
勾	kɤu1	
勾	kɤu5	勾当
勿	vu5	
匀	yn1	
包	pɔo1	
化	xua5	
北	pei3	
匙	tʂʰʅ5	汤匙,钥匙
匠	tɕiɑŋ5	
匡	kʰuɑŋ1	
匣	ɕia1	箱匣
匪	fei3	
匹	pʰi1	
區	tɕʰy1	区域
醫	ʑi1	
匾	piɛ̃3	
匿	ȵi5	
十	ʂʅ1	
千	tɕʰiɛ̃1	
升	ʂən1	
午	vu3	
半	pɛ̃5	
華	xua1	中华
華	xua5	华山
協	ɕie1	
卑	pei1	
卒	tsu1	兵卒
卓	tʂuə5	
單	tɛ̃1	单独
單	ʂɛ̃5	姓
賣	mɛi5	
南	nɛ̃1	
博	pə1	
卜	pu5	
占	tʂɛ̃5	占卜
盧	lu1	
卤	lu5	
卦	kua5	
臥	və5	
衛	vei5	
卯	mɔo3	
印	in5	
危	vei1	
即	tɕi5	
卻	tɕʰye5	
卵	luɛ̃3	
卷	tɕyɛ̃3	
卸	ɕie5	
卿	tɕʰin1	
廠	tʂʰɑŋ3	
廳	tʰin1	
历	li5	
厲	li5	
壓	ia5	
厭	iɛ̃5	
廁	tsʰə5	厕所
厘	li1	
厚	xɤu5	
原	yɛ̃1	
廂	ɕiɑŋ1	
厥	tɕye1	
厦	ʂa5	前廊后厦
厦	ɕia5	厦门
廚	tʂʰu1	
厮	sɿ1	
去	tɕʰi5	来去,去皮
縣	ɕiɛ̃5	
参	tsʰɛ̃1	
参	ʂən1	人参
参	tsʰən1	参差
又	iɤu5	
叉	tʂʰa1	
及	tɕi1	
友	iɤu3	
雙	ʂuɑŋ1	
雙	ʂuɑŋ1	双生
反	fɛ̃3	
发	fa5	
叔	ʂu1	
取	tɕʰy3	
受	ʂɤu5	
變	piɛ̃5	
敍	ɕy5	
叛	pʰɛ̃5	
叟	sɤu3	
疊	tie1	
口	kʰɤu3	
古	ku5	
句	tɕy5	
另	lin5	
叨	tɔo1	唠叨
叩	kʰɤu5	叩头
只	tʂʅ3	只有
