#漢字	音標	解釋
□	ŋiap5	ŋiap5len3闪电,原文为左目右聂
䀁	fui2	陶瓷
䁐	ŋiaŋ3	
䘆	fian3	虫䘆:蚯蚓
䫌	pʰe3	嘴䫌:腮帮
一	dzit5	一字钟:五分钟
七	tsʰit5	七月半
丈	tʃʰiɔŋ4	
三	sam1	
上	ʃioŋ4	
下	ha1	屋下:我家,灶下:厨房
下	ha2	下昼:下午
下	ha4	一下子:一会儿
中	tsuŋ1	中间
丸	vian2	臭丸:樟脑丸
主	tʃy3	屋主:房东
烏	vu1	黑
乞	ket5	乞食:乞丐
書	ʃy1	书本
乳	dzy3	豆腐乳:酱豆腐
井	tsiaŋ3	深井:天井
交	kau1	
親	tsʰin1	
人	ŋin2	
仁	dzin2	目珠仁:眼珠
今	kin1	今日:今天
今	kim1	现在
伏	pʰu4	lai4伏:抱窝
伙	fo3	老伙子:老人家
伯	paʔ6	阿伯:伯父
低	te1	
體	tʰi3	
作	tsoʔ6	作田:种地
供	kiuŋ1	供饭:喂饭
做	tso3	做旱:天旱
兄	hiã1	阿兄:哥哥
兄	ʃiuŋ1	结拜兄弟:把兄弟
兜	teu1	量词,块(饼)
公	kuŋ1	鸡公
公	kɔŋ1	老公:丈夫
冬	tuŋ1	年冬:年景
冰	pen1	
冷	len1	
涼	liɔŋ2	
几	ki1	
出	tʃʰyt5	出麻:出麻疹
分	fun1	惊生分:怕见生人
分	pun1	给
初	tsʰu1	年初一:大年初一
刷	sot5	
刺	tsʰiaʔ6	刺毛衣:打毛衣
勇	dzuŋ3	
勺	ʃioʔ7	
匀	vin2	匀称
匏	pʰu2	匏勺:瓢
北	pet5	
匙	ʃi2	煎匙:锅铲
匠	tʃʰiɔŋ4	水匠:泥水匠
十	ʃip7	
半	pan3	正月半:元宵
博	poʔ6	幸得
卵	lon3	生卵:下蛋
历	let7	过时月历:黄历
发	put5	起发寒:发疟子
叔	ʃuʔ6	
受	ʃiu4	受气:生气
口	keu3	哑口:哑巴
口	kʰeu3	喷口:打鼾
只	tʃiaʔ6	量词,只(鸡),张(桌)
右	dziu4	右片:右边
號	vo3	苦
后	heu4	后日:后天
吐	tʰu3	
吹	tsʰe1	吹凉:乘凉
味	mi4	
咒	tsiu3	
咬	ŋau4	
啞	a3	
哥	ko1	猪哥:种猪
脣	fin2	旁边,边缘:溪唇,唇头(原文做舷)
喊	hon3	喊口:打鼾(霞北,大溪)
噴	pʰun3	喷口:打鼾
嗍	soʔ6	
嘴	tse3	
在	tsʰai4	
地	tʰi4	坟墓
坎	kʰam3	上坎:台阶
坪	pʰiaŋ2	坪崠:天台
塒	ʃit6	埘田:插秧
堂	tʰɔŋ2	
墨	miʔ7	墨盘:砚台
墩	tun1	
壁	piaʔ6	
士	ʃɿ4	
殼	kʰoʔ6	批壳:信封
外	ŋuai4	十外年:十几年
多	to1	几多:多少
夜	dzia4	暗夜:晚上(长乐为暗晡头)
大	tʰai4	做大水
大	tua4	阿大(闽南语借音)
天	tʰæn1	天晴
夫	pu1	丈夫
頭	tʰeu2	
契	kʰe3	契子:干儿子
套	tʰo3	量词,套(礼服)
奶	ni3	娭奶:母亲
奶	ne3	阿奶:母亲
妃	pʰe1	新妃子:童养媳,新妃:儿媳妇
婦	pu2	妇娘人:已婚女人
婦	pu1	妇娘:妻子
媽	ma3	外妈:外祖母
妹	mue3	妹子:女孩子
姆	m̩3	阿姆:伯母(长乐,大溪,霞北)
姊	tsi3	阿姊:姐姐
姑	ku1	
姜	kiɔŋ1	
姨	dzi2	
娘	niɔŋ2	
娘	ŋiɔŋ2	老妇娘人:老太婆
娭	ue1	娭奶:母亲
婆	pʰo2	家婆:婆婆
嬸	sim3	阿婶:叔母(长乐,大溪,霞北)
婿	se3	婿郎:女婿
嫲	ma2	姜嫲:姜
嫽	leu4	玩
子	tsɿ3	山墩子,番子火(原文记音同时出现i和l,本人猜测为ɿ)
孕	dzin4	
字	tsʰɿ4	纸字:钞票
學	hoʔ7	学堂
官	kuan1	家官:公公
客	kʰaʔ6	人客:客人
家	ka1	
寒	hon2	
尋	tsʰim2	寻找
小	seu3	
屍	ʃi1	懒尸:懒惰
尿	neu4	
屋	vuʔ6	整座房子
屎	ʃi3	乌蝇屎:雀斑
屑	sia2	米口
屙	o1	屙尿,屙屎
山	san1	出山:出殡
歲	se3	
岫	seu3	猪岫:猪圈
崬	tuŋ3	山崠:山顶
崠	tuŋ3	山崠:山顶
左	tso3	左片:左边
巴	pa1	巴嘴:打哈欠
巷	hɔŋ4	
師	se1	师公:道士
帕	pʰa3	面帕:毛巾
帖	tʰæp5	量词,服(药)
年	læn2	年头
幼	dziu3	
牀	sɔŋ2	眠床,笼床
廢	fui3	头滥废:最坏
弓	kiuŋ1	
弟	tʰe1	老弟:弟弟
張	tʃiɔŋ1	量词,把(刀)
彎	van1	
歸	kui1	归日:整天
當	tɔŋ1	当昼:中午
必	pit5	禾必子:麻雀
懷	huai2	
驚	kiaŋ1	
想	siɔŋ4	想念,思念,巴望
懶	lan4	懒尸:懒惰
懶	lai4	(替字)lai4伏:抱窝
我	ŋai2	
戴	tue3	戴帽子
戴	tai3	戴眼镜
房	fɔŋ2	亲房:堂亲
手	ʃiu3	
揚	iaŋ2	
批	pʰe1	书信
