#漢字	音標	解釋
䙡	kʰuei5	绳~子
一	i1	
一	tʂæ̃2	
丁	tiəŋ1	
七	tɕʰi1	
万	væ̃5	
丈	tʂaŋ5	
三	sæ̃1	
三	ȵie2	
上	luæ̃1	
上	ʂaŋ5	
下	xa5	~马
下	ɕia5	~雨
不	pʰa1	
不	pu2	
不	ʂau2	
与	y5	
丑	tʂʰəu3	
專	tʂuæ̃1	
且	tɕʰie3	
丕	pʰei1	
世	ʂʅ5	
丙	piəŋ3	
業	ȵie1	
叢	tʂʰuəŋ2	
東	tuəŋ1	
絲	sɿ1	
丢	tiəu1	
兩	liaŋ3	
嚴	ȵiæ̃2	
喪	saŋ1	~葬
喪	saŋ5	~气
个	vɛ3	
个	səu3	
个	kɤ5	大~子
个	kuɤ5	大~子
丫	ia1	~头
中	tʂuəŋ1	
中	tʂuəŋ5	~奖
丰	fəŋ1	
串	tʂʰuæ̃5	
臨	liəŋ2	
丸	væ̃2	
丹	tæ̃1	
爲	vei5	~什么
爲	vei2	作~
主	tʂu3	
麗	li5	
舉	tɕy1	
舉	tʂəu3	
乃	nɛ3	
久	tɕiəu3	
義	i5	
之	tsɿ1	
之	pʰia3	
烏	vu1	
乏	fa2	
樂	luɤ1	
樂	yo1	
乒	pʰiəŋ1	~乓球
喬	tɕʰiau2	
乖	kuɛ1	
乘	tʂʰəŋ3	~法
乘	tʂʰəŋ5	~机
乙	i3	
九	tɕiəu3	
乞	tɕʰi1	
也	ie3	
習	ɕi2	
鄉	ɕiaŋ1	
書	ʂu1	
買	mɛ3	
亂	læ̃5	
乳	ʐu3	~牛
乳	ʐu2	炼~
乾	tɕʰiæ̃2	
了	tʂæ̃2	
了	səu3	
了	liau3	~结
爭	tʂəŋ1	
事	sɿ5	
二	ɚ5	
于	y2	
虧	kʰuei1	
云	yəŋ2	
互	xu5	
五	vu3	
井	tɕiəŋ3	
亘	kəŋ1	~古
亞	ia3	
些	ɕie1	
亡	vaŋ2	
交	tɕiau1	
亥	xɛ5	
產	tʂʰæ̃3	
亨	xəŋ1	
畝	mu3	
享	ɕiaŋ3	
京	tɕiəŋ1	
亮	liaŋ5	
親	tɕʰiəŋ1	
親	tɕʰiəŋ5	~家
人	luæ̃1	
人	ȵie2	
人	ʐəŋ2	
人	səu3	
億	i3	
仁	ʐəŋ2	
仆	pʰu1	
仇	tʂʰəu2	
仇	ʂəu2	
今	tɕiəŋ1	
介	tɕie5	
仍	ʐəŋ3	
从	tʂʰuəŋ2	
仑	lyəŋ2	
倉	tʂʰaŋ1	
仕	sɿ5	
他	tʰa3	
仗	tʂaŋ5	
付	fu5	
仙	ɕiæ̃1	
代	ȵie2	
代	vɛ3	
代	tɛ5	
令	liəŋ5	
以	i3	
儀	i2	
儀	i5	
仰	ȵiaŋ3	
仰	iaŋ3	
件	tɕiæ̃5	
價	tɕia5	
任	ʐəŋ2	姓
任	ʐəŋ5	责~
份	fəŋ5	
仿	faŋ3	
伍	vu3	
伏	fu2	
伐	fa2	
休	ɕiəu1	
衆	tʂuəŋ5	
優	iəu1	
伙	xuɤ3	
會	xuei5	
會	kʰuɛ3	~计
傘	sæ̃3	
偉	vei3	
傳	tʂʰuæ̃2	
傳	tʂuæ̃5	自~
傷	ʂaŋ1	
傷	vɛ3	
倫	lyəŋ2	
僞	vei3	
伯	pei1	
估	ku3	
伴	pæ̃5	
伸	ʂəŋ1	
伸	tʂʰəŋ1	~手
伺	tsʰɿ5	~候
似	sɿ5	
但	tæ̃5	
位	vei5	
低	ti1	
住	tʂu5	~宿
佑	iəu5	
體	tʰi3	
何	xuɤ2	
余	y2	
佛	fɤ2	
作	tʂuɤ1	~业
你	ȵi3	
佩	pʰei5	
佳	tɕia1	
使	sɿ3	
侄	tʂʅ2	
侉	kʰua3	
例	li5	
侍	sɿ5	服~
供	kuəŋ1	~养
供	kuəŋ5	~样供品
依	i3	
俠	ɕia2	
偵	tʂəŋ1	
側	tʂʰei1	
侮	vu3	食物腐败生毛
侯	xəu2	
侵	tɕʰiəŋ1	
便	pʰiæ̃2	~宜
便	piæ̃5	方~
促	tɕʰy1	~狭
俄	nuɤ2	
俊	tɕyəŋ5	
俗	ɕy2	
俘	fu2	
保	pau3	
信	ɕiəŋ5	
儉	tɕiæ̃3	
修	ɕiəu1	
倍	pʰei5	
倒	tau5	~水
倒	tau3	栽~
倔	tɕyo3	脾气~
候	xəu5	
借	tɕie5	
倡	tʂʰaŋ1	
倡	tʂʰaŋ3	
倪	ȵi2	
倯	suəŋ2	詈词后缀瞎~坏~
債	tʂɛ5	
值	tʂʅ2	
傾	tɕʰyəŋ3	
假	tɕia5	~期
假	tɕia3	真~
偏	pʰiæ̃1	
做	tsu5	
停	tʰiəŋ2	
健	tɕiæ̃5	
偶	nəu3	
偷	tʰəu1	
償	ʂaŋ3	
傀	kʰuei3	~儡
儲	tʂu2	
儲	tʂʰu2	~蓄所
催	tʂʰuei1	
傲	nau5	
傻	ʂa3	
傻	tʰəŋ3	
像	ɕiaŋ5	
僧	səŋ1	
僵	tɕiaŋ1	
僻	pʰi3	
儒	ʐu2	
儡	luei3	傀~
儾	naŋ5	软弱
兒	ɚ2	
兀	vɛ3	
允	yəŋ3	
元	yæ̃2	
兄	ɕyəŋ1	
充	tʂʰuəŋ1	
兆	tʂau5	
先	ɕiæ̃1	
光	kuaŋ1	
克	kʰɛ3	
克	kʰei1	千~
免	miæ̃3	
兑	tuei5	
兔	tʰu5	
黨	taŋ3	
兜	təu1	
入	ʐu1	
全	tɕʰyæ̃2	
八	pa1	
公	kuəŋ1	
六	liəu1	
蘭	læ̃2	
共	kuəŋ5	
關	kuæ̃1	
興	ɕiəŋ1	~旺
興	ɕiəŋ5	高~
兵	piəŋ1	
其	tɕʰi2	
具	tɕy5	
典	tiæ̃3	
養	iaŋ3	
獸	ʂəu5	
内	luei5	
册	tʂʰei1	
再	tʂɛ5	
冒	mau5	
寫	ɕie3	
軍	tɕyəŋ1	
農	luəŋ2	
冠	kuæ̃5	~军
冠	kuæ̃1	鸡~子
冤	yæ̃1	
冬	tuəŋ1	
馮	fəŋ2	
冰	piəŋ1	
冲	tʂʰuəŋ1	
冲	tʂʰuəŋ5	~子
決	tɕyo1	
况	kʰuaŋ5	
冶	ie1	
冷	ləŋ3	
凍	tuəŋ5	
淨	tɕiəŋ5	
凄	tɕʰi1	
準	tʂuəŋ3	
涼	liaŋ2	
凊	tɕʰiəŋ5	液体凝固猪油~了也引申为受冷落没人理睬~光光地
減	tɕiæ̃3	
湊	tʂʰəu5	
凝	ȵiəŋ2	
几	tɕi1	~乎
几	tɕi3	~个
凡	fæ̃2	
鳳	fəŋ5	
凭	pʰiəŋ2	
凳	təŋ5	
凶	ɕyəŋ1	
出	tʂʰu1	
擊	tɕi1	
鑿	tʂuɤ2	
刀	tau1	
刀	tʂa3	
刁	tiau1	~钻
刃	ʐəŋ5	
分	fəŋ1	
切	tɕʰie1	
刊	kʰæ̃3	
刑	ɕiəŋ2	
划	xua2	~拳
划	xua5	计~
列	lie1	
劉	liəu2	
則	tʂei1	
剛	kaŋ1	
創	tʂʰuaŋ3	
初	tʂʰu1	
删	sæ̃1	
判	pʰæ̃5	
刨	pʰau2	
利	li5	
别	pie2	
别	pʰie2	重另~来
刮	kua1	
到	ʂuəŋ2	
到	tau5	
制	tʂʅ5	
刷	ʂua1	
刹	sa1	
刺	tsʰɿ5	
刻	kʰei1	
劊	kuei1	~子手
刴	tuɤ5	
劑	tɕi5	
剃	tʰi5	
削	ɕyo1	
