#漢字	音標	解釋
#簡稱	/	韶山大坪
#全稱	/	韶山大坪話
#聲母	/	
#韻母	/	
#聲調	/	33 1 1a 陰平 ꜀,13 2 1b 陽平 ꜁,42 3 2 上 ꜂,,45 5 3a 陰去 ꜄,21 6 3b 陽去 ꜅,24 7 4 入 ꜆
#版本	/	2022-01-12
#錄入人	/	跳跳老鼠
#參考資料	/	《韶山方言同音字匯兩種》
#說明	/	
㿭	tsʰɔ7	皴
一	i7	
丁	tiən1	
七	tsʰi7	
万	uã6	
丈	daŋ6	
三	sã1	
上	ʝiaŋ6	～面；～山
下	ʝiɔ6	底～；～降
不	pu7	
与	ʯ5	及，给与
丐	kai5	乞～
丑	tʰiɯ3	子～
專	tuɛ̃1	
且	tsʰiɛ̃3	
世	ʂʅ5	
丘	cʰiɯ1	
丙	piən3	
業	ɲiɛ̃7	
叢	dziən2	
東	tən1	
絲	sɿ1	
丞	dən2	
丟	tiɯ1	
兩	niaŋ3	～个；几～
嚴	ɲĩ2	
喪	saŋ1	～事
喪	saŋ5	～失
个	kʊ5	
丫	iɔ1	
中	tən1	当～
中	tən5	射～
丰	xuən1	
串	tʰuɛ̃5	
臨	niən2	
丸	uɛ̃2	肉～
丹	tã1	
爲	uei2	
主	tʯ3	
丽	li5	
舉	tʯ3	
乃	la3	
久	ciɯ3	
義	ɲĩ6	
之	tʂʅ1	
烏	u1	
乎	βu2	
乏	xua5	
樂	lʊ7	
樂	iʊ7	音～
喬	ɟiau2	
乖	kua1	
乘	ʝiən2	
乙	iɛ7	
九	ciɯ3	
乞	cʰi7	
也	ia3	
習	si7	
鄉	çiaŋ1	
書	ʂʯ1	
買	mã3	
亂	nuɛ̃6	
乳	ʯ2	
乾	kuɛ̃1	～湿
乾	ɟĩ2	～坤
了	liau3	～结
爭	tsiɛ̃1-	
爭	tsən1=	
事	dzɿ6	
二	ai6	
于	ʯ1	
虧	kʰuei1	
雲	uən2	诗～子曰
互	βu6-	
互	ɸu5=	
五	u3	
井	tsiɔ̃3-	
井	tsiən3=	
亞	iɔ5	
些	siɔ1	
亡	uaŋ2	
交	ciau1	
亥	ɣuai6	
亦	i7	
產	tsʰã3	
亨	çiɛ̃1	
畝	mʊ3-	
畝	mai3=	
享	çiaŋ3	
京	ciən1	
亭	diən2	
亮	niaŋ6-	
亮	niaŋ5=	
親	tsʰiən1	～戚
親	tsʰiən5	～家
人	iən2	
億	i5	
什	ʂʅ5	～物
仁	iən2	
僅	cʰiən5	
仆	pʰʊ7	倒
仇	diɯ2	
今	ciən1	
介	ka5	
仍	iən6	
从	tsʰuən1	～容
从	dzən2	跟～
从	dzuən2	跟～，又
倉	tsʰaŋ1	
仕	dzɿ6	
他	tʰɔ1	
仗	taŋ5	打～
仗	daŋ6	依～
付	ɸu5	
仙	sĩ1	
代	duai6	
令	niən6	
以	i3	
儀	ɲĩ2	
仰	ɲiaŋ3	
仲	dən6	
件	ɟĩ6	
價	ciɔ5	
任	iən6	姓；责～
份	ɣuən6	
仿	xaŋ3	～效
仿	xaŋ3	相似
伊	i1	
伍	u3	
伏	ɸu5	
伐	xua5	
休	çiɯ1	
衆	tən5	
優	iɯ1	
伙	xʊ3	
會	kʰua5	～计
會	ɣuai6	开～；～不～
傘	sã3	
偉	uei5	又
偉	uei3=	
傳	duɛ̃2	～达
傳	duɛ̃6	～记
伢	ŋɔ̃2	
傷	çiaŋ1	
倫	nən2	
僞	uei5	
伯	piɛ7	
估	ku1	
伴	biɛ̃6	
伶	niən2	
伸	sən1	
伺	sɿ1	～机
似	dzɿ6	
佃	dĩ6	
但	dã6	
佈	pu5	
位	uei6	
低	ti1	
住	dʯ6	
佐	tsʊ5-	
佐	tsʊ3=	
佑	iɯ5	
體	tʰi3	
何	ɣʊ2	
余	ʯ1	姓
佛	ɸu7	
作	tsʊ7	工～
佞	ɲiən5	
你	n̩3-	
你	ɲĩ3=	
佩	pʰai5	
佳	ka1	
併	piən5	合～
使	ʂʅ3	
侄	tʂʅ7	
侈	tʂʰʅ3	奢～
例	li6	
侍	dzɿ6	
供	kən1	～给；～养
供	kən5	上～
依	i1	
偵	tən1	
側	tsiɛ7	
僑	ɟiau2	
儂	nən2	我，你
侮	u6	
侯	ɣai2	
侵	tsʰiən5	
便	bĩ2	～宜
便	bĩ6	方～
係	ʝi6	关～
促	tsʰɯ7	
俄	ŋʊ2	
俊	tsuən5	
俏	tsʰiau5	
俗	sɯ7	
俘	ɸu1	
保	pau3	
信	siən5	
儉	ɟĩ6	
修	siɯ1	
俯	ɸu3	
俱	tʯ1	
俸	xuən5	
倍	bai6	
倒	tau3	打～，颠～
倒	tau5	～水
倔	tuɛ7	～强
倘	tʰaŋ3	
候	ɣai6	
倚	i1	
借	tsiɔ5	
倡	tʰaŋ1	提～
倦	tuɛ̃5	
倪	ɲĩ2	
債	tsa5	
值	tʂʰʅ5	
傾	tʰuən1	
假	ciɔ3	真～；放～
偏	pʰĩ1	
做	tsɯ5	
停	diən2	
健	ɟĩ6	
偶	ŋai3	配～；～然
偷	tʰai1	
償	ʝiaŋ2	
傅	ɸu5	
傍	baŋ2	
傢	ciɔ1	～具
儲	dʯ2	
催	tsʰuai1	
傲	ŋau6-	
傲	ŋau5=	
傻	sua3	
像	siaŋ5	
僕	pʰʊ7	～人
僧	siɛ̃1-	
僧	sən1=	
僵	ciaŋ1	
僻	pʰi7	
儒	ʯ1	
兒	ai2	
允	uən3	
元	uɛ̃2	
兄	çiən1	
充	tʰən1	
兆	dau6	
兇	çiən1	～恶
先	sĩ1	
光	kaŋ1	
克	cʰiɛ7	
免	mĩ3	
兌	tuai5	
兔	tʰɯ5	
兔	tʰiɯ5	又
黨	taŋ3	
兜	tai1	
入	ʯ7	
全	dziɛ̃2	
八	pa7	
公	kən1	
六	lɯ7	
六	liɯ7	又
兮	çi1	
蘭	nã2	
共	ɡən6	
