#漢字	音標	解釋
□	tiɛ̃3	~子:毽子
丁	tieɲ1	
下	ɕiɑ6	
不	pəʔ7	
与	y2	
丐	kɛ3	
專	tɕyɛ̃1	
且	tɕʰi3	
丙	pieɲ3	
業	pieɲ3	
叢	tsʰɔm2	
丞	tsʰᴇɲ2	
喪	sɑ̃3	~失
个	kʊ3	~体
丰	fɔm1	
串	tɕʰyɛ̃3	
丸	uæ̃2	
丹	tæ̃1	人~
爲	uei2	作~
丽	li6	
乃	nɛ3	
義	ȵi6	
之	tsɿ1	
乎	xʊ2	之~者也
乎	xʊ1	几~
乏	fæ̃2	
樂	lɔʔ8	快~
樂	iɔʔ8	音~
喬	tɕʰiɑ2	
乙	iəʔ7	
乞	tɕʰiəʔ7	
也	iɛ6	
習	tɕiəʔ8	
乳	ɕy3	
乾	tɕʰiɛ̃2	
爭	tsᴇɲ1	
二	əɯ6	
于	y2	
互	ʊ6	
亞	iɑ3	
些	səʔ7	
亡	uɑ̃2	
亥	xəʔ8	
產	tsʰæ̃3	生~
亨	xᴇɲ1	
人	lᴇɲ2	
什	sɔʔ8	~么
仁	lᴇɲ2	
僅	tɕieɲ3	
仆	pʰɔʔ7	~人
仆	fʊ3	前~后继
今	tɕieɲ1	
介	tɕiɛ3	
仍	lᴇɲ2	
仑	lᴇɲ2	
他	tʰɑ1	
仗	tsɑ̃6	
令	lieɲ6	
儀	ȵi2	
件	tɕiɛ̃6	文~
任	lᴇɲ6	姓
任	lᴇɲ6	责~
仿	fɑ̃2	
仿	fɑ̃3	~造
企	tɕʰi3	
伊	i1	
伐	fəʔ8	
休	ɕiəɯ1	
衆	tɕiɔm3	
優	iəɯ1	
會	kuei3	1~计
會	kʰuei3	2~计
偉	uei3	
倫	lᴇɲ2	
僞	uei6	
伶	lieɲ2	
似	sɿ6	
佃	tiɛ̃6	
但	tæ̃6	
住	tɕy6	
佐	tsʊ3	
體	tʰi3	
佘	sɤ̞2	
余	y2	
佛	fəʔ8	
你	ȵi3	
佩	pei6	
佳	tɕiɑ1	1
佳	tɕiɑ3	2
使	sɿ3	
侄	tsəʔ8	
侈	tsɿ1	
例	li6	
供	kɔm3	~应
供	kɔm3	上~
僥	ɕiɑ3	
偵	tsᴇɲ1	
僑	tɕʰiɑ2	
侯	xəɯ2	
侵	tɕʰieɲ1	
便	piɛ̃6	方~
係	ɕi6	关~
促	tsʰɔʔ7	
俊	tɕieɲ3	
俗	tsɔʔ8	
俘	fʊ2	
儉	tɕiɛ̃6	
俯	fʊ3	
倶	tɕy6	
俸	fɔm6	
倔	tɕʰyəʔ7	
倡	tsʰɑ̃3	
倦	tɕyɛ̃6	
倪	ȵi2	
傾	tɕʰieɲ3	
健	tɕiɛ̃6	
偶	ŋəɯ3	~然
傀	kʰuei3	
傍	pʰɑ̃2	
傢	tɕiɑ1	
儲	tɕy1	
僧	sᴇɲ1	1
僧	tsᴇɲ1	2
僻	pʰiəʔ7	
儒	y2	
儡	luei3	
兒	əɯ2	
允	yɛ̃3	
元	yɛ̃2	
兄	ɕiɔm1	
兆	tsɑ6	
免	miɛ̃3	
兌	tuei3	
黨	tɑ̃3	
入	ləʔ8	
全	tɕʰiɛ̃2	
六	lɔʔ8	
共	kɔm6	
其	tɕʰi2	
具	tɕy6	
兹	tsʰɿ2	
兼	tɕiɛ̃1	
冀	tɕi3	
岡	kɑ̃1	
冊	tsʰəʔ7	
冒	mɑ6	
農	nɔm2	1~民
農	lɔm2	2~民
冠	kuæ̃3	~军
馮	fɔm2	
決	tɕyəʔ7	
況	xuɑ̃3	
凝	ȵi2	
凡	fæ̃2	
凭	pʰieɲ2	
凱	kʰæ̃3	
擊	tɕiəʔ7	
函	xæ̃2	
刊	kʰæ̃1	
刎	uᴇɲ3	
刑	ieɲ2	
列	liəʔ8	
則	tsəʔ7	
剛	kɑ̃1	
創	tsʰɑ̃3	
判	pʰæ̃3	
利	li6	
別	piəʔ8	区~
制	tsɿ3	~度
券	tɕyɛ̃3	国库~
券	tɕʰyɛ̃3	金圆~
劊	kuei3	
劑	tɕi3	
剮	kuɑ3	
劍	tɕiɛ̃3	
劇	tɕiəʔ8	~烈
劇	tɕiəʔ8	睦~
割	kəʔ7	
剿	tɕʰiɑ2	
劃	uəʔ8	计~
務	ʊ6	
劣	liəʔ8	
努	nʊ3	
勵	li6	
勢	ɕi3	
勃	pɔʔ8	
勉	miɛ̃3	
勘	kʰæ̃3	
募	məɯ6	
勿	uəʔ8	
北	pəʔ7	
匡	kʰuɑ̃1	
匪	fi3	
區	tɕʰy1	
匿	ȵiəʔ8	
華	xuɑ2	中~;姓
協	ɕiəʔ8	
卑	pei1	
卓	tɕiɔʔ7	
單	ɕiɛ̃6	姓
卜	pɔʔ7	占~
占	tsæ̃3	~卜
盧	lʊ2	
臥	ʊ6	
衛	uei6	
卯	mɑ3	子丑寅~
即	tɕiəʔ7	
卻	tɕʰiɔʔ7	
卸	ɕiᴇ3	
卿	tɕʰieɲ1	
壓	iəʔ7	镇~
廁	tsʰəʔ7	
原	yɛ̃2	
厥	tɕyəʔ7	
厦	ɕiɑ6	~门
厦	ɕiɑ6	大~
廚	tɕʰy2	
縣	ɕiɛ̃6	
参	tsʰæ̃1	~加
又	iəɯ6	
及	tɕiəʔ8	~格
发	fəʔ7	
敍	ɕy6	
叛	pʰæ̃3	
叟	səɯ3	
疊	tiəʔ8	
叩	kʰəɯ3	
可	kʰʊ3	
台	tʰɛ2	~州:地名
史	sɿ6	
右	iəɯ6	
葉	iəʔ8	
嘆	tʰæ̃3	
吁	y6	
各	kɔʔ7	
合	xəʔ8	~作
吏	li6	
呂	luei3	
君	tɕyɛ̃1	
吝	lieɲ2	
吟	ȵieɲ2	
否	fəɯ3	
含	xæ̃2	包~
启	tɕʰi3	
吻	uᴇɲ3	
吼	xəɯ1	
嘔	əɯ1	
咎	tɕiəɯ3	
咏	yɛ̃3	
咨	tsɿ1	
咬	iɑ3	
哀	ɛ1	
品	pʰieɲ3	
哪	nɑ3	
哲	tsəʔ7	
喚	xuæ̃3	
售	tɕiəɯ6	
唯	uei2	
啃	kʰᴇɲ3	
嗇	ɕiəʔ7	
囉	lʊ1	
啼	tʰi2	
善	ɕiɛ̃6	
喉	xəɯ2	
喊	xæ̃3	
喘	tɕʰyɛ̃3	
喝	xəʔ7	
喧	ɕiɛ̃1	
喩	y2	
嗅	ɕiəɯ3	
嗓	sɑ̃3	
噓	ɕy1	
囑	ɕiɔʔ7	
器	tɕʰi3	
囂	ɕiɑ1	
嚷	lɑ̃3	
囊	lɑ̃3	
囚	tɕʰiəɯ2	
因	ieɲ1	
团	tʰæ̃2	~结
困	kʰuᴇɲ3	~难
在	tsɛ3	
圭	kuei3	
場	tsʰɑ̃2	
均	tɕyɛ̃1	
坎	kʰæ̃3	
坐	tsʊ6	
堅	tɕiɛ̃1	
坤	kʰuᴇɲ1	
坦	tʰæ̃3	
壟	lɔm3	~断
型	ieɲ2	
垒	luei3	
墾	kʰᴇɲ3	
垮	kʰuɑ3	
埂	kᴇɲ3	
埃	ɛ1	
域	yəʔ8	
培	pʰei2	
堡	pɑ3	
堤	tʰi2	
堪	kʰæ̃1	
境	tɕieɲ3	
增	tsᴇɲ1	
墟	ɕy3	
墰	tʰæ̃2	
壕	xɑ2	
壤	lɑ̃3	
士	sɿ6	
壬	lᴇɲ6	
處	tɕʰy3	~所
處	tɕʰy3	相~
備	pei6	
夏	ɕiɑ6	姓
夕	ɕiəʔ8	
大	tɑ6	~概
大	tɑ6	~夫
夫	fʊ1	
夷	i2	
夸	kʰuɑ1	
奈	nɛ6	
奉	fɔm6	
奮	fᴇɲ2	
奎	kʰuei1	
奔	pᴇɲ1	
獎	tɕiɑ̃3	~状
奠	tiɛ̃6	
奢	sɑ1	
奧	ɑ3	
女	ȵy3	
奴	nʊ2	
奸	tɕiɛ̃1	强~
妃	fi1	
妄	uɑ̃6	
婦	fʊ6	~女
妒	tʊ3	
妓	tɕi6	
妙	miɑ3	
妨	fɑ̃2	
妾	tɕʰiəʔ7	
委	uei3	
姚	iɑ2	
姿	tsɿ1	
娟	tɕyɛ̃1	
娩	miɛ̃3	
娛	y6	
娶	tɕʰy3	
婆	pʰəɯ2	
婢	pei1	
嬰	ieɲ1	
媳	ɕiəʔ7	
嫡	tiəʔ7	
孀	ɕyɑ̃1	
孕	yɛ̃6	
孟	mᴇɲ6	
季	tɕi3	
孩	xɛ2	
孵	fʊ2	
寧	ȵi2	~波
寧	ȵi2	~愿
宅	tsəʔ8	
宇	y3	
完	uæ̃2	
宏	xɔm2	
宙	tɕiəɯ3	
審	sᴇɲ3	
宣	ɕiɛ̃1	
室	səʔ7	
宦	xuæ̃6	
宪	ɕiɛ̃3	
宴	iɛ̃3	
容	iɔm2	
賓	pieɲ1	
寂	ɕiəʔ7	
寅	ieɲ2	
寇	kʰəɯ3	
寓	y3	
寢	tɕʰieɲ3	
察	tsʰəʔ7	
寨	tsɛ3	
寺	sɿ6	
導	tɑ6	
尊	tsᴇɲ1	
尤	iəɯ2	
堯	ȵiɑ2	
尬	kɑ3	
尷	kæ̃1	
屍	sɿ1	
尼	ȵi2	
尿	ȵiɑ6	~素
局	tɕiɔʔ8	~长
屈	tɕʰyəʔ7	
屉	tʰi3	
屆	tɕiɛ3	
屛	pʰieɲ2	
展	tsæ̃3	
屬	ɕiɔʔ8	军~
屠	tʰʊ2	
屢	luei3	
履	luei3	
屯	tʰᴇɲ2	
歲	suei3	万~
豈	tɕʰi3	
岐	tɕʰi2	
崗	kɑ̃1	
島	tɑ3	
岳	ŋɔʔ8	
峽	ɕiəʔ8	
崇	tsʰɔm2	
崔	tsʰuei1	
崖	ŋɛ2	
嵩	sɔm1	
巡	tɕʰieɲ2	
巢	tɕʰiɑ2	
左	tsʊ3	
巨	tɕy6	
鞏	kɔm3	
巫	fʊ2	
差	tsʰɑ1	出~
己	tɕi3	
巳	sɿ6	
幣	pi6	
布	pʊ3	~告
帥	ɕyɛ3	
帆	fæ̃2	
師	sɿ1	老~
希	ɕi1	
帕	pʰəʔ7	
席	tɕiəʔ8	主~
幕	məɯ6	
干	kæ̃1	天~
幸	ɕieɲ6	
幻	uæ̃6	
幽	iəɯ1	
幾	tɕi3	~乎
廣	kuɑ̃3	
慶	tɕʰieɲ3	
庇	pi6	
序	tɕy6	
廬	lʊ2	
府	fʊ3	
龐	pʰɑ̃2	
廢	fi3	
度	tʊ6	
庭	tʰieɲ2	
庶	ɕy3	
康	kʰɑ̃1	
庸	iɔm3	
廉	liɛ̃2	
延	iɛ̃2	
廷	tʰieɲ2	
异	i3	
弃	tɕʰi3	
弊	pi6	
式	səʔ7	
引	ieɲ3	~进
弘	ɕyɛ̃2	
弥	mi2	~补
彎	uæ̃1	
彈	tæ̃6	子~
强	tɕʰiɑ̃2	~盗
强	tɕʰiɑ̃3	勉~
弼	piəʔ8	
彙	uei6	词~
形	ieɲ2	
彬	pieɲ1	
彭	pʰæ̃2	
役	yəʔ8	
徹	tsʰəʔ7	
彼	pi3	
往	uɑ̃3	来~
征	tsᴇɲ1	
徑	tɕieɲ3	
待	tɛ6	
很	xᴇɲ3	
律	liəʔ8	
御	y6	
復	fɔʔ8	~原
循	ɕyɛ̃2	
忌	tɕi6	
憂	iəɯ1	
忽	xɔʔ8	
忿	fᴇɲ6	
態	tʰɛ3	
慫	tsɔm3	
怒	nʊ6	
怕	pʰɑ3	
怖	pʊ3	
憐	liɛ̃2	
思	sɿ1	
怠	tɛ6	
戀	liɛ̃2	
恐	kʰɔm3	
恆	xᴇɲ2	
恕	ɕy3	
恢	xuei1	
恤	ɕiəʔ7	
恭	kɔm1	
息	ɕiəʔ7	
懇	kʰᴇɲ3	
悄	tɕʰiɑ1	
悉	ɕiəʔ7	
悟	ŋʊ6	
患	xuæ̃6	
悅	yəʔ8	
懸	ɕyɛ̃2	
憫	mieɲ3	
悲	pei1	
惑	xuəʔ8	
惟	fi12	
惠	uei3	
懼	tɕy6	
慘	tsʰæ̃1	
懲	tsʰᴇɲ2	
慚	tsʰæ̃2	
惰	tʊ6	
愁	tsʰəɯ2	
愈	y6	
愉	y2	
意	i3	
愚	ȵy2	
感	kæ̃3	
憤	fᴇɲ6	
愧	kʰuei3	
愼	sᴇɲ6	
慕	məɯ6	
慧	uei3	
慨	kʰæ̃3	
慰	uei3	
慷	kʰɑ̃3	
憎	tsᴇɲ1	
憨	xæ̃1	
憾	xæ̃6	
懈	ɕiɛ3	
懊	ɑ3	
戈	kʊ1	
戊	ʊ6	
戌	ɕiəʔ7	
戍	ɕy3	
成	tsʰᴇɲ2	
戒	kɑ3	
或	xuəʔ8	
戰	tsæ̃3	
截	tɕiəʔ8	
戶	ʊ6	
所	sʊ3	
才	tsʰɛ2	人~
扎	tsəʔ7	挣~
打	tɑ3	
扔	lᴇɲ1	
執	tsəʔ7	
擴	kʰuəʔ7	
揚	iɑ̃2	
擾	lɑ2	
扶	fʊ2	
扼	əʔ7	
承	tsʰᴇɲ2	
技	tɕi6	
投	tʰəɯ2	
抗	kʰɑ̃3	
折	ɕiəʔ8	
撫	ʊ1	
拋	pʰəɯ1	
護	ʊ6	
押	iəʔ7	~金
擔	tæ̃1	~心
拈	ȵiɛ̃1	
拒	tɕy6	
拔	pɔʔ8	
拖	tʰʊ1	~拉机
拙	tɕʰiɔʔ7	
擬	ȵi3	
揀	tɕiɛ̃3	
擁	iɔm3	
擇	tsəʔ8	
括	kuəʔ7	
拯	tsʰᴇɲ2	
拱	kɔm3	
持	tsʰɿ2	
指	tsɿ3	
按	æ̃1	
挖	uɑ1	
揮	xuei1	
挨	ɛ1	~近
振	tsᴇɲ3	
挺	tʰieɲ3	
挽	uæ̃3	
捉	tsɔʔ7	
捎	ɕiɑ1	
捏	ȵiəʔ7	
捐	tɕyɛ̃1	
損	sᴇɲ3	
据	tɕy3	
捷	tɕiəʔ8	
捺	nəʔ8	
掀	ɕieɲ1	1
掀	ɕieɲ3	2
掂	tiɛ̃3	
掘	tɕʰiɔʔ7	
掠	liɑ2	
探	tʰæ̃3	
接	tɕiəʔ7	
控	kʰɔm3	
掩	iɛ̃3	
措	tsʰʊ3	
揭	tɕiəʔ7	
援	yɛ̃2	
攬	læ̃3	
搏	pɔʔ7	
携	ɕi1	
攝	səʔ7	
摔	suɛ3	
摩	məɯ1	
摹	məɯ2	
摺	tsəʔ7	
撤	tsʰəʔ7	
攆	ȵiɛ̃6	
擀	kæ̃3	
擎	tɕieɲ3	
擒	tɕʰieɲ2	
攀	pæ̃1	
改	kɛ3	劳~
效	ɕiɑ6	
敵	tʰiəʔ8	
敏	mieɲ3	
敝	pi3	
敦	tᴇɲ1	
敬	tɕieɲ3	
斜	tɕʰiᴇ2	
斬	tsæ̃3	
斷	tuæ̃6	决~
斯	sɿ1	
旁	pʰɑ̃2	
旅	luei3	
旋	tɕʰiɛ̃2	
族	tsɔʔ8	
無	ʊ2	
既	tɕi3	
日	ləʔ8	~本
旦	tæ̃3	元~
旬	ɕieɲ2	
旱	xæ̃6	
曠	kʰuɑ̃3	
旺	uɑ̃6	兴~
昆	kʰuᴇɲ1	~明，~仑
易	i3	容~
易	iəʔ8	贸~
昔	ɕiəʔ7	
