#漢字	音標	解釋
㒼	maŋ2	亞㒼:勉強;差強人意
㮇	tʰim3	
㿭	tsʰak7b	爆㿭
䊦	ʔiak7b	
䣺	kiŋ1	
一	jɐk7a	
丁	tɪŋ1	
七	tsʰɐk7a	
丈	tsiøŋ2	
三	ɬam1	
三	sam1	
上	siøŋ3	上課
上	siøŋ2	上面
下	ha2	下面
下	ha3	打一下
不	pɐk7a	
丐	kʰɔi5	
丑	tsʰɐu3	
且	tsʰɛ3	
丕	pʰei1	
世	sɐi5	
丘	jɐu1	
丙	pɪŋ3	
丞	sɪŋ2	
丢	tiu1	
丢	tiu1	
並	pɪŋ2	並且
並	pɪŋ5	並且
丫	a1	
中	tsʊŋ1	中間
中	tsʊŋ5	中獎
丰	fʊŋ1	
串	tsʰiŋ5	
丸	jiŋ2	
丹	taŋ1	
主	tsi3	
乃	nai3	
久	kɐu3	
麽	mɔ1	句末語氣助詞
麽	jiu1	十三么
之	tsi1	
乍	tsa5	
乎	fu2	
乏	fak8	
乒	pɪŋ1	
乓	pɔŋ1	
乖	kʷai1	
乘	sɪŋ2	乘車
乘	sɪŋ2	萬乘之國
乙	jik7b	
九	kɐu3	
乞	hɐk7a	
也	ja3	
乳	jui3	
乾	kɔŋ1	乾燥
乾	kʰiŋ2	乾坤
亂	liŋ2	
了	liu3	
予	ji2	古代第一人稱
予	ji3	給予
事	si2	
二	ȵi2	
于	ji1	
云	ʋɐŋ2	
互	fu2	
五	ŋ̍3	
井	tsiɐŋ3	
些	ɬɛ1	
些	sɛ1	
亞	a5	
亟	kʰei5	亟請
亟	kɪk7a	亟需;亟待解決
亡	mɔŋ2	
亢	kʰɔŋ5	人的喉嚨
亢	kʰɔŋ5	高亢
交	kau1	
亥	hɔi2	
亦	jɪk8	
亨	hɐŋ1	
享	hiøŋ3	
京	kɪŋ1	
亭	tʰɪŋ2	
亮	liøŋ2	
人	ȵɐŋ2	
什	sɐp8	喀什
什	tsɐp8	什錦
什	sɐm2	什麼
仁	ȵɐŋ2	
仁	jɐŋ2	
仃	tɪŋ1	
仄	tsɐk7a	
仆	pʰʊk7a	
仇	sɐu2	仇人
仇	kʰɐu2	仇姓
今	kɐm1	
介	kai5	
仍	ȵɪŋ2	
仍	jɪŋ2	
仔	tsi3	仔細
仔	tsɐi3	豬仔
仕	si2	
他	tʰa1	
仗	tsiøŋ2	仗義
仗	tsiøŋ5	打仗
付	fu2	
仙	ɬiŋ1	
仙	siŋ1	
仝	tʰʊŋ2	
仞	ȵɐŋ2	
仞	jɐŋ2	
仟	tsʰiŋ1	
代	tɔi2	
令	lɪŋ2	
以	ji3	
仰	jiøŋ3	
仲	tsʊŋ2	
件	kiŋ2	
任	ȵɐm2	信任
任	jɐm2	信任
份	fɐŋ2	
仿	fɔŋ3	
企	kʰei3	
伊	ji1	
伍	ŋ̍3	
伏	fʊk8	文讀
伏	pʊk8	白讀
伐	fak8	
休	jɐu1	文讀
休	hɐu1	白讀
伙	fɔ3	
伯	pak7b	老伯
伯	pak7b	春秋五伯
估	ku1	估計
伴	puŋ2	
伶	lɪŋ2	
