#漢字	音標	解釋
㓾	tʂʰʅ2	~鱼:剖鱼
井	tɕin3	
亘	kən3	
亞	ia5	
些	ɕiɛ1	
亟	tɕi7	
亡	uaŋ2	
亢	kʰaŋ5	
交	tɕiau1	
亥	xai6	
亦	i7	
產	tsʰan3	
亨	xən1	
畝	məu3	
享	ɕiaŋ3	
京	tɕin1	
亭	tʰin2	
亮	niaŋ6	
親	tɕʰin1	~属
親	tɕʰin5	~家
亳	po7	
褻	ɕiɛ7	
人	ʐən2	
億	i5	
什	ʂən5	~么
什	ʂʅ7	~物
仁	ʐən2	
仃	tin1	
仄	tsɛ7	
僅	tɕin3	
仆	pʰu7	
仇	tʂʰəu2	~恨
仇	tɕʰiəu2	姓
今	tɕin1	
介	kai5	
介	tɕiai5	
仍	ʐən2	
仍	ʯən2	又读
从	tsʰoŋ2	
仑	nən2	
倉	tsʰaŋ1	
仔	tsɿ3	
仔	tsai3	
仕	sɿ6	
他	tʰa1	
仗	tʂaŋ6	
付	fu5	
仙	ɕin1	
仝	tʰoŋ2	
仞	ʐən6	
仟	tɕʰin1	
代	tai6	
令	nin6	
以	i3	
儀	i2	
們	mən2	
仯	tsʰau5	
仰	iaŋ3	文
仰	niaŋ6	白，抬头~颈
仲	tʂoŋ5	
仵	u3	
件	tɕin6	
價	tɕia5	
任	ʐən6	~务
任	ʯən6	又读
任	ʐən2	姓
份	fən6	
仿	faŋ3	
企	tɕʰi3	~望
企	tɕi6	~业
伉	kʰaŋ5	
伊	i1	
伍	u3	
伏	fu7	
伐	fa7	
休	ɕiəu1	
衆	tʂoŋ5	
優	iəu1	
伙	xo3	
會	kʰuai5	~计
會	xuei6	开~
傘	san3	
偉	uei3	
傳	tʂʰʯan2	~递
傳	tʂʯan6	~记
伢	ŋa2	
傷	ʂaŋ1	
倀	tʂʰaŋ1	
倫	nən2	
傖	tsʰaŋ1	
僞	uei5	
佇	tʂʯ6	
伯	pɛ7	
估	ku3	
伴	pan6	
伶	nin2	
伺	tsʰɿ5	~候
伺	sɿ5	~机
似	sɿ6	
伽	tɕia1	
佃	tin6	
但	tan6	
位	uei6	
低	ti1	
住	tʂʯ6	
佐	tso3	
佑	iəu6	
體	tʰi3	
何	xo2	
佘	ʂɛ2	
余	ʯ2	
佛	fu7	
作	tso7	
佝	kəu1	
佞	nin6	
佟	tʰoŋ2	
你	ni3	
佣	ʐoŋ6	~人
佣	ʐoŋ1	雇~
佩	pʰei5	
佩	pʰi5	
佬	nau3	
佮	ko7	
佯	iaŋ2	
佰	pɛ7	
佳	tɕia1	
佻	tʰiau1	
佼	tɕiau3	
使	sɿ3	
侃	kʰan3	
侃	kʰuan3	
侄	tʂʅ7	
侈	tʂʰʅ3	
例	ni6	
侍	sɿ6	
侗	toŋ6	
供	koŋ1	~应
供	koŋ6	~养
依	i1	
俠	ɕia7	
侶	ʯ3	
僥	tɕiau3	
偵	tʂən1	
側	tsʰɛ7	新
側	tsɛ7	老
儈	kʰuai5	
儕	tʂʰai1	
儂	noŋ2	
侮	u3	
侯	xəu2	
侵	tɕin1	
便	pʰin2	~宜
便	pin6	~利
促	tsʰəu7	
俄	ŋo2	
俊	tɕin5	
俎	tsəu3	
俏	tɕʰiau5	
俐	ni6	
俑	ʐoŋ3	
俗	səu7	
俘	fəu2	
俘	fu2	
俚	ni3	
保	pau3	
俞	ʯ2	
俟	sɿ5	
信	ɕin5	
倆	niaŋ3	
儷	ni6	
儉	tɕin3	
修	ɕiəu1	
俯	fu3	
俱	tʂʯ6	
俸	foŋ6	
俺	ŋan3	
倌	kuan1	
倍	pei6	
倍	pi6	
倏	ʂʯ1	
倒	tau3	~下
倒	tau5	~车
倔	tʂʯɛ7	
倘	tʰaŋ3	
候	xəu6	
倚	i3	
倜	tʰi7	
借	tɕiɛ5	
倡	tʂʰaŋ5	
倦	tʂʯan6	
倨	tʂʯ5	
倩	tɕʰin5	
倪	ni2	
倭	o1	
債	tsai5	
債	tʂai5	文
值	tʂʅ2	~得
值	tʂʅ7	价~
傾	tɕʰin3	
偃	in5	
假	tɕia3	
偌	ʐo7	
偎	uei1	
偏	pʰin1	
偕	ɕiai2	
做	tsəu5	
停	tʰin2	
健	tɕin5	
偶	ŋəu3	
偷	tʰəu1	
償	tʂʰaŋ2	新
償	ʂaŋ2	老
傀	kʰuei3	
傅	fu5	
傍	paŋ6	
傣	tai3	
儻	tʰaŋ3	
儲	tʂʰʯ2	
催	tsʰei1	
傲	ŋau5	
傻	ʂa3	
像	ɕiaŋ6	文
像	tɕiaŋ6	白
僚	niau2	
僧	sən1	
僵	tɕiaŋ1	
僻	pʰi7	
儒	ʯ2	
儡	nei3	
兒	ɔɹ2	
兀	u7	
允	ʯən3	
元	ʯan2	
兄	ɕioŋ1	
充	tʂʰoŋ1	
兆	tʂau5	
兆	tʂau6	
先	ɕin1	
光	kuaŋ1	
克	kʰɛ7	
免	min3	
兑	tei5	
兑	ti5	
兔	tʰəu5	
黨	taŋ3	
兜	təu1	
兢	tɕin1	
入	ʯ7	
全	tɕʰin2	
八	pa7	
公	koŋ1	
六	nəu7	
兮	ɕi1	
蘭	nan2	
共	koŋ6	
關	kuan1	
興	ɕin5	~趣
興	ɕin1	振~
兵	pin1	
其	tɕʰi2	
具	tʂʯ6	
典	tin3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕin1	
獸	ʂəu5	
冀	tɕi5	
内	nei6	
内	ni6	
冇	mau6	
岡	kaŋ1	
冉	ʯan3	
册	tsʰɛ7	
再	tsai5	
冒	mau5	~出来
冒	mau6	感~
冕	min3	
冗	ʐoŋ3	
冚	kʰan3	盖
軍	tʂʯən1	
農	noŋ2	
冠	kuan5	~军
冠	kuan1	衣~
冢	tʂoŋ3	
冤	ʯan1	
冥	min2	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
冲	tʂʰoŋ1	~锋
冲	tʂʰoŋ5	味道~
決	tʂʯɛ7	
况	kʰuaŋ5	
冶	iɛ3	
冷	nən3	
凍	toŋ5	
冼	ɕin3	
冽	niɛ7	
淨	tɕin6	
凄	tɕʰi1	
準	tʂʯən3	
凇	soŋ1	
涼	niaŋ2	
凋	tiau1	
凌	nin2	~空
凌	nin6	~冰
減	tɕin3	
湊	tsʰəu5	
凜	nin3	
凝	nin2	
几	tɕi3	~个
几	tɕi1	茶~
凡	fan2	
鳳	foŋ6	
鳧	fu1	
凭	pʰin2	文
凭	pʰən6	白，~在栏杆高头
凱	kʰai3	
凰	xuaŋ2	
凳	tən5	
凶	ɕioŋ1	
凸	tʰəu7	
凹	ua5	
凹	ŋau5	文
出	tʂʰʯ7	
擊	tɕi7	
凼	taŋ6	
函	xan2	
鑿	tso2	
刀	tau1	
刁	tiau1	
刃	ʯən3	又读
分	fən1	~开
分	fən6	安~
切	tɕʰiɛ7	
刊	kʰan1	
芻	tʂʰʯ2	
刎	uən3	
刑	ɕin2	
划	xua2	~算
划	xua6	计~
刖	ʯɛ7	
列	niɛ7	
劉	niəu2	
則	tsɛ7	
剛	kaŋ1	
創	tʂʰʯaŋ5	文
創	tsʰaŋ5	白
初	tsʰəu1	
删	ʂʯan1	
删	san1	又读
判	pʰan5	
刨	pʰau2	~土
刨	pau6	~子
利	ni6	
别	piɛ1	~针
别	piɛ5	~扭
别	piɛ7	分~
刮	kua7	
到	tau5	
制	tʂʅ5	
刷	ʂʯa7	文
刷	sa7	白，~鞋
券	tʂʰʯan5	
刹	sa7	
刹	tʂʰa5	~那
刺	tsʰɿ5	
刻	kʰɛ7	
劊	kuei5	
劌	kuei5	
刴	to5	
劑	tɕi6	
剃	tʰi5	
削	ɕio7	
前	tɕʰin2	
剮	kua3	
劍	tɕin5	
剔	tʰi7	
剖	pʰo3	
剖	pʰəu1	文
剜	uan1	
剟	to7	
剝	po7	
劇	tʂʯ5	
剩	ʂən6	
剪	tɕin3	
副	fu5	
割	ko7	
剽	pʰiau2	
剿	tɕiau3	
劁	tɕʰiau1	
劈	pʰi7	
力	ni7	
勸	tʂʰʯan5	
辦	pan6	
功	koŋ1	
加	tɕia1	
務	u6	
劣	niɛ7	
動	toŋ6	
助	tsəu6	
劫	tɕiɛ7	
勵	ni6	
勁	tɕin5	
勞	nau2	
劾	xɛ7	
勢	ʂʅ5	
勃	po7	
勇	ʐoŋ3	
勉	min3	
勳	ʂʯən1	
勒	nɛ7	
勘	kʰan1	
募	mu6	
勤	tɕʰin2	
勰	ɕiɛ7	
勺	ʂau2	
勾	kəu1	
勿	u6	
匀	ʯən2	
包	pau1	
匆	tsʰoŋ1	
匈	ɕioŋ1	
匍	pʰu2	
匐	fu7	
匕	pi3	
化	xua5	
北	pɛ7	
匙	tʂʰʅ2	
匠	tɕiaŋ6	
匡	kʰuaŋ1	
匣	ɕia2	
匪	fei3	
匱	kʰuei5	
匹	pʰi3	~配
匹	pʰi2	一~马
區	tʂʰʯ1	~别
區	ŋəu1	姓
醫	i1	
匾	pin3	
匿	ni6	
匿	ni7	
十	ʂʅ2	
千	tɕʰin1	
卅	sa7	
升	ʂən1	
午	u3	
卉	xuei5	
半	pan5	
華	xua2	中~
華	xua6	姓
協	ɕiɛ2	
協	ɕiɛ7	
卑	pei1	
卒	tsəu7	
卓	tʂo7	
單	tan1	
單	tʂʰan2	~于
賣	mai6	
博	po7	
卜	pʰu7	~卦
卜	po0	萝~
卞	pin6	
占	tʂan5	
卡	kʰa3	
卡	tɕʰia3	关~
盧	nəu2	
卦	kua5	
臥	o5	
衛	uei6	
卯	mau3	
卯	məu3	
印	in5	
危	uei2	
即	tɕi7	
卻	tɕʰio7	
卵	nan3	
卷	tʂʯan3	~起来
卷	tʂʯan6	~卷
卸	ɕiɛ5	
卿	tɕʰin1	
廠	tʂʰaŋ3	
厄	ŋɛ7	
廳	tʰin1	
历	ni7	
厲	ni6	
壓	ia7	文
壓	ŋa7	白
厭	in5	
廁	tsʰɛ7	
廁	sɿ0	茅~
厘	ni2	
厚	xəu6	
厝	tsʰo5	
原	ʯan2	
廂	ɕiaŋ1	
厥	tʂʯɛ7	
厦	ɕia6	~门
厦	ʂa6	大~
廚	tʂʰʯ2	
廄	tɕiəu5	
厮	sɿ1	
去	tʂʰʯ5	文
去	tɕʰi5	白，回~
厾	təu7	戳，刺
縣	ɕin6	
叄	san1	
参	tsʰan1	~加
参	tsʰən1	~差
参	sən1	人~
又	iəu6	
叉	tʂʰa1	交~
叉	tʂʰa5	劈~
及	tɕi7	
友	iəu3	
雙	ʂʯaŋ1	
反	fan3	
发	fa7	
叔	ʂəu7	
取	tɕʰi3	
受	ʂəu6	
變	pin5	
敍	ɕi6	
叛	pʰan5	
叟	səu3	
疊	tiɛ7	
口	kʰəu3	
古	ku3	
句	tʂʯ5	
另	nin6	
叨	tau1	
叩	kʰəu5	
只	tʂʅ7	~有
只	tʂʅ1	量词
叫	tɕiau5	
召	tʂau1	
叭	pa1	
叮	tin1	
可	kʰo3	
台	tʰai2	
叱	tʂʰʅ7	
史	sɿ3	
右	iəu6	
叵	pʰo3	
葉	iɛ7	
號	xau6	~召
號	xau2	哀~
司	sɿ1	
嘆	tʰan5	
叼	tiau1	
嘰	tɕi1	
吁	ʂʯ1	
吁	ʯ6	
吃	tɕʰi7	
各	ko7	
吆	iau1	
合	xo7	
吉	tɕi7	
吊	tiau3	~儿郎当
吊	tiau5	~车
吋	tsʰən5	
同	tʰoŋ2	
名	min2	
后	xəu6	
吏	ni6	
吐	tʰəu3	~痰
吐	tʰəu5	呕~
向	ɕiaŋ5	
吒	tʂa0	~吒
嚇	xɛ7	
呂	ʯ3	
嗎	ma1	
君	tʂʯən1	
吝	nin6	
吞	tʰən1	
吟	in2	
吠	fei5	
否	fəu3	
吧	pa1	
吨	tən5	
吩	fən1	
含	xan2	
聽	tʰin5	
吭	kʰən1	
吭	xaŋ2	引~高歌
吮	ʂʯən3	
啓	tɕʰi3	
吱	tʂʅ1	
吳	u2	
吵	tʂʰau3	
吸	ɕi7	新
吸	tɕi7	老
吹	tʂʰʯei1	
吻	uən3	
吼	xəu3	
吾	u3	
呀	ia1	
呆	tai1	
呈	tʂʰən2	
告	kau5	
呐	na7	
囈	i5	
呔	tʰai3	
嘔	ŋəu3	
員	ʯan2	
嗆	tɕʰiaŋ5	
嗚	u1	
呢	ni2	
呤	nin2	
周	tʂəu1	
呱	kua1	
呲	tsɿ1	
味	uei6	
呵	xo1	
呸	pʰei3	
呻	ʂən1	
呼	xu1	
命	min6	
咀	tɕi3	
咂	tsa7	
咄	to7	
咆	pʰau2	
咋	tsa3	
和	xo2	
和	xu2	~牌
詠	ʐoŋ3	新
詠	ʯən5	老
咐	fu5	
咒	tʂəu5	
咕	ku1	
咖	ka1	~喱
咖	kʰa1	~啡
嚨	noŋ2	
咚	toŋ1	
嚀	nin2	
咣	kuaŋ1	
咧	niɛ7	
咨	tsɿ1	
咩	miɛ1	
咪	mi1	
咫	tʂʅ7	
咬	iau3	文
咬	ŋau3	白
咯	ko1	
咯	kʰa3	~血
咱	tsa3	
咳	kʰɛ7	
咵	kʰua7	
咸	xan2	白，~淡
咽	in1	~喉
咽	in5	吞~
咿	i1	
哀	ŋai1	
品	pʰin3	
哂	ʂən1	
哄	xoŋ3	~骗
哄	xoŋ6	起~
哆	to1	
哇	ua1	
哈	xa1	
哈	xa3	呆傻
哉	tsai1	
哌	pʰai5	
響	ɕiaŋ3	
哏	kən3	
哐	kʰuaŋ1	
啞	ŋa3	
啞	ŋa5	又读
啞	ia3	文
噦	ʯe3	
譁	xua2	
噲	kʰuai5	
喲	io1	
哥	ko1	
哦	o0	
哨	ʂau5	
哪	na3	
哭	kʰu7	
哮	ɕiau5	
哲	tʂɛ7	
哺	pu3	
哼	xən1	
哽	kən3	
唁	in5	
唆	so1	
脣	tʂʰʯən2	
唏	ɕi1	
唐	tʰaŋ2	
嘮	nau1	
嗩	so3	
喚	xuan5	
唧	tɕi1	
唬	xu3	
售	ʂəu6	
唯	uei2	
唱	tʂʰaŋ5	
唳	ni6	
唾	tʰo5	
唿	xu1	
啃	kʰən3	
啄	tso7	
商	ʂaŋ1	
啊	a2	叹词，表应答
啊	a3	叹词，表惊异或赞叹
啊	a5	叹词，表疑问
啊	a7	叹词，表惊异
啐	tsʰei5	
啕	tʰau2	
啖	tan6	
啜	tʂʰo5	
啡	fei1	
啥	ʂa5	
啦	na1	
嘖	tsɛ7	
啪	pʰa1	
嗇	sɛ7	
啮	niɛ7	
囉	no1	
啱	ŋan3	恰好
啷	naŋ1	
嘯	ɕiau5	
啼	tʰi2	
喀	kʰa1	
喂	uei5	
喃	nan2	
善	ʂan6	
喇	na3	
喉	xəu2	
喊	xan3	
喋	tiɛ7	
喏	no6	
喑	in1	
喘	tʂʰʯai3	
喙	xuei5	
喜	ɕi3	
喟	kʰuei5	
喧	ʂʯan1	
喱	ni2	
喳	tʂa1	
喵	miau1	
噴	pʰən1	文
噴	fən5	白，~涎
喻	ʯ6	
嘍	nəu2	
嗅	ɕiəu5	
嗉	səu5	
嗍	so7	
嗑	kʰo7	
嗒	ta1	
嗓	saŋ3	
嗔	tʂʰən1	
嗖	səu1	
嗜	ʂʅ5	
嗝	ke3	
嗞	tsɿ1	
嗟	tɕiɛ1	
嗡	ŋoŋ1	
嗣	sɿ5	
嗤	tʂʰʅ1	
嗥	xau2	
嗦	so0	啰~
嗲	tia3	
嗲	nia1	又读
嗵	tʰoŋ1	
嗷	ŋau1	
嗽	səu5	
嘀	ti7	
嘈	tsʰau2	
嘉	tɕia1	
嘎	ka1	
嘘	ʂʯ1	
嘡	tʰaŋ1	
嘭	pʰoŋ1	
囑	tʂəu7	
嘲	tʂʰau2	
嘴	tsei3	文
嘴	tɕi3	白，~巴子
嘶	sɿ1	
嘹	niau2	
嘻	ɕi1	
嘿	xe1	~~地笑
嘿	xe4	叹词，表醒悟
噎	i7	
噘	tʂʯe1	
噙	tɕʰin2	
噤	tɕin5	
器	tɕʰi5	
噩	ŋo7	
噪	tsau5	
噬	ʂʅ5	
噱	ɕiɛ5	
噼	pʰi1	
嚎	xau2	
嚏	tʰi0	
嚓	tʂʰa3	
囂	ɕiau1	
嚷	ʐaŋ3	
嚼	tɕio2	
囊	naŋ2	
囔	naŋ1	
囚	tɕʰiəu2	
四	sɿ5	
回	xuei2	
囟	ɕin1	
因	in1	
团	tʰan2	
囤	tʰən2	
囫	xu7	
園	ʯan2	
困	kʰuən5	
囱	tsʰoŋ0	
圍	uei2	
圇	nən2	
囹	nin2	
固	ku5	
國	kuɛ7	
圖	tʰəu2	
囿	iəu6	
圃	pʰu3	
圄	ʯ3	
圓	ʯan2	
圈	tʂʰʯan1	~套
圈	tʂʯan6	猪~
土	tʰəu3	
聖	ʂən5	
在	tsai6	文
在	tai6	白
圪	kɛ7	
圭	kuei1	
地	ti6	
圳	tʂən5	
場	tʂʰaŋ3	
圻	tɕʰi2	
圾	tɕi1	
址	tʂʅ3	
坂	pan3	
均	tʂʯən1	
坊	faŋ2	
坍	tʰan1	
坎	kʰan3	
壞	xuai6	
坐	tso6	
坑	kʰən1	
塊	kʰuai3	
堅	tɕin1	
坛	tʰan2	
壩	pa5	
塢	u1	
墳	fən2	
墜	tʂʯei5	
坡	pʰo1	
坤	kʰuən1	
坦	tʰan3	
坨	tʰo2	
坪	pʰin2	
坯	pʰei1	
坯	pʰi1	
坳	ŋau5	
坷	kʰo3	
垂	tʂʰʯei2	
垃	na1	
壟	noŋ3	
壠	noŋ3	
型	ɕin2	
垌	tʰoŋ2	
垒	nei3	
垓	kai1	
垜	to3	
垜	to6	
垠	in2	
垢	kəu5	
垣	ʯan2	
墾	kʰən3	
墊	tin6	
埡	ia5	
垮	kʰua3	
垸	ʯan6	
埂	kən3	
埃	ŋai1	
埋	mai2	
城	tʂʰən2	
埔	pʰu3	
堝	ko1	
域	ʯ7	
埠	pu6	文
埠	pʰu5	白，三汊~(地名)
培	pʰei2	
培	pʰi2	
基	tɕi1	
堂	tʰaŋ2	
堆	tei1	
堆	ti1	
塹	tɕʰin5	
墮	to6	
堡	pau3	
堤	tʰi2	
堪	kʰan1	
堰	in5	
堵	təu3	
塌	tʰa7	
塍	ʂən5	
塑	so7	
塔	tʰa7	
塘	tʰaŋ2	
塞	sɛ7	堵~
塞	sai5	边~
填	tʰin2	
塾	ʂəu7	
境	tɕin3	
墅	ʂʯ5	
墒	ʂaŋ1	
墓	mu6	
牆	tɕʰiaŋ2	
增	tsən1	
墟	ʂʯ1	
墨	mɛ7	
墩	tən1	
壁	pi7	
壅	ŋoŋ1	施肥
壕	xau2	
壤	ʐaŋ3	
士	sɿ6	
壬	ʐən2	
壯	tʂʯaŋ5	
聲	ʂən1	
殼	kʰo7	
壺	xu2	
壹	i7	
處	tʂʰʯ3	~理
備	pei6	
備	pi6	
复	fu7	
夏	ɕia6	
夔	kʰuei2	
夕	ɕi7	
外	uai6	
夙	səu7	
多	to1	
夜	iɛ6	
够	kəu5	
大	ta6	
大	tai6	~夫
天	tʰin1	
太	tʰai5	
夫	fu1	
夭	iau1	
央	iaŋ1	
夯	xaŋ1	
失	ʂʅ7	
頭	tʰəu2	
夷	i2	
夸	kʰua1	
夾	tɕia7	文
夾	ka7	白
奪	to2	
奩	nin3	
奐	xuan5	
奄	in1	
奇	tɕi1	~数
奇	tɕʰi2	~怪
奈	nai6	
奉	foŋ6	
奮	fən5	
奎	kʰuei2	
奏	tsəu5	
契	tɕʰi5	
奓	tʂa1	
奔	pən1	~跑
奔	pən5	~头
奕	i7	
獎	tɕiaŋ3	
套	tʰau5	
奘	tsaŋ6	
奚	ɕi1	
奠	tin6	
奢	ʂe1	
奤	tʰai3	
奧	ŋau5	
女	ʯ3	
奴	nəu2	
奶	nai3	
奸	tɕin1	
她	tʰa1	
好	xau3	~人
好	xau5	~动
妁	ʂo7	
如	ʯ2	
妃	fei1	
妄	uaŋ6	
妝	tʂʯaŋ1	
婦	fu6	
媽	ma1	
妊	ʐən6	
妊	ʯən6	又读
妍	in2	
妒	təu6	
妓	tɕi6	
妖	iau1	
妗	tɕin1	
妙	miau6	
妞	niəu1	
妣	pi3	
妥	tʰo3	
妨	faŋ2	
嫵	u3	
嫗	ʯ6	
妮	ni2	
妯	tʂəu2	
妲	ta7	
妹	mei6	
妹	mi6	
妻	tɕʰi1	
妾	tɕʰiɛ7	
姆	mu3	
姊	tsɿ3	
始	ʂʅ3	
姐	tɕiɛ3	
姑	ku1	
姓	ɕin5	
委	uei3	
姗	ʂan1	
姚	iau2	
姜	tɕiaŋ1	
姣	tɕiau1	
姥	nau3	
姨	i2	
姬	tɕi1	
姹	tʂʰa5	
姻	in1	
姿	tsɿ1	
威	uei1	
娃	ua2	
婁	nəu2	
婭	ia5	
嬈	ʐau2	
嬌	tɕiau1	
娉	pʰin2	
娌	ni0	
娑	so1	
娓	uei3	
娘	niaŋ2	
娜	na6	
娜	no2	婀~
娟	tʂʯan1	
娠	ʂən1	
娣	ti6	
娥	ŋo2	
娩	min3	
娛	ʯ2	
娴	ɕin2	
娶	tɕʰi3	
娼	tʂʰaŋ1	
婆	pʰo2	
婉	uan3	
婊	piau3	
婕	tɕiɛ7	
婚	xuən1	
婢	pei1	
婢	pi3	
婧	tɕin6	
婪	nan2	
嬰	in1	
嬋	tʂʰan2	
嬸	ʂən3	
婷	tʰin2	
婺	u6	
婿	ɕi6	
媒	mei2	
媒	mi2	
媚	mei6	
媚	mi6	
媛	ʯan2	
媲	pʰi5	
媳	ɕi7	
媵	in5	
媾	kəu1	
媾	kəu5	
嫁	tɕia5	
嫂	səu1	
嫂	sau3	
嫉	tɕi5	~妒
嫉	tɕi7	~恶如仇
嫌	ɕin2	
嬪	pʰin2	
嫖	pʰiau2	
嫡	ti7	
嫣	in1	
嫦	tʂʰaŋ2	
嫩	nən6	
嬉	ɕi1	
嬴	in2	
孀	ʂʯaŋ1	
子	tsɿ3	
孑	tɕiɛ7	
孔	kʰoŋ3	
孕	ʯən6	
字	tsɿ6	
孫	sən1	
孚	fu2	
孜	tsɿ1	~~不倦
孜	tsɿ3	~然
孝	ɕiau5	
孟	moŋ6	
季	tɕi5	
孤	ku1	
學	ɕio2	
孩	xai2	
孿	nan2	
孬	nau1	
孰	ʂəu7	
孵	fu1	
孺	ʯ2	
孽	niɛ7	文
孽	iɛ7	白，造~
寧	nin2	
它	tʰa1	
宅	tsɛ7	
宅	tʂai2	文
宇	ʯ3	
守	ʂəu3	
安	ŋan1	
宋	soŋ5	
完	uan2	
宏	xoŋ2	
宓	mi7	
宕	taŋ6	
宗	tsoŋ1	
官	kuan1	
宙	tʂəu5	
定	tin6	
宛	uan3	
宜	i2	文
宜	ni2	白
寶	pau3	
實	ʂʅ7	
寵	tʂʰoŋ3	
審	ʂən3	
客	kʰɛ7	
宣	ɕin1	
室	ʂʅ7	
宦	xuan6	
宪	ɕin5	
宮	koŋ1	
宰	tsai3	
害	xai6	
宴	in5	
宵	ɕiau1	
家	tɕia1	文
家	ka1	白，走人~
宸	tʂʰən2	
容	ʐoŋ2	
寬	kʰuan1	
賓	pin1	
宿	səu7	
寂	tɕi7	
寄	tɕi5	
寅	in2	
密	mi7	
寇	kʰəu5	
富	fu5	
寐	mei6	
寐	mi6	
寒	xan2	
寓	ʯ6	
寢	tɕʰin3	
寞	mo7	
察	tʂʰa2	
寡	kua3	
寤	u6	
寥	niau2	
寨	tsai6	
寮	niau2	
寰	xuan2	
寸	tsʰən5	
對	tei5	
對	ti5	
寺	sɿ6	
尋	ɕin2	
導	tau6	
壽	ʂəu6	
封	foŋ1	
射	ʂe6	
將	tɕiaŋ1	~来
將	tɕiaŋ5	大~
尉	uei5	
尊	tsən1	
小	ɕiau3	
少	ʂau5	~年
少	ʂau3	减~
尔	ɔɹ3	
尖	tɕin1	
塵	tʂʰən2	
尚	tʂʰaŋ0	~尚
尚	ʂaŋ6	高~
嘗	tʂʰaŋ2	新
嘗	ʂaŋ2	老
尤	iəu2	
尥	niau6	
堯	iau2	
尬	ka0	尴~
就	tɕiəu6	文
就	tsəu6	白
尷	kan1	
屍	ʂʅ1	
尹	in3	
尺	tʂʰʅ7	
尼	ni2	
尽	tɕin3	~早
尽	tɕin6	~头
尾	uei3	文
尾	i3	白
尿	niau6	
局	tʂʯ7	
屁	pʰi5	
層	tsʰən2	
屄	pi1	
居	tʂʯ1	
屈	tʂʰʯ7	
屉	tʰi5	
屆	kai5	
屆	tɕiai5	
屋	u7	
屌	tiau3	
屎	ʂʅ3	
屏	pʰin2	~风
屏	pin3	~气
屐	tɕi7	
屑	ɕiɛ7	
展	tʂan3	
屙	ŋo1	
屬	ʂəu7	
屠	tʰəu2	
屢	nei3	
屢	ni3	
履	ni3	
屯	tʰən2	
山	ʂan1	
屹	i7	
嶼	ʯ3	
歲	sei5	文
歲	ɕi5	白，守~
豈	tɕʰi3	
岌	tɕi7	
岑	tsʰən2	
岔	tʂʰa5	
嶇	tʂʰʯ1	
崗	kaŋ5	
嵐	nan2	
島	tau3	
巖	ŋai2	
巖	iai2	
岬	tɕia7	
嶺	nin3	
岱	tai6	
岳	io7	
岷	min2	
岸	ŋan6	
巋	kʰuei1	
峙	tʂʅ5	
峽	ɕia7	
巒	nan2	
峨	ŋo2	
峪	ʯ6	
峭	tɕʰiau5	
峰	foŋ1	
峻	tɕin5	
崇	tsʰoŋ2	
崎	tɕʰi2	
崔	tsʰei1	
崖	ŋai2	
崖	iai2	
崛	tʂʯɛ7	
崤	ɕiau2	
崩	poŋ1	
嶄	tsan3	
崮	ku5	
崴	uai3	
崽	tsai3	
嵋	mei2	
嵋	mi2	
