#漢字	音標	解釋
□	moːŋ1	帶黏性的半透明網狀物:lou4-6zou1~(蛛網)|豬腸~(豬網油)
埕	tɕøŋ4	罈子,瓮:酒~|煤氣~
域	wek9	
埠	fau6	
埠	pu6	
埤	pʰai3	~堄
埤	pi4	
埭	tɔɑ̯i6	
埯	jim2	
埴	tɕek9	
執	tɕap7	
埸	ek9	
培	pui4	
基	ki1	
埽	ɬɘu2	
埽	ɬɘu3	通「掃」
堀	wat7	同「窟」,孔穴
堀	kʷat9	突出
堂	toːŋ4	
堃	kʷʰan1	
堅	kin1	
堆	ɗui1	
堇	kan2	
堊	oːk8	
堋	ɓaŋ3	下葬
堋	paŋ4	充當箭靶的矮墙;分水的堤壩
堍	tʰu3	
堖	nɘu5	
堘	ɕøŋ4	同「塍」
堙	an1	
堝	kʷɵ1	
堞	tɛa̯p10	
堠	au6	
堡	ɓɘu2	
堤	tai4	
堪	hɒm1	
堪	ham1	
堯	ȵiu4	
堰	jin3	
報	ɓɘu3	
場	tɕa4	
堵	ɗu2	
塄	laŋ4	
塊	wɔɑ̯i3	
塋	weŋ4	
塌	tʰɒp8	
塍	ɕøŋ4	田~:田埂;江~:河堤
塏	hɔɑ̯i2	
塑	ɬu3	見1959年字表及《玉林市志》
塑	ɕoːk8	見1959年字表及《玉林话研究》
塒	ɕi4	
塔	tʰɒp8	
塗	tu4	
塘	toːŋ4	
塚	tɕoŋ2	
塞	ɬak7	堵~
塞	ɬɔɑ̯i3	邊~
塢	wu3	
塤	ɬÿn2	
塥	ka2	
填	tin4	文讀
填	tan4	填满,填塞。可能是「坉」的訓讀
塭	wan1	
塵	tɕan4	
塹	tʰim3	
塾	ɕok9	
墀	tɕi4	
墁	mun4	
境	keŋ2	
墅	ɕy2	見《玉林市志》
墅	ɕy3	見《玉林话研究》
墉	joŋ4	
墊	tim5	「簟」之訓讀
墓	mu6	
墚	la4	
墜	tɕui6	
增	ɗaŋ1	
墟	hy1	
墨	mak9	
墩	ɗan1	
墮	tœ6	~落
墳	fan4	
墼	kak9	
墾	han2	
壁	ɓek7	
壅	oŋ1	
壇	tɔɑ̯n4	
壑	kʰoːk8	
壓	ɔɑ̯t8	
壓	ap7	《广西通志·汉语方言志》中的記音
壕	ɘu4	
壘	lui5	
壙	kʷʰoːŋ3	
壚	lu4	
壞	wɔɑ̯i6	
壟	loŋ5	
壢	lek7	
壤	ȵa4	
壩	ɓɔ3	
士	ɕi6	
壬	ȵam4	
壯	tɕoːŋ3	强~
壯	tɕoːŋ6	~族,~話
壹	jat7	
壺	wu4	
壼	kʷʰan2	
壽	ɕau6	
夂	tɕi2	
夏	ɔ6	
夔	kʷai4	
夕	tek9	
外	ŋɔɑ̯i6	
外	wɔɑ̯i6	
夙	ɬok7	
多	ɗɵ1	
夜	jɛ6	形容詞。天色暗,時候不早
夜	jɛ3	名詞
够	kau3	
夢	moŋ6	
夤	jan4	
夥	wɵ2	多
夥	fɵ2	~計
大	tɔɑ̯i6	
天	tʰin1	
太	tʰɔɑ̯i3	
夫	fu1	
夫	fu4	文言中表示句首發語詞、指示詞、語氣詞
夭	jiu1	
央	ja1	
夯	haŋ1	
失	ɕat7	
夷	ji1	蠻~|東~|~族
夷	ji4	傷也;滅也
夸	kʷʰɔ1	
夼	kʷʰaŋ2	
夾	kɒp8	雙~;~生:活生生地､硬生生地
夾	kɛa̯p10	白讀:夾子;(門、手臂等)夾着某個東西
夾	kɛa̯p8	白讀:用鑷子、筷子等夾取
奄	jim2	
奇	ki4	
奈	nɔɑ̯i6	
奉	foŋ6	
奎	kʷai4	
奏	ɗau3	
奐	wun3	
契	kʰai3	
奔	ɓan1	
奕	ek9	
套	tʰɘu3	
奘	toːŋ6	
奚	kʰai1	
奠	tin6	
奢	ɕɛ1	
奧	ɘu3	
奩	lim4	
奪	tœa̯t10	
奮	fan6	
女	ny5	
奴	nu4	
奶	nɔɑ̯i1	二~|師~
奶	nɔɑ̯i5	
奸	kɔɑ̯n1	
她	tʰɔ1	
奼	tɕʰɔ3	
好	hɘu2	良~
好	hɘu3	喜~
妁	tɕa2	
如	ɕy4	
妃	fi1	
妄	moːŋ5	
妍	nin1	
妒	ɗu3	
妓	ki6	
妖	jiu1	
妗	tɕam5	
妙	mᴇɐ̯u6	
妝	tɕoːŋ1	
妞	nau2	
妣	ɓi2	
妤	jy5	
妥	tʰœ2	
妨	foːŋ4	
妮	ni1	
妯	tɕok9	
妲	ɗɔɑ̯n3	奎~閣
妳	ni5	
妹	mɔɑ̯i6	姐~
妹	mui6	moi6的異讀
妹	mui1	形容詞,文靜的,像女孩子一樣的。
妻	tʰai1	
妾	tʰip7	
姆	mu5	
姊	ɗi2	
始	tɕʰi2	纔
始	ɕi2	開~
姗	ɕɔɑ̯n1	
姐	ɗɛ2	
姑	ku1	
姒	ti5	
姓	ɬeŋ3	
委	wai2	
姗	ɕɔɑ̯n1	
姘	pʰeŋ1	
姚	jiu4	
姜	ka1	
姝	ɕy5	
姣	kɒu2	好
姣	ɒu4	淫亂
姦	kɔɑ̯n1	
姨	ji4	
姪	tɕat9	
姬	ki1	
姹	tɕʰɔ3	
姻	an1	
姿	ɗi1	
威	wai1	
娃	wɔ4	
娉	pʰeŋ3	
娌	li5	
娑	ɬɵ1	
娓	mi2	
娘	na1	姑~|婦~婆|婦~乸|牛~戲
娘	na4	婦~
娛	ȵy4	
娜	nɔ6	
娟	kÿn1	
娣	tai5	
娥	ŋɵ5	
娩	min5	
娶	tʰy2	文讀
娶	tʰu2	白讀
娼	tɕʰa1	
婀	ɔ1	
婆	pɵ4	
婉	wun2	
婊	ɓiu2	
婕	ɗɛa̯p8	
婚	wan1	又讀
婚	wun1	
婢	pi5	
婥	tɕʰoːk8	
婦	fu5	
婧	teŋ6	
婪	lɒm2	
婭	ɔ3	
婷	teŋ4	
婺	mu6	
婿	ɬai3	
媒	mui4	
媚	mi4	
媛	jÿn4	
媧	wɵ1	
嬀	kʷai1	
媲	pʰi3	
媳	ɬek7	
媵	eŋ6	
媸	tɕʰi1	
媼	ɘu2	
媽	mɔ1	
媾	kau3	交~
媾	kʰau1	
嫁	kɔ3	
嫂	ɬɘu2	
嫉	tat9	
嫌	jim1	白讀:嫌棄,介意
嫖	piu4	
嫗	jy3	
嫘	lui4	
嫜	tɕa1	
嫠	li4	
嫣	jin1	
嫦	ɕa4	
嫩	nÿn6	
嫫	mu4	
嫵	fu5	
嫻	ɔɑ̯n4	
嬀	kʷai1	
嬈	niu5	戲弄
嬈	ȵiu4	
嬉	hi1	
嬋	ɕim4	
嬌	kiu1	
嬖	ɓai3	
嬗	ɕin6	
嬙	ta4	
嬛	jÿn1	輕麗貌
嬛	wɔɑ̯n4	嫏~
嬡	ɔɑ̯i5	
嬷	mɛ1	
嬪	pan4	
嬰	eŋ1	
嬲	nau1	
嬴	eŋ4	
嬸	ɕam2	
孀	ɕoːŋ1	
孃	na2	
孌	lÿn2	
子	ɗi2	
孑	kᴇɐ̯t8	
孓	kʰÿt7	
孔	hoŋ2	
孕	ȵan6	
字	ti6	
存	tÿn4	
孚	fu1	
孛	pui6	
孜	ɗi1	
孝	hɒu3	
孟	ma6	
孢	ɓɒu1	
季	kʷai3	
孤	ku1	
孥	nu4	
孩	ɔɑ̯i4	
孫	ɬÿn1	
孬	mɘu2	「冇好」合音
孰	ɕok9	
孱	tɕɔɑ̯n4	
孳	ɗi1	
孵	fu1	
學	ɔ6	
孺	ɕy4	
孼	nɛa̯p10	又讀
孼	nᴇɐ̯t10	
孼	ȵɛa̯p10	
孽	nɛa̯p10	又讀
孽	nᴇɐ̯t10	
孽	ȵɛa̯p10	
孿	lÿn4	
宀	min4	
它	tʰɔ1	
宄	kʷai2	
宅	tɕa6	
宇	jy5	
守	ɕau2	
安	ɔɑ̯n1	
宋	ɬoŋ3	
完	jÿn4	
宏	oŋ4	
宓	mat9	
宕	toːŋ6	
宗	ɗoŋ1	
官	kun1	
宙	tɕau6	
定	teŋ6	
宛	wun2	
宜	ȵi4	
客	ha2	
宣	ɬÿn1	
室	ɕat7	
宥	jau6	
宮	koŋ1	
宰	ɗɔɑ̯i2	
害	ɔɑ̯i6	
宴	jin3	~會
宵	ɬiu1	
家	kɔ1	
宸	ɕan4	
容	joŋ4	
宿	ɬok7	
寂	tek9	
寄	ki3	
寅	jan4	
密	mat9	
寇	kʰau3	
富	fu3	
寐	mi6	
寒	ɔɑ̯n4	
寓	ȵy6	
寞	moːk10	
察	tɕʰɔɑ̯t8	
寡	kʷɔ2	
寡	kʷɔɑ̯t8	1959年字表中記有的讀音
寢	tʰam2	
寤	ŋ̍6	
寥	liu4	
寥	lᴇɐ̯u1	
實	ɕat9	
寧	neŋ4	
寨	ɕɔɑ̯i6	
審	ɕam2	
寫	ɬœ2	
寬	wun1	
寮	liu4	茅~
寮	lᴇɐ̯u4	名量詞,用于房屋:幾~屋
寰	wɔɑ̯n4	
寵	tɕʰoŋ2	
寶	ɓɘu2	
寸	tʰÿn3	
寺	ti4	
封	foŋ1	
射	ɕɛ6	~箭
射	jɛ6	僕~
將	ɗa1	~來|~要
將	ɗa3	~帥
專	tɕÿn1	
尉	wai2	
尊	ɗÿn1	
尋	tam4	
對	ɗui3	
導	tɘu5	
小	ɬiu2	
少	ɕiu3	~年
少	ɕiu2	多~
尕	nai3	
尖	ɗim1	
尚	ɕa5	~且
尚	ɕa6	和~|崇~|~書
尢	jau4	同「尤」
尢	woːŋ1	曲脛
尣	woːŋ1	曲脛
尤	jau4	
尥	pʰᴇɐ̯u1	
尪	woːŋ1	曲脛
尬	kɔɑ̯i3	
就	tau6	
尷	kɒm1	
尸	ɕi1	
尹	jan5	
尺	tɕʰek7	
尻	kʰᴇɐ̯u3	
尼	ni4	
尾	mi2	
尾	mi1	~~屎:最後一名;後~:之後,然後;俗作「屘」
尾	mi5	~牙:農暦十六的拜祭儀式,一般設有宴席
尿	nᴇɐ̯u6	文讀:~素、~布
尿	ɬui1	白讀:屙~
局	kok9	
屁	pʰi3	
居	ky1	
屆	kɔɑ̯i3	
屈	kʷat9	白讀
屈	wat7	
屋	ok7	
屍	ɕi1	
屎	ɕi2	
屏	peŋ4	
屐	kek7	
屑	ɬit7	
展	tɕin2	
展	tɕʰin2	又讀
屙	ɵ1	
屜	tʰai3	
屠	tu4	
屢	ly5	
屣	ɕi2	
層	taŋ4	
履	li5	
屨	ky3	
屬	ɕok9	
屮	tɕʰit7	
屯	tÿn4	
山	ɕɔɑ̯n1	
屹	at9	
屺	hi2	
岈	hɔ1	㟏~
岈	ȵɔ4	嵖~
岌	ŋap9	
岍	jin1	
岐	ki4	石~:地名,在廣東中山
岐	tɕi1	~山坡:村名,在博白
岑	ɕam4	
岔	tɕʰɔ1	
岜	ɓɔ1	
岡	koːŋ1	
岢	hɵ2	
岣	kau2	
巖	ȵɒm4	
岫	tau6	
岬	kɒp8	
岱	tɔɑ̯i6	
岳	ŋoːk10	異讀
岳	ȵa6	
岵	wu5	
岷	man4	
岸	ŋɔɑ̯n6	
峁	mau5	
峁	mɒu5	又讀,市區、仁東口音無mou音節,所有mou倂入mau
峇	hɒp8	
峋	tan4	
峒	toŋ6	同「垌」
峙	tɕi5	
峨	ŋɵ4	
峪	jok9	
峭	tʰiu3	
峰	foŋ1	
峰	foŋ1	
峴	jin5	
島	ɗɘu2	
峻	ɬan3	斜坡
峽	ɒp10	
崁	ham3	
崆	hoŋ1	
崇	ɕoŋ4	
崍	lɔɑ̯i4	
崎	kʰi1	
崑	kʷan1	
崔	tʰui1	
崖	ŋɔɑ̯i4	
崗	koːŋ1	
崙	lan4	
崛	kʷat9	
崞	kʷʰoːk8	
崢	tɕa1	
崤	ȵɒu4	
崦	jim1	
崧	ɬoŋ1	
崩	ɓaŋ1	
崬	ɗoŋ1	
崮	ku3	
崳	jy4	
崴	wai1	
崽	ɗai2	
崾	jiu5	
嵇	kʰai1	
嵊	ɕeŋ6	
嵋	mi4	
嵌	jam3	
嵐	lɔɑ̯n4	
嵩	ɬoŋ1	
嵫	ɗi1	
嵬	ŋai4	
嵯	tɵ4	
嶁	lau5	
嶂	tɕa3	
嶄	tɕɒm2	
嶇	kʰy1	
嶗	lɘu4	
嶙	lan4	
嶝	ɗaŋ3	
嶠	kiu4	
嶧	ek9	
嶴	ɘu3	
嶷	ŋek9	岐~
嶷	ȵi4	
嶸	weŋ4	
嶺	leŋ5	
嶼	jy5	
嶽	ȵa6	
巉	ɕɒm4	
巍	ŋai4	
巒	lÿn4	
巔	ɗin1	
巖	ȵɒm4	
巛	tɕʰÿn1	
川	tɕʰÿn1	
州	tɕau1	
巡	tan4	
巢	tɕɒu4	
工	koŋ1	
左	ɗɵ2	
巧	hɒu2	
巧	kʰᴇɐ̯u2	
巨	ky5	白讀
巨	ky6	文讀
巫	mu1	
差	tɕʰɔ1	相~|~勁
差	tɕʰɔɑ̯i1	出~
差	tɕʰi1	參~
巰	hau1	
己	ki2	
已	ji5	
巳	ti5	
巴	ɓɔ1	
巴	pɔ4	下~
巷	aŋ6	
巹	tɕan2	
巽	ɬÿn3	
巾	kan1	
市	ɕi5	
布	ɓu3	
帆	fɔɑ̯n4	
希	hi1	
帑	tʰoːŋ2	
帔	pi6	
帕	pʰa2	可能是「絈」的訓讀
帖	tʰip7	
帙	tɕat9	
帚	tɕɒu2	
帛	pa6	
帝	ɗai3	
帥	ɕui3	
師	ɕi1	
席	tek9	
帳	tɕa3	
帶	ɗɔɑ̯i3	
帷	wai4	
常	ɕa4	
帽	mɘu6	
幃	wai4	
幄	ak7	
幅	fok7	
幎	meŋ1	蒙
幔	mɔɑ̯n6	
幕	mu6	見《玉林市志》
幕	moːk10	白讀
幗	kʷoːk8	
幘	tɕa2	
幛	tɕa3	
幞	fok9	
幟	tɕek7	見《玉林话研究》
幡	fɔɑ̯n1	
幢	tɕoːŋ6	
幣	pi6	
幫	ɓoːŋ1	
幬	tɘu6	覆盖
幬	tɕau4	帷幕
干	kɔɑ̯n1	
平	peŋ4	
年	nin1	白讀
年	nin4	
并	ɓeŋ3	
幸	a6	
幹	kɔɑ̯n3	
幺	jiu1	
幻	wɔɑ̯n6	
幼	jau3	
幽	jau1	
幾	ki1	~乎
幾	ki2	~多
广	ȵim5	
庀	pʰi2	
庄	tɕoːŋ1	
庇	ɓi3	
牀	ɕoːŋ4	
庋	kʷai2	
序	ty5	
序	tu5	白讀。工~
底	ɗai2	
庖	pɒu4	
店	ɗim3	
庚	ka1	
府	fu2	
庠	ta4	
庥	jau1	
度	toːk10	計算、推測
度	tu6	
座	tœ6	
庫	wu3	
庭	teŋ4	
庳	ɓi1	
庵	ɒm1	
庶	ɕy3	
康	hoːŋ1	
庸	joŋ4	
庹	tʰoːk8	
庾	jy5	
廁	tɕʰak7	
廂	ɬa1	
厦	ɔ6	
廉	lim4	清~
廉	lɛa̯m4	白讀。邊緣或靠近邊緣的地方
廊	loːŋ4	
廑	tɕan2	
廒	ŋɘu4	
廓	kʷʰoːk8	
廖	liu6	
廚	tɕy4	
廛	tɕin4	
厮	ɬi1	
廟	mᴇɐ̯u6	
廠	tɕʰoːŋ2	
廡	fu5	
廢	fi3	
廣	kʷoːŋ2	
廨	kɔɑ̯i3	
廩	lam5	
廬	lu4	
廳	tʰeŋ1	
廴	jan5	
延	jin5	
廷	teŋ4	
建	kin3	
廾	koŋ2	
廿	ȵa6	
弁	pin6	
弄	loŋ6	
弇	jim2	
弈	ek9	
弊	pi6	
弋	ek9	
弌	jat7	
弍	ȵi6	
弎	ɬɒm1	
式	ɕek7	
弑	ɕi3	
弓	koŋ1	
弓	kʰoŋ1	量詞:一~蕉|一~葡萄|一~包粟。大塘、大里讀kyng1
弔	ɗiu3	
引	jan5	
弗	fat9	
弘	oŋ4	
弛	tɕi4	
弟	tai5	
弟	tai6	徒~;契~
弦	jin4	
弧	wu4	
弩	nu5	
弭	mi5	
弱	ȵa6	
弳	keŋ3	
張	tɕa1	
強	ka4	~壯
強	ka5	勉~
強	ka6	同「犟」:倔~
强	ka4	
强	ka5	
弼	pat9	
彀	kau3	
彆	ɓit7	
彈	tɔɑ̯n4	動詞
彈	tɔɑ̯n6	名詞
彌	mi4	
彌	ni4	阿~陀佛
彎	wɔɑ̯n1	
彐	kai3	
彑	kai3	
彖	tʰÿn3	
彗	jui6	
彘	tɕi6	
彙	wai6	
彡	ɕɒm1	
形	eŋ4	
彤	toŋ4	
彦	ȵim6	
彩	tʰɔɑ̯i2	
彪	ɓiu1	
彬	ɓan1	
彭	pa4	
彰	tɕa1	
影	eŋ2	
彳	tɕʰek7	
彷	foːŋ1	
役	wek9	
彼	ɓi2	
彼	pʰi2	又讀
彿	fat7	
往	woːŋ4	~時|~日|~囩
往	woːŋ5	來~|前~|~前|~生
征	tɕeŋ1	
徂	ty4	
待	tɔɑ̯i6	
徇	tan6	
很	han2	
徉	ja4	
徊	wui4	
律	lat9	
後	au6	
後	au2	~尾(au2mi1)
徐	ty4	
徑	keŋ2	
徒	tu4	
得	ɗak7	
徘	pui4	
徙	ɬai2	
徜	ɕa4	
從	toŋ4	
徠	lɔɑ̯i4	
徠	lɔɑ̯i6	慰勞
御	ȵy6	
徨	woːŋ4	
復	fok7	
循	tan4	
徬	poːŋ6	
徭	jiu4	
微	mi4	
微	mi1	~風細雨|~風細水
徵	tɕeŋ1	
德	ɗak7	
徹	tɕʰit7	
徼	kᴇɐ̯u2	巡視;游逛。引自《玉林話方言本字考》(周成松,2000)
徽	wui1	
心	ɬam1	
忄	ɬam1	
必	ɓit7	
忉	ɗɘu1	
忌	ki6	
忍	ȵan5	
忐	tʰɒm2	
忑	tʰak7	
忒	tʰai2	實際調值爲35,[千閪」的合音,也有人读/tʰĩãĩ/或/tʰiai/
忖	tÿn4	
志	tɕi3	
忘	moːŋ4	
忙	moːŋ4	
忝	tʰim2	
忠	tɕoŋ1	
忡	tɕʰoŋ1	
忤	ŋ̍5	
忪	ɬoŋ1	惺~
快	kʷʰɔɑ̯i3	文讀:~樂|~餐|~遞
快	wɔɑ̯i3	白讀
忭	pin6	
忮	tɕi3	
忱	ɕam4	
念	nim6	
忸	nau5	
忽	wat7	
忿	fan6	
怊	tɕʰiu1	
怍	toːk10	
怎	ɗim2	訓讀,俗作「點」「嚸」
怎	tɕam2	
怏	ja2	
怒	nu6	
怔	tɕeŋ1	
怕	pʰɔ3	
怖	ɓu3	
怙	wu5	
怛	ɗɔɑ̯t8	
思	ɬi1	
怠	tɔɑ̯i6	
怡	ji4	
急	kap7	異讀
急	tɕap7	
性	ɬeŋ3	
怨	jÿn3	
怩	ni4	
怪	kʷɔɑ̯i3	
怫	fat9	憤怒、抑鬱的樣子
怫	fi6	違反,逆亂
怯	kʰip7	
怵	tɕʰat7	
恁	ȵam1	
恂	ɬan1	
恃	tɕi5	
恆	aŋ4	
恌	ɗᴇɐ̯u1	
恍	woːŋ2	
恐	hoŋ2	
恕	ɕy3	
恙	ja6	
恚	wai6	
恝	kɔɑ̯t8	
恢	wui1	
恣	ɗi3	兇惡
恤	ɬat7	
耻	tɕʰi2	
恧	nok9	
恨	ŋan6	見1959年字表,其标記爲動詞。
恨	an6	
恩	an1	
恪	kʰoːk8	
恬	tim4	
恭	koŋ1	
息	ɬek7	
恰	hɒp8	
恿	ȵoŋ2	見《玉林话研究》
悃	kʷʰan2	
悄	tʰiu2	
悦	jœa̯t10	
悉	ɬat7	
悌	tʰai3	
悍	ɔɑ̯n6	
悒	jap7	
悔	wui2	
悖	pui6	
悚	ɬoŋ2	
悛	tʰÿn1	
悝	wui1	嘲笑
悝	li5	憂愁
悟	ŋ̍6	
悠	jau1	~閒
悠	jau4	~久
患	wɔɑ̯n6	
您	ni5	
悱	fi2	
悲	ɓi1	
悴	ɬui3	
悵	tɕʰa3	
悶	mun6	
悸	kʷai6	
悻	a6	
悼	tɘu6	
悽	tʰai1	
情	teŋ4	
惆	tɕau4	
惋	wun2	
惑	woːk10	
惕	tʰek7	
惘	moːŋ5	
惚	wat7	
惜	ɬek7	
惝	tʰoːŋ2	
惟	jui4	老
惟	wai4	新派
惠	jui6	「優惠」也有人讀wai6,但「惠州」一定讀jui6
惡	oːk8	凶~
惡	wu3	厭~
惦	ɗɛa̯n3	
惰	tœ6	
惱	nɘu5	
惲	wan3	
想	ɬa2	
惴	tɕui3	
惶	woːŋ4	
惶	kʷoːŋ4	慌張
惹	ȵɛ5	
惺	ɬeŋ1	
惻	tɕʰak7	
愀	tʰiu2	
愁	ɕau4	
愆	jin1	
愈	jy6	
愉	jy6	
愎	pek9	
意	ji3	
愕	ŋoːk10	
愚	ȵy4	
愛	ɔɑ̯i3	
愜	jip7	
感	kɒm2	
愣	laŋ4	
愧	kʷʰai3	
愨	kʰak7	
愫	ɬu3	
愴	tɕʰoːŋ3	
愷	hɔɑ̯i2	
愾	kʰɔɑ̯i3	
慄	lat9	
慈	ti4	
慊	jim3	不滿,怨恨
慊	kʰip7	滿足,滿意
態	tʰɔɑ̯i3	
慌	woːŋ1	
慍	wan3	
慎	ɕan6	
慕	mu6	
慘	tʰɒm2	
慚	tim4	
慝	tʰek7	
慟	toŋ6	
慢	mɔɑ̯n6	
慣	kʷɔɑ̯n3	
慤	kʰak7	
慧	jui6	
慨	kʰɔɑ̯i3	
慪	au3	
慫	ɬoŋ2	
慮	ly6	
慰	wai2	見《玉林话研究》
慳	han1	
慵	joŋ4	
慶	heŋ3	
慷	hoːŋ1	
慾	jok9	
憂	jau1	
憊	pi6	
憋	ɓat7	~氣
憎	ɗaŋ1	
憐	lin4	
憑	paŋ4	
憒	kʷʰai3	
憔	tiu4	
憖	ȵan1	乞求
憚	tɔɑ̯n4	
憝	tui6	
憤	fan6	
憧	tɕʰoŋ1	
憨	hɒm1	
憩	hai3	
憫	man5	
憬	keŋ2	
憮	fu5	
憲	jin2	
憶	ek7	
憾	ɒm6	
懂	ɗoŋ2	
懇	han2	
懈	ɔɑ̯i5	見《玉林话研究》
應	eŋ1	理~
應	eŋ3	yng3的又讀
應	øŋ3	白讀:冇~|~承
懊	ɘu3	
懋	mau6	
懌	ek9	
懍	lam5	
懟	tui6	
懣	mun6	
懦	nœ6	
懨	jim1	
懲	tɕeŋ4	
懵	moŋ2	
懶	lɔɑ̯n5	
懷	wɔɑ̯i4	
懸	jÿn4	
懺	tɕʰɒm3	
懼	ky6	
懾	ɕip7	
懿	ji3	
戀	lÿn4	
戇	ŋoːŋ3	
戇	ŋøŋ2	
戈	kʷɵ1	
戊	mu6	
戌	ɬat7	
戍	ɕy3	
戎	joŋ4	
成	ɕeŋ4	
成	tɕeŋ4	十分之一:三~|五~|~數
我	ŋɵ5	
戒	kɔɑ̯i3	
戔	ɗin1	
戕	ta4	
或	woːk10	
戚	tʰek7	
戛	kɔɑ̯t8	
戟	kek7	
戡	hɒm1	
戢	tʰap7	
戤	kɔɑ̯i6	
戥	taŋ6	
戧	tɕʰoːŋ1	
戩	ɗin2	
截	tᴇɐ̯t10	
戰	tɕin3	
戲	hi3	
戳	tɕʰoːk8	
戴	ɗɔɑ̯i3	
户	wu5	
戶	wu5	
戶	wu5	
戽	wu3	
戾	lai6	狼~
房	foːŋ4	
所	ɕɵ2	
扁	ɓɛa̯n2	口語
扁	ɓin2	
扃	kʷeŋ1	
扇	ɕin3	
扈	wu5	
扉	fi1	
手	ɕau2	
扌	ɕau2	
才	tɔɑ̯i4	
扎	tɕɔɑ̯t8	
扒	pɔ4	
打	ɗɔ2	
扔	ŋeŋ4	
托	tʰoːk8	
扙	tɕa5	
扛	koːŋ1	
扣	kʰau2	~除|~分;「扣肉」也有人讀kou3,玉林話没有「(把碗)倒扣」的說法
扭	nau2	
扮	ɓɔɑ̯n3	打~
扮	pɔɑ̯n6	假裝,假扮:~窮|~豬喫老虎|~~酒
扯	tɕʰɛ2	~名堂|~是非
扯	tɕʰɛ3	拉扯。本字不明
扳	pʰɔɑ̯n1	
扶	fu4	
批	pʰai1	
扼	a2	
找	tɕɒu2	
承	ɕeŋ4	
承	ɕøŋ4	白讀:~得起
技	ki6	
抄	tɕʰɒu1	
抉	kʰÿt7	
把	ɓɔ2	
把	ɓɔɑ̯t8	量詞
抎	wan6	迷失,走失
抑	ek7	
抒	tɕy5	推
抓	tɕɔ1	
抓	ȵɔ1	白讀
投	tau4	
抖	ɗau2	
抗	kʰoːŋ3	~日戰爭
抗	kʰoːŋ1	反~|抵~
折	tɕit7	
折	ɕᴇɐ̯t10	~本|~底
抨	pʰa1	
披	pʰi1	
抬	tɔɑ̯i4	
抯	tɕɔ1	文讀
抯	ȵɔ1	
抱	pɘu5	
抵	ɗai2	
抹	mɔɑ̯t10	
抹	mɔɑ̯t8	
抻	tɕʰan1	
押	ɔɑ̯t8	~寶
押	ɒp8	
抽	tʰau1	僅見於周烈婷《玉林话的语音系统及语音特点》
抽	tɕʰau1	
拂	fat7	文讀
拂	pʰat7	白讀。沿着表面拍打以除去髒物
拄	tɕy5	
拆	tɕʰa2	
拇	mu2	
拈	nɛa̯m1	白~:掱手
拈	nim1	
拉	lɔ1	譯音用:~丁,阿~伯,南斯~夫
拉	lɔɑ̯i1	~扯,拖~
拊	fu2	
抛	pʰɒu1	
拌	pɔɑ̯n6	凉~
拌	pun5	攪~
拍	pʰɛa̯k8	又讀。拍打
拍	pʰa2	
拎	leŋ4	文讀
拎	neŋ1	拿,持。俗作此字
拐	kʷɔɑ̯i2	
拑	kɛa̯m4	
拒	ky2	
拓	tʰoːk8	
拔	pɔɑ̯t10	
拖	tʰɵ1	
拖	tʰɵ3	
拗	ɒu3	~口|屈理~理
拗	ɒu2	彎折
拘	ky1	~束
拘	kʰy1	~捕
拙	tɕÿt7	
拚	pʰun3	
招	tɕiu1	
拜	ɓɔɑ̯i3	
括	kʷʰɔɑ̯t8	又讀
括	kʷɔɑ̯t8	
拭	ɕek7	
拮	kᴇɐ̯t8	
拯	tɕʰeŋ2	
拱	koŋ2	凸起:肚~
拱	kʰoŋ2	彎曲:筷子~開咧;弓狀、弧狀物:篾~
拳	kÿn4	
拴	ɕɔɑ̯n1	
拶	ɗɔɑ̯t8	
拷	kʰau3	
拼	pʰeŋ3	
拾	ɕap9	
拿	nɔ4	
拿	nɔ1	用於「~穩」「十~九穩」
持	tɕi4	
指	tɕi2	
挈	jit7	拿,提
按	ɔɑ̯n3	
挑	tʰiu1	
挖	wɔɑ̯t8	文讀
挖	wᴇɐ̯t8	白讀
挨	ɔɑ̯i1	
挪	nɵ4	
挫	tʰœ3	
振	tɕan3	
挲	ɬɵ1	
挹	jap7	
挺	teŋ5	
挽	wɔɑ̯n2	
挾	kɒp10	要~|~持
挾	kɛa̯p8	夾持
捃	kʷan3	
捆	kʷan2	
捉	tɕoːk8	
捋	lÿt7	
捌	ɓɔɑ̯t8	
捎	ɕɒu1	
捏	nat7	白讀
捏	nᴇɐ̯t10	
捏	nɛa̯p10	又文讀
捐	kÿn1	
捕	pu4	見1959年字表及《玉林市志》
捕	pʰu2	見於《玉林话研究》及《广西通志·汉语方言志》
捧	ɓoŋ2	白讀
捧	poŋ4	文讀
捨	ɕɛ2	
捩	lai3	
捫	mun4	
捭	ɓai1	白讀。掌擊
捭	ɓɔɑ̯i2	
据	ky1	拮~
捱	ŋɔɑ̯i4	
捲	kÿn2	
捷	tɛa̯p10	
捺	nɔɑ̯t8	
掀	jin1	
掃	ɬɘu3	
掄	lan1	
授	ɕau6	
掉	tiu6	
掊	pɒu4	
掌	tɕa2	
掎	ki2	
掏	tɘu4	
掐	hɒp8	
排	pɔɑ̯i4	
掘	kʷat9	
掙	tɕa1	
掛	kʷɔ3	文讀:~榜
掛	kʷak7	白讀:~衫
掠	la6	
採	tʰɔɑ̯i2	
探	tʰɒm3	
掣	tɕai3	
接	ɗip7	
