#漢字	音標	解釋
□	moːŋ1	帶黏性的半透明網狀物:lou4-6zou1~(蛛網)|豬腸~(豬網油)
但	tɔɑ̯n6	
佇	tɕy5	
佈	ɓu3	
位	wai6	
低	ɗai1	
住	tɕy6	
佐	ɗɵ2	
佑	jau6	
佔	tɕim3	
何	ɵ4	
佗	tɵ4	
佘	ɕɛ4	
余	jy4	
佚	jat9	
佛	fat7	仿~
佛	fat9	
作	ɗoːk8	
佝	kau1	~僂
佝	kʰau3	~瞀
佞	neŋ6	
佟	toŋ4	
你	ni5	
佢	ky4	
佣	joŋ4	
佤	wɔ5	~族:我國少數民族之一。「佤」是佤族人諸多自稱[ˀa vɤˀ][voˀ][vaˀ]的音譯,佤語意爲「門」
佧	kʰɔ1	「佤族」舊稱「~佤族」。「~」來源於傣語,意爲「奴隷」,帶有貶低意味,遂改稱
佩	pʰui3	
佩	ɓui3	州~:地名。鬱林「四鎮」之一,原名「州背」。因其位于鬱林州州城之背,故名。後易名,民間沿用原讀法
佰	ɓa2	
佳	kɔɑ̯i1	
佴	ȵi6	
併	ɓeŋ3	
佶	kat9	
佻	tʰiu1	
佼	kɒu2	
佾	jat9	
使	ɕai2	白讀:~用(工具,器物,家伙)|大~(花錢大手腳)
使	ɕi2	文讀:~用、大~(使者)、天~、~館
侃	hɔɑ̯n2	
來	lɔɑ̯i4	
侈	tɕʰi2	
侉	kʷʰɔ1	
例	lai6	
侍	ɕi6	
侏	tɕy1	
侑	jau6	
侔	mau4	
供	koŋ1	~應|~你讀書
供	koŋ3	上供祭拜:~月亮|~天地|~財神|~社頭
依	ji1	
侮	fu5	
侯	au4	
侵	tʰam1	
侶	ly5	
便	pin4	~宜
便	pin6	方~
俁	ȵy5	
係	ai6	
促	tʰok7	
俄	ŋɵ4	
俅	tɕau4	
俊	ɗan3	
俎	tɕu2	
俏	tʰiu3	
俐	li6	
俑	ȵoŋ5	
俗	tok9	
俘	fu1	
俚	li1	
俜	pʰeŋ1	
保	ɓɘu2	
俟	ɕi6	
俟	ki4	~俟:複姓
俠	ɒp10	
信	ɬan3	
修	ɬau1	
俯	fu2	
俱	ky1	
俱	ky6	
俳	pɔɑ̯i4	
俸	foŋ2	《玉林话研究》讀阳去
俺	ŋɵ5	
俾	ɓi2	
倀	tɕʰa1	
倆	la5	
倉	tʰoːŋ1	
個	kɵ3	
倌	kun1	
倍	pui5	
倏	ɕok7	
們	mun4	
倒	ɗɘu2	打~
倒	ɗɘu3	傾~、顛~
倒	tʰᴇɐ̯u2	訓讀:~水
倔	kʷat9	
倖	a6	
倘	tʰoːŋ2	
候	au6	
倚	ji2	
倜	tʰek7	
借	ɗɛ3	
倡	tɕʰa1	
倥	hoŋ1	~侗:無知
倥	hoŋ2	~傯:事迫促;窮困
倦	kÿn6	
倨	ky3	
倩	tɕʰin3	見《玉林市志》
倩	ɕin6	
倪	ȵi1	
倫	lan4	
倬	tɕoːk8	
倭	wɵ1	日本
倭	wɵ2	~墮
倮	lœ5	
值	tɕek9	
偃	jin2	
假	kɔ2	
偈	kᴇɐ̯t10	
偉	wai2	
偌	ȵɛ6	
偎	wui1	
偏	pʰin1	
偏	mɛa̯n1	避讓,借光
偕	kɔɑ̯i1	
做	ɗu3	
停	teŋ4	
健	kin6	
偭	mɛa̯n2	偏離:~咧規矩
側	tɕʰak7	
偵	tɕeŋ1	
偶	ŋau5	
偷	tʰau1	
僞	ŋai6	
傀	kʷai1	木~戲
傀	kʷai2	
傅	fu6	
傍	paŋ6	倚靠
傍	poːŋ6	
傑	kᴇɐ̯t10	
傖	ɕa4	
傘	ɬɔɑ̯n3	
備	pi6	
傢	kɔ1	
催	tʰui1	
傭	joŋ4	
傯	ɗoŋ2	
傲	ŋɘu6	
傳	tɕÿn4	動詞
傳	tɕÿn6	名詞
傳	tɕÿn3	~舍|廣成~
傴	jy2	
債	tɕɔɑ̯i3	
傷	ɕa1	
傺	tɕʰai3	
傻	ɕɵ6	
傾	kʰeŋ1	
傾	kʰeŋ3	又讀
僂	lau4	
僅	kʰan2	
僅	kan2	
僉	tʰim1	
像	ta5	似
像	ta6	雕~,偶~
僑	kiu4	
僔	tÿn5	摞,疊
僕	pok9	~人,見《玉林市志》
僖	hi1	
僚	liu4	
僞	ŋai6	
僥	hiu1	
僦	ɗau3	
僧	ɗaŋ1	
僧	ɬaŋ1	
僨	fan3	
僬	ɗiu1	
僭	ɗim3	
僮	tɕoːŋ6	~族
僱	ku3	
僵	kʰa1	
價	kɔ3	
僻	pʰek7	
儀	ȵi4	
儂	noŋ5	
億	ek7	
億	øk7	白讀
儆	keŋ2	
儇	jÿn1	
儉	kim5	
儋	ɗɒm1	~州:在海南
儐	ɓan3	
儒	ɕy5	
儔	tɕau4	
儕	ɕɔɑ̯i4	
儘	tan5	
償	ɕa4	
儡	lui5	
優	jau1	
儲	tɕy5	
儷	lai6	
儸	lɵ4	僂~
儺	nɵ4	
儻	tʰoːŋ2	
儼	ȵim5	
兀	at9	
允	jan5	
元	jÿn4	文讀。朝代名;貨幣單位。
元	ȵÿn4	~旦|狀~
兄	weŋ1	
充	tɕʰoŋ1	
兆	tɕiu5	
兇	hoŋ1	
先	ɬin1	
光	kʷoːŋ1	
克	hak7	
兑	tui6	
免	min5	
兒	ȵi1	兒綴,表示幼崽或小的:雞~(雞崽),凳~(小凳子)。
兒	ȵi4	~子|男~
兔	tʰu3	
兕	ti5	
兗	jÿn5	
兜	ɗau1	
兢	keŋ1	
兢	køŋ1	因受冷而顫抖
入	ȵap9	
内	nɔɑ̯i6	
全	tÿn4	
兩	la5	數目
兩	la2	重量單位
八	ɓɔɑ̯t8	
八	ɓᴇɐ̯t8	又讀
公	koŋ1	
六	lok9	
兮	hi1	
共	koŋ6	
兵	ɓeŋ1	
其	ki4	
具	ky6	
典	ɗim2	
兼	kim1	
冀	kʰi3	
冂	kʷeŋ1	
冉	ȵim5	
册	tɕʰa2	
再	ɗɔɑ̯i3	
冑	tɕau6	
冒	mɘu6	
冕	min5	
冖	mek9	
冠	kun1	雞~
冠	kun3	~軍
冢	tɕʰoŋ2	
冤	jÿn1	
冥	meŋ5	見《玉林话研究》
冪	mek7	
冫	ɓeŋ1	
冬	ɗoŋ1	
冰	ɓeŋ1	
冱	wu6	
冶	jɛ5	
冷	la5	
冼	ɬin2	
冽	lᴇɐ̯t10	
准	tɕan2	
凇	ɬoŋ1	
凋	ɗiu1	
凌	leŋ4	
凍	ɗoŋ3	
凜	lam5	
凝	ŋaŋ1	白讀
凝	ŋeŋ4	
凝	ŋeŋ1	白讀
几	ki1	
凡	fɔɑ̯n4	
凰	woːŋ4	
凱	hɔɑ̯i2	
凳	ɗaŋ3	
凵	hɒm2	
凶	hoŋ1	
凸	tat9	
凹	map7	
出	tɕʰat7	
函	ɒm4	
刀	ɗɘu1	
刁	ɗiu1	
刂	ɗɘu1	
刃	ȵan5	
分	fan1	~開
分	fan6	成~
切	tʰit7	
刈	ȵi6	
刊	hɔɑ̯n1	
刎	man5	
刑	eŋ4	
划	kʷʰɔ3	胡寫亂畫
划	wa6	同「劃」
刖	ȵœa̯t10	
列	lᴇɐ̯t10	
初	tɕʰɵ1	
判	pʰun3	
别	pᴇɐ̯t10	
刨	pɒu4	
利	li6	
删	ɕɔɑ̯n1	
刮	kʷɔɑ̯t8	
刮	kʷᴇɐ̯t8	白讀
到	ɗɘu3	
刳	kʰu1	
制	tɕai3	
刷	ɕɔ3	印~。關於 son3 音見「涮」
刷	ɕɔɑ̯t8	~卡
券	kÿn3	
刺	tʰek7	以針繡物
刺	tʰi3	
刻	hak7	
刴	ɗœ3	
剃	tʰai3	
剄	keŋ2	
則	ɗak7	
剈	wɛa̯n1	
削	ɬa2	
剋	kʰak7	
剌	lɔɑ̯t10	
前	tin4	
刹	ɕɔɑ̯t8	
剔	tʰek7	
剖	pʰau2	見《玉林話研究》
剖	pʰɘu2	見《玉林市志》
剛	koːŋ1	
剜	wun2	
剝	moːk8	剝皮;~削
剝	mok7	摘除,扒掉:~插頭|~開隻帽
剞	ki1	
剡	jim5	
剡	ɕim5	地名;河流名
剩	ɕeŋ6	
剩	ɕøŋ6	白讀
剪	ɗin2	
副	fu3	
割	kɔɑ̯t8	
割	kœa̯t8	又讀
剴	hɔɑ̯i2	
創	tɕʰoːŋ3	
剷	tɕʰɔɑ̯n2	
剺	li1	
剽	piu4	
剿	ɗiu2	
劁	tiu4	
劂	kÿt7	
劃	wa6	
劇	kʷek7	又讀:戲~|電視~
劇	kek7	~烈
劈	pʰek7	
劉	lau4	
劍	kim3	
劐	kʷʰoːk8	
劑	ɗai1	
劓	ȵi6	
劖	tɕɒm4	
力	lek9	
力	løk9	白讀
力	lek7	朱古~:巧克力
功	koŋ1	
加	kɔ1	
劣	lÿt7	
助	tɕu6	
努	nu6	
劫	kip7	
劬	ky4	
劭	ɕiu6	
劾	ak9	
勁	keŋ6	
勃	pɔɑ̯t10	
勇	ȵoŋ5	
勉	min5	
勒	lak7	收緊繩子
勒	lak9	~令
動	toŋ5	
勖	hok7	
勘	hɒm2	
務	mu6	
勛	wan1	
勝	ɕeŋ3	
勞	lɘu4	
募	mu6	
勢	ɕai3	白讀。手~:手兿,技術;慣~:嬌慣,不管不頋,放任自流
勢	ɕi3	文讀。~力
勤	kan4	
勰	jip7	
勱	mɔɑ̯i6	
勵	lai6	
勸	jÿn3	
勹	ɓɒu1	
勺	ɕa6	
匀	jan4	
勾	kau1	
勾	ŋau1	
勿	mat9	
包	ɓɒu1	
匆	tʰoŋ1	
匈	hoŋ1	
匍	pu4	
匏	pɒu4	
匐	fok9	
匕	ɓi3	
化	wɔ3	
北	ɓak7	
匙	ɕy4	又讀
匙	ɕi4	
匚	foːŋ1	
匠	ta6	
匣	ɒp10	
匪	fi2	
匭	kʷai2	
匯	wai6	
匱	kʷai6	
匹	pʰat7	
匾	ɓɛa̯n2	口語
匾	ɓin2	
匿	nek9	
區	kʰy1	
區	au1	姓
十	ɕap9	
千	tʰin1	
