#漢字	音標	解釋
㨣	ŋoŋ5	拥
一	i7	
丁	tin1	
七	tɕʰi7	
万	uan6	
丈	tʂaŋ6	
三	san1	
上	ʂaŋ3	
上	ʂaŋ6	
下	xa6	
下	ɕia6	
不	pu7	
与	ʯ3	
丐	kai5	
丑	tʂʰəu3	
專	tʂʯan1	
且	tɕʰiɛ3	
且	tɕʰiæ3	
世	sɿ5	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	pin3	
業	ȵiɛ7	
業	ȵiæ7	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tʂʰən2	
丢	tiəu1	
兩	liaŋ3	
嚴	ȵiɛn2	
喪	saŋ1	
喪	saŋ5	
个	ko5	
丫	ia1	
中	tʂoŋ1	
中	tʂoŋ5	
丰	foŋ1	
串	tʂʰʯan5	
臨	lin2	
丸	uan2	
丹	tan1	
爲	uei2	
爲	uei6	
主	tʂʯ3	
麗	li6	
舉	tʂʯ3	
乃	lai3	
久	tɕiəu3	
麽	mo3	
義	ȵi6	
之	tsɿ1	
之	tʂʅ1	
烏	u1	
乎	xu1	
乏	fa7	
樂	lo7	
樂	io7	
乒	pʰin1	
乓	pʰaŋ1	
喬	tɕʰiau2	
乖	kuai1	
乘	tʂʰən2	
乙	i7	
九	tɕiəu3	
乞	tɕʰi2	
也	iɛ3	
也	iæ3	
習	ɕi7	
鄉	ɕiaŋ1	
書	ʂʯ1	
買	mai3	
亂	lan6	
了	liau3	
爭	tʂən1	
事	sɿ6	
事	ʂʅ6	
二	e6	
二	ə6	
于	ʯ2	
虧	kʰuei1	
云	ʯəŋ2	
互	xu6	
五	u3	
井	tɕin3	
亞	ia5	
些	ɕiɛ1	
些	ɕiæ1	
亡	uaŋ2	
交	tɕiau1	
亥	xai6	
亦	i7	
產	tʂʰan3	
亨	xən1	
畝	məu3	
享	ɕiaŋ3	
京	tɕin1	
亭	tʰin2	
亮	liaŋ5	
親	tɕʰin1	
親	tɕʰin5	
人	ʐʯəŋ2	
什	sɿ2	
什	ʂʅ2	
什	ʂən5	
仁	ʐʯəŋ2	
仄	tsæ7	
僅	tɕin3	
仆	pʰu7	
仇	tʂʰəu2	
今	tɕin1	
介	kai5	
仍	ʐʯəŋ2	
从	tsʰoŋ2	
仑	lən2	
倉	tsʰaŋ1	
仔	tsɿ3	
他	tʰa1	
仗	tʂaŋ6	
付	fu5	
仙	ɕiɛn1	
代	tai6	
令	lin6	
以	i3	
儀	i2	
儀	ȵi6	
們	mən2	
仰	ȵiaŋ3	
仲	tʂoŋ5	
件	tɕiɛn6	
價	tɕia5	
任	ʐʯəŋ6	
份	fən6	
仿	faŋ3	
企	tɕʰi5	
伊	i1	
伍	u3	
伏	fu2	
伏	pʰu6	
伐	fa2	
休	ɕiəu1	
衆	tʂoŋ5	
優	iəu1	
伙	xo3	
會	kʰuai5	
會	xuei6	
傘	san3	
偉	uei3	
傳	tʂʰʯan2	
傳	tʂʯan6	
伢	ŋa2	
傷	ʂaŋ1	
倫	lən2	
