鄭張	上古（鄭張尚芳）	#4D4D4D	2022-03-29		0		
白沙	上古（白一平沙加爾2015）	#4D4D4D	2022-03-29		0		
廣韻		#4D4D4D	2022-03-29		0		
韻圖		#4D4D4D	2022-03-29		0		
中原音韻		#4D4D4D	2022-03-29		0		
老國音		#4D4D4D	2022-03-29		0		
普通話		#FF5D52	2022-03-01	39.923514,116.403472	5		《漢語大字典》 #漢典# #字海# #萌典#
無極		#CC0000	2022-03-15	38.185232,114.982728	0	鶩高赭紗匕	《河北無極方言同音字匯》
趙縣		#CC0000	2022-03-09	37.749137,114.769961	3	鶩高赭紗匕	《河北趙縣方言語音研究》
濟南		#CC0000	2021-11-12	36.658862,116.995062	5		<a herf=https://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=B>漢語多功能字庫</a>
徐州		#E06666	2021-11-11	34.288232,117.185541	5	慕禃	《江蘇省志·方言志》
豐縣		#E06666	2022-03-29	34.699193,116.585780	3	鶩高赭紗匕	《豐縣志》
洪澤洪祥		#E06666	2022-03-09	33.326802,118.863312	1	鶩高赭紗匕	《洪澤湖志》
利辛		#E06666	2022-03-29	33.144433,116.197246	3	鶩高赭紗匕	《皖北方言利辛話語音研究》
蚌埠		#E06666	2022-03-29	32.917642,117.382567	5	鶩高赭紗匕	《蚌埠市志》
羅山		#E06666	2022-03-18	32.209395,114.521538	0	鶩高赭紗匕	《羅山方言語音研究》
羅山周黨		#E06666	2022-03-07	31.904055,114.536916	3	鶩高赭紗匕	
贛楡		#E06666,#EF472C	2021-12-09	34.840652,119.177321	3	慕禃	《江蘇省志·方言志》
同江二屯		#EF472C	2022-03-09	47.753121,132.633421	1	鶩高赭紗匕	《同江（三村鎮）方言島語言研究》
銀川		#E99899	2021-12-02	38.473141,106.242842	5	慕禃	《銀川話音檔》
霍州		#2741B1	2022-01-09	36.568681,111.754942	3	Skanda & Hynuza	《中原官話汾河片音韻史研究》
古縣堯店		#2741B1	2022-01-07	36.165262,111.915411	3	Skanda & Hynuza	《古縣（堯店）方言音系及其與周邊方言聲調的比較研究》
垣曲新城		#2741B1	2022-01-07	35.311132,111.674031	3	Skanda & Hynuza	《垣曲縣新城鎮方言語音研究》
西安		#2741B1	2021-11-12	34.230532,108.934251	5		<a herf=https://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=A>漢語多功能字庫</a>
秦安郭嘉		#2741B1	2021-11-07	34.940098,105.601588	2	淸竮塵	《甘肅秦安縣郭嘉方言語音研究》
澄城王莊		#2741B1	2021-11-01	35.282551,109.850635	2	淸竮塵	《陝西澄城（王莊鎮）方言同音字彙集》
商州		#2741B1	2022-03-31	33.865530,109.943338	0	鶩高赭紗匕	《商州方言同音字匯》
文水開柵		#8C7BE8	2022-01-05	37.510146,112.070732	2	Skanda	《山西文水開柵方言語音研究》
文水裴會		#8C7BE8	2021-12-30	37.294349,112.020596	2	Hynuza	《山西文水裴會村話語音研究》
平遙		#8C7BE8	2022-03-11	37.203790,112.177104	3	Skanda & Sun	《平遙話音檔》《現代晉語的研究》
介休張蘭		#8C7BE8	2022-03-11	37.130464,112.072931	2	Vinchi	《介休（張蘭鎮）方言音系研究》
介休		#8C7BE8	2022-03-11	37.036054,111.915614	3	Vinchi	《介休方言志》
介休張良		#8C7BE8	2022-01-06	37.063939,112.013856	1	Skanda	《介休市張良村方言語音研究》
安澤		#8C7BE8	2022-03-30	36.144126,112.242731	0	鶩高赭紗匕	《山西安澤土著居民方言語音研究》
沁源		#8C7BE8	2022-03-07	36.498735,112.336162	3	鶩高赭紗匕	《山西沁源方言語音研究》
沁源王陶		#8C7BE8	2022-01-06	36.879321,112.195173	2	Hynuza	《晉語沁源縣王陶話語音研究》
孝義		#8C7BE8	2022-01-28	37.145062,111.777873	3	Hynuza	《孝義文化叢書-鄉言研究》
孝義下堡		#8C7BE8	2021-12-31	37.154766,111.590786	2	Hynuza	《孝義下堡方言語音研究》
孝義白壁關		#8C7BE8	2021-12-30	37.141314,111.714367	1	Skanda	《山西孝義白壁關話語音研究》
汾陽		#8C7BE8	2022-03-18	37.265419,111.787771	5	Hynuza	《汾陽話與普通話》《汾陽方言研究》
離石		#8C7BE8	2022-01-28	37.520962,111.135554	4	丁丁歐	《離石方言音系》
中陽		#8C7BE8	2022-03-04	37.357292,111.181072	3	Skanda	《山西中陽方言語音研究》
臨縣		#8C7BE8	2022-03-10	37.953838,110.993974	3	木瓜 & 灰原哀	《臨縣方言志》
臨縣車趕		#8C7BE8	2022-03-10	37.788083,111.077562	2	灰原哀	《臨縣車趕鄉話語音研究》
臨縣三交		#8C7BE8	2022-03-10	37.779679,110.962514	2	木瓜 & 灰原哀	《臨縣三交話研究》
興縣		#8C7BE8	2022-01-23	38.462225,111.126397	3	山佳木	《山西興縣方言同音字匯》
嵐縣		#8C7BE8	2022-01-28	38.279142,111.671921	3	sainirwuu	《山西嵐縣方言》
吳堡	吳堡東王家山話	#8C7BE8	2022-03-10	37.552024,110.731647	3	木瓜 & 灰原哀	《吳堡方言調查研究》
佳縣佳蘆		#8C7BE8	2021-12-31	38.037811,110.493572	3	Skanda	《佳縣（佳蘆鎮）方言音系研究》
屯留		#8C7BE8	2022-01-08	36.313447,112.893032	3	Skanda & Hynuza	《山西屯留方言語音研究》
陽城蟒河		#8C7BE8	2022-01-08	35.380815,112.443305	3	Skanda & Hynuza	《山西省陽城縣蟒河鎮方言語音研究》
河曲		#8C7BE8	2022-01-28	39.386212,111.157603	3	sainirwuu, Skanda, Hynuza	《山西河曲方言音系》
偏關		#8C7BE8	2022-01-05	39.437252,111.508728	3	sainirwuu, Skanda, Hynuza	《山西偏關方言語音研究》
大同		#8C7BE8	2021-11-24	40.255852,113.140132	4	慕禃	《大同方言志》
陽原化稍營		#8C7BE8	2021-11-15	40.256158,114.632166	3	osfans	《河北陽原（化稍營）方言同音字匯》
祁門軍話		#EE93F6	2021-10-05	30.049407,117.578233	2	淸竮塵	《祁門軍話語音研究》
廿八都官話		#EE93F6	2022-02-21	28.298014,118.489754	3	淸竮塵	《浙江江山廿八都話》
信豐官話		#EE93F6	2021-10-11	25.386172,114.922851	3	淸竮塵	《贛南官話語音及系屬考察》
贛州官話		#EE93F6	2021-10-11	25.820899,114.924234	4	淸竮塵	《贛南官話語音及系屬考察》
華樓正話		#EE93F6	2021-11-29	21.619245,111.083329	2	淸竮塵	《廣東電白舊時正話》
南平官話		#EE93F6	2021-10-04	26.637981,118.182022	3	淸竮塵	《福建南平方言同音字匯》
長樂洋嶼		#EE93F6	2022-03-16	26.007646,119.509055	0	鶩高赭紗匕	《福建洋嶼官話同音字匯》
八所軍話		#EE93F6	2022-03-29	19.100485,108.639754	3	一冂水	《海南東方八所軍話音系》
昆明	昆明漢話	#F655F2	2022-02-25	25.046432,102.709372	4	Tempo Rubato	《現代漢語方言音庫·昆明話音檔》
長壽		#F655F2	2022-01-09	29.860567,107.077912	3	改放碑靚仔	
金堂竹篙	金堂竹篙老湖廣話	#F655F2,#FF69B4	2022-02-12	30.631633,104.741382	2	DaiDzao	《四川金堂湘語語音研究》
榮縣		#F655F2	2022-03-20	29.456111,104.419167	3	月中尋桂	《四川方言調查報告》《四川榮縣方言音系及其內部差異研究》
貴陽	貴陽漢話	#F655F2	2022-04-01	26.591639,106.717428	5	築城燈神	《現代漢語方言音庫·貴陽話音檔》《現代漢語方言大詞典·分卷 貴陽方言詞典》《貴州省漢語方言特色詞語彙編》《新修支那省別志全志·第4卷 貴州省上》復旦大學中華文明數據中心
犍爲玉津		#F655F2	2022-01-21	29.201101,103.951011	3	是的 我是一個玩家	《犍爲方言單字聲調聲學語音實驗分析》《四川方言調查報告》
綦江古南		#F655F2	2022-02-04	29.018056,106.656389	3	播州東條希	《綦江方言音系調查研究》《永川等六區縣方言語音調查研究》
桐梓婁山關		#F655F2	2022-02-04	28.114953,106.837232	3	播州東條希	《桐梓方言志》
遵義		#F655F2	2022-02-04	27.709444,106.941389	4	播州東條希	《遵義方言的語音特點和新老差異》《‹遵義方言音系的特點›讀後感》《遵義方言音系的特點》《遵義市志 方言》
象州中平		#F655F2	2021-10-14	24.009379,109.948761	2	淸竮塵	《廣西象州中平官話同音字匯》
象州納祿		#F655F2	2021-10-14	24.064672,109.848782	2	淸竮塵	《廣西象州縣羅修鎮納祿村官話研究》
武鳴官話		#F655F2	2021-12-02	23.158661,108.274612	3	淸竮塵	《武鳴縣城官話調查報告》
浪平高山漢話		#F655F2	2021-10-06	24.489414,106.368537	2	淸竮塵	《一個西南官話方言島——浪平高山漢話研究》
武穴花橋		#D74AD3	2021-10-31	30.005899,115.724721	2	淸竮塵	《湖北省武穴市花橋話語音研究》
羅田大河岸		#D74AD3	2022-03-17	30.849656,115.492309	0	鶩高赭紗匕	《湖北羅田(大河岸)方言同音字匯》
武漢		#D74AD3	2021-11-12	30.582031,114.029192	4		<a herf=https://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=C>漢語多功能字庫</a>
宜昌		#D74AD3	2022-03-10	30.702636,111.702636	4	峽江流月	《宜昌方言研究》
桃源		#D74AD3	2022-03-11	28.895462,111.475115	3	空島。	《桃源縣方言語音研究》
岳陽君山		#D74AD3	2022-02-28	29.464286,113.000966	3	DaiDzao	《湖南省岳陽君山話語音研究》
