#漢字	音標	解釋
㮇	tʰiẽ5	~笔
兵	pin1	
其	tɕʰi2	
具	tʂʯ5	
典	tiẽ3	
兹	tsɿ1	
養	iã3	
兼	tɕiẽ1	
獸	ʂəu5	
冀	tɕi5	
内	lei5	
岡	kã1	
冉	ʐõ3	
册	tsʰa7	
再	tsai5	
冒	mau5	
寫	ɕie3	
軍	tʂʯn1	
農	loŋ2	
冠	kuõ5	~军
冠	kuõ1	衣~
冤	ʯõ1	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
決	tʂʯɒ7	
况	kʰuã5	
冷	lən3	
凍	toŋ5	
淨	tsã1	
淨	tɕin5	
準	tʂʯn3	
涼	liã2	
凌	lin2	
減	tɕiẽ3	
湊	tsʰəu5	
凖	tʂʯn3	
凝	lin2	
几	tɕi3	
凡	fã2	
鳳	foŋ5	
凭	pʰin2	
凱	kʰai3	
凳	tən5	
凶	ɕioŋ2	
出	tʂʰʯ7	
擊	tɕi7	
函	xã2	
鑿	tso7	
刀	tau1	
刀	mo2	
刀	kʰɒ3	
刁	tiau1	
刃	ʐən5	
分	fən1	~ 开
切	tsʰo5	
切	tɕʰie7	~开
刊	kʰã1	
刑	ɕin2	
划	xuã5	
划	xuɒ2	~ 船
列	lie7	
劉	liəu2	
則	tsa7	
剛	kã1	
創	tʂʰʯã5	
初	tsʰəu1	
删	sã1	
判	pʰõ5	
刨	pʰau2	~地
利	li5	
别	pie7	
刮	kʰɒ3	
刮	kuɒ7	
到	tau0	
制	tʂʅ5	
刷	ʂuo7	
券	tʂʰʯõ5	
刺	tsʰɿ5	
刻	kʰa7	
刴	to5	
劑	tɕi7	一~药
剃	tʰi5	
削	ɕio7	
前	tɕʰiẽ2	
剮	kʰuɒ3	
劍	tɕiẽ5	
剔	tʰi7	
剖	po1	
剝	po7	
劇	tʂʯ5	
剩	ʂən5	
剪	tɕiẽ3	
剮	kʰɒ3	
副	fu5	
割	kɒ7	
剳	tsɒ7	用针~
剿	tɕiau3	
劈	pʰi7	
力	li7	
勸	tʂʰʯõ5	
辦	pã5	
功	koŋ1	
加	tɕiɒ1	
加	kən5	
務	u5	
劣	lie7	
動	toŋ5	
助	tsəu5	
努	ləu3	
劫	tɕie7	
勵	li5	
勁	tɕin5	~敌
勁	tɕin5	有 ~
勞	lau2	
勢	ʂi5	
勃	po7	
勇	ioŋ3	
勉	miẽ3	
勳	ʂʯn1	
勒	la7	
勘	kʰã1	~ 探
募	mo5	
勺	ʂau2	~子
勾	kəu1	
勾	kəu5	~当
勿	uɒ7	
匀	ʯn2	
包	pau1	
匆	tsʰoŋ1	
化	iã2	
化	xuɒ5	
北	pa7	
匙	ʂi1	钥~
匠	tɕiã5	
匡	kʰuã1	
匪	fei3	
匹	pʰi7	
區	tʂʰʯ1	~域
醫	i1	
匾	piẽ3	
匿	li7	
十	ʂi7	
千	tɕʰiẽ1	
升	ʂən1	
午	u3	
半	põ5	
華	xuɒ2	
協	ɕie7	
卑	pei1	
卒	tsəu7	兵~
卓	tso7	
單	ʂẽ5	
單	tã1	~独
賣	mai5	
南	lã2	
博	po7	
卜	pʰu3	
占	tʂẽ1	~ 卜
盧	ləu2	
卤	ləu3	
卦	kuɒ5	
臥	uo5	
衛	uei2	
卯	mau3	
印	in5	
危	uei2	
即	tɕi7	
卻	tɕʰio7	
卵	lõ3	
卷	tʂõ1	
卸	ɕie5	
卿	tɕʰin1	
廠	tʂʰã3	
廳	tʰin1	
历	li7	
厲	li5	
厲	li7	
壓	iɒ7	
厭	iẽ1	
廁	tsʰa7	
厘	li2	
厚	xəu5	
原	ʯõ2	
廂	ɕiã1	
厦	ɕiɒ5	~门
厦	sɒ5	偏~
廚	tʂʰʯ2	
厮	sɿ1	
去	tʂʰʯ5-	~玩
去	tɕi5=	~ 皮
去	tɕʰi5	来~
縣	ɕiẽ5	
参	tsʰã1	
参	sən1	人~
又	iəu5	
叉	tsʰɒ1	
及	tɕi7	
友	iəu3	~好
雙	ʂʯã1	
反	fã3	
发	fɒ7	
叔	ʂəu7	
取	tɕʰi3	
受	ʂəu5	
變	piẽ5	
敍	ɕi5	
叛	põ5	
疊	tie7	
口	kʰəu3	
古	ku3	
句	tʂʯ5	
另	lin5	
叨	tau1	唠~
叩	kʰəu3	~头
只	tʂʅ1	
只	tʂʅ3	~ 有
叫	tɕiau5	
召	tʂau1	
可	kʰo3	
台	tʰai2	
史	sɿ3	
右	iəu5	
葉	ie7	
號	xau2	呼~
司	sɿ1	
嘆	tʰã5	
吁	ʯ1	
吃	tɕʰi7	
各	ko7	
吆	iau1	~ 喝
合	xɒ7	
吉	tɕi7	
吊	tiau5	
同	tʰoŋ2	
名	min2	
后	xəu5	
吏	li5	
吐	tʰəu3	~痰
吐	tʰəu5	呕~
向	ɕiã5	
嚇	xɒ7	~一跳
嚇	xa7	恐~
呂	ʯ3-	
呂	li3	
君	tʂʯn1	
吝	lin1	~啬
吞	tʰən1	
吟	in2	
否	fəu3	
含	xã2	
聽	tʰin1	~ 见
聽	tʰin5	~其自然
啓	tɕʰi3	
吳	u2	
吵	tsʰau3	
吸	ɕi7	
吹	tʂʰʯei1	
吻	uən3	
吼	xəu3	
呆	ŋai2	
呈	tʂʰən2	
告	kau5	
嘔	ŋəu3	~吐
員	ʐõ2	
周	tʂəu1	
味	uei5	
呼	xu1	
命	min5	
和	xo2	
咎	tɕiəu5	
詠	ioŋ3	
咒	tʂəu1	
咨	tsɿ1	
咬	iau3	
咳	ka7	~嗽
咸	xã2	
哀	ŋai1	
品	pʰin3	
哄	xoŋ3	~骗
哈	xɒ1	~腰
響	ɕiã3	
啞	iɒ3	
哥	ko1	
哪	lo3	
哭	kʰu7	
哲	tʂa7	
哽	kən3	骨~在喉
唆	so1	啰~
脣	tʂʰʯn2	
唐	tʰã2	
嘮	lau2	~叨
喚	xo5	
喚	xuõ5	
售	tʂʰəu2	
售	ʂəu5	
唯	uei2	
唱	tʂʰã5	
唾	tʰəu5	
啄	tso7	
商	ʂã1	
嗇	sa7	吝~
囉	lo1	~唆
啼	tʰi2	
善	ʂẽ5	
喉	xəu2	
喊	xã3	
喘	tʂʰõ3	
喜	ɕi3	
喝	xɒ7	~彩
喧	ɕiẽ1	
噴	pʰən1	
喻	ʯ5	
嗅	ɕiəu5	用鼻子闻
嗉	səu5	鸡~子
嗓	sã3	
嗜	ʂi5	
嗽	səu0	咳~
嘉	tɕiɒ1	
嘘	ʂʯ1	吹~
囑	tʂəu7	
嘴	tsei3	
噍	tɕiau5	牛倒~
器	tɕʰi5	
囂	ɕiau1	
嚷	ʐʯã3	
嚼	tɕiau3	
囊	lã2	
囚	tɕʰiəu2	
四	sɿ5	
回	xuei2	
因	in1	
团	tʰõ2	
囤	tʰən5	
園	ʯõ2	
困	kʰuən5	
囱	tʂʰoŋ1	烟~
圍	uei2	
固	ku5	
國	kua7	
圖	tʰəu2	
圓	ʐõ2	
圈	tʂʰõ1	圆~
圈	tʂõ5	猪~
土	tʰəu3	
聖	ʂən5	
在	tsai5	
圭	kuei1	
地	ti5	
場	tʂʰã2	
址	tʂʅ3	
均	tʂʯn1	
坎	kʰã3	
壞	xuai5	
坐	tso5	
坑	kʰən1	
塊	kʰuai5	
堅	tɕiẽ1	
坛	tʰã2	
壩	pɒ5	
墳	fən2	
墜	tʂʯei2	
坡	po1	
坤	kʰuən1	
坦	tʰã3	
坪	pʰin2	
坯	pʰi1	土~
垂	tʂʯei2	
壠	loŋ5	
型	ɕin2	
垒	lei3	
垜	to5	柴~
墊	tiẽ5	~钱
垮	kʰuɒ3	
埂	kən3	田~
埃	ŋai1	尘~
埋	mai2	
城	tʂʰən2	
域	ʯ5	
埠	pu5	商~
培	pʰei2	
基	tɕi1	
堂	tʰã2	
堆	tei1	
堡	pau3	
堤	tʰi2	
堪	kʰã1	
堰	iẽ1	
堵	təu3	
塌	tʰɒ7	
塑	so7	~像
塔	tʰɒ7	
塗	tʰəu2	
塘	tʰã2	
塞	sa7	
填	tʰiẽ2	
境	tɕin3	
墓	mo5	
牆	tɕʰiã2	
增	tsən1	
墨	ma7	
墩	tən1	
壁	pi7	
壅	oŋ5	~肥
壕	xau2	
壤	ʐʯã3	土~
壩	pɒ5	堤~
士	sɿ5	
壬	ʐən2	
壯	tʂʯã5	
聲	ʂən1	
殼	kʰo7	
壺	xu2	
壺	xã5	
處	tʂʰʯ5	~所
處	tʂʰʯ3	相~
備	pei5	
复	fu5	
复	fu7	~兴
夏	ɕiɒ5	
夕	ɕi7	
外	uai5	
多	to1	
夜	ie5	
够	kəu5	
夥	xo3	
大	tɒ5	
天	tʰiẽ1	
太	tʰai5	
夫	fu1	
央	iã1	
夯	xã1	打~
失	ʂi7	
頭	tʰəu2	
夷	i2	
夸	kʰuɒ1	
夾	tɕiɒ7	
奪	to7	
奇	tɕʰi2	
奈	lai5	
奉	foŋ5	
奮	fən5	
奎	kʰuei2	
奏	tsəu5	
契	tɕʰi5	~ 约
奔	pən1	
獎	tɕiã3	
套	tʰau5	
奠	tiẽ5	
奢	ʂe1	
奧	ŋau5	
女	ʯ3-	
女	li3	
奴	ləu2	
奶	lai3	
奸	tɕiẽ1	
好	xau3	~坏
好	xau5	喜~
如	ʯ2	
妃	fei1	
妄	uã2	
婦	fu5	
媽	mɒ1	
妓	tɕi5	
妖	iau1	
妙	miau5	
妥	tʰo3	
妨	fã2	~害
妬	təu5	
妹	mei5	
妻	tɕʰi1	
妾	tɕʰie7	
姊	tsɿ3	
始	ʂi3	
姐	tɕie3	
姑	ku1	
姓	tɕʰiəu2	
姓	tɕiɒ3	
姓	ɕiɒ5	
姓	liau5	
姓	ɕin5	
委	uei3	
姘	pʰin1	~头
姚	iau2	
姜	tɕiã1	
姨	i2	
姻	in1	
姿	tsɿ1	
威	uei1	
嬌	tɕiau1	
娘	liã2	
娠	ʂən1	
娩	miẽ3	
娛	ʯ2	
娶	tɕʰi3	
婆	pʰo2	
婚	xuən1	
嬰	in1	
嬸	ʂən3	
婿	ɕi7	
媒	mei2	
媚	mei5	
媳	ɕi7	
嫁	tɕiɒ3	
嫂	sau3	
嫌	ɕiẽ2	
嫖	pʰiau2	~赌
嫡	ti7	
嫩	lən5	
嬉	ɕi1	
孀	ʂʯã1	
子	tsɿ3	
子	mɒ5	
子	liau5	
孔	kʰoŋ3	
孕	ʯn5	
存	tsʰən2	
孫	sən1	
孝	ɕiau5	
孟	moŋ5	
季	tɕi5	
孤	ku1	
學	ɕio7	
孩	xai2	
孽	lie7	
寧	lin5	~可
寧	lin2	安~
宅	tsa7	
宇	ʯ3	
守	ʂəu3	
宋	soŋ5	
完	uõ2	
宏	xoŋ2	
宗	tsoŋ1	
官	kuõ1	
宙	tʂəu5	
定	tin5	
宜	i2	
寶	pau3	
實	ʂi7	
寵	tʂʰoŋ3	
審	ʂən3	
客	kʰa7	
宣	ɕiẽ1	
室	ʂi7	
宦	xuõ5	
宪	ɕiẽ5	
宮	koŋ1	
宰	tsai3	
害	xai5	
宴	iẽ2	
宴	iẽ5	
宵	ɕiau1	
家	tɕiɒ1	~具
容	ioŋ2	
寬	kʰuõ1	
賓	pin1	
宿	səu7	~舍
宿	ɕiəu5	星~
寂	tɕi7	
寄	tɕi5	
寅	in2	
密	mi7	
寇	kʰəu5	
富	fu5	
寒	xã2	
寓	ʯ5	
寢	tɕʰin3	
寞	mo5	
察	tsʰɒ2	
寡	kuɒ3	
寥	liau2	
寨	sai5	
寸	tsʰən5	
對	tei5	
寺	tsɿ5	
尋	tɕʰin2	~ 人
尋	ɕin2	~人
導	tau5	
壽	ʂəu5	
封	foŋ1	
射	ʂe5	
將	tɕiã1	~ 来
將	tɕiã5	大~
尊	tsən1	
小	ɕiau3	
少	ʂau5	~年
少	ʂau3	多~
尔	ɚ3	
尖	tɕiẽ1	
塵	tʂʰən2	
尚	ʂã5	
嘗	tʂʰã2	
尤	iəu1	
尥	liau5	马~蹶
堯	iau2	
尬	ka0	尴~
就	tɕiəu5	
尷	kã1	~尬
屍	ʂi1	
尹	ʯn3	
尺	tʂʰʅ7	
尼	li2	
尽	tɕin3	~前
尾	uei3	
尿	liau5	
局	tʂʯ7	
屁	pʰi5	
層	tsʰən2	
屄	pi1	
居	tʂʯ1	
屈	tʂʰʯ2	
屉	tʰi5	抽~
屆	tɕiai5	
屋	u7	
屎	ʂi3	
屏	pʰin2	围~
屐	tɕi7	木~
屑	ɕie7	
展	tʂẽ3	
屬	ʂəu7	
屠	tʰəu2	
屢	lei5	
履	li3	
屯	tʰən2	
山	sã1	
歲	sei1	
豈	tɕʰi3	
岐	tɕʰi2	
岔	tsʰɒ5	三~路
崗	kã1	
島	tau3	
巖	iã2	
嶺	lin3	
峽	ɕiɒ7	
峰	foŋ1	
崇	tsʰoŋ2	
崑	kʰuən1	
崔	tsʰei1	
崖	ŋai2	山~
崩	pən1	
嵌	tɕʰiẽ1	
嵩	soŋ1	
川	tʂʰõ1	
川	pɒ5	
州	tʂəu1	
巡	ɕin2	
巢	tsʰau2	
巢	tʂʰau2	
工	koŋ1	
左	tso3	
巧	tɕʰiau3	
巨	tʂʯ5	
鞏	koŋ3	~固
巫	u1	
差	tsʰɒ1	~ 别
差	tsʰai1	出~
己	tɕi3	
已	i3	
巳	tsɿ5	
巴	pɒ1	
巷	ɕiã5	
巾	tɕin1	
幣	pei5	
市	ʂi5	
布	pu5	
帥	ʂʯai5	
帆	fã2	
師	sɿ1	
希	ɕi1	
帳	tʂã5	
帕	pʰɒ5	
帖	tʰie7	请~
帘	ȵiẽ2	
帚	tʂəu3	
帛	pa7	
帝	ti5	
帶	tɕi5	
帶	tai5	
席	ɕi7	
幫	pã1	
常	tʂʰã2	
帽	mau5	
幅	fu7	
幕	mo5	
干	kã1	
干	tsã1	
平	pʰin2	
平	pɒ5	
年	ȵiẽ2	
并	pin3	
幸	ɕin5	
幹	kã5	
幺	iau1	~ 二三
幻	xuõ5	
幼	iəu5	
幽	iau1	
幽	iəu1	
廣	kuã3	
莊	tʂʯã1	
慶	tɕʰin5	
庇	pi7	
牀	tsʰã2	
序	ɕi5	
廬	li2	茅~
廬	ləu2	茅 ~
庫	kʰu5	
應	in5	
底	ti3	
店	tiẽ5	
廟	miau5	
庚	kən1	
府	fu3	
龐	pʰã2	
廢	fei5	
度	təu5	
座	tso5	
庭	tʰin2	
康	kʰã1	
庸	ioŋ2	
廉	ȵiẽ2	
廊	lã2	
廓	kʰo7	
廖	liau5	
延	iẽ2	
廷	tʰin2	
建	tɕiẽ5	
開	kʰai1	
异	i5	
弃	tɕʰi5	
弄	loŋ5	
弊	pei5	
式	ʂi7	
弓	koŋ1	
引	in3	
弘	xoŋ2	
弟	ti5	
張	tʂã1	
弦	ɕiẽ2	
彎	uã1	
弱	ʯo7	
彈	tʰã2	~琴
彈	tã1	子~
强	tɕʰiã2	
弼	pi7	
彀	kəu5	往上~
歸	kuei1	
當	tã5	~作
當	tã1	应~
录	ləu7	
形	ɕin2	
彩	tsʰai3	
彪	piau1	
彬	pin1	
彭	pʰən2	
影	in3	
彷	fã3	~佛
役	ʯ7	
徹	tʂʰa7	
彼	pi3	~此
往	uã3	
征	tʂən1	
征	tʂən1	~ 求
徑	tɕin1	
待	tai5	
很	xən3	
律	li7	
徐	tɕʰi2	
徒	tʰəu2	
得	ta7	
御	ʯ5	
循	ɕin2	
微	uei2	
德	ta7	
徽	xuei1	
心	ɕin1	
必	pi7	
憶	i5	
忌	tɕi5	
忍	ʐən3	
忖	tsʰən5	
志	tʂʅ5	
忘	uã2	
忙	mã2	
忠	tʂoŋ1	
憂	iəu1	
快	kʰuai5	
念	ȵiẽ5	
忽	xu7	
忿	fən5	
懷	xuai2	
態	tʰai5	
慫	tsoŋ5	~恿
慪	ŋəu5	~气
怒	ləu5	
怕	pʰɒ5	
怖	pʰu5	恐~
憐	ȵiẽ2	
思	sɿ1	
怠	tai5	
急	tɕi7	
性	ɕin5	
怨	ʯõ5	
怪	kuai5	
怯	tɕʰie7	畏~
總	tsoŋ3	
恃	ʂi5	
戀	ȵiẽ5	
恐	kʰoŋ3	
恆	xən2	
恕	səu1	
恢	xuei1	
恤	ɕie7	
恨	xən5	
恩	ŋən1	
恭	koŋ1	
息	ɕi7	
恰	tɕʰiɒ7	
恶	ŋo7	善~
惱	lau3	
悄	tɕʰiau5	静~~
悉	ɕi7	
悔	xuei3	
悟	u5	
悠	iəu2	~悠
患	xuõ5	
悦	ʐʯa7	
懸	ʂʯõ2	
憫	min3	
悲	pei1	
情	tɕʰin2	
驚	tɕin1	
惑	xua7	迷~
惜	ɕi7	
惟	uei2	
惠	xuei5	
懼	tʂʯ5	
慘	tsʰã3	
懲	tʂʰən2	
慚	tsʰã2	
慣	kuõ5	
惰	to5	
想	ɕiã3	
惹	ʐʯe3	
愁	tsʰəu2	
愉	ʯ2	
意	i5	
愚	ʯ2	
感	kã3	
憤	fən5	
愧	kʰuei5	
願	ʯõ5	
慈	tsʰɿ2	
慌	xuã1	
慎	ʂən5	
慕	mo5	
慢	mã5	
慧	xuei5	
慨	kʰai5	慷~
慰	uei5	
慷	kʰã1	~ 慨
憋	pie7	
憎	tsən1	
憨	xã1	
憾	xã1	
懂	toŋ3	
懈	ɕie5	
懊	ŋau5	~悔
懶	lã3	
懵	moŋ3	~ 懂
戈	ko1	
戎	ioŋ2	
戲	ɕi5	
成	tʂʰən2	
我	ŋo3	
戒	tɕiai5	
或	xua7	
戰	tʂẽ5	
戚	tɕʰi0	
戟	tɕi7	
截	tɕie7	
戳	tsʰo2	
戴	tai5	
戶	xu5	
戽	xu5	~ 水
房	fã2	
所	so3	
扁	piẽ3	
扇	ʂẽ5	
手	lo2	
手	ʂəu3	
手	tʰo7	
才	tsʰai2	
扑	pʰu7	
打	tɒ5	
扔	ʐən1	
托	tʰo7	
扛	kʰã2	
扣	kʰəu5	~住
執	tʂʅ7	
擴	kʰo7	~充
掃	sau3	
揚	iã2	
扭	liəu3	
扮	pã5	
扯	tʂʰe3	
擾	ʐau3	
扳	pã1	
扶	fu2	
批	pʰi1	
扼	ŋo7	
扽	tən5	
找	tʂau3	
承	tʂʰən2	
承	tʰo7	
技	tɕi5	
抄	tsʰau1	~写
把	pɒ3	~握
抑	i5	
抓	tʂʯɒ1	
投	tʰəu2	
抖	təu3	
抗	kʰã3	
折	tʂa7	
折	ʂa7	弄~了
撫	fu3	
抛	pʰau1	
摳	kʰəu1	
搶	tɕʰiã3	
護	xu5	
報	pau5	
披	pʰi1	
披	pʰi2	
抬	tʰai2	
抱	pau5	
抵	ti3	
抹	mo7	
抹	mɒ7	~布
押	iɒ7	
抽	tʂəu1	
抽	tʂʰəu2	
抿	min3	
拄	tʂʯ3	~拐杖
擔	tã1	~任
擔	tã5	~子
拆	tsʰa3	~开
拇	mo3	
拈	ȵiẽ2	~起来
拉	lɒ1	
拌	põ5	
拍	pʰa7	
拎	lin2	
拐	kuai3	
拒	tʂʯ5	
拔	pɒ7	
拖	tʰo2	
拘	tʂʯ1	
拙	tʂɒ7	
招	tʂau1	
拜	pai5	
攏	loŋ3	
揀	tɕiẽ3	
擁	ioŋ3	
攔	lã2	
撥	po7	
擇	tsa7	~菜
括	kʰuɒ7	包~
拯	tʂən3	
拱	koŋ3	~手
拳	tʂʰõ2	
拴	sõ1	
拼	pʰin1	
拾	ʂi7	~起来
拿	lɒ2	
持	tʂʰʅ2	
挂	kuɒ5	
指	lo2	
指	tʂʅ3	
挑	tʰiau1	
挖	uɒ7	
挾	kɒ7	又音 tɕiɒ53
挾	tɕiɒ7	又音 k
撓	ʐau3	
擋	tã3	
擠	tɕi3	
揮	xuei1	
挨	ŋai1	~着
挪	lo2	
振	tʂən5	
挺	tʰin3	
挽	uã3	
捅	tʰoŋ3	~破了
捆	kʰuən3	
捉	tso7	
捋	lo5	~袖
捎	sau1	~带
捏	lie7	
捐	tʂõ1	
捕	pu5	
撈	lau2	
損	sən3	
換	xo5	
換	xuõ5	
捧	pʰoŋ3	
捨	ʂe3	
据	tʂʯ5	
捱	ŋai2	~打
捲	tʂõ3	~起
捷	tɕie7	
捺	lɒ7	撇~
捻	ȵiẽ3	以指碾碎
掀	ɕiẽ1	
掂	tiẽ1	~掇
授	ʂəu5	
掌	tʂã3	
掏	tʰau1	~出来
掐	tɕʰiɒ7	又音 k
掐	kʰo7	又音tɕ
排	pʰai2	
掘	tɕio7	
掠	lio7	
採	tsʰai3	
探	tʰã1	侦~
掣	tʂʅ5	
接	tɕie7	
控	kʰoŋ5	
推	tʰei1	
掩	iẽ3	
措	tsʰo5	~置
撣	tã1	鸡毛~子
揈	xoŋ1	~出去
揉	ʐəu2	
描	miau2	猫叫声
提	tʰi2	
插	tsʰɒ7	
揖	i7	作~
握	uo7	
揩	kʰai1	
揫	tɕiəu1	一把~住
揭	tɕie7	
援	ʯõ2	~助
攬	lã3	
攙	tsʰã1	
擱	ko7	
摟	ləu2	~ 取
摟	ləu3	~ 抱
攪	kau3	
攪	tɕiau3	
搊	tsʰəu1	~ 起 来
搓	tsʰo1	
搜	səu1	
搞	kau3	又音 tɕiau24
搞	tɕiau3	又音 kau24
搧	ʂẽ5	
搨	tʰɒ7	~本
搬	põ1	
搭	tɒ7	
搽	tsʰɒ2	
攝	ʂe5	
攝	ʂa7	
摆	pai3	
摇	iau2	
攤	tʰã1	
摔	ʂʯai1	
摘	tsa7	
摞	lo5	~起来
摩	mo2	
摸	mo2	
摹	mo2	~仿
摺	tʂa7	~叠
撅	tɕio7	~子
撇	pʰie7	~开
撑	tsʰən1	
撒	sɒ7	~种
撕	sɿ1	
撞	tʂʯã5	
撤	tʂʰa7	
撩	liau2	~起来
撮	tso7	一~米
攆	ȵiẽ3	
撼	xã1	
擀	kã3	~面
操	tsʰau1	~作
擎	tɕin1	
擒	tɕʰin2	
擖	kʰɒ3	
擦	tsʰɒ7	
攀	pʰã1	
攘	ʐʯã3	
支	tʂʅ1	
收	ʂəu1	
收	ȵiẽ5	~验
改	kai3	
攻	koŋ1	~ 击
放	fã5	
政	tʂən5	
故	ku5	
效	ɕiau5	
敵	ti7	
敏	min3	
救	tɕiəu1	
教	tɕiau1	~ 书
斂	ȵiẽ3	
斂	ȵiẽ5	
敢	kã3	
散	sã5	分~
散	sã3	鞋 带 ~ 了
敦	tən1	~厚
㪗	tʰəu3	~气
敬	tɕin5	
數	səu3	动词
數	səu5	名词
敲	tɕʰiau1	
整	tʂən3	
敷	fu1	
文	uən2	
齋	tsai1	
斑	pã1	
斗	təu5	~争
斗	təu3	一~
料	liau5	
斜	ɕie2	
斟	tʂən1	
斤	tɕin1	
斥	tʂʰʅ7	
