#漢字	音標	解釋
一	jaʔ8	jak⁵
七	tʃʰaʔ8	tʃʰak⁵
万	mɛŋ	mɛŋ⁴⁴³
三	ʃaŋ	ʃaŋ²³
上	ʃøŋ	ʃøŋ⁴⁴³
下	ha	ha⁴⁴³
世	ʃoe	ʃɔe³⁴
業	jit7	jit³
東	toŋ	toŋ²³
絲	ʃɐi	ʃɐi²³
丢	tiu	tiu²³
兩	løŋ	ŋøŋ³⁵
嚴	jin	jin²¹
个	ko	ko³⁴|ko⁴⁴³
中	tʃoŋ	tʃoŋ²³
丰	foŋ	foŋ²³
主	tʃy	tʃi³⁵
舉	kɵ	kui³⁵
義	ji	ji³⁴
烏	wu	wu²³
九	kau	kau³⁵
習	tʃap7	tʃɔk³
書	ʃy	ʃi²³
買	mai1	mai³⁴
亂	lun	ŋun⁴⁴³
爭	tʃɛŋ	tʃɛŋ²³
事	ʃɐi	ʃɐi⁴⁴³
二	ji	ji⁴⁴³
虧	kʰwoe	kʰɔe²³
雲	wɐn	wɐn²¹
五	n̩1	ŋ³⁴
井	tʃøŋ	tʃøŋ³⁵|tʃəŋ³⁵
交	kau	kau²³
產	tʃʰɛŋ	tʃʰɛŋ³⁵
亮	løŋ	ŋøŋ⁴⁴³
親	tʃʰɐn	tʃʰɐn²³
人	jɐn	jɐn²¹
倉	tʃʰɔŋ	tʃʰɔŋ²³
付	fu	fu⁴⁴³
件	kin	kin⁴⁴³
任	jɐm	jɐm⁴⁴³
休	hau	hau²³|jau²³
優	jau	jau²³
會	wi	wɐi⁵⁵⁴
傘	ʃɛŋ	ʃɛŋ⁴⁴³
傳	tʃʰun	tʃʰun²¹
傳	tʃun	tʃun³⁵
傷	ʃøŋ	ʃøŋ²³
位	woe	wɔe⁴⁴³
低	toe	tɔe²³
住	tʃy	tʃi⁴⁴³
余	jy	ji²¹
佛	faʔ7	fak³
作	tʃo	tʃɔ³⁴
使	ʃoe	ʃɔe³⁵|ʃi³⁵
侄	tʃaʔ7	tʃak³
側	tʃaʔ8	tʃak⁵
便	pin	pin⁴⁴³
俊	tʃɐn	tʃɐn⁴⁴³
修	ʃau	ʃau²³
借	tʃø	tʃe³⁴
假	ka	ka³⁵
做	tʃɐu	tʃɐu³⁴
停	tʰəŋ	tʰəŋ²¹
健	kun	kun⁴⁴³
偷	tʰau	tʰau²³
像	tʃøŋ	tʃøŋ⁴⁴³
僧	tʃɐn	tʃun²³
兒	ji	ji²¹
兄	həŋ	həŋ²³
充	tʃʰoŋ	tʃʰoŋ²³
先	ʃin	ʃin²³
光	kwɔŋ	kwɔŋ²³
黨	tɔŋ	tɔŋ³⁵
入	jap7	jɔk³
全	tʃʰun	tʃʰun²¹
八	pe1	pe³⁴
公	koŋ	koŋ²³
六	lok7	ŋok³
蘭	lɛŋ	ŋɛŋ²¹
共	koŋ	koŋ⁴⁴³
關	kwɛŋ	kwɛŋ²³
興	həŋ	həŋ⁴⁴³
兵	pəŋ	pəŋ²³
典	tin	tin³⁵
寫	ʃø	ʃe³⁵
軍	kwɐn	kwɐn²³
冤	jun	jun²³
冬	toŋ	toŋ²³
冰	pəŋ	pəŋ²³
冲	tʃʰoŋ	tʃʰoŋ²³
決	kʰut7	kʰut³
冷	lɛŋ1	ŋɛŋ³⁴
凍	toŋ	toŋ³⁴
準	tʃɐn	tʃɐn³⁵
減	kaŋ	kaŋ³⁵
湊	tʃʰau	tʃʰau⁴⁴³
几	kɐi	kɐi³⁵
