#漢字	音標	解釋
㜷	mɛi1	妈妈
㩳	tsʰoŋ3	
䘆	ɕyɛ3	～公（蚯蚓）
䘆	ɕyɛn3	
一	iɛ5	～二三
一	iɛ3	～定
丁	tɛn1	
七	tɕʰiɛ3	
万	ua5	
丈	tsaŋ5	
三	sɔ1	
上	ɕyɛ1	～面
上	saŋ2	～课
下	xou5	
不	pu5	官话音
与	y3	
丏	miɛ3	
丐	kai5	
丑	tɕʰiou3	
專	tɕyɛ1	
且	tɕʰiɛ3	
丕	pʰɛi1	
世	sɿ2	
丘	tɕʰiou1	
丙	pɛn3	
業	ȵiɛ5	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tɕʰin5	
丟	tiou1	
兩	lɵø1	～个
嚴	iɛ2	
喪	saŋ2	～失
喪	saŋ5	
个	lai5	量词，粒
中	tsoŋ1	
丰	foŋ1	
串	tɕʰyɛ5	
臨	lɛn2	
丸	yɛ2	
丹	tan1	官话音
爲	uɛi2	
主	tɕy3	
丽	li5	官话音
舉	tɕy3	
乃	nai3	
久	tɕiou3	
義	ȵi5	
之	tsɿ1	
烏	u1	官话音
乍	tsa2	
乎	xu1	
乏	fa5	
樂	lɔ5	快～
樂	yɛ	音～
喬	tɕʰiau2	
乖	kuai1	
乘	tɕʰin5	
乙	i3	
九	tɕiou3	
乞	tɕʰi3	
也	iɛ3	
習	ɕiɛ5	
鄉	ɕiaŋ1	
書	ɕy1	
買	ma1	
亂	lɔ5	
乳	y3	
乾	tɕʰiɛ2	
了	lau1	
予	y3	
爭	tsa1	白
爭	tsɛn1	文
事	sa5	
二	a5	
于	y5	
虧	kʰuɛi1	
雲	ioŋ2	
互	xu5	
五	oŋ1	白
五	u3	文
井	tsɛn3	
些	ɕiɛ1	
亡	uaŋ5	
亢	kʰaŋ2	官话音
交	tɕiau1	
產	tsʰan3	
畝	mou3	
享	ɕiaŋ3	
京	kɛn1	
亭	tɛn2	
亮	liaŋ5	
親	tsʰɛn1	
亳	pɔ5	
人	ȵi2	
億	i5	
什	sɛn3	
什	sɿ5	家～
仁	in5	五～
仃	tɛn1	
仄	tsɛ2	
僅	tɕin3	
仆	pʰu5	官话音
仇	tɕiou5	官话音
今	kɛn1	～日
介	kai2	官话音
仍	lɛn1	官话音
从	tsʰoŋ2	
倉	tsʰaŋ1	
仔	tsa3	
仕	sɿ5	
他	kɛ1	
仗	tsaŋ2	官话音
付	fu5	
仙	ɕiɛ1	
仟	tɕʰiɛ1	
仡	kɛ1	官话音
代	tai5	
代	tai2	后～
令	lɛn5	
以	i3	
仨	sɔ1	
儀	ȵi5	
們	mɛn5	我～
仰	ȵiaŋ3	
仲	tsoŋ2	官话音
件	tɕiɛ5	
價	kɔ5	白
價	tɕia2	文
任	in2	
份	fɛn5	
仿	faŋ3	
企	tɕʰi3	
伊	i1	
伍	u3	
伎	tɕi5	
伏	fu5	光～
伏	pʰu5	～到
伐	fa5	官话音
休	ɕiou1	
衆	tsoŋ2	
優	iou1	
伙	xou3	
會	xuɛi2	能
會	xuɛi5	开～
傘	san3	
偉	uɛi3	
傳	tɕyɛ5	
傳	tɕyɛn2	水浒～
伢	ŋou2	
傷	saŋ1	
倫	luɛn5	
僞	uɛi3	
估	ku1	
伴	pan5	
伶	lɛn2	
伸	ɕin1	
似	sɿ5	
佃	tiɛ5	
但	tan5	
位	uɛi5	
低	ti1	
住	tɕʰy5	
佐	tsɔ3	
佑	iou5	
體	tʰi3	
佘	sɛ1	
余	y5	
佚	i2	
佛	fɔ5	官话音
作	tsɔ5	
佟	toŋ2	
你	ȵiɛ1	
你	ȵi1	又音
佣	ioŋ1	
佩	pʰɛi5	
佬	lau3	
佯	iaŋ2	
佰	pai1	白
佰	pɛ5	文
佳	kɔ1	白
佳	tɕia1	文
佼	tɕiau3	
使	sɿ3	～用
侃	kʰan3	
侄	tsʰɛi5	～子
例	li5	
侍	sɿ2	服～
侏	tɕy1	
侗	toŋ2	
供	koŋ1	
依	i1	
侣	ly3	
偵	tɕin1	
側	tsɛ5	～边
僑	tɕʰiau5	官话音
儕	tsɛi5	我～（我们）
儂	loŋ1	你
侯	xɐø6	～车
侵	tsʰɛn1	
便	piɛ5	方～
便	piɛ2	～宜
促	tsʰu5	
俄	ŋou2	～罗斯
俅	tɕʰiou5	
俊	tɕyn5	
俏	tɕʰiau2	官话音
俐	li5	
俑	ioŋ3	
俗	su5	
俘	fu1	
保	pau3	
俞	y5	
信	sɛn5	
儼	iɛ3	
倆	lɵø1	
儉	tɕiɛn3	官话音
修	ɕiou1	
俯	fu3	
俱	tɕy2	官话音
俵	piau5	
俸	foŋ5	
俺	ŋan5	官话音
倌	kua3	
倍	pɛi5	
倒	tau3	动词
倘	tʰaŋ3	
候	xɐø5	～车
倚	i3	
借	tɕia5	
倡	tsʰaŋ5	
倦	tɕʰyɛ5	
倩	tɕʰiɛ5	
債	tsai5	
傾	kʰɛn1	白
傾	tɕʰin1	文
假	kɔ3	白
假	tɕia3	文
偏	pʰiɛ1	
做	tsou5	
停	tɛn3	
健	tɕʰiɛ5	
偶	ŋɐø3	
偷	tʰɐø1	
償	tsʰaŋ5	文
償	saŋ5	白
傅	fu2	
傍	paŋ2	
傣	tai3	
儲	tɕʰy3	
催	tsʰuɵø1	
傲	ŋau5	
傻	sa3	官话音
像	tɕʰiaŋ5	
像	ɕiaŋ2	画～
僚	liau5	官话音
僧	ɕin1	
僭	tɕiɛ5	
僮	toŋ2	
僵	tɕiaŋ1	
僻	pʰi5	
允	ioŋ3	
元	yɛ2	白
元	yɛn5	文，美～
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	tsau2	官话音
先	ɕiɛ1	
光	kuaŋ1	
克	kʰɛ2	文
免	miɛ3	
兌	tuɛi2	
兔	tʰu5	
兖	iɛn3	
黨	taŋ3	
兜	tɐø1	
入	ȵyɛ5	
全	tɕʰyɛ2	
八	pa3	
公	koŋ1	
六	lɵø5	
兮	ɕi1	
蘭	lɔ2	
共	koŋ5	
關	kʰua1	
興	ɕin2	高～
興	ɕin1	～奋
兵	pɛn1	
其	tɕʰi5	官话音
具	tɕʰy5	
具	tɕʰy2	
典	tiɛ3	
養	iaŋ3	
兼	tɕiɛ1	
獸	sɐø5	～医
獸	ɕiou2	
冀	tɕi2	
內	nuɛi2	
冇	mau2	～得（没有）
冇	mau5	没有
岡	kaŋ1	
冉	lan3	官话音
冊	tsʰa3	
再	tsai5	
冏	tɕioŋ3	
冒	mau2	官话音
冕	miɛ3	
