#漢字	音標	解釋
□	tɕyɛ1	圪~~:小而软且呈锥形的物体
㓋	tɕyŋ5	
㞎	pa3	
㞘	tuəʔ3	~子:臀部
䗣	xaŋ5	油~:蚜虫
䙡	kʰuei5	~~疙瘩:一种用绳子打的结
䜺	tsʰɤʔ3/tsʰɤ3	碎~~:小碎粒
钁	tɕyɛʔ3/tɕyɛ3	
一	iəʔ3	
丁	tiŋ1	
七	tɕʰiəʔ3	
丈	tʂɔ5	
三	saŋ1	
上	ʂɔ5	
下	xa5-	
下	ɕia5=	~放
不	pəʔ3	
与	y3	
丐	kai5	
丑	tʂʰau3	
專	tʂuaŋ1	
且	tɕʰiɛ3	
丕	pʰi1	
世	ʂʅ5	
丘	tɕʰiau1	
丙	piŋ3	
業	iɛʔ3/iɛ3	
叢	tsʰuŋ2	
東	tuŋ1	
絲	sɿ1	
丞	tʂʰeŋ2	
丢	tiau1	~盹
兩	lia3	
兩	liɔ3	
嚴	iaŋ2=	
嚴	aŋ2-	关~
喪	sɔ1	
个	kɯ5	~子
个	kuəʔ3	量词:两~,几~
丫	ia1	~鬟
中	tʂuŋ1	
丰	feŋ1	
串	tʂʰuaŋ5	
丸	vaŋ2	
丹	taŋ1	
爲	vei2	
爲	vei5	
主	tʂu3	
麗	li5	
舉	tɕy3	
乃	nai3	
久	tɕiau3	
義	i5	
之	tsɿ1	
烏	vu1	
乍	tsa5	
乎	xu1	
乏	fɑʔ3/fɑ3	
樂	lɤʔ3/lɤ3	
樂	iɛʔ3/iɛ3	
乓	pʰa5	
喬	tɕʰieu2	
乖	kuai1	
乘	tʂʰeŋ2	
乘	ʂeŋ5	
乙	iəʔ3	
九	tɕiau3	
乞	tɕʰiəʔ3	
也	iɛ3	
習	ɕiəʔ3	
鄉	ɕiɔ1	
書	ʂu1	
買	mai3	
亂	luaŋ5=	
亂	laŋ5-	忙~
乳	ʐu3	
乾	tɕʰiaŋ2	
了	lieu3	
爭	tseŋ1	
事	sɿ5	
二	eʐ5	
于	y2	
虧	kʰuei1	
云	yŋ2	
互	xu5	
五	vu3	
亘	keŋ5	
亞	ia5	
些	ɕiɛ1	
亡	vɔ2	
交	tɕiau1-	~涉;~作业
亥	xai5	
亦	iəʔ3	
產	tsʰaŋ3	
亨	xeŋ2	
畝	mu3	
享	ɕiɔ3	
亭	tʰiŋ1	
亮	liɔ5	
親	tɕʰiŋ1	
親	tɕʰiŋ5	
人	lieu1	
人	ʐeŋ2	
億	i5	
什	ʂəʔ3	
仁	ʐeŋ2	
僅	tɕiŋ3	
仆	pʰəʔ3	
仇	tʂʰau2	
仇	tɕʰiau2	
今	tʂeŋ1-	~年
介	tɕiai5	
仍	ʐeŋ1	
从	tsʰuŋ2	
倉	tsʰɔ1	
仕	sɿ5	
他	tʰa1	
仗	tʂɔ5	
付	fu5	
仙	ɕiaŋ1	
代	tai5	
令	liŋ5	
以	i3	
以	kʰɯ3	
儀	i2	
仰	iɔ3=	
仰	niɛ3-	圪~:躺下
仰	niɔ3-	圪~
仲	tʂuŋ5	
件	tɕiaŋ5	
價	tɕia5	
任	ʐeŋ2	
任	ʐeŋ5	
份	feŋ5	
仿	fɔ3	
企	tɕʰi3	
伊	i2	
伍	vu3	
伏	fəʔ3	
伏	fuəʔ3	
伐	fɑʔ3/fɑ3	
休	ɕiau1	
衆	tʂuŋ5	
優	iau1	
伙	xuɯ3	
會	kʰuai5	
會	xuei5	
傘	saŋ3	
偉	vei3	
傳	tʂʰuaŋ2	
傳	tʂuaŋ5	
傷	ʂɔ1	
倫	luŋ2	
倫	lyŋ3	
僞	vei3	
伯	piɛʔ3/piɛ3	
估	ku1	
伴	paŋ5	
伸	ʂeŋ1	
伺	tsʰɿ5	
似	sɿ5	
但	taŋ5	
位	vei5	
低	ti1	
住	tʂu5	
佐	tsuɯ3	
體	tʰi3	
何	xɯ2	
佘	ʂʅ2	
余	y2	
佛	fɤʔ3/fɤ3	
作	tsɤʔ3/tsɤ3	
佞	niŋ5	
你	ni3	
佩	pʰei5	
佳	tɕia1	
使	sɿ3	
侄	tʂəʔ3	
侈	tsʰɿ3	
侉	kʰua3	
例	li5	
侍	sɿ5	
供	kuŋ1	提~
依	i1	
僥	tɕieu3	
偵	tʂeŋ1	
側	tsʰɤʔ3/tsʰɤ3	
側	tsəʔ3	~楞
僑	tɕʰieu2	
侮	vu3	
侯	xau1	
侵	tɕʰiŋ1	
便	pʰiaŋ2	
便	piaŋ5	
促	tsʰuəʔ3	
俄	ɯ2	
俊	tɕyŋ5	
俏	tɕʰieu5	
俗	ɕyəʔ3	
俘	fu2	
保	pau3	
俟	sɿ5	
信	ɕiŋ5	
儼	iaŋ2	
倆	lia3	
儉	tɕiaŋ3	
修	ɕiau1	
俯	fu3	
俱	tɕy5	
俸	feŋ5	
俾	pi3	
倍	pei5	
倒	teu3	
倒	teu5=	
倒	tu5?	
倔	tɕyɛʔ3/tɕyɛ3	
倔	tɕyɛ5	形容一个人脾气古怪:~脾气
倘	tʰɔ3	
候	xau5	
倚	i3	
借	tɕiɛ5	
倡	tʂʰɔ5	
倦	tɕyaŋ5	
倪	ni2	
倭	vɯ1	
債	tsai5	
值	tʂəʔ3	
傾	tɕʰiŋ3	
假	tɕia5	放~
假	tɕia3	真~
偏	pʰiaŋ1	
做	tsuəʔ3	
停	tʰiŋ2	
停	tʰiŋ5	~等
健	tɕiaŋ5	
偶	au3	
偷	tʰau1	
傀	kʰuei1	
傅	fu5	姓
傅	fu2	师~
傍	pɔ5	
儲	tʂʰu3	
催	tsʰuei1	
傲	eu5	
像	ɕiɔ5	
僧	seŋ1	
僵	tɕiɔ1	
僻	pʰiəʔ3	
儒	ʐu3=	
儒	vu2-	圪~~地:形容人性格儒雅
儡	luei3	
兒	eʐ2	
兀	uəʔ3	
允	yŋ3	
元	yaŋ2	
兄	ɕyŋ1	
充	tʂʰuŋ3	
兆	tʂeu5	
先	ɕiaŋ1	
光	kɔ1	
免	miaŋ3	
兑	tuei5	
兔	tʰu5	
黨	tɔ3	
兜	tau1	
入	ʐuəʔ3	
全	tɕʰyaŋ2=	
全	tsʰuaŋ2-	形容词,聚拢在一起的样子
八	pɑʔ3/pɑ3	
公	kuŋ1	
六	liau5	
兮	ɕi1	
蘭	laŋ2	
共	kuŋ5	
關	kuaŋ1	
興	ɕiŋ1	
興	ɕiŋ5	
兵	piŋ1	
其	tɕʰi2	
具	tɕy5	
典	tiaŋ3	
兹	tsɿ1	
養	iɔ3	
兼	tɕiaŋ1	
獸	ʂau5	
冀	tɕi5	
内	nai5	
岡	kɔ3	
冉	ʐaŋ3	
册	tsʰɤʔ3/tsʰɤ3	
再	tsai5	
冒	mau5	
冗	ʐuŋ3	
寫	ɕiɛ3	
軍	tɕyŋ1	
農	luŋ2	
冠	kuaŋ1	
冠	kuaŋ5	
冢	tʂuŋ3	
冤	yaŋ1	
冬	tuŋ1	~月
馮	feŋ2	
冰	piŋ1	
冲	tʂʰuŋ1	
冲	tʂʰuŋ5	
決	tɕyɛʔ3/tɕyɛ3	
况	kʰɔ5	
冷	leŋ3	
凍	tuŋ5	
淨	tɕiŋ5	
凄	tɕʰi1	
準	tʂuŋ3	
涼	liɔ2	
減	tɕiaŋ3	
湊	tsʰau5=	
湊	tsʰu5-	~热闹
凝	niŋ2	
几	tɕi3	
凡	faŋ2	
鳳	feŋ5	
凭	pʰiŋ2	
凱	kʰai3	
凳	teŋ5	
凶	ɕyŋ1	
凸	tʰuəʔ3	
凹	va5	
出	tʂʰuəʔ3	
擊	tɕiəʔ3	
函	xaŋ2	
鑿	tseu2	开~
刀	teu1	
刁	tieu1	
刃	ʐeŋ5	
分	feŋ1	
分	feŋ5	
切	tɕʰiɛʔ3/tɕʰiɛ3	
刈	i5	
刊	kʰaŋ1	
刑	ɕiŋ2	
划	xua2	
划	xua5	计~
列	liɛʔ3/liɛ3	
劉	liau2	
則	tsɤʔ3/tsɤ3	
剛	kɔ1	
