#漢字	音標	解釋
□	yɛ1	手足痉挛
㙲	yŋ1	
㮇	tʰiæ5	~笔
䝋	tsuəŋ3	
七	tɕʰi1	
万	uæ5	
丈	tʂaŋ5	
三	sæ1	
上	tʂaŋ1	
上	ʂaŋ5	
下	ɕia5	~降
下	ɕia5	底~
不	pu5	
丐	kai5	
丑	tʂʰou3	
專	tʂuæ1	
且	tɕʰiɛ3	
丕	pʰi1	
世	ʂi5	
丘	tɕʰiou1	
丙	piəŋ3	
業	iɛ5	
業	niɛ5	毕~
叢	tsʰuəŋ1	
東	tuəŋ1	
絲	sɿ1	
丞	tʂʰəŋ1	
丢	tiou1	
兩	liaŋ3	
嚴	iæ1	
並	piəŋ5	
喪	saŋ5	
个	kɤ5	~人
丫	ia1	
中	tʂuəŋ1	
中	tʂuəŋ5	射~
丰	fəŋ1	
串	tʂʰuæ5	
臨	liən1	
丸	uæ1	
丹	tæ1	
爲	uei5	
主	tʂu2	
麗	li5	
舉	tɕy3	
乃	nai3	
久	tɕiou3	
義	i5	
之	tʂʅ1	
烏	u1	
乍	tʂa5	
乎	xu1	
乏	fa1	
樂	luo5	
樂	yɛ5	
喬	tɕʰiɔ2	
乖	kuai1	
乘	tʂʰəŋ1	
乙	i3	
九	tɕiou3	
乞	tɕʰi3	
也	iɛ3	
習	ɕi1	
鄉	ɕiaŋ1	
書	ʂu1	
買	mai3	
亂	luæ5	
乳	ʐu3	
乾	kæ1	
乾	tɕʰiæ1	
了	liɔ3	
予	y1	给~
爭	tʂəŋ1	
事	ʂʅ5	
于	y1	
雲	yn1	
互	xu5	
五	u3	
井	tɕiəŋ3	
亞	ia5	
些	ɕiɛ1	
亡	uaŋ1	
交	tɕiɔ1	
亦	i5	
產	tʂæ3	
畝	mɔ3	
享	ɕiaŋ3	
京	tɕiəŋ1	
亭	tʰiəŋ1	
亮	liaŋ5	
親	tɕʰiən1	
親	tɕʰiən5	~家
人	ʐən1	
什	ʂʅ1	
仁	ʐən1	
仇	tʂʰou2	
仇	tɕʰiou2	姓
今	tɕiən1	
介	tɕiɛ5	
仍	ʐəŋ1	
从	tsʰuəŋ1	
倉	tsʰaŋ1	
仕	ʂʅ5	
他	tʰa1	
仗	tʂaŋ5	
付	fu5	
仙	ɕiæ1	
代	tai5	
以	i3	
儀	i1	
仰	iaŋ3	
仲	tʂʰuəŋ5	
件	tɕiæ5	
價	tɕia5	
任	ʐən1	
份	fuən5	
仿	faŋ3	
企	tɕʰi3	
伊	i1	
伍	u3	
伏	fu1	
伐	fa1	
休	ɕiou1	
衆	tʂuəŋ5	
優	iou1	
會	xuei2	~不~
會	kʰuei5	~计
會	xuei5	开~
偉	uei3	
傳	tʂuæ5	
傳	tʂʰuæ1	~达
傷	ʂaŋ1	
