#漢字	音標	解釋#('cmn_jh_hc_ydxx', '鹽都西鄉話', '鹽都西鄉', '#800080', None, None, '更新：2022-01-11<br>來源：osfans整理鹽都西鄉（大縱湖、秦南）口音', '31 1 1a 陰平 ꜀,213 2 1b 陽平 ꜁,443 3 2 上 ꜂,,35 5 3 去 ꜄,,4 7 4 入 ꜆')
廠	tsʰæ̃3	
廢	fɪ5	
廣	kuæ̃3	
廬	ləu2	
廳	tʰiən1	
延	iɪ̃2	
廷	tʰiən2	
建	tɕiɪ̃5	
弄	nɔŋ1-	
弄	nɔŋ5=	
式	səʔ7	
弓	kɔŋ1	
弔	tiɔ5	
引	iən3	
弘	xɔŋ2	
弛	tsʰɿ2	
弟	tɕʰi1-	兄～
弟	tɕi5=	～兄
弦	ɕyõ2	
弱	læʔ7	
張	tsæ̃1	
強	tɕʰia2	不～意：沒想到
強	tɕʰiæ̃2	
強	tɕʰiæ̃3	
強	tɕiæ̃5	
弼	piəʔ7	
彆	piəʔ7	
彈	tʰɛ̃2	
彈	tɛ̃5	
彌	mɪ2	
彎	vɛ̃1	
彙	xuɪ5	
形	ɕiən2	
彩	tsʰɛ3	
彪	piɔ1	
彬	piən1	
彭	pʰɔŋ2	
彭	sɛ̃5	
影	iən3	
彷	fæ̃3	
役	yəʔ7	
彼	pi3	
彿	fəʔ7	
往	væ̃3	
待	tɛ5	
很	xən3	
律	liəʔ7	
後	xɤɯ1-	
後	xɤɯ5=	
徐	tɕʰy2	
徑	tɕiən5	
徒	tʰəu2	
得	təʔ7	
徙	ɕi3	
從	tsʰɔŋ2	
御	y5	
復	fɔʔ7	
循	ɕyən2	
微	vɪ2	
徵	tsən1	
德	təʔ7	
徹	tsʰiəʔ7	
徽	xuɪ1	
心	tɕʰiən5	
必	piəʔ7	
忌	tɕi5=	
忍	lən3	
忒	tʰəʔ7	
志	tsɿ5	
忘	væ̃2-	
忘	væ̃5=	
忙	mæ̃2	
忠	tsɔŋ1	
快	kʰuɛ5	
念	nɪ̃1	
忽	xuəʔ7	
忿	fən5	
怏	æ̃1	～腦子：皺眉頭
怒	no5	
怕	pʰa5	
思	sɿ1	
怠	tʰɛ1	懈～：形容動作慢
怠	tɛ5	
急	tɕiəʔ7	
性	ɕiən5	
怨	yõ1-	
怨	yõ5=	
怪	kuɛ5	
怯	tɕʰiəʔ7	
恆	xən2	
恐	kʰɔŋ3	
恕	səu5	
恢	xuɪ1	
恤	ɕiɔʔ7	
恥	tsʰɿ3	
恨	xən1-	
恨	xən5=	
恩	ən1	
恭	kɔŋ1	
息	ɕiəʔ7	
恰	kʰæʔ7	～是：正是
悄	tɕʰiɔ1	
悅	yoʔ7	
悉	ɕiəʔ7	
悔	xuɪ3	
悟	əu5	
悠	iɤɯ1	
患	xuɛ̃5	
悲	pɪ1	
悶	mən1	
悶	mən5	
情	tɕʰiən2	
惑	xɔʔ7	煽動
惜	ɕiəʔ7	
惟	vɪ2	
惠	xuɪ5	
惡	əu5	
惡	næʔ7	
惰	to5	
惱	nɔ3	
想	ɕiæ̃3	
惶	xuæ̃2	
惹	la3	～蒼蠅
愁	tsʰɤɯ2	
愈	y5	
愉	y2	
意	i5	
愚	y2	
愛	ɛ5	
感	kɛ̃3	
愣	lən5	
愧	kʰuɪ5	
慄	liəʔ7	
慈	tsʰɿ2	～菇
慌	xuæ̃1	
慎	sən5	
慘	tsʰɛ̃1-	
慘	tsʰɛ̃3	
慚	tsʰɛ̃2	
慢	mɛ̃1	
慣	kuɛ̃5	
慧	xuɪ5	
慨	kʰɛ3	
慪	ɤɯ5	
慫	sɔŋ3	
慮	ly5	
慰	vɪ5	
慶	tɕʰiən5	
慷	kʰæ̃1	
慾	iɔʔ7	
憂	iɤɯ1	
憋	piəʔ7	
憎	tsən1	
憐	nɪ̃2-	可～
憐	lɪ̃2	
憑	pʰiən2	
憤	fən5	
憨	xɛ̃1	
憫	miən3	
憲	ɕiɪ̃5	
憶	iəʔ7	
憾	xɛ̃5	
懁	xuɛ̃1	～耍：敏捷
懂	tɔŋ3	
懇	kʰən3	
懈	xɛ1-	～怠：形容動作慢
懈	ɕiɛ5	
應	iən1	
應	iən1	寶～
應	iən5	
懊	ɔ5	
懞	mɔŋ2	
懦	no1	
懲	tsʰən2	
懵	mɔŋ1	
懶	lɛ̃3	
懷	xuɛ2	
懸	ɕyõ2	
懼	tɕy5	
戀	lɪ̃5	
戈	koʔ7	
戊	əu5	
戌	ɕyəʔ7	
戍	səu5	
成	tsʰən2	
我	ŋ̍3	
戒	kɛ5-	～酒
戒	tɕiɛ5=	豬八～
或	xɔʔ7	
戥	tən3	～子
戧	tɕʰiæ̃5	一端着地，一端靠着豎着的某物：把扁擔～了牆上
截	tɕiəʔ7	
戰	tsɪ̃5	
戲	ɕi5	
戳	tɕʰyæʔ7	
戴	tɛ5	
戶	xəu5	
戽	xəu3	灑
房	fæ̃2	
所	so3	
扁	pɪ̃3	
扇	sɪ̃1	動詞
扇	sɪ̃5	名詞
手	sɤɯ3	
才	tsʰɛ2	
扎	tsæʔ7	
扒	pa1	掰
打	ta3	
扔	lən1	
托	tʰæʔ7	
扚	tiəʔ7	拔：～茅針、～鬍子
扛	kʰæ̃2	
扛	kæ̃5	～墩子
扣	kʰɤɯ5	
扭	niɤɯ3	
扭	tɕiɤɯ3	擰
扮	pɛ̃5	
扯	tsʰa3-	動詞，使平均，使均勻：大傢伙～～，弄個差不多
扯	tsʰɪ3	
扳	pɛ̃1	
扶	xəu2-	油瓶子倒了不～
扶	fv2	
批	pʰi1	
扼	əʔ7	
扽	tən5	拖，拉，拽
找	tsɔ3	
承	tsʰən2	
技	tɕi5	
抄	tsʰɔ1	
把	ma3+	㴷～：拖把
把	pa3	介詞；量詞
把	pa5	名詞：～子
抑	iəʔ7	
抓	tɕya1	
投	tʰɤɯ2	
投	tʰɤɯ2	～飯：將剩飯加水重新加熱
抖	tɤɯ3	
抗	kʰæ̃5	
折	tsiəʔ7	
折	siəʔ7	～本
披	pʰi1	
披	tsɤɯ1	
抬	tʰɛ2	
抱	pʰɔ1-	
抱	pɔ1	～怨
抱	pɔ5=	
抵	tɪ3-	
抵	tɕi3	
抹	mæʔ7	
抻	sən5	拉長
押	æʔ7	
抽	tsʰɤɯ1	涼～
抽	ɕiɤɯ2	用嘴吮吸
抿	miən3	
拂	pʰəʔ7	推開；攪亂
拃	tsa1	一～長
拄	tsəu3	
拆	tsʰəʔ7	
拇	mo3	
拉	læʔ7-	～寡話
拉	la1	
拋	pʰɔ1	
拌	pʰõ1	
拍	pʰɔʔ7	
拎	liən1	
拎	liən2	
拐	kuɛ3	
拒	tɕy5	
拓	tʰæʔ7	
拔	pʰæʔ7-	
拔	pæʔ7=	
拖	tʰo1	
拖	ta1?	拉～：做事拖拉
拗	niɔ5?	一般指小動物被束縛時的掙扎狀
拘	tɕy1	喻人不知变通
拙	tsoʔ7	
招	tsɔ1	
拜	pɛ5	
括	kuæʔ7	
拯	tsən3	
拱	kɔŋ3	
拳	tɕʰyõ2	
拴	ɕyɛ̃1	
拼	pʰiən1	
拽	tɕyɛ3	
拽	tɕyɛ5	
拾	səʔ7	
拿	na2	
持	tsʰɿ2	
指	tsɿ3	～示
指	tsəʔ7	手～頭
按	ɛ̃1	～他的要求做
挑	tʰiɔ1	
挑	tʰiɔ3	～撥離間
挖	væʔ7	
挨	ɛ1	
挨	ɛ2	
挪	no2	
振	tsən5	
挶	tɕiɔʔ7	～在樹上
挺	tʰiən3	
挽	vɛ̃3	
挽	vɛ̃3?	～子：存放糧食的器具，比笆斗小
挾	ɕiəʔ7	
捅	tʰɔŋ3	
捅	tʰɔŋ3	挪
捆	kʰuən3	
捉	tɕyæʔ7	
捍	xɛ̃5	
捎	sɔ1	
捏	niəʔ7	
捐	tɕyõ1	
捕	pu3	
捧	pʰɔŋ3	
捨	sa3-	
捨	sɪ3=	
捱	ɛ1	
捱	ɛ2	
捲	tɕyõ3	
捲	tɕyõ5	
捷	tɕiəʔ7	
捺	næʔ7	
捻	nɪ̃3	～子：引線
掀	ɕiɪ̃1	
掃	sɔ3	
掇	toʔ7	
授	sɤɯ5	
掉	tʰiɔ1-	～頭
掉	tiɔ5=	
掌	tsæ̃3	
掏	tʰɔ1	
掐	kʰæʔ7	
排	pʰɛ2	
掖	iəʔ7	
掗	a5	喫飽後繼續喫
掘	tɕyoʔ7	
掛	kua5	
掛	kua5	一～車子
掠	liæʔ7	
採	tsʰɛ3	
探	tʰɛ̃5	
探	tʰõ5	襪子望下～
接	tɕiəʔ7	
控	kʰɔŋ5	
推	tʰɪ1	
掩	iɪ̃3	
措	tsʰo5	
掭	tʰɪ̃5	～筆
掯	kʰən5	按
揀	kɛ̃3	
揈	xɔŋ1	
揉	lɤɯ3	
揍	tsɤɯ5	
提	tɕʰi2	
插	tsʰæʔ7	
揖	iəʔ7	
揚	iæ̃2	
換	xõ1	
握	væʔ7	
揢	kʰa5	～頸項
揣	tɕʰyɛ1	
揩	kʰɛ1	
揪	tɕiɤɯ1	
揪	tɕʰiən5	
揭	tɕiəʔ7	
揭	ɕiəʔ7	掀
揮	xuɪ1	
援	yõ2	
揹	pɪ5	
搉	kʰæʔ7	敲擊
搌	tsɪ̃3	～布
損	ɕyən3	
搏	pæʔ7	
搓	tsʰo1	
搕	oʔ7	～𢶍：垃圾
搖	iɔ2	
搗	tɔ3	
搛	tɕiɪ̃1	～菜
搜	sɤɯ1	
搝	tɕʰiɤɯ3	弄；做
搞	kɔ3	
搡	sæ̃3	
搧	sɪ̃1	
搨	tʰæʔ7	圖抹
搪	tʰæ̃1	擋
搪	tʰæ̃2	
搬	põ1	
搭	tæʔ7	
搲	ua1	手要貓爪子～破了
搲	ua3	舀
搶	tɕʰiæ̃3	
搽	tsʰa2	
摔	ɕyɛ1	
摘	tsəʔ7	
摜	kʰuɛ̃1-	～時間：耽誤
摜	kuɛ̃5	
摝	lɔʔ7	撈
摞	lo1	
摩	mo2	
摯	tsɿ5	
摲	ɕyɛ̃3?	挑選
摳	kʰɤɯ1	
摴	tsʰəu1?	擦
摸	mæʔ7	
摹	mo2	
摺	tsiəʔ7	
撂	liɔ1	
撅	tɕyəʔ7?	一般指嘴巴攏起向前：寶寶嘴全～起來了，要同你香嘴
撇	pʰiəʔ7	
撈	lɔ1	
撐	tsʰən1	
撒	sæʔ7	
撓	nɔ2	
撕	sɿ1	
撚	nɪ̃3	
撞	tɕʰyæ̃5-	
撞	tɕyæ̃5=	
撣	tɛ̃3	
撤	tsʰiəʔ7	
撥	poʔ7	
撧	tɕyoʔ7	掰斷
撩	liɔ2	
撬	tɕʰiɔ1	
撮	tsʰoʔ7	
撰	tsõ5	
撲	pʰɔʔ7	
撼	xɛ̃5	
擀	kɛ̃3	
擁	iɔŋ1	
擉	tɕʰyæʔ7	～茄子
擊	tɕiəʔ7	
擋	tæ̃3	
操	tsʰɔ1	
擎	tɕʰiən2	
擓	kʰuɛ1	～到一邊、～書包
擔	tɛ̃1	
擔	tɛ̃5	
據	tɕy5	
擠	tɕi3	
擢	tɕyæʔ7	把筷子～齊了
擦	tsʰæʔ7	
擪	iəʔ7	
擬	nɪ3	
擱	kæʔ7	
擲	tsəʔ7	～猴子：擲骰子
擲	tsəʔ7	
擴	kʰuæʔ7	
擺	pɛ3	炫耀
擾	lɔ3	
攀	pʰɛ̃1	
攆	nɪ̃3	
攎	ləu2	一般指用手指來回觸摸人或物：把頭髮～～，你望多亂
攏	lɔŋ3	
攔	lɛ̃2	
攔	lõ2	攔截：～車子
攘	næ̃3	
攙	tsʰɛ̃1	
攜	ɕi2	
攝	siəʔ7	
攢	tsɛ̃3	
攤	tʰɛ̃1	
攪	kɔ3	
攬	lɛ̃3	
支	tsɿ1	
收	sɤɯ1	
改	kɛ3	
攻	kɔŋ1	
放	fæ̃5	
政	tsən5	
故	kəu5	
效	ɕiɔ5	
敏	miən3	
救	tɕiɤɯ5	
敗	pʰɛ1	
敗	pɛ5	
敘	ɕy5	
教	kɔ1-	
教	tɕiɔ5	
教	tɕiɔ1=	
敝	pi5	
敞	tsʰæ̃3	
敢	kɛ̃3	
散	sɛ̃3	
散	sɛ̃5	
敦	tən1	
敬	tɕiən5	
敲	kʰɔ1-	
敲	tɕʰiɔ1=	
整	tsən3	
敵	tiəʔ7	
數	səu3	動詞
數	səu5	名詞
斂	lɪ̃3	
斃	pi5	
文	vən2	
斑	pɛ̃1	
斗	tɤɯ3	
料	liɔ1-	糖～：做糖人的原料
料	liɔ5=	
斛	xɔʔ7	～𣔙：一種量具
斜	tɕʰia2	
斟	tsən1	
斢	tʰiɔ2	調換
斤	tɕiən1	
斥	tsʰəʔ7	
斧	fv3	
斫	tsæʔ7	
斬	tsɛ̃3	
斯	sɿ1	
新	ɕiən1	
斷	tʰõ1-	
斷	tõ5=	
方	fæ̃1	
於	y2	
施	sɿ1	
旁	pʰæ̃2	
旅	ly3	
旋	ɕyõ2	
旋	ɕyõ5	
族	tsʰɔʔ7	
旗	tɕʰi2	
既	tɕi5	
日	lən1	～裏
日	ləʔ7	
旦	tɛ̃5	
旨	tsɿ3	
早	tsɔ3	
旬	ɕyən2	
旱	xɛ̃5	
旺	væ̃5	
昂	æ̃2	
昆	kʰuən1	
昇	sən1	
昌	tsʰæ̃1	
明	mən2-	～朝（明天）、～年子
明	miən2	
昏	xuən1	
易	i5	
易	iəʔ7	貿～
星	ɕiən1	
映	iən5	
春	tɕʰyən1	
昧	mɪ5	
昨	tsʰæʔ7	
昭	tsɔ1	
是	sɿ1-	
是	sɿ5=	
時	sɿ2	
晃	xuæ̃5	
晉	tɕiən5	
晌	sæ̃3	
晏	ɛ̃5	晚：來～了
晚	vɛ̃3	
晝	tsɤɯ5	
晦	xuɪ5	
晨	tsʰən2	
普	pʰu3	
景	tɕiən3	
晴	tɕʰiən2	
晶	tɕiən1	
智	tsɿ5	
暄	ɕyõ1	松軟
暇	ɕia2	
暈	yən1	
暑	tsʰəu3	～假
暖	nõ3	
暗	ɛ̃5	
暢	tsʰæ̃5	
暫	tsɛ̃5	
暴	pɔ5	
曆	liəʔ7	
曉	ɕiɔ3	
曏	ɕiæ̃5	
曠	kʰuæ̃5	
曬	sɛ5	
曰	yoʔ7	
曲	tɕʰiɔʔ7	
更	kən1	
更	kən5	
書	səu1	
曹	tsʰɔ2	
曾	tsən1	
曾	tsʰən2	
替	tɕʰi5	
最	tɕyɪ5	
會	xuɪ1-	不～
會	kʰuɛ5	～計
會	xuɪ5=	開～
月	yoʔ7	
有	iɤɯ3	
朋	pʰɔŋ2	
服	fɔʔ7	
朔	syæʔ51	～氣：寒氣
朗	læ̃3	
望	væ̃1-	往
望	væ̃5=	
朝	tsɔ1	
朝	tsʰɔ2	
期	tɕʰi1	
木	mɔʔ7	
未	vɪ5	
末	moʔ7	
本	pən3	
札	tsæʔ7	
朱	tsəu1	
朵	to3	
朽	ɕiɤɯ3	
杆	kəu3	莧菜～
杆	kɛ̃3	
杈	tsʰa5	
杌	vəʔ7	～子
李	li3	
杏	ɕiən5	
材	tsʰɛ2	
村	tɕʰyən1	
杜	təu5	
杭	xæ̃2	
杯	pɪ1	
東	tɔŋ1	
杳	iɔ3	
杵	tsʰəu3	
松	sɔŋ1	
板	pɛ̃3	
枇	pʰi2	
枉	væ̃3	
析	ɕiəʔ7	
枕	tsən3	
林	liən2	
枚	mɪ2	
果	ko3	
枝	tsɿ1	
枵	ɕiɔ1	薄
架	ka5-	
架	tɕia5=	
枷	kɛ1	連～
柄	piən5	
柏	pæʔ7+	～油
柏	pɔʔ7	
某	mo3	
柑	kɛ̃1	
染	lɪ̃3	
柔	lɤɯ3	
柚	iɤɯ5	
柞	tsæʔ7	
查	tsa1	姓
查	tsʰa2	
柩	tɕiɤɯ5	
柬	tɕiɛ̃3	
柱	tsəu5	
柳	liɤɯ3	
柴	tsʰɛ2	
柵	tsa5	
柺	kuɛ3	
柿	sɿ5	
栗	liəʔ7	
校	tɕiɔ5	～對
校	ɕiɔ5	
株	tsəu1	
核	xəʔ7	
核	xuəʔ7	桃～子
根	kən1	
格	kəʔ7	
栽	tsɛ1	
桁	ɕiən2	～條：檁
桂	kuɪ5	
桃	tʰɔ2	
桄	kʰuæ̃2	～繩子：繞繩子
桅	vɪ2	
框	kʰuæ̃1	
桌	tɕyæʔ7	
桐	tʰɔŋ2	
桑	sæ̃1	
桔	tɕiəʔ7	～梗
桴	ɕiɔ1	
桶	tʰɔŋ3	
桿	kɛ̃3	
梁	liæ̃2	
梅	mɪ2	
梓	tsɿ3	
梔	tsɿ1	～子花
梗	kən3	
條	tʰiɔ1	一～魚
條	tʰiɔ2	
梢	sɔ1	～瓜：菜瓜
梧	əu2	
梨	li2	
梭	so1	
梯	tɕʰi1	
械	tɕiɛ5	
梳	səu1	
棄	tɕʰi5	
棉	mɪ2	～花
棉	mɪ̃2	
棋	tɕʰi2	
棍	kuən5	
棒	pʰæ̃1	～頭：玉米
棒	pæ̃5=	～冰
棕	tsɔŋ1	
棗	tsɔ3	
棚	pʰɔŋ2	
棟	tɔŋ5	
棠	tʰæ̃2	
棧	tsɛ̃5	
森	sən1	
棱	lən2	
棲	tɕʰi1	
棵	kʰo1	
棹	tsɔ5	
棺	kõ1	
椅	i3	
植	tsəʔ7	
椒	tɕiɔ1	
椰	ia1	
椴	tõ5	
椽	tsʰõ2	～子
椿	tɕʰyən1	
楊	iæ̃2	
楓	fɔŋ1	
楔	tɕʰiəʔ7	
楚	tsʰəu3	
楣	mɪ2	
楦	ɕyõ5	
業	iəʔ7	
極	tɕiəʔ7	
楷	kʰɛ3	
概	kɛ5	
榆	y2	
榔	læ̃2	～頭
榕	iɔŋ2	
榘	tɕy5	
榛	tsən1	
榜	pæ̃3	
榧	fɪ3	
榨	tsa5	
榫	ɕyən3	～頭
榮	iən2	老派人名
榮	iɔŋ2	
榴	liɤɯ2	
榷	tɕʰiæʔ7	
榻	tʰæʔ7	
構	kɤɯ5	
槌	tɕʰyɪ2	
槍	tɕʰiæ̃1	
槐	xuɛ2	
槓	kæ̃5	
槳	tɕiæ̃3	
槽	tsʰɔ2	
樁	tɕyæ̃1	
樂	læʔ7	
樂	iæʔ7	
樑	liæ̃2	
樓	lɤɯ2	
標	piɔ1	
樞	səu1	
樟	tsæ̃1	
模	mo2	
樣	iæ̃1	
樸	pʰæʔ7	
樹	səu1	
樺	xua2	
橄	kɛ̃3	
橈	lɔ2	
橋	tɕʰiɔ2	
橘	tɕyəʔ7	
橙	tsʰən2	
橛	tɕyoʔ7	
機	tɕi1	
橡	ɕiæ̃5	
橢	tʰo3	
橫	xɔŋ5-	
橫	xən2=	
檀	tʰɛ̃2	
檁	liən3	
檐	iɪ̃2	
檗	pɔʔ7	
檢	tɕiɪ̃3	
檯	tʰɛ2	
檳	piən1	
檵	tɕi3	枸～
檻	kʰɛ̃3	門～子
櫃	kʰuɪ1-	
櫃	kuɪ5=	
櫓	nõ3	搖～
櫻	iən1	
欄	lɛ̃2	
權	tɕʰyõ2	
欖	lɛ̃3	
欠	tɕʰiɪ̃5	
次	tsʰɿ5	
欣	ɕiən1	
欬	kʰɛ2	～氣
欲	iɔʔ7	
欺	tɕʰi1	
款	kʰõ3-	大～
款	kʰɛ̃3=	
歇	ɕiəʔ7	
歌	ko1	
歎	tʰɛ̃5	
歐	ɤɯ1	
歡	xõ1	
止	tsɿ3	
正	tsən5	
此	tsʰɿ3	
步	pʰu1-	量詞
步	pu5=	
武	əu3	
歪	vɛ1	
歲	ɕyɪ5	
歷	liəʔ7	
歸	kuɪ1	
歹	tɛ3	
死	sɿ3	
殃	iæ̃1	
殆	tɛ5	
殉	ɕyən5	
殊	səu1	
殖	tsəʔ7	
殘	tsʰɛ̃2	
殭	tɕiæ̃1	
殮	lɪ̃3	
殯	piən5	
殲	tɕiɪ̃1	
段	tõ5	
殷	iən1	
殺	sæʔ7	
殼	kʰæʔ7	
殿	tɪ̃5	
毀	xuɪ3	
毅	i5	
毆	ɤɯ1	
母	mo3	
母	m̩3	～媽（母親，面稱）、舅～、丈～娘
每	mɪ3	
毒	tɔʔ7	
比	pɪ3-	
比	pi3	
毛	mɔ2	
毛	mɔ1?	上～：發黴
毫	xɔ2	
毯	tʰɛ̃3	
氈	tsɪ̃1	
氏	sɿ5	
民	miən2	
水	ɕyɪ3	
永	yən3-	
永	iɔŋ3=	
氾	fɛ̃5	
汀	tʰiən1	
汁	tsəʔ7	
求	tɕʰiɤɯ2	
汆	tsʰõ1	
汎	fɛ̃5	
汗	xõ1	
汛	ɕyən5	
汝	ləu3	
汞	xɔŋ3	～溝：鹽都秦南地名
江	kæ̃1-	姓～、～陰
江	tɕiæ̃1=	
池	tsʰɿ2	
污	əu1	
汪	væ̃1	
汰	tʰɛ1	洗，動詞，最後用清水～洗衣服
汴	pɪ̃5	
決	tɕyoʔ7	
汽	tɕʰi5	
沁	tɕʰiən5	
沈	sən3	
沉	tsʰən2	
沌	tən5	
沒	məʔ7	
沓	tæʔ7	
沖	tsʰɔŋ1	
沙	sa1	
沛	pʰɪ5	
沫	moʔ7	
沰	tæʔ7	～爛泥
沰	tæʔ7	一～痰
沰	tæʔ7	淋
河	xo2	
油	iɤɯ2	
治	tsʰɿ2	～魚
治	tsɿ5	
沾	tsɪ̃1	
沿	iɪ̃2	
況	kʰuæ̃5	
泅	tɕʰiɤɯ2	
泉	tɕʰyõ2	
泊	pɔʔ7	
泌	pi5	
法	fæʔ7	
泗	sɿ5	
泛	fɛ̃5	
泡	pʰɔ1	名詞
泡	pʰɔ5	動詞
波	po1	
泣	tɕʰiəʔ7	
泥	nɪ2	
注	tsəu5	
泰	tʰɛ5	
泳	iɔŋ3	
泵	pæ̃1	水～
洋	ia2+	～油、～襪
洋	iæ̃2	
洎	tɕʰi1	來不～（來不及）、喫不～（喫不完）
洗	ɕi3	
洛	læʔ7	
洞	tʰɔŋ1-	
洞	tɔŋ5=	
津	tɕiən1	
洪	xɔŋ2	
洲	tsɤɯ1	
活	xoʔ7	
派	pʰɛ5	
流	liɤɯ1	水流
流	liɤɯ2	
浙	tsiəʔ7	
浜	pæ̃1	河～
浞	tɕyæʔ7	
浦	pʰu3	
浩	xɔ5	
浪	læ̃1-	
浪	læ̃5=	
浮	fv2	
浴	iɔʔ7	
海	xɛ3	
浸	tɕiən5	
消	ɕiɔ1	
涉	siəʔ7	
涎	ɕiɪ̃2	
涕	tɕʰi5	
涯	ia2	
液	iəʔ7	
涿	tɕyæʔ7	
淆	ɕiɔ2	
淋	liən2	
淌	tʰæ̃3	
淑	sɔʔ7	
淘	tʰɔ2	
淚	lɪ̃5	
淚	liəʔ7	眼～
淡	tʰɛ̃1-	
淡	tɛ̃5=	
淤	y1	
淨	tɕiən5	
淩	liən2	
淪	lən2	
淫	iən2	
淮	xuɛ2	
深	sən1	
淵	yõ1	
混	xuən5	
淹	iɪ̃1	
淺	tɕʰiɪ̃3	
添	tʰɪ̃1	
清	tɕʰiən1	
減	tɕiɛ̃3	
渡	təu5	
渣	tsa1	
測	tsʰəʔ7	
港	kæ̃3	
渳	mɪ1	小口飲酒
渴	kʰoʔ7	
渺	miɔ3	
渾	xuən2	
湊	tsʰɤɯ5	
湖	xəu2	
湘	ɕiæ̃1	
湯	tʰæ̃1	
湴	pʰɛ̃2	～水
溉	kɛ5	
源	yõ2	
準	tɕyən3	
溜	liɤɯ1	
溝	kɤɯ1	
溪	tɕʰi2	
溫	vən1	
溺	niəʔ7	
溻	tʰæʔ7	
溼	səʔ7	
滂	pʰæ̃2	
滅	miəʔ7	
滋	tsɿ1	
滎	iən2	
滑	xuæʔ7	
滓	tsɿ3	
滔	tʰɔ1	
滬	xəu5	
滯	tsʰɿ5-	剩：～飯碗
滯	tsɿ5	
滲	sən5	
滴	tiəʔ7	
滷	ləu3	
滸	ɕy3	～墅關
滸	xəu3	水～
滾	kuən3	
滿	mõ3	
漂	pʰiɔ1	
漂	pʰiɔ5	
漆	tɕʰiəʔ7	
漊	lɛ̃3	
漏	lɤɯ1-	
漏	lɤɯ5=	
演	iɪ̃3	
漚	ɤɯ5	
漢	xõ5	羅～狗子
漢	xɛ̃5=	
漥	ua1	
漫	mõ1-	
漫	mɛ̃5	～畫
漱	səu5	
漲	tsæ̃3	
漸	tɕiɪ̃5	
漺	ɕyæ̃2	～水、汗～～
漾	iæ̃5	
漿	tɕiæ̃1	
潑	pʰoʔ7	
潑	pʰoʔ7	不挑食：他嘴真～
潔	tɕiəʔ7	
潘	pʰõ1	
潛	tɕʰiɪ̃2	
潤	lən5	
潭	tʰɛ̃2	
潮	tsʰɔ2	
潰	kʰuɪ5	
潰	tsɛ̃5	
潽	pʰu1	溢出
澀	səʔ7	
澄	tsʰən2	
澆	tɕiɔ1	
澇	lɔ5	
澗	tɕiɛ̃5	
澠	mɪ̃3	
澡	tsɔ3	
激	tɕiəʔ7	
濁	tɕyæʔ7	
濃	nɔŋ2	
濛	mɔŋ2	
濟	tɕi3	
濤	tʰɔ2	
濫	lɛ̃5	
濺	tɕiɪ̃5	
濾	ly5	
瀉	ɕiɪ5	
瀋	sən3	
瀑	pʰɔʔ7	
瀰	mɪ2	
灌	kõ5	
灑	sa3	
灘	tʰɛ̃1	
灠	lõ3	用布吸水：～水
灣	vɛ̃1	
火	xo3	
灰	xuɪ1	
灸	tɕiɤɯ1	
災	tsɛ1	
炊	tɕʰyɪ1	
炎	iɪ̃2	
炒	tsʰɔ3	
炙	tsɿ5	
炙	tsəʔ7	
炮	pʰɔ5	
炴	æ̃3	柴草沒完全燒着，冒着煙
炸	tsa5	
炸	tsæʔ7	
烀	xəu1	水煮
烈	liəʔ7	
烊	iæ̃2	
烏	əu1	
烘	xɔŋ1	
烙	læʔ7	
烤	kʰɔ3	
烹	pʰɔŋ1	
烺	læ̃2	
焉	iɪ̃1	
焊	xɛ̃5	
焙	pɪ5	
焚	fən2	
無	əu2	
焦	tɕiɔ1	
焯	tsʰæʔ7	
焰	iɪ̃5	
然	lɪ̃2	
煉	lɪ̃5	
煎	tɕiɪ̃1	
煙	iɪ̃1	
煞	sæʔ7	
煠	tsæʔ7	
煥	xõ5	
照	tsɔ5	
煨	vɪ1	
煩	fɛ̃2	
煮	tsəu3	
熄	ɕiəʔ7	
熊	ɕiɔŋ2	
熔	iɔŋ2	
熙	ɕi1	
熟	sɔʔ7	
熥	tʰɔŋ1	
熨	yən5	
熬	ɔ2	
熰	ɤɯ1	在鍋中反覆地煮，確保煮爛
熱	liəʔ7	
燃	lɪ̃2	
燈	tən1	
燎	liɔ2	
燒	sɔ1	
燕	iɪ̃1	姓
燕	iɪ̃5	
燙	tʰæ̃5	
營	iən2	
燦	tsʰɛ̃5	
燬	xuɪ3	
燭	tsɔʔ7	
燻	ɕyən1	
爆	pɔ5	
爐	ləu2	
爛	nɛ̃1	～泥：泥土
爛	lɛ̃1	
爪	tɕya3	
爪	tsɔ3	手～子：手，貶義
爬	pʰa2	
爭	tsən1	
爲	vɪ1-	
爲	vɪ2	作～
爲	vɪ5=	
爵	tɕiæʔ7	
父	fv5	
爸	pa5	
爹	tia1	～～：爺爺
爺	ia2-	
爺	iɪ2=	
爽	ɕyæ̃3	
爾	ɔ3	
爿	pʰɛ̃2	
牀	tɕʰyæ̃2	
牆	tɕʰiæ̃2	
片	pʰɪ̃5	
版	pɛ̃3	
牌	pʰɛ2	
牒	tiəʔ7	
牘	tɔʔ7	
牙	a2-	～子
牙	ia2=	～刷
牛	ɤɯ2-	～肉
牛	niɤɯ2=	～奶
牡	mo3	
牢	lɔ2	
牧	mɔʔ7	
物	vəʔ7	
牲	sən1	
牴	tɕi3	
牸	tsʰɿ1	
特	tʰəʔ7	
牽	tɕʰiɪ̃1	
犀	ɕi1	
犁	li2	
