#漢字	音標	解釋#('cmn_jh_hc_ydxx', '鹽都西鄉話', '鹽都西鄉', '#800080', None, None, '更新：2022-01-11<br>來源：osfans整理鹽都西鄉（大縱湖、秦南）口音', '31 1 1a 陰平 ꜀,213 2 1b 陽平 ꜁,443 3 2 上 ꜂,,35 5 3 去 ꜄,,4 7 4 入 ꜆')
候	xɤɯ5	
倚	i3	
借	tɕia5-	
借	tɕiɪ5=	
倡	tsʰæ̃5	
倦	tɕyõ5	
倪	nɪ2	
倫	lən2	
倭	o1	
值	tsʰəʔ7-	～錢
值	tsəʔ7=	～日
假	ka3-	騎～馬：小孩騎在長輩肩膀上
假	tɕia3	真～
假	tɕia3	暑～
偉	vɪ2	
偏	pʰɪ̃1	
做	tso5	
停	tʰiən2	
側	tsəʔ7	～過來
側	tsʰəʔ7	
偵	tsən1	
偶	ɤɯ3	
偷	tʰɤɯ1	
傀	kʰuɪ2	
傅	fv5	
傍	pæ̃5	
傑	tɕiəʔ7	
傘	sɛ̃3	
備	pɪ5	
傢	tɕia1	
催	tɕʰyɪ1	
傭	iɔŋ1	
傲	ɔ5	
傳	tsʰõ2	
債	tsɛ5	
傷	sæ̃1	
傻	sa3	
傾	tɕʰiɔŋ1-	
僅	tɕiən3	
像	tɕʰiæ̃1-	
像	ɕiæ̃5=	
僑	tɕʰiɔ2	
僕	pʰɔʔ7	
僞	vɪ3	
僥	tɕiɔ3	
僧	sən1	
僱	kəu5	
僵	tɕiæ̃1	
價	tɕia5	
僻	pʰiəʔ7	
儁	tɕyən5	
儂	nɔŋ2	
儉	tɕiɪ̃3	
儎	tsɛ5	
儒	ləu2	
儘	tɕiən5	
償	tsʰæ̃2	
優	iɤɯ1	
儲	tsʰəu2	
儼	iɪ̃2	
允	yən3	
元	yõ2	
兄	ɕiɔŋ1	
充	tsʰɔŋ1	
兇	ɕiɔŋ1	
先	ɕiɪ̃1	
光	kuæ̃1	
光	kuæ̃5	～鬍子
克	kʰəʔ7	
兌	tɪ5	
免	mɪ̃3	
兒	ɔ2	
兔	tʰəu5	
兗	iɪ̃3	
兜	tɤɯ1	
兜	tɤɯ1	大喫
入	ləʔ7	
內	nɪ5	
全	tɕʰyõ2	
兩	lɛ3	數詞
兩	liæ̃3	
八	pæʔ7	
公	kɔŋ1	
六	lɔʔ7	
兮	ɕi1	
共	kɔŋ5	
兵	piən1	
其	tɕʰi2	
具	tɕy5	
典	tɪ̃3	
兼	tɕiɪ̃1	
冀	tɕi5	
冉	lɪ̃3	
冊	tsʰəʔ7	
再	tsɛ5	
冒	mɔ1-	～上來
冒	mɔ5=	感～
冗	lɔŋ3	
冚	kʰõ3	反扣
冠	kõ1	
冠	kõ5	
冢	tsɔŋ3	
冤	yõ1	
冬	tɔŋ1	
冰	piən1	
冷	lən3	
凈	tsʰən1	接觸冷物的感覺：這東西～人
凍	tɔŋ5	
几	tɕi3	茶～
凡	fɛ̃2	
凱	kʰɛ3	
凳	tən5	
凶	ɕiɔŋ1	
凸	tʰəʔ7	
凹	væʔ7	
出	tɕʰyəʔ7	
函	xɛ̃2	
刀	tɔ1	
刁	tiɔ1	
刃	lən5	
分	fən1	
切	tɕʰiɪʔ7	
刊	kʰɛ̃1	
刎	vən3	
刑	ɕiən2	
划	xua2	
列	liəʔ7	
初	tsʰəu1	
判	pʰõ5	
別	piəʔ7	
刨	pʰɔ2	
利	li1-	～息
利	li5=	
刪	ɕyɛ̃1	
刮	kuæʔ7	
刮	kuæʔ7	促～：滑頭
到	tɔ5	
制	tsɿ5	
刷	ɕyæʔ7	
券	tɕʰyõ5	
刺	tsʰɿ5	
刻	kʰa5+	疑爲刻兒的合音：等一～
刻	kʰəʔ7	
剁	to5	
剃	tɕʰi5	
剆	lo3	切破
則	tsəʔ7	
削	ɕiæʔ7	
剋	kʰəʔ7	
前	tɕʰiɪ̃2	
剔	tʰiəʔ7	
剖	pʰo5	
剗	tsʰɛ̃5	僅僅：～一個他走哪塊能啊、～喫飯不吃麪
剛	kæ̃1	
剝	pæʔ7	
剩	tsʰən5	
剪	tɕiɪ̃3	
剮	kua3	千刀萬～
副	fv1	一～眼睛
副	fv5	
割	koʔ7	
創	tɕʰyæ̃5	
創	tɕʰyɛ̃5	
剷	tsʰɛ̃3	
剿	tɕiɔ3	
剿	xuæʔ7	
劇	tɕiəʔ7	
劈	pʰiəʔ7	
劉	liɤɯ2	
劊	kʰuɛ5	
劍	tɕiɪ̃5	
劑	tɕi5	
劖	tsɛ̃1	連續地剁
劚	tsɔʔ7	～耙：釘耙，翻地用
劚	tsɔʔ7	
力	liəʔ7	
功	kɔŋ1	
加	ka1-	～口子：圍嘴兒
加	tɕia1=	
劣	liəʔ7	
努	no3	
劫	tɕiəʔ7	
勁	tɕiən5	
勃	poʔ7	
勇	iɔŋ3	
勉	mɪ̃3	
勒	nəʔ7	拽在手裏
勒	ləʔ7	
動	tʰɔŋ1-	～謊（說謊）、～身
動	tɔŋ5=	運～
勘	kʰɛ̃1	
務	əu5	
勝	sən5	
勞	lɔ2	
勢	sɿ5	
勤	tɕʰiən2	
勳	ɕyən1	
勵	li5	
勸	tɕʰyõ5	
勺	sæʔ7	
勻	yən2	
勾	kɤɯ1	
勿	vəʔ7	
包	pɔ1	
匆	tsʰɔŋ1	
化	xua1	興～、叫～子
化	xua5	
北	pɔʔ7	
匙	tsʰɿ2	鑰～
匠	tɕʰiæ̃1-	
匠	tɕiæ̃5=	
匡	kʰuæ̃1	
匣	ɕiæʔ7	
匪	fɪ3	
匯	xuɪ1-	～钱
匯	xuɪ5	
匹	pʰiəʔ7	
匾	pɪ̃3	
匾	pɪ̃3	針線～子：針線筐
匿	niəʔ7	
區	tɕʰy1	
十	səʔ7	
千	tɕʰiɪ̃1	
升	sən1	
午	əu3	
半	põ5	
卑	pɪ1	
卒	tsɔʔ7	
卓	tɕyæʔ7	
協	ɕiəʔ7	
南	nɛ̃2	
博	pæʔ7	
卜	pɔʔ7	
卞	pʰɪ̃1-	
卞	pɪ̃5=	
占	tsɪ̃1	
卡	kʰa3	～車，魚～子
卦	kua5	
卯	mɔ3	
印	iən5	
危	vɪ2	
即	tɕiəʔ7	
卵	lõ3	
卷	tɕyõ3	
卷	tɕyõ5	
卸	ɕia5-	
卸	ɕiɪ5=	
卻	tɕʰiæʔ7	
卿	tɕʰiən1	
厚	xɤɯ1-	
厚	xɤɯ5=	
原	yõ2	
厥	tɕyoʔ7	
厭	iɪ̃5	
厴	iɪ̃3	麥～子：麥子的癟穀和穀殼的統稱
厴	iɪ̃3	
去	tɕʰy5	
厾	tɔʔ7	扔
參	tsʰɛ̃1	
參	tsʰən1	
參	sən1	
