#漢字	音標	解釋
□	tʰo5	摞
一	i7	
丁	tin1	
七	tɕʰi7	
万	vã5	
丈	tʰoŋ5	
三	sã1	
上	soŋ5	
下	xa5	
不	pu7	
与	y3	
丐	kʰai5	
丑	tʰəu3	
專	tø̃ỹ1	
且	tɕia3	
世	sɿ5	
丘	kʰiəu1	
丙	piã3	
業	ŋie7	
叢	tsʰəŋ2	
東	təŋ1	
絲	sɿ1	
丞	tʰən2	
丢	tiəu1	
兩	loŋ3	〜个
兩	lioŋ3	几〜几钱
嚴	ŋiĩ2	
喪	soŋ5	〜失
喪	soŋ1	婚〜
个	ko5	
丫	ia1	
中	təŋ5	射〜
中	təŋ1	当〜
丰	fəŋ1	
串	tʰø̃ỹ5	
臨	lin2	
丸	ø̃ỹ2	
丹	tã1	
爲	vei5	~了
爲	vei2	作〜
主	ky3	
麗	li5	
舉	ky3	
乃	lai3	
久	kiəu3	
義	ŋi5	
之	tsɿ1	
烏	vu1	
乍	tsa5	
乎	fu1	
乏	fa7	
樂	lo7	
樂	io7	音~
喬	kʰiau2	
乖	kai1	
乘	sən2	
乙	ie7	
九	kiəu3	
乞	tɕʰi7	
乞	kʰi7	
也	ia3	
習	ɕi7	
鄉	ɕioŋ1	
書	fy1	
買	mai3	
亂	lø̃ỹ5	
乳	y3	
乾	kʰiĩ2	
了	liau3	
爭	tsã1	
爭	tɕiĩ5	
事	sɿ5	
二	y5	
于	y7	
虧	kʰei1	
云	vən2	
互	fu5	
五	ŋ̍3	
井	tɕiã3	
亞	ia5	
些	ɕia1	
亡	oŋ2	
交	kiau1	
亥	xai5	
亦	i7	
產	tsʰã3	
亨	ɕiĩ1	
畝	miau3	
享	ɕioŋ3	
京	kin1	
亭	tʰin2	
亮	lioŋ5	
親	tɕʰin1	
人	ȵin2-	
人	vən2=	
億	i5	
什	sɿ7	
仁	vən2	
僅	kʰin5	
仆	pʰu7	
仇	tʰəu2	〜敌
仇	kʰiəu2	姓
今	kin1	
介	kai5	
仍	vən2	
从	tsʰəŋ1	〜容
从	tsʰəŋ2	跟〜
仑	lən2	
倉	tsʰoŋ1	
仕	sɿ5	
他	xa1	
仗	tʰoŋ5	依〜
仗	toŋ5	打〜
付	fu5	
仙	ɕiĩ1	
代	tʰai5	
令	lin5	
以	i3	
儀	ŋi2	
仰	ŋioŋ3	
仲	tʰəŋ5	
件	kʰiĩ5	
價	kia5	
任	vən5	
份	fən5	
仿	xoŋ3	
企	kʰi3	
伍	ŋ̍3	
伏	fu7	
伐	fa7	
休	ɕiəu1	
衆	təŋ5	
優	iəu1	
伙	xo3	
會	vei5	~不〜
會	kʰai5	〜计
傘	sã3	
偉	vei3	
傳	tʰø̃ỹ2	〜达
傳	tʰø̃ỹ5	〜记
伢	ŋa2	
傷	soŋ1	
倫	lən2	
僞	vei5	
伯	pa7	
估	ku3	
伴	pʰø̃ỹ5	
伶	lin2	
伸	sən1	
伺	tsʰɿ5	
似	sɿ5	
但	tã5	
位	vei5	
低	ti1	
住	kʰy5	
