#漢字	音標	解釋#('cmn_jh_hx_aq_tc', '桐城話', '桐城', '#8B0000', None, None, '來源：《桐城縣誌》，“空島。”整理修改', '31 1 1a 陰平 ꜀,24 2 1b 陽平 ꜁,335 3 2 上 ꜂,,54 5 3 去 ꜄,,5 7 4 入 ꜆', None, None)
□	ʈʂʰʅ1	～倒：滑倒
□	tsɿ3	量词：一～毛线
㪗	tʰəu3	
㫰	nã5	晾
一	iəʔ7	
丁	tiən1	
七	tɕʰiəʔ7	
万	uã5	
丈	ʈʂã5	
三	sã1	
上	ʂã5	
下	xa5	
下	ɕia5	文
不	pəʔ7	
与	ʯ2	
丐	kɛ5	
丑	ʈʂʰəu3	
專	ʈʂʯɛ̃1	
且	tɕʰie3	
丕	pʰi1	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	piən3	
業	nieʔ7	
叢	tsʰən2	
東	tən1	
絲	sɿ1	
丞	ʈʂʰən2	
丟	tiəu1	
兩	niã3	
嚴	niɛ̃2	
喪	sã1	～事
喪	sã5	
个	ko5	
个	kəʔ7	
丫	ŋa1	
中	ʈʂʯən1	～文
中	ʈʂʯən5	～计
串	ʈʂʰʯɛ̃5	
臨	niən2	
丸	uã2	
丹	tã1	
爲	uei2	～难
爲	uei5	
主	ʈʂʯ3	
丽	ni5	
舉	ʈʂʯ3	
乃	nɛ3	
久	tɕiəu3	
義	i5	
之	ʈʂʅ1	
烏	u1	
乍	ʈʂa5	
乎	xu1	
乏	faʔ7	
樂	noʔ7	
樂	ioʔ7	～乐
喬	tɕʰiɔ2	
乖	kuɛ1	
乘	ʈʂʰən2	
乙	iəʔ7	
九	tɕiəu3	
乞	tɕʰiəʔ7	
也	ie3	
習	ɕiəʔ7	
鄉	ɕiã1	
書	ʂʯ1	
買	mɛ3	
亂	nõ5	
乳	ʯ3	
了	niɔ3	
爭	ʈʂən1	
事	sɿ5	
二	ɔ5	
于	ʯ2	
虧	kʰuei1	
雲	ʯən2	
互	xu5	
五	u3	
井	tɕiən3	
亞	ia5	
些	ɕie1	
交	tɕiɔ1	
亥	xɛ5	
亦	iəʔ7	
產	ʈʂʰɛ̃3	
亨	xən1	
亨	xən2	
畝	mo3	
享	ɕiã3	
京	tɕiən1	
亭	tʰiən2	
亮	niã5	
親	tɕʰiən1	
褻	ɕieʔ7	
億	i5	
仁	ʐən1	
