#漢字	音標	解釋#('cmn_fyd_bsjh', '東方八所軍話', '八所軍話', '#8B0000', None, None, '來源：<u>一冂水</u>整理自《海南東方八所軍話音系》', '33 1 1a 陰平 ꜀,,51 3 2 上 ꜂,,24 5 3 去 ꜄,,31 7 4 入 ꜆', None, None)
具	tɕy5	
典	tiən3	
兹	tsɿ1	
養	zaŋ3	
兼	kʰiən1	
獸	səu5	
冀	zi5	
內	ləi5	
岡	kaŋ1	
冉	ziən3	
冊	tsʰɿʔ7	
再	tsai5	
冒	mau5	
冗	zoŋ3	
軍	kun1	
農	noŋʔ7	
冠	kuən1	衣～
冠	kuaŋ5	
冤	zuən1	
冥	meⁱŋʔ7	
冬	toŋ1	
馮	foŋʔ7	
冰	peⁱŋ1	
冲	tsʰoŋ1	
决	kiɛʔ7	
况	kʰuaŋ5	
冷	ləŋ3	
凍	toŋ5	
淨	tɕeⁱŋ5	
準	tsun3	
準	tsoŋ3	
凉	liaŋʔ7	
凋	tiau1	
凌	leⁱŋʔ7	
減	kiən3	
湊	tsʰəu5	
凝	leⁱŋʔ7	
几	ki3	
凡	faŋʔ7	
鳳	foŋ5	
凭	pʰeⁱŋʔ7	
凱	kʰai3	
凰	huaŋʔ7	
凳	təŋ5	
凶	ɕioŋ1	
凹	au1	
出	tsʰuʔ7	
擊	kiʔ7	
函	haŋʔ7	
鑿	tsɔʔ7	
刀	tau1	
刁	tiau1	
刃	zeⁱŋ5	
分	fəŋ1	划～
分	fəŋ5	本～
切	tɕʰiɛʔ7	
刊	kʰaŋ1	
刑	heⁱŋʔ7	
划	hua5	
列	liɛʔ7	
劉	liəuʔ7	
則	tsɤʔ7	
剛	kaŋ1	
創	tsʰuaŋ5	
初	tsʰɔ1	
刪	saŋ1	
判	pʰuən5	
刨	pau5	
刨	pʰauʔ7	
利	li5	
别	tiauʔ7-	
别	piɛʔ7=	
刮	kuaʔ7	
到	tau5	
制	tɕi5	
刷	suaʔ7	
刹	sa1	
刺	tsʰɿ5	
刻	kʰɤʔ7	
劊	huəi5	
剁	tɔ5	
劑	tɕi5	
剃	tʰi5	
前	tɕʰiənʔ7	
剮	kua3	
劍	kiən5	
剔	tʰi5	
剖	pʰau1	
剜	vaŋ1	
剝	pɔʔ7	
劇	tɕy5	
剩	səŋ5	
剪	tɕiən3	
副	fu5	
割	kɔʔ7	
劈	pʰiʔ7	
力	liʔ7	
勸	kʰiən5	
辦	paŋ5	
功	koŋ1	
加	kia1	
務	vu5	
劣	li5	
動	toŋ5	
助	tsu5	
努	lu3	
劫	kiɛʔ7	
勵	li5	
勁	keⁱŋ5	
勞	lauʔ7	
勢	ɕi5	
勃	pɔʔ7	
勇	zoŋ3	
勉	miən3	
勋	ɕyn1	
勒	lɤʔ7	
勘	kʰaŋ1	
募	vu5	
勤	kʰeⁱŋʔ7	
勺	sɔʔ7	
勾	kəu1	
勿	vuʔ7	
勻	yn1	
包	pau1	
匆	tsʰoŋ1	
匈	ɕioŋ1	
化	hua5	
北	puʔ7	
匙	ɕi1	钥～
匙	tɕʰiʔ7	汤～
匝	tsaʔ7	
匠	tɕiaŋ5	
匡	kʰuaŋ1	
匣	kiaʔ7	
匪	fəi3	
匹	pʰiʔ7	
區	tɕʰy1	
醫	zi1	
匾	piən3	
十	ɕiʔ7	
千	tɕʰiən1	
升	səŋ1	
午	vu3	
卉	huəi5	
半	puən5	
華	huaʔ7	
協	hiɛʔ7	
卑	pəi1	
卒	tsuʔ7	
卓	tsɔʔ7	
單	taŋ1	
賣	mai5	
博	pɔʔ7	
卜	pɔʔ7	
卜	pʰuʔ7	
卞	piən5	
