#漢字	音標	解釋#('cmn_fyd_bsjh', '東方八所軍話', '八所軍話', '#8B0000', None, None, '來源：<u>一冂水</u>整理自《海南東方八所軍話音系》', '33 1 1a 陰平 ꜀,,51 3 2 上 ꜂,,24 5 3 去 ꜄,,31 7 4 入 ꜆', None, None)
手	səu3	
才	tsʰaiʔ7	
才	tsʰəiʔ7	刚刚、刚才
扎	tsaʔ7	
扑	pʰuʔ7	
扒	pʰaʔ7	
打	ta3	
扔	ləŋ1	
托	tʰɔʔ7	
扛	kʰaŋʔ7	
扣	kʰəu5	
執	tɕiʔ7	
擴	kʰɔ5	
擴	kʰuaŋ5	
掃	sau3	～地
掃	sau5	～把
揚	zaŋʔ7	
扭	liəu3	
扮	paŋ5	
扯	tɕʰiɛ3	
擾	zau3	
扳	paŋ3	
扶	fuʔ7	
批	pʰi1	
扼	ɤʔ7	
找	tsau3	
承	tsʰəŋʔ7	
技	tɕi5	
抄	tsʰau1	
把	pa3	刀～
把	paʔ7	～握
抑	zi5	
抓	tsua1	
投	tʰəuʔ7	
抖	təu3	
抗	kʰaŋ5	
折	tɕiɛʔ7	
撫	fu3	
撫	vuʔ7	
抛	pʰau1	
摳	kʰəu1	
搶	tɕʰiaŋ3	
護	hu5	
報	pau5	
披	pʰi1	
抬	tʰaiʔ7	
抱	pau5	
抵	ti3	
抹	maʔ7	～布
抹	mɔʔ7	～煞
押	zaʔ7	
抽	tsʰəu1	
抿	meⁱŋ3	
拂	fuʔ7	
拄	tɕy3	
擔	taŋ1	承～
擔	taŋ5	扁～
拆	tsʰai1	
拆	tsʰɤʔ7	
拇	mu3	
拈	liənʔ7	
拉	la1	
拌	puən5	
拍	pʰai1	
拎	leⁱŋ5	
拐	kuai3	
拒	tɕy5	
拓	tʰɔ5	
拓	tʰaʔ7	
拔	pəi5	
拔	paʔ7	
拖	tʰɔ1	
拘	tɕy1	
拙	tsɔʔ7	
招	tsau1	
拜	pai5	
擬	niʔ7	
攏	loŋ3	
揀	kiən3	
擁	zoŋ1	
攔	laŋʔ7	
撥	pɔʔ7	
擇	tsɤʔ7	
括	kʰɔ5	
括	kuaʔ7	
拯	tɕeⁱŋ3	
拱	koŋ3	
拳	kʰiənʔ7	
拴	tsʰuaŋ1	
拷	kʰau5	
拽	tsuai3	
拾	ɕiʔ7	
拿	naʔ7	
持	tɕʰiʔ7	
挂	kua5	
指	tɕi3	
按	aŋ5	
挑	tʰiau1	单～
挑	tʰiau3	～战
挖	va1	
挾	kiaʔ7	
撓	nauʔ7	
撓	zauʔ7	
擋	taŋ3	
擠	tɕi3	
揮	huəi1	
挨	ai1	～打
挪	nɔʔ7	
挫	tsʰɔ5	
振	tɕeⁱŋ5	
挺	tʰeⁱŋ3	
挽	vaŋ3	
捅	tʰoŋ3	
捆	kʰun3	
捉	tsɔ1	
捌	pa1	
捍	haŋ5	
捎	ɕiau1	
捏	niɛʔ7	
捐	kiən1	
捕	pʰu3	
撈	lau1	
損	sun3	
換	huən5	
搗	tau3	
捧	pʰoŋ3	
据	tɕy5	
捶	tsʰuəiʔ7	
捷	tɕiɛʔ7	
捺	na5	
掀	ɕiən1	
掂	tiən1	
掂	tiən5	
掇	tɔʔ7	
授	səu5	
掉	tiau5	
掌	tsaŋ3	
掏	tʰau1	
掐	kʰaʔ7	
排	pʰaiʔ7	
掖	iɛ5	
掘	tɕiɛʔ7	
探	tʰaŋ5	
掣	tsʰɤʔ7	
接	tɕiɛʔ7	
控	kʰoŋ5	
推	əi1-	
推	tʰəi1=	
掩	ziən3	
措	tsʰɔ5	
掮	kiən1	
擲	tsuai3	
撣	taŋ3	
摻	tsʰaŋ1	
揉	zəuʔ7	
描	miauʔ7	
提	tʰiʔ7	
插	tsʰaʔ7	
揖	ziʔ7	
握	vuʔ7	
揣	tsʰuai1	
揩	kʰai1	
揪	tɕiəu1	
揭	kiɛʔ7	
揰	tsoŋ5	
援	zuənʔ7	
攬	laŋ3	
攙	tsʰaŋ1	
擱	kɔʔ7	
摟	ləu3	
攪	kiau3	
搉	tɕʰioʔ7	
搊	tsʰəu1	
搏	pɔʔ7	
搐	tsʰuʔ7	
搓	tsʰɔ1	
搔	sau1	
搜	səu1	
搞	kau3	
搨	tʰaʔ7	
搬	pəŋ1	
搭	taʔ7	
搽	tsʰaʔ7	
摆	pai3	
摇	zauʔ7	
擯	peⁱŋ5	
攤	tʰaŋ1	
摔	kuaŋ5-	
摔	suai1=	
摘	tsai1	
摞	lɔʔ7	
摧	tsʰuəi1	
摩	mɔ1	
摸	mɔ1	
撂	liau5	
撇	pʰiɛʔ7	
撑	tsʰəŋ1	
撒	sa3	
撕	sɿ1	
撞	tsuən5	
撤	tɕʰiɛʔ7	
撩	liauʔ7	
播	pɔ1	
撮	tsʰɔʔ7	
撰	tsuən5	
攆	liən3	
擼	lu3	
撼	haŋ5	
擀	kaŋ3	
擂	ləiʔ7	～鼓
操	tsʰau1	
擎	tɕʰeⁱŋ3	
擒	kʰeⁱŋʔ7	
擡	tʰaiʔ7	
擦	tsʰaʔ7	
攀	pʰaŋ1	
攢	tsan3	
攘	zaŋ3	
支	tɕi1	
收	səu1	
改	kai3	
攻	koŋ1	
放	faŋ5	
政	tsəŋ5	
故	ku5	
效	hiau5	
敵	tiʔ7	
敏	meⁱŋ3	
救	kiəu5	
敖	auʔ7	
教	kiau1	
教	kiau5	～训
斂	liən3	
敝	pi5	
敞	tsʰaŋ3	
敢	kaŋ3	
散	saŋ5	
敦	təŋ1	
敬	keⁱŋ5	
數	su3	～钱
數	su5	～目
敲	kʰau1	
整	tsəŋ3	
敷	fu1	
文	vəŋʔ7	
斋	tsai1	
斌	peⁱŋ1	
斑	paŋ1	
斗	təu3	北～
斗	təu5	争～
料	liau5	
斜	tɕʰiɛʔ7	
斟	tɕeⁱŋ1	
斤	keⁱŋ1	
斥	tsʰɿʔ7	
斧	fu3	
斬	tsaŋ3	
斷	tuən5	
斯	sɿ1	
新	ɕeⁱŋ1	
方	faŋ1	
施	ɕi1	
旁	pʰaŋʔ7	
旅	li3	
旋	suən5	～风
旋	suənʔ7	回～
族	tsuʔ7	
旗	kʰiʔ7	
无	vuʔ7	
既	ki5	
日	ziʔ7	
旦	taŋ5	
舊	kiəu5	
旨	tɕi3	
早	tsau3	
旬	sunʔ7	
旭	ɕy5	
旱	haŋ5	
時	ɕiʔ7	
曠	kʰuaŋ5	
旺	vaŋ5	
昂	aŋʔ7	
昆	kʰun1	
昌	tsʰaŋ1	
明	meⁱŋʔ7	
昏	hun1	
易	zi5	
昔	ɕiʔ7	
星	ɕeⁱŋ1	
映	zeⁱŋ5	
春	tsʰuən1	
春	tsʰoŋ1	
昧	məi5	
昨	tsɔʔ7	
昭	tsau1	
是	ɕi5	
昵	niʔ7	
晝	tsəu5	
顯	hiən3	
晃	huaŋ3	～眼
晃	huaŋ5	～动
晉	tɕeⁱŋ5	
晌	saŋ3	
晏	aŋ5	
曬	sai5	
曉	hiau3	
暈	zun1	
晚	vaŋ3	
晦	huəi5	
晨	seⁱŋʔ7	
普	pʰu3	
景	keⁱŋ3	
晴	tɕʰeⁱŋʔ7	
晶	tɕeⁱŋ1	
智	tɕi5	
晾	liaŋ5	
暫	tɕiən5	
暇	ɕiaʔ7	
暖	nuən3	
暗	aŋ5	
暮	mu5	
暴	pau5	
曝	pʰu5	
曝	pau5	
曰	iɛ1	
曲	kʰi1	弯～
曲	kʰi3	歌～
更	kəŋ1	～换
更	kəŋ5	～加
曹	tsʰauʔ7	
曼	maŋ5	
曾	tsəŋ1	～姓
曾	tsʰəŋʔ7	～经
替	tʰi5	
最	tsuəi5	
月	zyɛʔ7	
有	zəu3	
朋	pʰoŋʔ7	
服	fuʔ7	
朗	laŋ3	
望	vaŋ5	
朝	tsau1	今～
朝	tsʰauʔ7	
期	kʰi1	
木	muʔ7	
末	mɔʔ7	
本	pəŋ3	
札	tsaʔ7	
术	suʔ7	
朱	tɕy1	
朴	pʰu3	
朵	tɔ3	
機	ki1	
朽	hiəu3	
殺	saʔ7	
雜	tsaʔ7	
權	kʰiənʔ7	
杆	kaŋ1	
杈	tsʰa1	
杉	saŋ1	
李	li3	
杏	heⁱŋ5	
材	tsʰaiʔ7	
村	tsʰəŋ1	
杖	tsaŋ5	
杜	tu5	
杞	tɕʰiʔ7	
束	suʔ7	
杠	kaŋ5	
條	tʰiauʔ7	
來	ləiʔ7	
楊	zaŋʔ7	
杭	haŋʔ7	
杯	pəi1	
杰	kiɛʔ7	
杳	miau3	
杵	tsʰu3	
松	soŋ1	
板	paŋ3	
極	kiʔ7	
構	kəu5	
枇	pʰiʔ7	
枉	vaŋ3	
析	ɕiʔ7	
枕	tɕeⁱŋ3	
林	leⁱŋʔ7	
枚	məiʔ7	
果	kuaiʔ7-	
果	kuo3=	
枝	tɕi1	
樞	tɕʰy1	
樞	ɕy1	
棗	tsau3	
槍	tɕʰiaŋ1	
楓	foŋ1	
枯	ku1	
架	kia5	
柄	peⁱŋ3	
柏	pɔʔ7	
某	məu3	
柑	kaŋ1	
柔	zəuʔ7	
柚	iəu5	
櫃	kuəi5	
查	tsʰaʔ7	
柩	kʰiəu1	
柬	tɕiən3	
柯	kʰɔ1	
柱	tɕy5	
柳	liəu3	
柴	tsʰaiʔ7	
柿	ɕi5	
梔	tɕiʔ7	
柵	tsa5	
標	piau1	
棧	tsaŋ5	
棟	toŋ5	
欄	laŋʔ7	
樹	ɕy5	
栓	suən1	
栖	ɕi1	
栗	li5	
校	kiau5	～对、学～
栩	ɕy3	
株	tɕy1	
樣	zaŋ5	
核	hɤʔ7	审～
根	kəŋ1	
格	kɤʔ7	
栽	tsai1	
桂	kuəi5	
桃	tʰauʔ7	
桅	vəiʔ7	
框	kʰuaŋ1	
案	aŋ5	
桌	tsɔʔ7	
桐	tʰoŋʔ7	
桑	saŋ1	
桓	huənʔ7	
桔	kiʔ7	
椏	za1	
檔	taŋ5	
橋	kʰiauʔ7	
樺	huaʔ7	
檜	kʰuəi5	
槳	tɕiaŋ1	
樁	tsuaŋ1	
桶	tʰoŋ3	
梁	liaŋʔ7	
梅	məiʔ7	
梆	paŋ1	
梓	tsɿ3	
梗	kəŋ3	
梢	sau1	
夢	moŋ5	
梧	vuʔ7	
梨	liʔ7	
梭	sɔ1	
梯	tʰi1	
械	kai5	
梳	sɔ1	
檢	kiən3	
棉	miənʔ7	
棋	kʰiʔ7	
棍	kuən5	
棒	paŋ5	
棕	tsoŋ1	
棚	pʰoŋʔ7	
棠	tʰaŋʔ7	
森	səŋ1	
棵	kʰuo1	
棺	kuən1	
椅	ziʔ7	
植	tɕiʔ7	
椒	tɕiau1	
橢	tʰɔ3	
椰	aiʔ7	
椽	tsʰuənʔ7	
椿	tsʰuən1	
楂	tsa5	
楚	tsʰu3	
楝	liən5	
楞	ləŋ5	
楣	məiʔ7	
楷	kʰai3	
樓	ləuʔ7	
概	kʰai5	
欖	laŋ3	
榔	laŋʔ7	
榕	zoŋʔ7	
榜	paŋ3	
榨	tsa5	
榫	səŋ3	
榴	liəuʔ7	
榻	tʰaʔ7	
槌	tsʰuəiʔ7	
槐	huaiʔ7	
檳	peⁱŋ1	
槽	tsʰauʔ7	
樊	faŋʔ7	
樟	tsaŋ1	
模	mɔʔ7	劳～
模	muʔ7	～样
橫	həŋ5	蛮～
橫	həŋʔ7	～竖
櫻	zeⁱŋ1	
樵	tɕʰiauʔ7	
橄	kaŋ3	
橘	tɕy5	
橙	tsʰəŋʔ7	
橡	ɕiaŋ5	
櫥	tɕʰyʔ7	
櫓	lu3	
檀	tʰaŋʔ7	
檐	ziənʔ7	
檁	leⁱŋʔ7	
檯	tʰaiʔ7	
欠	kʰiən5	
次	tsʰɿ5	
歡	huən1	
欣	heⁱŋ1	
歐	əu1	
欲	zuʔ7	
欺	kʰi1	
款	kʰuən3	
歇	hiɛʔ7	
歉	kʰiən5	
歌	kɔ1	
止	tɕi3	
正	tsəŋ1	～月
正	tɕeⁱŋ5	～式
此	tsʰɿ3	
步	pu5	
武	vu3	
歧	tɕʰiʔ7	
歪	vai1	
歹	tai3	
死	sɿ3	
殲	tɕʰiən1	
殃	zaŋ1	
殆	tai5	
殉	sunʔ7	
殊	ɕy1	
殘	tsʰaŋʔ7	
殮	liən5	
殖	tɕiʔ7	
殯	peⁱŋ5	
毆	əu1	
段	tuən5	
殷	zeⁱŋ1	
殿	tiən5	
毁	huəi3	
母	mu3	
每	məi3	
毒	tuʔ7	
比	pi3	
畢	piʔ7	
毖	pi5	
斃	pi5	
毛	mauʔ7	
毡	tsaŋ1	
毫	hauʔ7	
毯	tʰaŋ3	
氏	ɕi5	
民	meⁱŋʔ7	
氓	maŋʔ7	
气	kʰi5	
氖	lai3	
氛	fəŋ1	
氟	fuʔ7	
氦	hai5	
氨	aŋ1	
氮	taŋ5	
水	suəi3	
永	zoŋ3	
汁	tsəiʔ7-	
求	kʰiəuʔ7	
汇	huəi5	
漢	haŋ5	
汊	tsʰa1	
汗	haŋ5	
汝	lu3	
汞	koŋ3	
江	kiaŋ1	
池	tɕʰiʔ7	
污	vu1	
湯	tʰaŋ1	
汨	miʔ7	
汪	vaŋ1	
汰	tʰai5	
汴	piən5	
汽	kʰi5	
汾	fəŋʔ7	
沁	tɕʰeⁱŋ5	
沂	ziʔ7	
沈	ɕeⁱŋ3	
沉	tsʰeⁱŋʔ7	
沌	təŋ5	
沙	sa1	
沛	pʰəi5	
溝	kəu1	
沒	liəu5	
沒	mɔʔ7	沉～
沒	məiʔ7=	
漚	əu5	
淪	ləŋʔ7	
滄	tsʰaŋ1	
滬	hu5	
沫	mɔʔ7	
河	huoʔ7	
沸	fəi5	
沸	fuʔ7	
油	zəuʔ7	
治	tɕi5	
沽	ku1	
沾	tɕiən1	
沿	zuənʔ7	
泉	tsʰuənʔ7	
泊	pɔʔ7	
泌	mi5	
泔	kaŋ1	
法	faʔ7	
泛	faŋ5	
泡	pʰau5	
波	pɔ1	
泣	tɕʰiʔ7	
泥	niʔ7	
注	tɕy3	
泪	ləi5	
泰	tʰai5	
泳	zoŋ3	
泵	poŋ5	
潑	pʰɔʔ7	
澤	tsɤʔ7	
潔	kiɛʔ7	
洋	zaŋʔ7	
洒	sa3	
洗	ɕi3	
洞	toŋ5	
津	tɕeⁱŋ1	
洪	hoŋʔ7	
洱	ɤ3	
洲	tsəu1	
活	hɔʔ7	
洼	va1	
洽	ɕiaʔ7	
派	pʰai5	
流	liəuʔ7	
淺	tɕiən5	
漿	tɕiaŋ1	
澆	kiau1	
濁	tsɔʔ7	
測	tsʰɿʔ7	
濟	tɕi3	
渾	hunʔ7	
滸	huʔ7	
濃	noŋʔ7	
浙	tɕiɛʔ7	
浚	tɕyn3	
浦	pʰu3	
浩	hau5	
浪	laŋ5	
浮	fuʔ7	
浴	zy5	
海	hai3	
浸	tɕeⁱŋ5	
涂	tʰuʔ7	
涅	niɛʔ7	
消	ɕiau1	
涌	zoŋ3	
涎	ɕiənʔ7	
涕	tʰi5	
濤	tʰau1	
澇	lau5	
渦	vɔ1	
滌	tiʔ7	
潤	zun5	
澗	tɕiən5	
漲	tsaŋ5	
澀	sɿʔ7	
涪	fuʔ7	
涮	suən5	
涯	zaiʔ7	
液	iɛ5	
涵	haŋʔ7	
涸	hɔʔ7	
淀	tiən5	
淆	hiauʔ7	
淋	leⁱŋʔ7	
淘	tʰauʔ7	
淡	taŋ5	
淤	zyʔ7	
淫	zeⁱŋʔ7	
淬	tsʰəi5	
淮	huaiʔ7	
深	ɕeⁱŋ1	
淳	tsʰuənʔ7	
混	hun5	
淹	aŋ1-	
淹	ziən1=	
添	tʰiən1	
清	tɕʰeⁱŋ1	
清	tsʰəŋʔ7	
淵	zuən1	
漸	tɕiən5	
滲	tsʰaŋ1	
渠	tɕy5	
渡	tu5	
渣	tsa1	
渤	pɔʔ7	
溫	un1	
港	kaŋ3	
渴	kʰɔ3	
游	zəuʔ7	
渺	miau3	
湖	huʔ7	
湘	ɕiaŋ1	
灣	vaŋ1	
溼	ɕiʔ7	
潰	kʰuəi5	
濺	tɕiən5	
溉	kʰai5	
源	zuənʔ7	
溜	liəu1	
溪	hi1	
溶	zoŋʔ7	
溺	ni5	
滁	tɕʰyʔ7	
滇	tiən1	
滋	tsɿ1	
滑	huaʔ7	
滓	tsɿʔ7	
滔	tʰau1	
滗	pi5	
滾	kuən3	
滯	tsɿ5	
滿	muən3	
濾	li5	
濫	laŋ5	
濱	peⁱŋ1	
灘	tʰaŋ1	
滴	tiʔ7	
漂	pʰiau1	～浮
漆	tɕʰiʔ7	
漏	ləu5	
演	ziən3	
漠	mɔʔ7	
漫	maŋ5	
漱	su5	
潘	pʰaŋ1	
潛	tɕʰeⁱŋʔ7	
潭	tʰaŋʔ7	
潮	tsʰauʔ7	
澄	tsʰəŋʔ7	
澈	tɕʰiɛʔ7	
澡	tsau3	
澳	au5	
激	kiʔ7	
瀨	lai5	
瀕	peⁱŋ1	
濽	tsaŋ5	
瀑	pʰu3	
灌	kuaŋ5	
灞	pa5	
火	huo3	
滅	miɛʔ7	
燈	təŋ1	
灰	huəi1	
靈	leⁱŋʔ7	
竈	tsau5	
灸	tɕiəu3	
灼	tsɔʔ7	
災	tsai1	
燦	tsʰaŋ5	
爐	luʔ7	
炊	tsʰuəi1	
炎	ziənʔ7	
炒	tsʰau3	
炕	kʰaŋ5	
炙	tɕi5	
炭	tʰaŋ5	
炮	pʰau5	
炳	peⁱŋ3	
炸	tsa5	
點	tiən3	
炼	liən5	
熾	tɕʰi5	
爛	laŋ5	
烈	liɛʔ7	
烊	zaŋʔ7	
烘	hoŋ1	
燭	tsuʔ7	
烟	ziən1	
烤	kʰau3	
煩	faŋʔ7	
燒	sau1	
燴	huəi5	
燙	tʰaŋ5	
熱	iɛʔ7	
烹	pʰəŋ1	
烽	foŋ1	
焉	ziən1	
焊	haŋ5	
煥	huən5	
焙	pəi5	
焚	fəŋʔ7	
焦	tɕiau1	
焰	ziən5	
然	ziənʔ7	
煌	huaŋʔ7	
煎	tɕiən1	
煞	saʔ7	
煤	məiʔ7	
煦	ɕy5	
照	tsau5	
煨	vəi1	
煮	tɕy3	
熄	ɕiʔ7	
熊	hioŋʔ7	
熏	ɕyn1	
熔	zoŋʔ7	
熙	hi1	
熟	suʔ7	
熬	auʔ7	
燃	ziənʔ7	
燎	liauʔ7	
燐	leⁱŋʔ7	
燕	ziən1	～国
燕	ziən5	～子
燥	tsau5	
爆	pau5	
爪	tsau3	
爬	pʰaʔ7	
愛	ai5	
爵	tɕioʔ7	
父	fu5	
爺	iɛʔ7	
爸	pa5	
爹	tiɛ1	
爽	suaŋ3	
片	pʰiən5	
版	paŋ3	
牌	pʰaiʔ7	
牘	tuʔ7	
牙	zaʔ7	
牛	liəuʔ7	
牠	tʰa1	
牡	mau3	
牢	lauʔ7	
牧	muʔ7	
物	vuʔ7	
牯	ku3	
牲	səŋ1	
牽	kʰiən1	
牸	tsɿ5	
特	tʰɤʔ7	
犧	ɕi1	
犀	ɕi1	
犁	liʔ7	
犢	tuʔ7	
犒	kʰau5	
犬	kʰiənʔ7	
犯	faŋ5	
狀	tsuaŋ5	
獁	ma3	
犹	zəuʔ7	
狂	kʰuaŋʔ7	
狄	tiʔ7	
狽	pəi5	
狐	huʔ7	
狗	kəu3	
狡	kiau3	
獨	tuʔ7	
狹	kiaʔ7	
獅	sɿ1	
獄	zy5	
狸	li3	
狼	laŋʔ7	
獵	liɛʔ7	
猖	tsʰaŋ1	
猛	moŋ3	
猜	tsʰai1	
猝	tsʰuʔ7	
猩	ɕeⁱŋ1	
豬	tɕy1	
貓	mauʔ7	
獻	hiən5	
猴	həuʔ7	
猾	huaʔ7	
猿	zuənʔ7	
玄	suənʔ7	
率	li5	
率	suəi5	
玉	zy5	
王	vaŋʔ7	
瑪	ma3	
玩	vaŋʔ7	
玫	məiʔ7	
環	huənʔ7	
現	hiən5	
玳	tai5	
璽	ɕi3	
玻	pɔ1	
珀	pɔʔ7	
珊	saŋ1	
珍	tɕeⁱŋ1	
琺	faʔ7	
珠	tɕy1	
班	paŋ1	
球	kʰiəuʔ7	
理	li3	
琉	liəuʔ7	
琢	tsɔʔ7	
琴	kʰeⁱŋʔ7	
琵	pʰiʔ7	
琶	pʰaʔ7	
瓊	kʰeⁱŋʔ7	
瑚	huʔ7	
瑞	səi5	
瑟	sɤʔ7	
瑰	kuəi5	
璃	liʔ7	
璐	lu5	
璧	pʰiʔ7	
瓜	kua1	
瓢	pʰiauʔ7	
瓣	paŋ5	
瓤	iaŋʔ7	
瓦	va5	
瓮	oŋ1	
瓶	pʰeⁱŋʔ7	
瓷	tsʰɿʔ7	
甑	tsəŋ1	
甘	kaŋ1	
甚	ɕyn5	
甜	tʰiənʔ7	
生	səŋ1	
甥	səŋ1	
用	zoŋ5	
甩	suai3	
甫	pʰu3	
甫	fu3	
甭	poŋʔ7	
田	tʰiənʔ7	
由	zəuʔ7	
甲	kiaʔ7	
申	ɕeⁱŋ1	
電	tiən5	
甸	tiən5	
畫	hua5	
暢	tsʰaŋ5	
界	kai5	
留	liəuʔ7	
畜	tsʰuʔ7	
略	lioʔ7	
番	faŋ1	
疇	tsʰəuʔ7	
畸	ki1	
疆	kiaŋ1	
疏	sɔ1	
疑	ziʔ7	
癤	tɕiɛʔ7	
療	liauʔ7	
疙	kɔʔ7	
疝	saŋ5	
瘧	zɔʔ7	
瘧	nioʔ7	
瘍	zaŋʔ7	
疤	pa1	
疥	kai5	
疫	zi5	
癧	li5	
瘡	tsʰuaŋ1	
瘋	foŋ1	
疲	pʰiʔ7	
疵	tsʰɿʔ7	
疸	taŋʔ7	
疹	tɕeⁱŋ3	
疼	tʰəŋʔ7	
疾	tɕiʔ7	
痂	kia1	
病	peⁱŋ5	
症	tsəŋ5	
痒	zaŋ3	
痔	tɕi5	
痕	həŋʔ7	
痘	təu5	
痛	tʰoŋ5	
痞	pʰi3	
痢	li5	
痣	tɕi5	
癆	lauʔ7	
瘓	huən5	
痰	tʰaŋʔ7	
痱	fəi5	
癡	tɕʰi1	
痹	pi5	
瘁	tsʰəi5	
瘟	un1	
瘦	səu5	
瘩	taʔ7	
癟	piɛ3	
癱	tʰaŋ1	
瘴	tsaŋ5	
瘸	kʰiɛʔ7	
癌	ŋaiʔ7	
癩	lai5	
癬	ɕiən3	
癲	tiən1	
癸	kuəi5	
登	təŋ1	
白	puʔ7	
百	puʔ7	
皂	tsau3	
的	ti1	～确
的	li1	我～
的	ti5	目～
皆	tɕai1	
皇	huaŋʔ7	
皋	kau1	
皚	aiʔ7	
皖	vaŋʔ7	
皮	pʰiʔ7	
皺	tsəu5	
皿	meⁱŋʔ7	
盂	zyʔ7	
盅	tsoŋ1	
盆	pʰəŋʔ7	
盈	zeⁱŋʔ7	
益	ziʔ7	
盎	aŋʔ7	
盞	tsaŋ3	
鹽	ziənʔ7	
監	tɕiən1	
盒	hɔʔ7	
盔	huəi1	
盖	kai5	
盜	tau5	
盤	pʰuənʔ7	
盛	səŋ5	旺～
盟	moŋʔ7	
目	muʔ7	
盯	teⁱŋ1	
盲	maŋʔ7	
直	tɕiʔ7	
相	ɕiaŋ1	～互
相	ɕiaŋ5	长～
盼	pʰaŋ5	
盾	tun5	
省	ɕeⁱŋ3	
省	səŋ3	
眉	məiʔ7	
看	məiʔ7-	
看	kʰaŋ5	
真	tɕeⁱŋ1	
眠	miənʔ7	
眨	tsaʔ7	
眩	ɕiənʔ7	
眶	kʰuaŋ1	
眷	kiən5	
眼	aŋ3	
着	tsɔʔ7	～凉
睜	tsʰəŋ1	
睏	kʰun5	
睛	tɕeⁱŋ1	
睡	suəi5	
督	tu1	
督	tuʔ7	
睦	muʔ7	
睬	tsʰai3	
睹	tu3	
瞌	kʰɔʔ7	
瞒	muənʔ7	
瞧	tɕʰiauʔ7	
瞪	təŋ5	
瞭	liau5	～望
瞳	tʰoŋʔ7	
瞻	tsan1	
瞿	tɕʰyʔ7	
矗	tsʰɔʔ7	
矛	mauʔ7	
矢	tɕi5	
矣	zi1	
知	tɕi1	
矩	tɕy3	
矯	kiau5	
短	tuən3	
矮	ai3	
石	ɕiʔ7	
礬	faŋʔ7	
礦	kʰuaŋ5	
碼	ma3	
砌	tɕʰi5	
砍	kʰaŋ3	
磚	tsuən1	
硯	ziən5	
砝	faʔ7	
砧	tɕiən1	
破	pʰɔ5	
砸	tsaʔ7	
礎	tsʰu3	
硅	kuəi1	
硝	ɕiau1	
硫	liəuʔ7	
硬	əŋ5	
碉	tiau1	
碌	lu5	
礙	ai5	
碎	səi5	
碑	pəi1	
碗	vəŋ3	
碘	tiən3	
碟	tiɛʔ7	
碧	piʔ7	
碰	pʰoŋ5	
鹼	kiən3	
碴	tsʰaʔ7	
磁	tsʰɿʔ7	
磅	paŋ5	
磅	pʰaŋʔ7	
磉	saŋ1	
磋	tsʰɔ1	
磕	kʰɔʔ7	
磨	mɔ5	石～
磨	mɔʔ7	～刀
磬	tɕʰeⁱŋ5	
磷	leⁱŋʔ7	
磺	huaŋʔ7	
礓	kiaŋ1	
示	ɕi5	
禮	li3	
祀	sɿ5	
祁	kʰiʔ7	
祂	tʰa1	
祈	kʰiʔ7	
祖	tɕy3	
祝	tsuʔ7	
神	səŋʔ7	
祠	tsʰɿʔ7	
祥	ɕiaŋʔ7	
票	pʰiau3	
祭	tɕi5	
禱	tau3	
禍	huo5	
禀	peⁱŋ3	
禁	keⁱŋ5	
禄	luʔ7	
禪	saŋ5	～让
禪	tsʰaŋʔ7	坐～
福	fuʔ7	
禹	zy3	
离	liʔ7	
禽	kʰeⁱŋʔ7	
禾	huoʔ7	
秀	ɕiəu5	
私	sɿ1	
禿	tʰuʔ7	
秆	kaŋ3	
秉	peⁱŋ3	
秋	tɕʰiəu1	
種	tsoŋ3	品～
種	tsoŋ5	～植
科	kʰɤ1	
秒	miau3	
秕	pi3	
秘	mi5	
租	tɕy1	
秤	tsʰəŋ5	
秦	tɕʰeⁱŋʔ7	
秧	zaŋ1	
秩	tsɿ3	
積	tɕiʔ7	
稱	tsʰəŋ1	
秸	kiɛʔ7	
移	ziʔ7	
穢	huəi5	
稀	hi1	
程	tsʰəŋʔ7	
稍	sau1	
稅	səi5	
稗	pai5	
稚	tɕi5	
稠	tsʰəuʔ7	
穩	veⁱŋ3	
稻	tau5	
稼	kia5	
稽	ki1	
稿	kau3	
穗	huəi5	
穴	hiɛʔ7	
究	kiəu5	
窮	kʰioŋʔ7	
空	kʰoŋ1	天～
空	kʰoŋ5	有～
穿	tsʰuən1	
突	tʰu1	
竊	tɕʰiɛʔ7	
窄	tsai3	
窄	tsɤʔ7	
竅	kʰiau5	
窑	zauʔ7	
窖	kiau5	
窗	tsʰuaŋ1	
窘	keⁱŋ3	
竄	tsʰuən5	
窩	vɔ1	
窟	kʰu1	
窺	kʰuəiʔ7	
窿	loŋʔ7	
立	liʔ7	
豎	su5	
站	tsaŋ5	
競	keⁱŋ5	
竟	keⁱŋ5	
章	tsaŋ1	
童	tʰoŋʔ7	
竭	kiɛʔ7	
端	tuən1	
竹	tsɿʔ7-	
竹	tsuʔ7=	
竿	kaŋ1	
篤	tuʔ7	
笆	pa1	
笋	səŋ3	
笑	ɕiau5	
笔	piʔ7	
笙	səŋ1	
笛	tiʔ7	
笠	liʔ7	
笡	tɕʰiɛ5	
符	fuʔ7	
笨	pəŋ5	
第	ti5	
箋	tɕiən1	
籠	loŋʔ7	
等	təŋ3	
筋	keⁱŋ1	
筏	faʔ7	
筐	kʰuaŋ1	
筑	tsuʔ7	
筒	tʰoŋ3	
答	taʔ7	
策	tsʰɿʔ7	
篩	sai1	
箏	tsəŋ1	
筲	sau1	
筵	ziənʔ7	
筷	kʰuai5	
籌	tsʰəuʔ7	
