#漢字	音標	解釋
㘗	tsʰi1	說悄悄話
㞎	pua3	～～：大便
㨃	tɛ3	用言語堵住別人的嘴
㲃	tsio5	擰
㷮	tsɔ1	經火加工或太陽暴曬過的東西很臆
㿸	mã6	油㿸，積在皮膚上的污垢
䇽	tʂɛ7	篾～子：一種粗竹蓆
䐬	tsɔ2	餓
䞀	xɔ2	貪多
䵋	xui3	退去顏色
一	i7	
丁	tiã5	一～眼唧：一丁點兒
丁	tiaŋ5	～鑼子
七	tsʰi7	
丈	tʂaŋ6	
三	sã1	
上	ʂaŋ5	(文)
上	ʂaŋ6	(白)
下	xa6	(白)
下	ɕia6	(文)
不	pu7	(文)
不	u7	(白)
丐	kɛ5	
丑	tʂʰau3	
且	tsʰiɛ3	
丕	pʰɛ1	
世	ʂʅ5	
丘	tɕʰio1	
丙	pin3	
丞	tʂɛn2	
丟	tio1	
並	pin5	
丫	ia1	
丫	ŋã1	丫開：張開
中	tʂɛn1	～間
中	tʂɛn5	射～
串	tɕʰyĩ5	
丸	yĩ2	
丹	tã1	
主	tʂy3	
乃	la3	
久	tɕio3	
之	tʂʅ1	
乍	tsua5	
乎	xu1	
乏	xuã5	
乒	pʰin3	
乓	pʰaŋ3	
乖	kua1	
乘	ʂɛn2	
乙	iɛ7	
九	tɕio3	
乞	tɕʰi7	
也	ia3	(白)
也	iɛ3	(文)
乳	y3	
乾	kã1	(文)～淨；～濕
乾	kŋ̍1	(白)
乾	tɕĩ2	～坤
亂	lõ6	
了	liɔ3	～結
事	sɿ6	
二	ɛ6	
于	y2	
云	yɛn2	
互	xu6	
五	u3	
井	tsin3	(文)
井	tsiaŋ3	(白)
些	sia1	(白)
些	siɛ1	(文)
亞	ia5	
亡	uaŋ2	
交	tɕiɔ1	
交	tɕiɔ3	(白)交夥、合夥
亥	xɛ6	
亦	i7	
亨	xɛn1	
享	ɕiaŋ3	
京	tɕin1	
亭	tin2	
亮	liaŋ5	(文)漂～
亮	liaŋ6	(白)～光
人	ȵin2	(白)
人	yɛn2	(文)
什	ʂʅ5	什～
什	ʂɛn5	(文)～麼
什	ʂɛn6	(白)～麼
仁	yɛn2	
仇	tʂau2	
今	tɕin1	
介	ka5	(白)
介	tɕia5	(文)
仍	yɛn2	
仕	sɿ5	
他	tʰa1	
仗	tʂaŋ5	(文)
仗	tʂaŋ6	(白)
付	xu6	
仙	sĩ1	
代	tɛ6	
令	lin5	
以	i3	
仰	ȵiaŋ3	
仲	tʂɛn5	
任	in2	姓
任	yɛn5	
份	xuɛn6	
仿	xaŋ3	(白)
仿	xuaŋ3	(文)
企	tɕi5	
伊	i1	
伍	u3	
伏	xu5	
伐	xua7	
休	ɕio1	
伙	xo3	
伢	ia2	(文)
伢	ŋã2	(白)
伯	pua7	(白)
伯	pɛ7	(文)
估	ku1	～計
估	ku3	猜
伴	põ6	
伶	lin2	
伸	ʂɛn1	
伺	sɿ5	
似	sɿ5	(文)
似	sɿ6	(白)
佃	tĩ6	
但	tã6	
佈	pu5	
位	ui6	
低	ti1	
住	tʂy6	
佐	tso5	
佑	io5	
佔	tɕĩ5	
何	xo2	
余	y2	
佛	xu7	
佞	ȵin5	
你	ȵĩ3	(文)
你	n̩3	(白)
佩	pʰɛ5	
佮	kuɛ7	拉好關係
佳	tɕia1	
佾	i6	一個人一路插過去的若干行秧苗叫一佾
使	ʂʅ3	
侃	kʰã3	
侄	tʂʅ7	
來	lɛ2	
侈	tʂʰʅ3	
例	li6	
侍	sɿ6	
供	kɛn1	
依	i1	
侮	u3	
侯	xɔ2	
侵	tsʰin1	
便	pĩ2	～宜
便	pĩ6	方～
係	ɕi5	關～
促	tsʰau7	
俄	ŋo2	
俊	tsɛn5	
俎	tsau3	
俏	tsʰiɔ5	
俗	sau7	
俘	xu1	
保	pɔ3	
俟	sɿ5	
俠	ɕia7	
信	sin5	
修	sio1	
俯	xu3	
俱	tʂy1	
俸	xɛn5	
倉	tsʰaŋ1	
個	ko5	
倌	kŋ̍1	
倍	pɛ6	
倒	tɔ3	～下
倒	tɔ5	～技
倔	tʂyɛ7	
倘	tʰaŋ3	
候	xɔ6	
倚	i1	
借	tsia5	
倡	tʂʰaŋ1	
倦	tɕyĩ5	
倪	ȵĩ2	
倫	lɛn2	
值	tʂʰʅ5	
假	tɕia3	
偉	ui3	
偏	pʰĩ1	
做	tsau5	
停	tin2	
健	tɕĩ5	(文)
健	tɕĩ6	(白)
側	tsɛ7	
偵	tʂɛn1	
偶	ŋɔ3	
偷	tʰiɔ1	
傀	kʰua3	
傅	xu5	姓
傅	xu6	師～
傍	paŋ5	
傑	tɕʰiɛ7	
傘	sã3	
備	pɛ6	
傢	ka1	(白)
傢	tɕia1	(文)
催	tsʰɛ1	
傭	in6	
傲	ŋɔ5	
傳	tɕyĩ2	～送
傳	tɕyĩ6	～記
債	tsa5	
傷	ʂaŋ1	
傻	sa3	
傻	xa3	(訓讀)
傾	tʂʰuɛn1	
傾	kʰaŋ1	(白)
僅	tɕʰin6	
像	tsiaŋ6	
僑	tɕiɔ2	
僕	pʰo7	
僞	ui5	
僥	ɕiɔ1	
僧	sĩ1	
僱	ku5	
僵	tɕʰiaŋ1	
價	tɕia5	
儀	ȵĩ2	
億	i5	
儉	tɕĩ6	
儒	y2	
儘	tsin3	任憑
償	ʂaŋ3	
儡	lɛ3	
優	io1	
儲	tʂy2	
儼	ȵĩ3	(文)
儼	ȵiɛ7	(白)
允	yɛn3	
元	yĩ2	
兄	ɕin1	
兄	ɕiaŋ1	(白)老～
充	tʂʰɛn1	
兆	tʂɔ5	(文)
兆	tʂɔ6	(白)
先	sĩ1	
光	kaŋ1	(白)～點不剩
光	kuaŋ1	(文)
克	kʰɛ7	
兌	tɛ5	
免	mĩ3	
免	tʰau5	
兒	ɛ2	
兜	tiɔ1	
兢	tɕin5	
入	ȵiã5	～屄：交合
內	lɛ6	
全	tsĩ2	
兩	liaŋ3	
八	pa7	
公	kɛn1	
六	lau7	
兮	ɕi1	
共	kɛn5	(文)
共	kɛn6	(白)
兵	pin1	
其	tɕi2	
具	tʂy5	
典	tĩ3	
兼	tɕʰĩ1	
冀	i5	(文)
冇	mɔ6	沒
冇	mɔ7	「冇得」的合音。沒有：～事做
冉	ĩ3	
冊	tsʰɛ7	
再	tsɛ5	
冒	mɔ5	
冗	in3	
冠	kuã1	(文)衣～
冠	kŋ̍1	(白)衣～
冠	kuã5	(文)～軍
冠	kŋ̍5	(白)～軍
冢	tʂɛn3	
冤	yĩ1	
冬	tɛn1	
冰	pin1	
冷	lɛn3	(文)
冷	laŋ3	(白)
凌	lin1	(白)躡手躡腳
凌	lin2	
凌	lin6	～冰
凍	tɛn5	
凜	lin3	
凝	ȵin2	
几	tɕi1	茶～
凡	xuã2	
凰	xaŋ2	(白)
凰	xuaŋ2	(文)
凱	kʰɛ3	
凳	tĩ5	(白)
凳	tɛn5	(文)
凸	kɛn3	(訓讀)
凸	tʰau7	
凹	ŋɔ5	(文)
凹	iɛ7	(白)
出	tʂʰy7	
函	xã2	
函	xuã2	～子：小棺材
刀	tɔ1	
刁	tiɔ1	
刃	yɛn5	
分	xuɛn1	
切	tsʰiɛ7	
刈	ȵĩ5	
刊	kʰã1	
刎	uɛn3	
刑	ɕin2	
划	xua2	～船
列	liɛ7	
初	tsʰau1	
判	pʰõ5	
別	pʰiɛ7	
刨	pɔ6	
利	li5	(文)
利	li6	(白)
刪	sã1	
刮	kua7	
到	tɔ5	
制	tʂʅ5	
刷	sua7	
券	tɕyĩ5	
刺	tsʰɿ5	
刻	kʰɛ7	
剁	to5	
剃	tʰi5	
則	tsɛ7	
削	sio7	
剋	kʰɛ7	
前	tsĩ2	
剎	sa7	
剔	tʰi3	
剖	pʰiɔ3	
剛	kaŋ1	
剛	tɕiaŋ1	(白)
剜	ua1	
剦	ĩ1	
剩	ʂɛn6	
剪	tsĩ3	
剮	kua3	
副	xu5	
割	kuɛ7	
割	ko7	(文)
剿	tsʰiɔ3	
劃	xua5	計～
劃	xua6	～分
劇	tʂy5	
劈	pʰi7	(文)
劈	pʰia7	(白)
劉	lio2	
劊	kʰua5	
劍	tɕĩ5	
劐	xo7	
劑	tsi5	
力	li5	(白)
力	li7	(文)
功	kɛn1	
加	tɕia1	
劣	liɛ7	
助	tsau6	
努	lau3	
劫	tɕiɛ7	
勁	tɕin5	
勃	pʰo7	
勇	in3	
勉	mĩ3	
勒	lɛ7	
動	tɛn6	～作
勘	kʰã1	
務	u5	(文)
務	u6	(白)
勝	ʂɛn5	
勞	lɔ2	
募	mõ5	
勢	ʂʅ5	
勤	tɕin2	
勳	ʂuɛn1	
勵	li5	
勸	tɕʰyĩ5	
勺	ɕio5	
勻	yɛn2	
勾	kɔ1	(文)
勾	tɕiɔ1	(白)
勿	u7	
包	pɔ1	
匆	tsʰɛn1	
化	xua5	
北	pɛ7	
匙	ʂʅ6	
匠	tsiaŋ6	
匡	tɕʰiaŋ1	
匣	ɕia7	
匯	xui6	
匹	pʰi7	
匾	pĩ3	
匿	ȵĩ7	
