#漢字	音標	解釋
□	via6	播撒
㪗	tʰio3	
䭕	tsiŋ3	
一	i6	
七	tsʰɑi6	
丈	tsʰɔŋ1	
三	səŋ1	
上	ʃɔŋ1	
下	ho1	
世	ʃʅ5	
中	tsɑŋ1	
主	ky3	做主，主席
久	ku3	
乖	kuɑi1	
乘	ʃiæ2	
九	kiu3	
亂	ləŋ6	
事	sɿ6	
事	si6	
二	ŋi6	
互	fu6	
五	ɑŋ3	
井	tsiŋ3	
交	kɑ1	
京	kiæ1	
人	ŋiæ̃2	
仁	iæ2	
仇	tsʰu2	
今	kiæ1	
介	kɑ5	
仙	siŋ1	
代	tɑ6	
代	tɑi6	
件	kiŋ6	
任	iæ6	
份	fæ6	
伴	məŋ3	
位	vi6	
佛	hɔʔ8	
作	tsɤ6	
你	ŋ̍1	
來	li2	
侵	tsʰiɑŋ1	
便	piæ2	便宜
便	piŋ6	方便
保	pɤ3	
信	sæ5	
修	siu1	
倉	tsʰɔŋ1	
個	kɑ5	
倍	pɑi6	
借	tsiɑ6	
假	ko3	
偉	vi3	
偏	piŋ1	
做	tsɤ5	
停	tʰæ2	
健	kiŋ6	
偷	tʰio1	
傅	fu6	
傘	səŋ3	
備	pi6	
傲	ŋɔ6	
債	tsɑ5	
傷	ʃɔŋ1	
像	siɔŋ6	
價	ko5	
儉	kiɑŋ6	
優	iu1	
充	tʃʰɑŋ1	
先	sin1	
光	kɔŋ1	
入	ŋiæʔ8	
内	nɑi6	
全	tsəŋ2	
兩	liɔŋ3	兩個，幾兩
八	pi6	
公	kɑŋ1	
六	liɔʔ8	
共	kɑŋ6	
兵	piæ1	
典	tiŋ3	
册	tsʰo6	
冠	kuŋ5	
冬	tɑŋ1	
冰	piæ1	
冷	læ3	
凡	fəŋ2	
凶	hiɔŋ1	
出	kʰyæ6	
刀	tɤ1	
分	fæ1	動詞，分數
切	tsʰi6	
初	tsʰɿ1	初一，初中
判	pʰəŋ5	
别	piʔ8	
利	li6	刀利，利益
前	tsiŋ2	
剪	tsiŋ3	
副	fu5	
割	kɑ6	
劉	lio2	
劍	kiŋ5	
力	lɑiʔ8	出力，力量
功	kɑŋ1	
加	ko1	
助	tsu6	
努	nu3	
勇	iɔŋ3	
勉	miæ3	
動	tɔŋ6	動詞，運動
勞	lɯ2	
勤	kʰiæ2	
勵	li6	
勸	kʰuiŋ5	
勾	kio1	
