#漢字	音標	解釋
□	nam1	蘸酱油
一	ɐt7a	
丁	tɛŋ1	
七	tsʰɐt7b	
万	man2	
丈	tsʰiŋ2	
三	sam1	
上	siŋ2	~山
上	siŋ2	~面
下	ha2	~降
下	ha2	底~
不	pɐt7a	
与	zi3	
丐	kʰoi1	
丑	tsʰɐu3	
專	tsun1	
且	tsʰi3	
丕	pʰɐi1	
世	sɐi2	
丘	hɐu1	
丙	pɛŋ3	
業	ŋip7b	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɐi1	
丞	sɛŋ2	
丢	tiu1	
兩	liŋ3	~个
兩	liŋ3	几~
嚴	ŋim2	
喪	saŋ3	~头
喪	saŋ3	婚~
个	ka3	
丫	ŋa1	
中	tsoŋ3	射~
中	tsuŋ1	当~
丰	foŋ1	
串	tsʰun3	
臨	lɐn2	
丸	zun2	
丹	tan1	
爲	vɐi2	~什么
爲	vɐi2	作~
主	tsɐu3	
麗	lɐi2	
舉	kɐi3	
乃	nai3	
久	kɐu3	
麽	ziu1	~三三
義	ŋɐi2	
之	tsi1	
烏	vu1	
乎	fu2	
乏	fan2	
樂	lak7b	
樂	ŋak7b	音~
喬	kʰiu2	
乖	kʷai1	
乘	tsiŋ1	
乘	sɛŋ2	
乙	it7b	
九	kɐu3	
乞	hɐt7a	
也	za3	
習	tsʰɐp8	
鄉	hiŋ1	
書	sɐu1	
買	mai3	
亂	lun2	
乳	zui3	
乾	kʰin2	~坤
了	liu3	~结
爭	tsɛŋ1	
事	si2	
二	ŋɐi2	
于	ɐu1	
虧	kʰʷɐi1	
云	vɐn2	
互	fu2	
互	hu2	
五	ŋo3	
井	tsɛŋ3	
亞	ŋa3	
些	si2	
亡	muŋ2	
交	kau1	
亥	hai2	
亦	zɛk7a	
產	tsʰan3	
亨	haŋ2	
畝	mau3	
享	hiŋ3	
京	kɛŋ1	
亭	tʰɛŋ2	
親	tsʰɐn1	
人	ŋiɐn2	
億	zɛk7a	
什	sɐp8	~物
仁	ŋiɐn2	
僅	kɐn3	
仆	pʰok8	~人
仆	pʰuk8	倒
仇	tsʰɐu2	
