#漢字	音標	解釋#('wuu_oj_rads', '瑞安東山話', '瑞安東山', '#8B0000', None, None, '來源：由東甌組<u>落橙</u>、<u>老虎</u>提供', '55 1 1a 陰平 ꜀,31 2 1b 陽平 ꜁,35 3 2a 陰上 ꜂,13 4 2b 陽上 ꜃,52 5 3a 陰去 ꜄,22 6 3b 陽去 ꜅,322 7 4a 陰入 ꜆,322 8 4b 陽入 ꜇', None, None)
引	iaŋ3	
弗	fʋ7	
弘	ɦoŋ2	
弟	dei4	
張	tɕiɛ1	
弥	mei2	
弦	ji2	
彎	uɔ1	
弱	jɔ8	
彈	dɔ2	
彈	dɔ6	
强	dʑiɛ2	
强	dʑiɛ4	
弼	bi8	
彀	kau5	
歸	tɕy1	当归
歸	kai1	日常音
當	tʊ1	
當	tʊ5	
录	lʊ8	
彗	vʋ6	
形	jaŋ2	
彩	tsʰei3	
彪	pi1	
彬	pəŋ1	
彭	ba2	
影	iaŋ3	
彷	fɔ3	
役	jy8	
徹	dʑi8	
彼	pei3	
往	ʊ3	
征	tsəŋ1	
徑	tɕiaŋ5	
待	de4	
很	haŋ3	
徐	zei2	白讀，姓氏
徒	dɤu4	
徒	dəʉ4	
得	tei7	
徙	sei3	
徛	ɡe4	站起
御	ȵy4	
御	ȵy6	
循	joŋ2	
微	mei2	
微	vei2	
德	tei7	
徽	fai1	
心	saŋ1	
必	pei7	
憶	i5	
忌	dʑi6	
忍	ȵiaŋ4	
忏	tsʰɔ5	
忒	tʰe7	
忖	tsʰø3	
志	tsɿ5	
忘	ɦuɔ2	
忘	maŋ2	
忙	mʊ2	
忝	tʰiɛ3	
忝	tʰiɛ5	
忠	tsoŋ1	
快	kʰa5	
快	kʰau5	快活
念	ȵiɛ6	
忽	ɕy7	
忿	vaŋ6	
懷	va2	
態	tʰe5	
慫	ɕiʊ3	
慫	soŋ3	
慪	au3	
悵	tɕʰiɛ5	
怒	nɤu6	
怕	pʰʊ5	
怖	pʊ5	
思	sɿ1	
怠	de4	
怡	ji2	
急	tɕia7	
性	səŋ5	
怨	y5	
怪	ka5	
怯	tɕʰi7	
怯	tɕiɔ7	
總	tsoŋ3	
恃	zɿ4	
恍	hʊ3	
恐	tɕʰiʊ3	
恐	kʰoŋ3	
恆	ɦaŋ2	
恕	səʉ5	
恙	jɛ6	
恢	kʰai1	
恤	ɕy7	
恨	haŋ5	
恩	ø1	
恭	tɕiʊ1	
恭	koŋ1	
息	sei7	
恰	kʰɔ7	
懇	kʰaŋ3	
恶	ʋ1	
恶	ʊ7	頑皮
愷	kʰe3	
惻	tsʰei7	
惱	nɛ4	
悄	ɕy1	
悉	sei7	
悔	fai3	
悟	ŋ6	
患	ɦuɔ6	
悅	jy8	
懸	ɕy1	
懸	jy2	
憫	məŋ4	
悲	pei1	
悴	zai6	
情	zəŋ6	
驚	tɕiaŋ1	
惑	va8	
惜	sei7	
惟	vʉ2	
惠	vʉ6	
懼	dʑy6	
懲	dzəŋ2	
慚	zɔ2	
憚	dɔ6	
慣	kuɔ5	
惰	dɤu4	
想	ɕiɛ3	
惹	zei4	
愈	vʉ4	
愉	vʉ2	
意	i5	
愚	ȵy2	
感	ke3	
憤	faŋ5	
愧	tɕy3	
愧	kʰai5	
願	ȵy6	
慈	zɿ2	
慌	hʊ1	
慎	zaŋ6	
慕	mʊ6	
慢	mɔ6	
慧	vʉ6	
慨	kʰe5	
慰	ʋʉ1	
慷	kʰʊ1	
慷	kʰʊ5	
憋	pi7	
憎	tsaŋ3	
憎	tsəŋ1	
憾	ɦø6	
懂	toŋ3	
懈	ɦa6	
懊	ɛ3	
懊	ɛ5	
懶	lɔ4	
懵	moŋ1	
懿	ji2	
懿	ji6	
戈	kʋ1	
戊	mɛ6	
戌	ɕy7	
戍	səʉ5	
戎	zoŋ2	
戲	ɕi5	
成	zəŋ2	
我	ŋ4	
戒	ka5	
戕	jɛ2	
或	va8	
戰	tɕi5	
戚	tsʰei7	
戟	tɕi7	
截	tɕi7	
戮	lɤu8	
戳	tɕʰiʊ7	
戴	ta5	
戶	vʋ4	
戽	fʋ5	
房	vɔ2	
所	sʊ3	
扁	pi3	
扇	ɕi5	
手	sɤu3	
才	zei2	
扎	tsɔ7	
扑	pʰɔ7	撲克
扑	pʰʊ7	
打	ta3	
扔	ləŋ1	
托	tʰʊ7	
扛	kʊ1	
扛	ɡʊ2	
扣	kʰau5	
執	tsa7	
擴	kʰʊ7	
掃	sɛ3	
掃	sɛ5	
揚	jɛ2	
扮	pɔ5	
扯	tsʰei3	
擾	jy4	
扳	pɔ1	
扶	vʋ2	
扶	vʉ2	
批	pʰei1	
扼	a7	
找	tsɔ3	
承	zəŋ2	
技	dʑi6	
抄	tsʰɔ1	
把	pʊ3	
抑	i7	
抓	tsɔ3	
投	daʊ2	又讀，投降
抖	taʊ3	
抗	kʰʊ5	
折	tɕi7	
折	ji8	
撫	fʋ3	
抛	pʰɔ1	
摳	kʰau1	
搶	tɕʰiɛ3	
護	vʋ6	
報	pɛ5	
披	pʰei1	
抬	de2	
抱	bɛ4	
抵	tei5	
抹	mø8	
押	ɔ7	
抽	tsʰɤu1	
擔	tɔ1	
擔	tɔ1	擔心
拆	tsʰa7	
拇	mʊ4	
拈	ȵiɛ2	
拉	la1	
拉	lɔ1	
拉	lɔ8	
拍	pʰa7	
拎	ləŋ1	
拐	ka3	
拒	dʑy4	
拔	bɔ8	
拖	tʰa1	鞋拖：拖鞋
拖	tʰɤu1	
拗	ɔ1	
拘	tɕy1	
拙	tɕy7	
拙	dʑy8	
拚	pʰəŋ1	
招	tɕy1	
擬	ȵi4	
攏	loŋ4	
揀	kɔ3	
擁	ioŋ1	
攔	lɔ2	
撥	pø7	
擇	tsa7	
括	kʰuɔ7	
拯	tsəŋ3	
拱	tɕiʊ3	
拱	koŋ3	
拱	koŋ5	人頂進去
拳	dʑy2	
拴	sø1	
拼	pʰəŋ1	
拿	nɔ2	
持	dzɿ2	
挂	kʊ5	
挆	tʊ5	東西拿著
指	tsɿ3	
按	ø5	
挑	tʰuɔ1	
挖	uɔ7	
挖	ʊ7	
挾	ji8	
挾	ɡɔ8	
撓	nɔ2	
撓	nɔ4	
擋	tʊ3	
擋	tʊ5	
擠	tsei3	
揮	ɕy1	
揮	fai1	日常音
挨	a1	
挨	e1	
挪	nʊ6	
振	tsaŋ5	
挺	tʰəŋ3	
挽	mɔ4	
挽	ɦuɔ4	
捅	tʰoŋ3	
捆	kʰy3	
捉	tɕiʊ7	
捋	la8	揉
捎	sɔ1	
捏	ȵiɔ8	
捐	tɕy1	
捕	bʊ4	
撈	lɛ2	
損	sø3	
換	ɦuɔ6	
捧	pʰoŋ3	
据	tɕy5	
捷	tɕi7	
捺	nɔ8	
捻	ȵi4	
掀	ɕi1	
掀	ɕiaŋ1	
掂	tiɛ1	
掇	tø7	
授	zɤu6	
掉	duɔ4	
掌	tɕiɛ3	
掏	tʰɛ1	
掐	kʰɔ7	
排	ba2	
掘	dʑy8	
掘	dʑia8	倔地：耕地，倔人：打人
掠	liɛ8	
探	tʰe5	
接	tɕi7	
控	kʰoŋ5	
推	tʰai1	
掩	i3	
措	tsʰɤu5	
擲	tsei7	
揆	dʑy4	
揉	zɤu2	
描	mi2	
提	dei2	
插	tsʰɔ7	
揖	ia7	
握	ʊ7	
揣	tɕʰy3	
揩	kʰa1	
揪	tsɤu1	
揭	tɕi7	
揭	tɕʰi7	
援	jy2	
攬	lɔ4	
攙	tsʰɔ1	
摟	laʊ4	
攪	kɔ3	
搓	tsʰɤu1	
搙	nʊ6	腳崴
搞	kɔ3	
搬	pø1	
搭	tɔ7	
携	ɕi7	
携	ji2	
携	vʉ2	
携	zei2	
搽	dzʊ2	搽掃：掃帚
攝	ɕi7	
摆	pa5	
摇	jy2	
攤	tʰɔ1	
摔	sa1	
摘	tsa7	
摞	lai4	揉
摞	lɤu6	
摩	mʊ2	
摸	mʊ8	
撇	pʰi7	
撑	tsʰa1	
撒	sɔ7	
撕	sɿ1	
撞	dʑiʊ2	
撞	dʑiʊ6	
撤	tɕʰi7	
撩	luɔ2	
播	pʊ1	
撮	tsʰa7	摘
撮	tsʊ3	一撮
撮	tsʰʊ7	一撮，少，頭髮一撮厘兒
撰	zø4	
攆	ȵi4	
撼	hɔ3	
擀	kø3	
擅	ji6	
操	tsʰɛ1	
擎	dʑiaŋ2	
擒	dʑiaŋ2	
擘	pʰa7	掰
擦	tsʰɔ7	
攀	pʰɔ1	
攘	ȵiɛ6	
支	tsei1	
收	sɤu1	
改	ke3	
攻	koŋ1	
放	fɔ5	
政	tsəŋ5	
故	kʋ5	
效	ɦɔ4	
敵	dei8	
敏	məŋ4	
教	kɔ1	
教	kɔ5	
敝	pei5	
敢	ke3	
散	sɔ3	
散	sɔ5	
敦	tø1	
敦	taŋ1	
敦	taŋ5	物事豎放或者自上而下放置。
敬	tɕiaŋ3	
數	sɤu3	
數	sɤu5	講數話
數	səʉ3	
數	səʉ5	
敲	kʰɔ1	
整	tsəŋ3	
敷	fʋ1	
文	vaŋ2	
斋	tsa1	
斗	taʊ3	
斗	taʊ5	
料	luɔ6	
斛	vʋ8	
斜	zei2	
斟	tsaŋ1	
斡	uɔ7	
斤	tɕiaŋ1	
斥	tsʰei7	
斧	fʋ3	
斬	tsɔ3	
斷	dø4	
斷	daŋ4	
斷	daŋ6	
斯	sɿ1	
新	saŋ1	
新	səŋ1	
方	fɔ1	
施	sɿ1	
旁	bɔ2	白讀，旁向
旁	bʊ2	
旅	ləʉ4	
旋	jy2	
旋	jy6	
旌	tsəŋ1	
族	zɤu8	
旗	dʑi2	
无	vʋ2	
无	ŋ2	無娘教
既	tɕi5	
日	ȵi8	日头
日	ne8	
旦	tɔ5	
旨	tsɿ3	
早	tsɛ3	
旬	joŋ2	
旭	ɕiʊ7	
旱	ɦø4	
時	zɿ2	
曠	kʰʊ4	
曠	ɡʊ2	放著遲遲不幹
曠	ɡʊ4	有空閒
曠	ɡʊ2	靠牆
旺	ɦʊ6	
昂	ŋʊ2	
昆	ky1	
昆	kaŋ1	
昆	kʰaŋ1	
昌	tɕʰiɛ1	
明	maŋ2	
明	məŋ2	
昏	ɕy1	黄昏
昏	faŋ1	昏君
易	ji6	
易	ji8	
昔	sei7	
星	səŋ1	
映	iaŋ5	
春	tsʰoŋ1	
昧	mei6	
昨	zʊ8	
昭	tɕy1	
是	zɿ4	
昵	ȵi8	
晝	səʉ1	
顯	ɕi3	
晉	tsaŋ5	
晏	ɔ5	
曬	sa5	
曉	ɕiɔ3	
暈	iaŋ1	
晚	mɔ4	
晚	ɦuɔ4	
晦	fai5	
晨	zaŋ2	
普	pʰʊ3	
景	tɕiaŋ3	
晴	zəŋ6	
晶	tsəŋ1	
晷	tɕy3	
智	tsɿ5	
暫	dzɔ6	
暇	ɦʊ6	
暑	səʉ3	
暖	nø4	
暖	naŋ4	
暗	e5	
暗	ø5	市區音
暮	mʊ6	
暴	bɛ6	
暹	ɕi1	
曝	pʰʊ7	
曩	nʊ4	
曰	jy8	
曰	ia3	
曰	ja8	
曲	tɕʰiʊ7	
曲	tɕʰiɤu7	
更	ka1	
更	ka5	
曷	ɦø8	
曹	zɛ2	
曾	tsaŋ1	
曾	dzaŋ2	
曾	zaŋ2	
替	tʰei5	
最	tsai5	
最	tsei5	
月	ȵy8	
朋	boŋ2	
服	vʋ8	
朔	ɕiʊ7	
朕	dzaŋ4	
朗	lʊ4	
望	ɦuɔ6	又音，希望
望	mʊ1	上望
望	mʊ6	
朝	tɕy1	
朝	dʑy2	
期	dʑi2	
木	mʊ8	
未	mei2	
末	mø8	
本	paŋ3	
札	tsɔ7	
术	jy8	
术	jʊ8	手術
朱	tsəʉ1	
朵	tʊ1	
朵	tʊ3	
機	tɕi1	
殺	sɔ7	
權	dʑy2	
杆	kø1	
杈	tsʰʊ1	
杉	sɔ1	
李	lei4	
杏	ɦa4	
材	zei2	
村	tsʰø1	
杖	tɕiɛ5	
杜	dəʉ4	
杞	tɕʰi3	
束	ɕiʊ7	
條	duɔ2	
來	lei2	
楊	jɛ2	
杭	ɦʊ2	
杯	pai1	
杰	dʑi8	
杳	y3	
松	soŋ1	
板	pɔ3	
極	dʑi8	
構	kau5	
枉	ʊ3	
析	sei7	
枕	tsaŋ3	
林	ləŋ2	
枚	mai2	
果	kʋ3	
枝	tsei1	
樞	səʉ1	
棗	tsɛ3	
槍	tɕʰiɛ1	
枯	kʰʋ1	
枵	ɕy1	
架	kʊ5	
柄	pəŋ3	
柏	pa7	
某	mʊ4	
柑	ke1	毆柑
染	ȵi4	
染	ji4	文读
柔	zɤu2	
櫃	dʑy6	
查	tsʊ1	
查	dzʊ2	
柬	kɔ3	
柱	dzəʉ4	
柳	lɤu4	
柵	tsʰa7	
標	pi1	
棧	dzɔ6	
棟	toŋ5	
欄	lɔ2	
樹	zəʉ6	
栖	sei1	
校	kɔ5	
校	ɦɔ6	
株	tsəʉ1	
樣	iɛ5	
樣	jɛ6	
核	ɦe8	
根	kø1	根長：一直幹啥事讓人煩
格	ka7	
栽	tsei1	
桂	tɕy5	
桃	dɛ2	
桅	vai2	
案	ø5	
桌	tɕiʊ7	
桐	doŋ2	
桑	sʊ1	
桓	jy2	
橋	dʑy2	
槳	tɕiɛ3	
樁	tɕiʊ1	類推音
桶	doŋ4	
梁	liɛ2	
梅	mei2	
梓	tsɿ3	
梢	sɔ1	
夢	moŋ6	
梧	ŋ2	
梨	lei2	
梭	sɤu1	
梯	tʰi1	
梯	tʰei1	
械	ɦa6	
梳	sɿ1	头梳：梳子
梵	vɔ2	
梵	vɔ6	
檢	tɕi3	
棉	mi2	
棉	mei2	棉毛衫
棋	dʑi2	
棍	kaŋ5	
棒	bʊ4	
棕	tsoŋ1	
棘	tɕi7	
棚	boŋ2	
森	saŋ1	
棵	kʰʋ1	
棺	ky1	棺材长险：非常长
椅	i3	
植	dzei8	
椒	tɕy1	
椰	i1	
椽	dʑy2	
椿	tsʰoŋ1	
楚	tsʰɤu3	
楞	laŋ6	
楣	mei2	
楦	ɕy5	
楷	kʰa3	
樓	laʊ2	
概	ke5	
欖	lɔ2	
榆	vʉ2	
榛	tsaŋ1	
榜	pɔ3	白讀
榜	pʊ3	
榨	tsʊ5	
榴	lɤu2	
榻	tʰɔ7	
槌	tsəʉ1	
槐	va2	
檳	pəŋ1	
樟	tɕiɛ1	
模	mʊ4	
橫	va2	
櫻	iaŋ1	
樵	dʑy2	
橄	kɔ3	橄欖
橘	tɕia7	
橙	dzəŋ2	
橛	dʑy8	
櫓	ləʉ4	
檀	dɔ2	
檐	ji6	
欛	pa5	
欠	tɕʰi5	
次	tsʰɿ5	
歡	ɕy1	
欣	ɕiaŋ1	
歐	au1	
欲	jʊ8	
欺	tɕʰi1	
款	kʰø3	
歇	ɕi7	
歉	tɕʰi5	
歌	kʋ1	
止	tsɿ3	
正	tsəŋ1	
正	tsəŋ5	
此	tsʰɿ3	
步	bʊ6	
武	vʋ4	
歪	ʋa1	
死	sɿ3	
殲	tɕi1	
殃	iɛ1	
殆	de4	
殉	joŋ6	
殊	zəʉ2	
殘	zɔ2	
殖	dzei8	
殯	pəŋ5	
毆	au1	
段	dø6	断用：沒用
段	daŋ6	
殷	iaŋ1	
殿	di6	
毁	ɕy3	
毁	fai3	
毅	ȵi6	
毋	vʋ2	
母	mʊ4	
每	mei4	
毒	dɤu8	
比	pei3	
畢	pei7	
斃	pei3	
斃	bei6	
毛	mɛ2	
毡	tɕi1	
毫	ɦɛ2	
毯	tʰɔ3	
氏	zɿ4	
民	məŋ2	
气	tɕʰi5	
氯	lʊ8	
水	səʉ3	
永	ioŋ3	
永	joŋ4	
汀	tʰəŋ1	
汁	tsa7	
汇	vʉ6	
汇	vai4	
漢	hø5	
汊	tsʰʊ5	
汗	ɦø6	
汝	zəʉ4	
汞	koŋ3	
汞	koŋ5	
江	kʊ1	
池	dzei2	
池	zei2	上岸池
污	ʋ1	
湯	tʰʊ1	
汪	jʊ2	
汲	tɕia7	
汴	bi6	
汽	tɕʰi5	
沂	ȵi2	
沃	ʊ7	
沉	dzaŋ2	
沌	dø2	
沌	daŋ4	
沐	mʊ8	
沙	sʊ1	
沛	pʰai5	
溝	kau1	
沒	mø8	
漚	au1	
漚	au3	
淪	laŋ2	
滬	vʋ4	
沫	mø8	
河	vʋ2	
沸	fai5	
治	dzɿ6	
沼	tɕy3	
沾	tɕi1	
沿	ɕi1	边埏：旁边
沿	ji2	
泄	sei7	
泅	zɤu2	舊語，泅河兒：游泳
泉	jy2	
泊	pʰʊ7	
泊	bʊ8	
泌	mei6	
泔	kø1	
法	fɔ7	
泛	fɔ5	
泡	pʰɔ5	
波	pʊ1	
波	pʉ1	
泣	tɕʰia7	
泥	ȵi2	
注	tsəʉ5	
淚	lai6	
泯	məŋ2	
泯	məŋ4	
泰	tʰa5	
泳	joŋ4	
瀉	sei5	
潑	pø7	
潑	pʰø7	
澤	tsa7	
潔	tɕi7	
洋	jɛ2	
洒	sa3	
洒	sʊ5	
洗	sei3	
洛	lʊ8	
洞	doŋ6	
津	tɕiaŋ1	
洪	ɦoŋ2	
洲	tsɤu1	
活	ɦuɔ8	
洼	ʊ1	
洽	ɦɔ8	
派	pʰa5	
流	lɤu2	
淺	tɕʰi3	
漿	tɕiɛ1	
澆	tɕy1	
濁	dʑiʊ8	
測	tsʰei7	
濟	tsei5	
渾	vaŋ6	
滸	fʋ3	
濃	ȵiʊ2	
浙	tsei7	
浚	soŋ5	
浜	pəŋ1	
浦	pʰʊ3	
浩	ɦɛ4	
浪	lʊ6	
浮	vɛ2	
浴	jʊ8	洗浴：洗澡
海	he3	
浸	tsaŋ5	
消	ɕy1	
涉	ji8	
涌	jʊ4	
涎	ji2	
涓	tɕy1	
涕	tʰei5	
濤	dɛ2	
潤	zoŋ6	
漲	tɕiɛ5	
澀	sa7	
涮	sø5	
涯	ŋɔ2	
液	ji8	
涴	ʋ5	屎，涴臀：屁股
淆	ɦɔ4	
淋	ləŋ2	
淑	zɤu8	
淡	dɔ4	
淤	ʋʉ1	
淫	jaŋ2	
淮	va2	
深	saŋ1	
混	vaŋ6	
淹	i1	
添	tʰiɛ1	
清	tsʰəŋ1	
淵	y1	
漸	ji2	
漁	ȵy2	
瀋	saŋ3	
滲	saŋ5	
渠	ji0	渠弱化
渠	dʑy2	
渠	ɡe2	白讀
渡	dəʉ6	
渣	tsʊ1	
渧	tei5	滴也
溫	y1	
溫	ʋaŋ1	溫湯
港	kʊ3	
渴	kʰø7	
渺	mi4	
湖	vʋ2	
灣	uɔ1	
溼	sa7	
潰	kʰai5	
濺	tɕi5	
溉	ke5	
源	ȵy2	
溜	lɤu1	lɤu⁵²癢，痒
溜	lɤu6	
溦	mei2	溦毛滋
溪	tɕʰi1	
溺	ȵiɔ8	
滂	pʰʊ1	
滋	tsɿ1	
滑	ɦuɔ8	
滔	tʰɛ1	
滾	kaŋ3	
滯	tsei5	
滿	mø4	
濾	ləʉ6	
濫	lɔ6	倒三欄
灘	tʰɔ1	
滴	tei7	
漂	pʰi1	
漂	pʰi3	
漆	tsʰa7	
漏	laʊ6	
演	i3	
漫	mø6	
潘	pʰø1	
潛	tɕʰi3	
潭	de2	
潮	dʑy2	
潲	sɔ1	
潺	tsʰɔ3	
澄	dəŋ2	
澄	dzəŋ2	
澡	tsɛ3	
激	tɕi7	
濯	dʑiʊ8	
瀑	pʰʊ7	
灌	ky5	
火	fʋ3	
滅	mi8	
燈	taŋ1	
灰	fai1	
靈	ləŋ2	
竈	tsɛ5	
災	tsei1	
燦	tɕʰiɔ5	
爐	ləʉ2	
炊	tsʰəʉ1	
炎	ji2	
炒	tsʰɔ3	
炕	kʰʊ5	
炙	tsei7	
炭	tʰɔ5	
炮	pʰɔ5	
炸	tsʊ5	
點	tiɛ3	
爍	ɕiɔ7	閃爍
爛	lɔ6	
烊	jɛ2	融化
烘	hoŋ1	
烙	lʊ8	
燭	tɕiʊ7	
烟	i1	
烤	kʰɛ1	
烤	kʰɛ3	
煩	vɔ2	
燒	ɕy1	
燙	tʰʊ5	
熱	ȵi8	
烹	pʰa1	
焉	i1	
煥	ɕy5	
焚	vaŋ2	
焦	tɕy1	
焰	ji6	
然	ji2	
煎	tɕi1	
煞	sɔ7	煞氣
煠	zɔ8	
照	tɕy5	
煨	ʋai1	
煮	tsei3	
熄	sei7	
熊	joŋ2	
熏	ɕiaŋ1	
熔	joŋ2	
熙	ɕi1	
熟	zɤu8	
熨	iaŋ5	
熬	ŋɛ2	
熯	he5	蒸
燃	ji2	
燎	luɔ2	
燎	luɔ4	
燕	i1	
燕	i3	
燕	i5	
燥	tsɛ5	
爆	pɔ5	
爊	ɛ1	
爪	tsɔ3	
爬	bʊ2	
愛	e5	
爵	tɕiɔ7	
父	fʋ3	
父	vʉ6	
爺	ji2	
爸	pa1	
爹	tei1	
爻	ɦɔ2	
爽	sʊ3	
片	pʰi5	
版	pɔ3	
牌	ba2	
牘	dɤu8	
牒	duɔ8	
牙	ŋʊ2	
牛	ŋau2	
牝	bei4	
牝	bəŋ4	
牢	lɛ2	
牧	mʊ8	
物	va8	
物	mʉ	物事
牲	sa1	
牽	tɕʰi1	
特	tʰe7	
犧	ɕi1	
犀	sei1	
犁	lei2	
犒	kʰɛ5	
犬	tɕʰy3	
犯	vɔ4	
狀	tɕiʊ5	
狀	dʑiʊ6	
狂	dʑiʊ2	
狄	dei8	
狎	ɦɔ8	
狐	vʋ2	
狗	kau3	
狡	kɔ3	
獨	dɤu8	
狹	ɡɔ8	擁擠，狹小
狹	ɡɔ8	
狹	ɦɔ8	
獅	sɿ1	
獅	sa7	狮子
獄	ȵiʊ8	
狼	lʊ2	
獵	luɔ8	
猛	ma4	
猝	tsʰø7	
豬	tsei1	白讀
貓	mɔ1	
貓	mɔ2	大貓：老虎
猬	vʉ6	
獻	ɕi5	
猴	ɦau2	
猾	ɦuɔ8	
獺	tʰɔ7	
玄	jy2	
率	sa5	
率	sa7	
玉	ȵiʊ8	
王	jʊ2	
玩	ȵy2	
玩	ŋɔ2	
玩	ŋuɔ2	
玩	ɦuɔ2	
玫	mai2	
環	ɦuɔ2	
現	ji6	
璽	sei3	
玻	bʊ2	
珀	ba8	
珊	sɔ1	
珍	tsaŋ1	
珠	tsɿ1	眼儿珠：眼睛
珠	tsəʉ1	
班	pɔ1	
理	lei4	
琉	lɤu2	
瑣	sai3	小個的
瑣	sai5	小個的
琛	tsʰaŋ1	
琢	tɕiʊ7	
琴	dʑiaŋ2	
琵	bei2	
琶	bʊ2	
瓊	dʑioŋ2	
瑕	ɦʊ2	
瑞	zəʉ6	
瑟	sa7	
瑰	kai1	玫瑰
璃	lei2	
璞	pʊ7	
璧	pei7	
瓜	kʊ1	
瓠	vʋ2	
瓠	vʋ6	
瓢	bi2	
瓣	pʰɔ5	
瓤	ȵiɛ2	瓤兒：果核
瓤	ɕiɛ1	
瓦	ŋʊ4	
瓮	oŋ1	
瓶	bəŋ2	
瓷	zɿ2	
甘	kø1	甘蔗
甚	zaŋ6	
甜	diɛ2	
生	sa1	
甥	sa1	
用	ɦʊ6	
用	jʊ6	
甫	fʋ3	
甬	jʊ4	
田	di2	
甲	kɔ7	
申	saŋ1	
申	səŋ1	
電	di6	
男	ne2	
畫	ɦʊ6	
畀	pai1	拿來
暢	tɕʰiɛ5	
界	ka5	
畏	ʋʉ5	
留	lɤu2	
畜	tsʰɤu7	
畜	ɕiɤu7	
略	liɛ8	
番	fɔ1	
疆	tɕiɛ1	
疏	səʉ1	
疏	səʉ5	
疑	ȵi2	
疝	sɔ5	
瘧	ȵiɔ8	
疤	pʊ1	
疥	ka5	
疫	jy8	
瘡	tsʰʊ1	
瘡	tɕʰiʊ1	
瘋	foŋ1	
疲	bei2	
疵	tsʰɿ1	
疹	tsaŋ3	
疼	tʰoŋ5	
疽	tsʰəʉ1	
病	bəŋ6	
症	tsəŋ5	
痊	tɕʰy1	
痒	jɛ4	
痔	dzɿ4	
痕	ɦø2	
痕	ɦaŋ2	
痛	tʰoŋ5	
痢	lei6	
痣	tsɿ5	
痰	dɔ2	
痱	fei3	
痱	fei5	
癡	tsʰɿ1	
痹	pei5	
瘟	y1	
瘟	ʋaŋ1	
瘸	dʑy2	
癩	la6	
癩	lɔ8	
癬	ɕi3	
癸	tɕy3	
登	taŋ1	
白	ba8	
百	pa7	
皂	zɛ4	
的	tei7	
皆	ka1	
皇	ɦʊ2	
皖	vɔ4	
皖	uɔ3	
皮	bei2	
皺	tsaʊ5	
皴	tsʰø1	
皴	tsʰoŋ1	
皿	məŋ4	
盂	vʉ2	
盅	tsoŋ1	
盆	bø2	
盈	jaŋ2	
益	ji8	
盍	ɦe8	
盞	tsɔ3	
鹽	ji2	
鹽	ji6	
監	kɔ1	
監	kɔ5	
盒	ɦe8	
盔	kʰai1	
盖	ke5	
盜	dɛ6	
盤	bø2	
盛	zəŋ2	
盛	zəŋ6	
盟	məŋ2	
目	mʊ8	
盲	ma2	
直	dzei8	
相	ɕiɛ1	
相	ɕiɛ5	
盼	pʰɔ5	
盾	daŋ4	
盾	dʑioŋ4	
省	sa3	
省	səŋ3	
眉	mei2	
看	kʰø1	
看	kʰø5	
眙	tsʰɿ5	看
真	tsaŋ1	
眠	mi2	
眠	mei1	眠床頭：床頭
眨	dʑiɔ8	
眩	jy6	
眷	tɕy5	
眸	mɛ2	
眼	ŋɔ1	眼兒珠
眼	ŋɔ4	
着	tɕiɔ3	
着	tɕiɔ7	
着	tsəʉ5	
睜	tsa1	
睛	tsəŋ1	
睡	zai6	
督	tɤu7	
睬	tsʰei3	
瞊	dʊ6	瞙瞊：眼部殘疾者
瞎	hɔ7	
瞒	mø2	
瞖	i5	
瞙	mʊ8	瞙瞊：眼部殘疾者
瞧	tɕʰy1	
瞪	taŋ1	
瞪	taŋ5	
瞪	tʰaŋ5	
瞬	zoŋ6	
瞰	kʰɔ3	
瞳	doŋ2	
瞻	tɕi1	
瞿	dʑy2	
矛	mɛ2	
矢	sɿ3	
矣	ji4	
知	tsɿ1	
矩	tɕy3	
矯	tɕy1	
矬	zʊ2	
矬	zʊ6	
短	tø3	
矮	a3	
石	zɿ8	
石	zei8	
礬	vɔ2	
礦	kʰʊ5	
碼	mʊ2	
砌	tsʰei5	
砍	kʰe3	本讀，少用
砍	kʰø3	市區音
研	ȵi2	
磚	tɕy1	
硯	ȵi6	
破	pʰa5	
碩	zei8	
硝	ɕy1	
硫	lɤu2	
硬	ŋa6	
確	kʰʊ7	
礙	ŋe6	
碎	sai5	
碑	pei1	
碗	y3	
碧	pi7	
碾	ȵi4	
碾	ȵi6	
磁	zɿ2	
磕	kʰø7	
磨	mʊ2	
磨	mʊ6	
磬	tɕʰiaŋ5	
磷	ləŋ2	
示	zɿ6	
禮	lei4	
社	zei4	
祀	zɿ4	
祈	dʑi2	
祈	ji2	
祖	tsəʉ3	
祝	tsɤu7	
神	zaŋ2	
祠	zɿ2	
祥	jɛ2	
票	pʰi5	
票	bi6	
祭	tsei5	
禱	tɛ3	
禍	vʋ4	
禀	pəŋ3	
禁	tɕiaŋ1	
禁	tɕiaŋ5	
禄	lɤu8	
禪	ji2	
禪	ji6	
福	fʋ7	
禧	ɕi1	
禹	vʉ4	
离	lei2	
禽	dʑiaŋ2	
禾	vʋ2	
秀	sɤu5	
私	sɿ1	
禿	tʰɤu7	
秆	kø3	
秉	pəŋ3	
秋	tsʰɤu1	
種	tɕiʊ5	
種	dʑiʊ2	
科	kʰʋ1	
秒	mi4	
秘	mei6	
租	tsəʉ1	
秤	tsʰəŋ5	
秦	dzaŋ2	
秦	zaŋ2	
秧	iɛ1	
秩	dza8	
秫	jy8	
積	tsei7	
稱	tsʰəŋ1	
稱	tsʰəŋ5	
秸	ka1	
