#漢字	音標	解釋#('wuu_oj_rads', '瑞安東山話', '瑞安東山', '#8B0000', None, None, '來源：由東甌組<u>落橙</u>、<u>老虎</u>提供', '55 1 1a 陰平 ꜀,31 2 1b 陽平 ꜁,35 3 2a 陰上 ꜂,13 4 2b 陽上 ꜃,52 5 3a 陰去 ꜄,22 6 3b 陽去 ꜅,322 7 4a 陰入 ꜆,322 8 4b 陽入 ꜇', None, None)
值	dzei8	
傾	tɕʰiaŋ1	
假	kʊ3	
假	kʊ5	
偏	pʰi1	
偕	ka1	
做	tsɤu5	
停	dəŋ2	
健	dʑi6	
偶	ŋau4	
偶	ŋau6	
偷	tʰaʊ1	
償	jɛ2	
傀	kʰai3	
傅	fʉ5	
傍	bʊ2	
儲	dzəʉ2	
催	tsʰai1	
傲	ŋɛ6	
傻	sʊ3	
像	jɛ4	
僧	saŋ1	
僭	tɕi5	
僵	tɕiɛ1	
僻	pʰei7	
儒	zəʉ4	
儡	lai4	
兒	ŋ2	
允	ioŋ3	
元	ȵy2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	dʑy4	
先	ɕi1	
光	kʊ1	
克	ke7	撲克
克	kʰe7	
免	mi4	
兌	tai5	
兔	tʰəʉ5	
兖	vɔ2	
黨	tʊ3	
兜	taʊ1	
兢	tɕiaŋ1	
全	jy2	
八	pʊ7	
公	koŋ1	
六	lɤu8	
兮	ji2	
蘭	lɔ2	
共	dʑiʊ6	
關	kuɔ1	
興	ɕiaŋ1	
興	ɕiaŋ5	
兵	pəŋ1	
其	dʑi2	
具	dʑy2	
典	tiɛ3	
兹	tsɿ1	
養	jɛ4	
獸	sɤu5	
冀	tɕi5	
內	nai6	
冇	naʊ4	沒有
冇	naʊ5	沒有
岡	kʊ1	
冉	ji4	
冊	tsʰa7	
再	tsei5	
冒	mɛ6	
冗	zoŋ4	
寫	sei3	
軍	tɕiaŋ1	
農	noŋ2	
冠	ky1	
冠	ky5	
冢	tsoŋ3	
冤	y1	冤深
冥	məŋ2	
冬	toŋ1	
馮	voŋ2	
冰	pəŋ1	
冲	tɕʰiʊ5	
决	tɕy7	
况	ɕiʊ3	
况	ɕiʊ5	
冶	ji4	
冷	la4	
凍	toŋ5	
淨	dzəŋ6	
凄	tsʰei1	
準	tsoŋ3	
凉	liɛ2	
凌	ləŋ2	
減	kɔ3	
湊	tsʰaʊ5	
凛	ləŋ4	
凝	ȵiaŋ2	
几	tɕi3	
几	ke3	
凡	vɔ2	
鳳	voŋ6	
凭	pʰəŋ3	
凱	kʰe3	
凳	taŋ5	
凶	ɕiʊ1	
出	tɕʰy7	
擊	tɕi7	
凼	taŋ3	水坑
函	ɦɔ2	
鑿	zʊ8	
刀	tɛ1	
刁	tuɔ1	
刃	ȵiaŋ6	擦傷痕
分	faŋ1	
切	tɕʰi7	
刈	ȵi6	
刊	kʰø1	
芻	tsʰɤu1	
刎	vaŋ4	
刑	jaŋ2	
划	va8	
劉	lɤu2	
剛	kʊ1	
創	tsʰʊ1	
創	tsʰʊ5	
初	tsʰɤu1	
刪	sɔ1	
刣	tʰai1	宰殺
判	pʰø5	
刨	bɔ4	
利	lei6	
别	pi7	
别	bi8	
刮	kuɔ7	
到	tɛ5	
制	tsei5	
刷	sø7	
券	tɕʰy5	
刺	tsʰɿ5	
刻	kʰe7	
劊	kai5	
剁	tɤu5	剁，剁碎
剃	tʰei5	
削	ɕiɔ7	
剌	lɔ8	
前	ji2	
剮	kʊ3	
劍	tɕi5	
剔	tʰei7	
剖	pʰɛ1	
剝	pʊ7	
劇	dʑi8	
剩	dzəŋ2	
剩	dzəŋ6	
剪	tɕi3	
副	fʉ5	
割	kø7	
剿	tɕy3	
劈	pʰei7	
力	lei8	
勸	tɕʰy5	
辦	bɔ6	
功	koŋ1	
加	kʊ1	
務	vʋ6	
劣	lei8	
動	doŋ4	
努	nɤu4	
劫	tɕi7	
勵	lei6	
勁	tɕiaŋ5	
勁	dʑiaŋ6	
勞	lɛ2	
勢	sei5	
勃	bø8	
勇	jʊ4	
勉	mi4	
勋	ɕiaŋ1	
勒	lei8	
勘	kʰe5	
募	mʊ6	
勤	dʑiaŋ2	
勺	jɔ8	
勾	kau1	
勿	vʋ8	
勻	joŋ2	
包	pɔ1	
匆	tsʰoŋ1	
化	hʊ5	
北	pei7	
匙	zei2	
匠	jɛ6	
匡	tɕʰiʊ1	
匣	ɦɔ8	匣兒
匪	fei3	
匹	pʰi7	
區	tɕʰy1	
區	au1	
醫	i1	
匾	pi3	
匿	ȵi8	
千	tɕʰi1	
卅	sɔ7	
升	səŋ1	
午	ŋ4	
卉	ɕy5	
卉	fai5	日常音
半	pø5	
華	ɦʊ2	
華	ɦʊ6	
協	ji8	
卑	pei1	
卒	tɕy7	
卒	tsø7	
卒	tsʰø7	
卓	tɕiʊ7	
單	ji4	
單	ji6	
單	tɔ1	
賣	ma6	
南	ne2	
博	pʊ7	
卜	bʊ4	
占	tɕi1	
占	tɕi5	
卡	kʰa3	
盧	ləʉ2	
卤	ləʉ4	
卦	kʊ5	
臥	ŋ6	
衛	vʉ6	
卯	mɔ4	
印	iaŋ5	
危	ȵy2	
即	tsei7	
卻	tɕʰiɔ7	卻情：可是
卵	lø4	
卵	laŋ4	
卷	tɕy3	
卷	tɕy5	
卸	sei5	
卿	tɕʰiaŋ1	
廠	tɕʰiɛ3	
厄	a7	
廳	tʰəŋ1	
历	lei8	
厲	lei6	
壓	ɔ7	
厭	i5	
廁	tsʰei7	
厘	lei2	
厚	ɡau4	
原	ȵy2	
廂	ɕiɛ1	
厥	tɕy7	
厦	ɦʊ6	
廚	dzəʉ2	
厮	sɿ1	
去	tɕʰy5	
去	kʰe5	白讀
縣	jy6	
参	saŋ1	人參
叉	tsʰʊ1	
及	dʑia8	
雙	ɕiʊ1	
反	fɔ3	
发	fɔ7	
叔	sɤu7	
取	tsʰəʉ3	
受	zɤu4	
變	pi5	
敘	zəʉ4	
叛	bø4	
叛	bø6	
口	kʰau3	
古	kʋ3	
句	tɕy5	
另	ləŋ6	
叨	tɛ1	
叩	kʰau5	
只	tsɿ7	
只	tsa7	
只	tsei1	
只	tsei7	
叫	tɕy5	
召	tɕy1	
叭	pa1	喇叭
可	kʰʊ3	
台	tʰe1	
台	de6	
台	tʰai1	臺州
史	sɿ4	
葉	ji8	
號	ɦɛ4	
號	ɦɛ6	
司	sɿ1	
嘆	tʰɔ5	
吁	vʉ6	
吃	tɕʰi7	
各	kʊ7	
合	ɦe8	
吉	tɕia7	
吊	tuɔ3	
同	doŋ2	
名	məŋ2	
后	ɦau4	
吏	lei6	
吐	tʰəʉ5	
向	ɕiɛ5	
嚇	ha7	
嚇	hʊ7	
吕	ləʉ4	
君	tɕiaŋ1	
吝	ləŋ6	
吞	tʰø1	
吞	tʰaŋ1	
