#漢字	音標	解釋
□	tia1	提
丁	tin1	
七	tɕʰi2	
万	uan5	
丈	tsaŋ5	
三	san1	
上	saŋ5	
下	ɕia5	
不	puᶹ2	
丑	tsʰəu3	
專	tsuan1	
丕	pʰei3	
丘	tɕʰiəu1	
丙	pin3	
東	toŋ1	
丢	tiəu1	
兩	niaŋ3	
嚴	niɛn2	
丹	tan1	
主	tsuᶹ3	
舉	tɕy3	
乃	nai3	
之	tsɿ1	
烏	vuᶹ1	
乓	poŋ3	
乖	kuai1	
九	tɕiəu3	
也	i3	
也	ie3	部分老派
買	mai3	
亂	nuan5	
乳	zuᶹ3	
二	ɚ5	
虧	kʰuei1	
云	yn2	
五	vuᶹ3	
亞	ia5	
些	ɕie1	部分老派
亮	niaŋ5	
人	zən2	
介	kai5	
从	tsʰoŋ2	
倉	tsʰaŋ1	
他	tʰa1	
代	tai5	
令	nin5	
仰	niaŋ3	
優	iəu1	
會	xuei5	
低	ti1	
住	uaŋ3	
體	tʰi3	
何	xo2	
余	y2	
你	ni3	
佩	pʰei5	
俠	ɕia2	
便	pʰiɛn2	
俊	tɕyn5	
俗	ɕyu2	
保	paʊ3	
信	ɕin5	
修	ɕiəu1	
倍	pei5	
借	tɕie5	部分老派
傾	tɕʰyn1	
假	tɕia3	
偏	pʰiɛn1	
停	tʰin2	
偷	tʰəu1	
傲	ŋaʊ2	
傲	ŋaʊ5	
傻	sa3	
兒	ɚ2	
先	ɕiɛn1	
光	kuaŋ1	
克	kʰe̞2	
免	miɛn3	
兔	tʰuᶹ5	
兜	təu1	
全	tɕʰyɛn2	
八	pa2	
六	nuᶹ2	
蘭	nan2	
共	koŋ5	
兵	pin1	
具	tɕy5	
養	iaŋ3	
内	nuei5	
冒	maʊ5	
寫	ɕi3	
寫	ɕy3	
寫	ɕie3	部分老派
軍	tɕyn1	
冤	yɛn1	
冰	pin1	
冲	tsʰoŋ1	
決	tɕy2	
決	tɕye2	部分老派
冷	nən3	
几	tɕi3	
凡	fan2	
鳳	foŋ5	
凶	ɕioŋ1	
凹	ua5	
出	tsʰuᶹ2	
刀	taʊ1	
刁	tiaʊ1	
分	fən1	
刊	kan1	
列	nie2	部分老派
創	tsʰuaŋ5	
初	tsʰuᶹ1	
利	ni5	
别	pi2	
别	pie2	部分老派
刮	kua2	
到	taʊ5	
刷	sua2	
剃	tʰi5	
前	tɕʰiɛn2	
剪	tɕiɛn3	
力	ni2	
勸	tɕʰyɛn5	
勞	naʊ2	
勇	ioŋ3	
勳	ɕyn1	
勒	ne̞2	
包	paʊ1	
化	xua5	
匠	tɕiaŋ5	
匪	fei3	
區	tɕʰy1	
十	sɿ2	
千	tɕʰiɛn1	
半	pan5	
卒	tɕyu2	
賣	mai5	
南	nan2	
博	po2	
卡	kʰa3	
盧	nuᶹ2	
卯	maʊ3	
印	in5	
卵	nuan3	
卷	tɕyɛn3	
廠	tsʰaŋ3	
廳	tʰin1	
去	tɕʰi5	
去	tɕʰie5	
去	tɕʰy5	文
又	iəu5	
叉	tsʰa1	
及	tɕi2	
雙	suaŋ1	
反	fan3	
发	fa2	
取	tɕʰy3	
受	səu5	
變	piɛn5	
口	kʰjəu3	
叫	tɕiaʊ5	
可	kʰo3	
台	tʰai2	
史	sɿ3	
葉	ie2	部分老派
號	xaʊ5	
吃	tsʰɿ2	
各	ko2	
吊	tiaʊ5	
同	tʰoŋ2	
后	xjəu5	
向	ɕiaŋ5	
呂	nuei3	
吞	tʰən1	
否	fəu3	
含	xan2	
聽	tʰin5	
吹	tsʰuei1	
吻	uən3	
吼	xjəu3	
吾	vuᶹ3	
呆	tai1	
告	kaʊ5	
嘔	ŋʰjəu3	
呢	ne̞1	
周	tsəu1	
命	min5	
咖	kʰa1	
咪	mi1	
品	pʰin3	
哄	xoŋ3	
哈	xa1	
啞	ia3	
哥	ko1	
哭	kʰuᶹ2	
哼	xən1	
脣	suən2	
唐	tʰaŋ2	
唱	tsʰaŋ5	
啄	tsua2	
商	saŋ1	
啊	a1	
啥	sa5	
善	san5	
喇	na3	
喊	xan3	
喘	tsʰuan3	
喝	xo1	
噴	pʰən5	
噴	fən5	
嘎	ka2	
嘴	tsuei3	
四	sɿ5	
回	xuei2	
团	tʰuan2	
園	yɛn2	
圍	uei2	
國	kue̞2	
圈	tɕʰyɛn1	
圈	tɕyɛn5	
土	tʰuᶹ3	
在	tsai5	
場	tsʰaŋ2	
壞	xuai5	
坐	tso5	
坑	kʰən1	
塊	kʰuai3	
墳	fən2	
坡	pʰo1	
坡	pʰo5	
坦	tʰan3	
壟	noŋ3	
垮	kʰua3	
埋	mai2	
域	yu2	
培	pʰei2	
堆	tuei1	
堤	tʰi2	
堵	tuᶹ3	
塑	suᶹ5	
塔	tʰa2	
墨	me̞2	
