#漢字	音標	解釋
□	ŋo1	~在水头
㨪	xuaŋ3	
一	i7	
丁	tin1	
七	tɕʰi7	
万	uã5	
丈	tsaŋ5/tʂaŋ5	
三	sã1/ʂã1	
上	saŋ5/ʂaŋ5	
下	ɕiɑ5	
下	xɑ1	下~儿
下	xɑ5	白，一~
不	pu7	
与	y3	
与	y7	参~
丏	kæe5	
丑	tsʰəu3/tʂʰəu3	
且	tɕʰie3	
丕	pɘɪ1	
世	sɿ7	
丘	tɕʰiəu1	
丙	pin3	
業	nie7	
東	toŋ1	
丞	tsʰəin2/tʂʰəin2	
丢	tiəu1	
嚴	niẽ2	
並	pin5	
喪	saŋ5/ʂaŋ5	~失
喪	saŋ1/ʂaŋ1	婚~
个	ko5	
个	kɤ̜7	
丫	iɑ1	
中	tsoŋ1/tʂoŋ1	
中	tsoŋ5/tʂoŋ5	射~
丰	foŋ1	
串	tsʰuã5/tʂʰuã5	
臨	nin2	
丸	uã2	
丹	tã1	
爲	uɘɪ5	
爲	uɘɪ2	作~
主	tsu3/tʂu3	
麗	ni2	高~
舉	tɕy3	
乃	næe3	
久	tɕiəu3	
么	iaɞ1	
義	ni7	
義	i7	
之	tsɿ1	
乍	tsɑ5/tʂɑ5	
乏	fɑ5	
乏	fæ7	
樂	no7	
樂	yo7	
喬	tɕʰiaɞ2	
乖	kuæe1	
乘	səin2/ʂəin2	
乙	i7	
九	tɕiəu3	
乞	tɕʰi7	
也	ie3	
也	i3	
習	ɕi7	
鄉	ɕiaŋ1	
買	mæe3	
亂	nuã5	
乳	zu3/ʐu3	
乾	kã1	~湿
乾	tɕʰiẽ2	~坤
了	niaɞ3	
爭	tsəin1/tʂəin1	
事	sɿ7	
二	ɚ5	
于	y2	
亏	kʰuɘɪ1	
云	yn2	
互	xu7	
五	u3	
五	vuᶹ3	
井	tɕin3	
些	ɕie1	
亞	iɑ5	
亡	vuaŋ2	
亥	xæe5	
亦	i7	
產	tsʰã3/tʂʰã3	
亨	xəin1	
畝	moŋ3	
享	ɕiaŋ3	
京	tɕin1	
亭	tʰin2	
亮	niaŋ5	
親	tɕʰin1	
人	zəin2/ʐəin2	
億	i7	
什	sɿ7	
仁	zəin2/ʐəin2	
仇	tsʰəu2/tʂʰəu2	
今	tɕin1	
介	tɕie5	
介	tɕiẽ5	
介	tɕiæe5	最老派
仍	zəin5/ʐəin5	
从	tsʰoŋ2/tʂʰoŋ2	
倉	tsʰuaŋ1/tʂʰuaŋ1	
仕	sɿ7	
他	tʰɑ1	
他	nɑ1	白
仗	tsaŋ5/tʂaŋ5	
付	fuᶹ7	
代	tæe5	
令	nin5	
以	i3	
儀	ni2	
儀	i2	
仰	niaŋ3	
仲	tsoŋ5/tʂoŋ5	
件	tɕiẽ5	
价	tɕiɑ5	
任	zəin2/ʐəin2	姓
任	zəin5/ʐəin5	責~
份	fəin5	
仿	faŋ3	相似
企	tɕi1	
伊	i1	
伍	vuᶹ3	
伏	fuᶹ7	
伐	fɑ5	
伐	fæ7	
休	ɕiəu1	
众	tsoŋ5/tʂoŋ5	
优	iəu1	
會	kʰuæe5	
會	xuɘɪ5	
傷	saŋ1/ʂaŋ1	
僞	uɘɪ2	
伯	pæ7	
估	ku3	
伴	pã5	
伶	nin2	
伸	tsʰəin1/tʂʰəin1	
伺	sɿ7	
似	sɿ7	
佃	tiẽ5	
但	tã5	
位	uɘɪ5	
低	ti1	
住	tsu7/tʂu7	
体	tʰi3	
佔	tsã5/tʂã5	
何	xo2	
余	y2	
佛	fuᶹ7	
作	tso7/tʂo7	
你	ni3	
佩	pɘɪ5	
佳	tɕiɑ1	
併	pin5	合~
使	sɿ3	
來	næe2	
侈	tsʰɿ3	
例	ni7	
供	koŋ1	~给
供	koŋ5	~养
依	i1	
側	tsʰæ7/tʂʰæ7	
侮	vuᶹ3	
侯	xəu2	
侵	tɕʰin1	
侵	tɕʰin5	
便	pʰiẽ2	~易
便	piẽ5	方~
係	ɕi7	
促	tsu7/tʂu7	
俄	o2	
俊	tɕyn5	
俗	su7/ʂu7	
俘	fuᶹ1	
保	paɞ3	
俟	sɿ7	
信	ɕin5	
修	ɕiəu1	
俯	fuᶹ3	
俱	tɕy1	
俸	foŋ5	
俾	pi7	
倍	pɘɪ5	
們	məin2	
倒	taɞ3	
倒	taɞ5	~水
倔	tɕʰy7	
倔	tɕyo7	
倘	tʰaŋ3	
候	xəu5	
借	tɕie7	
倡	tsʰaŋ1/tʂʰaŋ1	~优，提~
倣	faŋ3	
倦	tɕyẽ5	
倪	ni2	
倫	nəin2	
倭	o1	
值	tsɿ7	
傾	tɕʰyn1	
假	tɕiɑ3	
偉	uɘɪ3	
偏	pʰiẽ1	
做	tsu7/tʂu7	
停	tʰin2	
健	tɕiẽ5	
偵	tsəin1/tʂəin1	
偶	ŋəu3	
偷	tʰəu1	
償	saŋ3/ʂaŋ3	
傀	kʰuæe3	
傅	fuᶹ7	
傅	tsuã5/tʂuã5	~記
傑	tɕie7	
傘	sã3/ʂã3	
傢	tɕiɑ1	
儲	tsʰu2/tʂʰu2	
